Date,volume
2000-01-03,2388800
2000-01-04,2716400
2000-01-05,1354800
2000-01-06,2027200
2000-01-07,2262000
2000-01-10,5526800
2000-01-11,6569600
2000-01-12,5877600
2000-01-13,7575200
2000-01-14,5720000
2000-01-18,6192400
2000-01-19,7086800
2000-01-20,16917600
2000-01-21,4750000
2000-01-24,3986000
2000-01-25,5240000
2000-01-26,4825200
2000-01-27,3049200
2000-01-28,5180800
2000-01-31,4684800
2000-02-01,5557200
2000-02-02,3375200
2000-02-03,3780000
2000-02-04,3072000
2000-02-07,2473600
2000-02-08,4169200
2000-02-09,1819200
2000-02-10,4403200
2000-02-11,3494800
2000-02-14,3332400
2000-02-15,4604800
2000-02-16,1846800
2000-02-17,2165200
2000-02-18,3086000
2000-02-22,2364800
2000-02-23,4734800
2000-02-24,3266400
2000-02-25,2985200
2000-02-28,5202400
2000-02-29,3695200
2000-03-01,3526800
2000-03-02,2867600
2000-03-03,2520800
2000-03-06,2285600
2000-03-07,5722400
2000-03-08,6801200
2000-03-09,4529200
2000-03-10,2236000
2000-03-13,2460400
2000-03-14,3939600
2000-03-15,7438000
2000-03-16,5425600
2000-03-17,4430800
2000-03-20,2761200
2000-03-21,2926400
2000-03-22,5593600
2000-03-23,3609200
2000-03-24,3843200
2000-03-27,2646800
2000-03-28,2143200
2000-03-29,2318000
2000-03-30,4233200
2000-03-31,3538800
2000-04-03,3580800
2000-04-04,3571600
2000-04-05,2367600
2000-04-06,1903600
2000-04-07,2364800
2000-04-10,1983200
2000-04-11,1758400
2000-04-12,1972400
2000-04-13,2089600
2000-04-14,4502800
2000-04-17,3797600
2000-04-18,1705600
2000-04-19,2978800
2000-04-20,3420800
2000-04-24,2649200
2000-04-25,2611200
2000-04-26,6516000
2000-04-27,6027600
2000-04-28,6755600
2000-05-01,3153200
2000-05-02,3764000
2000-05-03,2470000
2000-05-04,2143600
2000-05-05,1541200
2000-05-08,2582400
2000-05-09,3561600
2000-05-10,2726400
2000-05-11,1847200
2000-05-12,1921600
2000-05-15,2140400
2000-05-16,1836400
2000-05-17,1932000
2000-05-18,3196000
2000-05-19,2253600
2000-05-22,3333600
2000-05-23,3376000
2000-05-24,3185600
2000-05-25,2471200
2000-05-26,1814800
2000-05-30,2730800
2000-05-31,1733600
2000-06-01,3285200
2000-06-02,2482800
2000-06-05,1820400
2000-06-06,2246000
2000-06-07,1249600
2000-06-08,1884800
2000-06-09,887600
2000-06-12,2614400
2000-06-13,2134400
2000-06-14,2389200
2000-06-15,1945200
2000-06-16,2179600
2000-06-19,2890000
2000-06-20,3714000
2000-06-21,3586000
2000-06-22,2030400
2000-06-23,1358400
2000-06-26,1841600
2000-06-27,1737200
2000-06-28,2262400
2000-06-29,2935600
