Date,volume
2000-01-03,258400
2000-01-04,140400
2000-01-05,177600
2000-01-06,214800
2000-01-07,235600
2000-01-10,212000
2000-01-11,136800
2000-01-12,72800
2000-01-13,136400
2000-01-14,157200
2000-01-18,199600
2000-01-19,238400
2000-01-20,177200
2000-01-21,260800
2000-01-24,410800
2000-01-25,196400
2000-01-26,162400
2000-01-27,233600
2000-01-28,144800
2000-01-31,161600
2000-02-01,138000
2000-02-02,134000
2000-02-03,538000
2000-02-04,143600
2000-02-07,113200
2000-02-08,226800
2000-02-09,154400
2000-02-10,282800
2000-02-11,130400
2000-02-14,210800
2000-02-15,114400
2000-02-16,85200
2000-02-17,118800
2000-02-18,148800
2000-02-22,454400
2000-02-23,185600
2000-02-24,113600
2000-02-25,94800
2000-02-28,166000
2000-02-29,194800
2000-03-01,153200
2000-03-02,146800
2000-03-03,194000
2000-03-06,228800
2000-03-07,74000
2000-03-08,120800
2000-03-09,293600
2000-03-10,213600
2000-03-13,99200
2000-03-14,575200
2000-03-15,453200
2000-03-16,422400
2000-03-17,1178000
2000-03-20,392800
2000-03-21,234800
2000-03-22,774200
2000-03-23,547200
2000-03-24,214600
2000-03-27,179200
2000-03-28,530000
2000-03-29,689600
2000-03-30,992200
2000-03-31,1202600
2000-04-03,198600
2000-04-04,148800
2000-04-05,716000
2000-04-06,324200
2000-04-07,245400
2000-04-10,456600
2000-04-11,75600
2000-04-12,109400
2000-04-13,132600
2000-04-14,560000
2000-04-17,760600
2000-04-18,248400
2000-04-19,260800
2000-04-20,340200
2000-04-24,156400
2000-04-25,406400
2000-04-26,456800
2000-04-27,344800
2000-04-28,243600
2000-05-01,548800
2000-05-02,370000
2000-05-03,456200
2000-05-04,137600
2000-05-05,180800
2000-05-08,209800
2000-05-09,346200
2000-05-10,158200
2000-05-11,188200
2000-05-12,331000
2000-05-15,206800
2000-05-16,256200
2000-05-17,116600
2000-05-18,278800
2000-05-19,375200
2000-05-22,176400
2000-05-23,228600
2000-05-24,369800
2000-05-25,1073400
2000-05-26,162400
2000-05-30,403800
2000-05-31,149400
2000-06-01,200000
2000-06-02,210400
2000-06-05,180000
2000-06-06,173200
2000-06-07,123200
2000-06-08,349000
2000-06-09,97600
2000-06-12,185600
2000-06-13,234600
2000-06-14,191800
2000-06-15,135400
2000-06-16,122400
2000-06-19,226600
2000-06-20,691600
2000-06-21,185200
2000-06-22,105200
2000-06-23,320400
2000-06-26,90200
2000-06-27,150000
2000-06-28,552200
2000-06-29,384600
2000-06-30,745800
2000-07-03,93600
2000-07-05,250000
2000-07-06,423200
2000-07-07,374400
2000-07-10,184800
2000-07-11,86000
2000-07-12,150200
2000-07-13,57000
2000-07-14,71800
2000-07-17,186800
2000-07-18,297000
2000-07-19,483600
2000-07-20,216400
2000-07-21,374800
2000-07-24,106800
2000-07-25,708000
2000-07-26,486800
2000-07-27,859400
2000-07-28,612200
2000-07-31,719000
2000-08-01,144600
2000-08-02,279200
2000-08-03,273200
2000-08-04,322400
2000-08-07,140600
2000-08-08,100600
2000-08-09,125600
2000-08-10,121800
2000-08-11,146600
2000-08-14,150400
2000-08-15,205000
2000-08-16,186000
2000-08-17,178200
2000-08-18,55200
2000-08-21,386200
2000-08-22,109000
2000-08-23,288800
2000-08-24,379200
2000-08-25,339600
2000-08-28,99000
2000-08-29,125600
2000-08-30,67200
2000-08-31,125000
2000-09-01,110400
2000-09-05,106400
2000-09-06,266200
2000-09-07,184000
2000-09-08,494200
2000-09-11,332600
2000-09-12,287400
2000-09-13,244800
2000-09-14,181400
2000-09-15,249600
2000-09-18,223000
2000-09-19,123800
2000-09-20,204200
2000-09-21,84800
2000-09-22,431400
2000-09-25,274400
2000-09-26,75000
2000-09-27,148000
2000-09-28,429600
2000-09-29,497000
2000-10-02,233200
2000-10-03,121400
2000-10-04,153000
2000-10-05,268200
2000-10-06,241400
2000-10-09,169200
2000-10-10,218000
2000-10-11,184800
2000-10-12,204800
2000-10-13,270200
2000-10-16,323200
2000-10-17,274000
2000-10-18,353400
2000-10-19,222400
2000-10-20,342600
2000-10-23,343400
2000-10-24,291200
2000-10-25,266000
2000-10-26,503400
2000-10-27,304800
2000-10-30,381600
2000-10-31,369000
2000-11-01,246200
2000-11-02,199400
2000-11-03,320400
2000-11-06,305600
2000-11-07,405200
2000-11-08,136400
2000-11-09,191400
2000-11-10,187400
2000-11-13,178000
2000-11-14,126200
2000-11-15,129800
2000-11-16,240400
2000-11-17,157800
2000-11-20,442800
2000-11-21,235200
2000-11-22,199800
2000-11-24,86000
2000-11-27,218800
2000-11-28,149600
2000-11-29,233800
2000-11-30,191800
2000-12-01,181000
2000-12-04,250400
2000-12-05,424400
2000-12-06,509200
2000-12-07,724000
2000-12-08,410400
2000-12-11,662400
2000-12-12,4420000
2000-12-13,1105200
2000-12-14,651400
2000-12-15,859400
2000-12-18,488600
2000-12-19,473800
2000-12-20,533000
2000-12-21,367600
2000-12-22,250400
2000-12-26,310200
2000-12-27,233800
2000-12-28,358000
2000-12-29,757800
2001-01-02,423800
2001-01-03,725800
2001-01-04,1384200
2001-01-05,737400
2001-01-08,353600
2001-01-09,814600
2001-01-10,582000
2001-01-11,775800
2001-01-12,1668000
2001-01-16,1123600
2001-01-17,806200
2001-01-18,835200
2001-01-19,691700
2001-01-22,699400
2001-01-23,591000
2001-01-24,586000
2001-01-25,263000
2001-01-26,250200
2001-01-29,564000
2001-01-30,556100
2001-01-31,305300
2001-02-01,112500
2001-02-02,332300
2001-02-05,155900
2001-02-06,346900
2001-02-07,323200
2001-02-08,282000
2001-02-09,313500
2001-02-12,297800
2001-02-13,184400
2001-02-14,259100
2001-02-15,160200
2001-02-16,151100
2001-02-20,141400
2001-02-21,124600
2001-02-22,355500
2001-02-23,171100
2001-02-26,230200
2001-02-27,211100
2001-02-28,240800
2001-03-01,230900
2001-03-02,498100
2001-03-05,253800
2001-03-06,269100
2001-03-07,248400
2001-03-08,370100
2001-03-09,659400
2001-03-12,298500
2001-03-13,273400
2001-03-14,114800
2001-03-15,209300
2001-03-16,257700
2001-03-19,287600
2001-03-20,206100
2001-03-21,328800
2001-03-22,224700
2001-03-23,239900
2001-03-26,331800
2001-03-27,282800
2001-03-28,427200
2001-03-29,372400
2001-03-30,533000
2001-04-02,392400
2001-04-03,347800
2001-04-04,741700
2001-04-05,414500
2001-04-06,252700
2001-04-09,196400
2001-04-10,259100
2001-04-11,233400
2001-04-12,210800
2001-04-16,177500
2001-04-17,288100
2001-04-18,417200
2001-04-19,293400
2001-04-20,147200
2001-04-23,150300
2001-04-24,461300
2001-04-25,266800
2001-04-26,114000
2001-04-27,167900
2001-04-30,322800
2001-05-01,185900
2001-05-02,171700
2001-05-03,461400
2001-05-04,1625500
2001-05-07,225600
2001-05-08,240000
2001-05-09,240600
2001-05-10,270300
2001-05-11,382200
2001-05-14,332000
2001-05-15,311400
2001-05-16,407000
2001-05-17,530600
2001-05-18,318700
2001-05-21,326800
2001-05-22,296100
2001-05-23,238300
2001-05-24,364800
2001-05-25,273000
2001-05-29,428600
2001-05-30,714800
2001-05-31,331700
2001-06-01,395300
2001-06-04,250400
2001-06-05,256100
2001-06-06,311100
2001-06-07,327900
2001-06-08,208300
2001-06-11,153400
2001-06-12,319000
2001-06-13,274200
2001-06-14,211300
2001-06-15,197000
2001-06-18,191500
2001-06-19,124100
2001-06-20,237700
2001-06-21,114300
2001-06-22,233200
2001-06-25,188500
2001-06-26,374700
2001-06-27,208300
2001-06-28,260700
2001-06-29,1413600
2001-07-02,373700
2001-07-03,162900
2001-07-05,225400
2001-07-06,459300
2001-07-09,380600
2001-07-10,339800
2001-07-11,385300
2001-07-12,338800
2001-07-13,553600
2001-07-16,420600
2001-07-17,441100
2001-07-18,229600
2001-07-19,998900
2001-07-20,590900
2001-07-23,509300
2001-07-24,454500
2001-07-25,263500
2001-07-26,265600
2001-07-27,228300
2001-07-30,211500
2001-07-31,149200
2001-08-01,367100
2001-08-02,367900
2001-08-03,722400
2001-08-06,277300
2001-08-07,271500
2001-08-08,259600
2001-08-09,349500
2001-08-10,487300
2001-08-13,292100
2001-08-14,194100
2001-08-15,157600
2001-08-16,331800
2001-08-17,165100
2001-08-20,114700
2001-08-21,277200
2001-08-22,224300
2001-08-23,89200
2001-08-24,244100
2001-08-27,217200
2001-08-28,409400
2001-08-29,321800
2001-08-30,222400
2001-08-31,422600
2001-09-04,259100
2001-09-05,566200
2001-09-06,298900
2001-09-07,148700
2001-09-10,282600
2001-09-17,2514000
2001-09-18,1158000
2001-09-19,1934000
2001-09-20,1148000
2001-09-21,1370400
2001-09-24,1105900
2001-09-25,809200
2001-09-26,1755900
2001-09-27,1023900
2001-09-28,766000
2001-10-01,922000
2001-10-02,1228100
2001-10-03,1296200
2001-10-04,772100
2001-10-05,425000
2001-10-08,786700
2001-10-09,906400
2001-10-10,522100
2001-10-11,754400
2001-10-12,498200
2001-10-15,235200
2001-10-16,489900
2001-10-17,512800
2001-10-18,364300
2001-10-19,410800
2001-10-22,537000
2001-10-23,187800
2001-10-24,537000
2001-10-25,487000
2001-10-26,425300
2001-10-29,375400
2001-10-30,654900
2001-10-31,622700
2001-11-01,211900
2001-11-02,729800
2001-11-05,1804800
2001-11-06,373100
2001-11-07,422200
2001-11-08,472900
2001-11-09,508900
2001-11-12,722300
2001-11-13,822300
2001-11-14,419000
2001-11-15,436000
2001-11-16,652400
2001-11-19,472400
2001-11-20,495100
2001-11-21,285800
2001-11-23,76700
2001-11-26,232400
2001-11-27,274600
2001-11-28,379000
2001-11-29,257000
2001-11-30,349600
2001-12-03,332200
2001-12-04,274800
2001-12-05,517800
2001-12-06,278700
2001-12-07,289700
2001-12-10,272300
2001-12-11,301600
2001-12-12,751100
2001-12-13,509100
2001-12-14,479000
2001-12-17,246600
2001-12-18,291800
2001-12-19,584100
2001-12-20,357100
2001-12-21,497800
2001-12-24,174900
2001-12-26,316600
2001-12-27,219700
2001-12-28,270900
2001-12-31,324800
2002-01-02,355400
2002-01-03,860500
2002-01-04,637300
2002-01-07,773400
2002-01-08,773100
2002-01-09,837400
2002-01-10,626400
2002-01-11,557300
2002-01-14,585100
2002-01-15,513800
2002-01-16,237900
2002-01-17,382400
2002-01-18,526900
2002-01-22,416100
2002-01-23,953400
2002-01-24,451300
2002-01-25,369500
2002-01-28,261900
2002-01-29,322700
2002-01-30,558700
2002-01-31,356600
2002-02-01,287400
2002-02-04,264000
2002-02-05,325000
2002-02-06,898500
2002-02-07,355700
2002-02-08,219600
2002-02-11,204100
2002-02-12,190300
2002-02-13,454700
2002-02-14,486500
2002-02-15,586100
2002-02-19,213600
2002-02-20,185700
2002-02-21,482600
2002-02-22,302900
2002-02-25,286000
2002-02-26,410300
2002-02-27,281300
2002-02-28,211000
2002-03-01,193800
2002-03-04,209000
2002-03-05,238200
2002-03-06,199300
2002-03-07,420500
2002-03-08,276200
2002-03-11,462700
2002-03-12,490000
2002-03-13,340600
2002-03-14,313300
2002-03-15,309500
2002-03-18,459100
2002-03-19,223000
2002-03-20,249400
2002-03-21,420400
2002-03-22,250800
2002-03-25,329900
2002-03-26,305600
2002-03-27,249300
2002-03-28,244700
2002-04-01,279400
2002-04-02,353100
2002-04-03,261700
2002-04-04,522900
2002-04-05,723300
2002-04-08,541900
2002-04-09,479900
2002-04-10,199500
2002-04-11,278100
2002-04-12,222400
2002-04-15,248700
2002-04-16,279800
2002-04-17,290900
2002-04-18,513700
2002-04-19,265400
2002-04-22,330400
2002-04-23,535900
2002-04-24,696800
2002-04-25,827900
2002-04-26,612300
2002-04-29,446300
2002-04-30,1141300
2002-05-01,493400
2002-05-02,400500
2002-05-03,191300
2002-05-06,291500
2002-05-07,162100
2002-05-08,366600
2002-05-09,247100
2002-05-10,296400
2002-05-13,274700
2002-05-14,401600
2002-05-15,370000
2002-05-16,322700
2002-05-17,443100
2002-05-20,248900
2002-05-21,222500
2002-05-22,310800
2002-05-23,300500
2002-05-24,158500
2002-05-28,506600
2002-05-29,221300
2002-05-30,374600
2002-05-31,286800
2002-06-03,305000
2002-06-04,319600
2002-06-05,232000
2002-06-06,288900
2002-06-07,109200
2002-06-10,227900
2002-06-11,320300
2002-06-12,223900
2002-06-13,256400
2002-06-14,454100
2002-06-17,430000
2002-06-18,434700
2002-06-19,388500
2002-06-20,181200
2002-06-21,237100
2002-06-24,492200
2002-06-25,404500
2002-06-26,421000
2002-06-27,329600
2002-06-28,330500
2002-07-01,327700
2002-07-02,639600
2002-07-03,438500
2002-07-05,255800
2002-07-08,481300
2002-07-09,500600
2002-07-10,333300
2002-07-11,533900
2002-07-12,366000
2002-07-15,669600
2002-07-16,429800
2002-07-17,343100
2002-07-18,378600
2002-07-19,1878400
2002-07-22,3300500
2002-07-23,2083200
2002-07-24,1165500
2002-07-25,598700
2002-07-26,581800
2002-07-29,583800
2002-07-30,819000
2002-07-31,337000
2002-08-01,516200
2002-08-02,380900
2002-08-05,593200
2002-08-06,565600
2002-08-07,768300
2002-08-08,449400
2002-08-09,142800
2002-08-12,319200
2002-08-13,395400
2002-08-14,441300
2002-08-15,463900
2002-08-16,224500
2002-08-19,431300
2002-08-20,397400
2002-08-21,504300
2002-08-22,248000
2002-08-23,340800
2002-08-26,542700
2002-08-27,371000
2002-08-28,349000
2002-08-29,251200
2002-08-30,225800
2002-09-03,364900
2002-09-04,1439300
2002-09-05,4762800
2002-09-06,1022700
2002-09-09,792200
2002-09-10,554700
2002-09-11,597800
2002-09-12,477100
2002-09-13,629600
2002-09-16,407600
2002-09-17,402200
2002-09-18,427800
2002-09-19,327100
2002-09-20,600000
2002-09-23,371600
2002-09-24,287900
2002-09-25,333500
2002-09-26,249500
2002-09-27,374300
2002-09-30,334500
2002-10-01,476700
2002-10-02,706800
2002-10-03,672200
2002-10-04,346700
2002-10-07,411200
2002-10-08,371900
2002-10-09,540200
2002-10-10,516900
2002-10-11,674000
2002-10-14,311900
2002-10-15,536400
2002-10-16,331500
2002-10-17,354900
2002-10-18,260200
2002-10-21,337900
2002-10-22,215900
2002-10-23,559900
2002-10-24,1543400
2002-10-25,909900
2002-10-28,354300
2002-10-29,679100
2002-10-30,175500
2002-10-31,433700
2002-11-01,445300
2002-11-04,351900
2002-11-05,568500
2002-11-06,320900
2002-11-07,512600
2002-11-08,260000
2002-11-11,265900
2002-11-12,243500
2002-11-13,451000
2002-11-14,571100
2002-11-15,394700
2002-11-18,460800
2002-11-19,456500
2002-11-20,697000
2002-11-21,284800
2002-11-22,360600
2002-11-25,455300
2002-11-26,769300
2002-11-27,201400
2002-11-29,113100
2002-12-02,395500
2002-12-03,239900
2002-12-04,309200
2002-12-05,263700
2002-12-06,281200
2002-12-09,224200
2002-12-10,240200
2002-12-11,261000
2002-12-12,200100
2002-12-13,221300
2002-12-16,478700
2002-12-17,353900
2002-12-18,165700
2002-12-19,337600
2002-12-20,421100
2002-12-23,285400
2002-12-24,134100
2002-12-26,141400
2002-12-27,192600
2002-12-30,350500
2002-12-31,473300
2003-01-02,450200
2003-01-03,375300
2003-01-06,490100
2003-01-07,430100
2003-01-08,207000
2003-01-09,323100
2003-01-10,671800
2003-01-13,464400
2003-01-14,479200
2003-01-15,307200
2003-01-16,392700
2003-01-17,297600
2003-01-21,956400
2003-01-22,571600
2003-01-23,409800
2003-01-24,458400
2003-01-27,310600
2003-01-28,540400
2003-01-29,853500
2003-01-30,1932900
2003-01-31,723600
2003-02-03,648500
2003-02-04,545200
2003-02-05,287000
2003-02-06,300600
2003-02-07,229300
2003-02-10,425400
2003-02-11,360800
2003-02-12,608400
2003-02-13,526200
2003-02-14,523600
2003-02-18,676200
