Date,volume
2013-08-01,21094700
2013-08-02,2114600
2013-08-05,736400
2013-08-06,414100
2013-08-07,400600
2013-08-08,1216600
2013-08-09,608400
2013-08-12,868200
2013-08-13,364300
2013-08-14,371700
2013-08-15,772400
2013-08-16,1368000
2013-08-19,256000
2013-08-20,656500
2013-08-21,199700
2013-08-22,211000
2013-08-23,845600
2013-08-26,358800
2013-08-27,1135000
2013-08-28,552400
2013-08-29,636100
2013-08-30,121300
2013-09-03,724000
2013-09-04,630300
2013-09-05,352100
2013-09-06,328600
2013-09-09,578000
2013-09-10,598400
2013-09-11,429000
2013-09-12,446900
2013-09-13,904800
2013-09-16,874600
2013-09-17,531300
2013-09-18,843600
2013-09-19,658800
2013-09-20,4163300
2013-09-23,1170800
2013-09-24,705900
2013-09-25,415900
2013-09-26,539200
2013-09-27,428100
2013-09-30,2734600
2013-10-01,949100
2013-10-02,1810200
2013-10-03,1101900
2013-10-04,1156400
2013-10-07,1349500
2013-10-08,1528000
2013-10-09,1511800
2013-10-10,851900
2013-10-11,783300
2013-10-14,940500
2013-10-15,444400
2013-10-16,949500
2013-10-17,408200
2013-10-18,415900
2013-10-21,1288200
2013-10-22,541600
2013-10-23,418300
2013-10-24,815000
2013-10-25,816100
2013-10-28,587100
2013-10-29,820800
2013-10-30,1525800
2013-10-31,1767000
2013-11-01,678100
2013-11-04,997000
2013-11-05,1133100
2013-11-06,2013800
2013-11-07,3063300
2013-11-08,2018500
2013-11-11,1513100
2013-11-12,1330900
2013-11-13,1512600
2013-11-14,1097400
2013-11-15,2546800
2013-11-18,2721600
2013-11-19,1208500
2013-11-20,1030300
2013-11-21,1471500
2013-11-22,1225400
2013-11-25,1391700
2013-11-26,5872700
2013-11-27,1759900
2013-11-29,273100
2013-12-02,931000
2013-12-03,822800
2013-12-04,1002900
2013-12-05,819900
2013-12-06,794500
2013-12-09,997200
2013-12-10,528600
2013-12-11,1070100
2013-12-12,625300
2013-12-13,423700
2013-12-16,424900
2013-12-17,523600
2013-12-18,683800
2013-12-19,568900
2013-12-20,723700
2013-12-23,795400
2013-12-24,85300
2013-12-26,396300
2013-12-27,732100
2013-12-30,349800
2013-12-31,567100
2014-01-02,385600
2014-01-03,371600
2014-01-06,378300
2014-01-07,580600
2014-01-08,684900
2014-01-09,925100
2014-01-10,423900
2014-01-13,444800
2014-01-14,578800
2014-01-15,776500
2014-01-16,346400
2014-01-17,459000
2014-01-21,492000
2014-01-22,382500
2014-01-23,438700
2014-01-24,449500
2014-01-27,1290200
2014-01-28,454000
2014-01-29,454700
2014-01-30,876600
2014-01-31,735900
2014-02-03,1217000
2014-02-04,715000
2014-02-05,467100
2014-02-06,773100
2014-02-07,347100
2014-02-10,429000
2014-02-11,770800
2014-02-12,242100
2014-02-13,743700
2014-02-14,411900
2014-02-18,264800
2014-02-19,463600
2014-02-20,1524300
2014-02-21,631800
2014-02-24,886600
