Date,volume
2000-01-03,549200
2000-01-04,393600
2000-01-05,620600
2000-01-06,399200
2000-01-07,277000
2000-01-10,299700
2000-01-11,277300
2000-01-12,232300
2000-01-13,228700
2000-01-14,258400
2000-01-18,127400
2000-01-19,239300
2000-01-20,204300
2000-01-21,224500
2000-01-24,237000
2000-01-25,252100
2000-01-26,231600
2000-01-27,147800
2000-01-28,211400
2000-01-31,370100
2000-02-01,397400
2000-02-02,395100
2000-02-03,397200
2000-02-04,457200
2000-02-07,461400
2000-02-08,346000
2000-02-09,390500
2000-02-10,305800
2000-02-11,336600
2000-02-14,442100
2000-02-15,546200
2000-02-16,773400
2000-02-17,435300
2000-02-18,208800
2000-02-22,224000
2000-02-23,1435700
2000-02-24,10397800
2000-02-25,1819200
2000-02-28,1192300
2000-02-29,627500
2000-03-01,1001400
2000-03-02,632900
2000-03-03,697200
2000-03-06,935000
2000-03-07,1688100
2000-03-08,1165800
2000-03-09,837000
2000-03-10,387900
2000-03-13,418200
2000-03-14,432400
2000-03-15,436900
2000-03-16,537100
2000-03-17,309400
2000-03-20,344700
2000-03-21,322200
2000-03-22,340000
2000-03-23,244900
2000-03-24,443500
2000-03-27,589300
2000-03-28,2399400
2000-03-29,843300
2000-03-30,426500
2000-03-31,605500
2000-04-03,440200
2000-04-04,956800
2000-04-05,1045300
2000-04-06,796900
2000-04-07,616400
2000-04-10,376200
2000-04-11,487700
2000-04-12,372400
2000-04-13,322300
2000-04-14,671900
2000-04-17,525000
2000-04-18,783200
2000-04-19,895600
2000-04-20,805200
2000-04-24,1014800
2000-04-25,1949600
2000-04-26,1220900
2000-04-27,1450000
2000-04-28,1063400
2000-05-01,766000
2000-05-02,609800
2000-05-03,580800
2000-05-04,344100
2000-05-05,332900
2000-05-08,322100
2000-05-09,650000
2000-05-10,659600
2000-05-11,345900
2000-05-12,456700
2000-05-15,303200
2000-05-16,322100
2000-05-17,539400
2000-05-18,420700
2000-05-19,618800
2000-05-22,382400
2000-05-23,513400
2000-05-24,897200
2000-05-25,454200
2000-05-26,327400
2000-05-30,606300
2000-05-31,453000
2000-06-01,470700
2000-06-02,379700
2000-06-05,425100
2000-06-06,310200
2000-06-07,278200
2000-06-08,410100
2000-06-09,383700
2000-06-12,676700
2000-06-13,355300
2000-06-14,535300
2000-06-15,757600
2000-06-16,430600
2000-06-19,331100
2000-06-20,522300
2000-06-21,923600
2000-06-22,701300
2000-06-23,1422500
2000-06-26,2202900
2000-06-27,1179200
2000-06-28,786900
2000-06-29,882600
2000-06-30,751300
2000-07-03,486600
2000-07-05,840200
2000-07-06,509300
2000-07-07,749900
2000-07-10,529900
2000-07-11,585200
2000-07-12,513500
2000-07-13,468200
2000-07-14,323300
2000-07-17,346000
2000-07-18,359200
2000-07-19,504200
2000-07-20,297900
2000-07-21,347900
2000-07-24,288600
2000-07-25,287700
2000-07-26,417300
2000-07-27,586700
2000-07-28,753300
2000-07-31,548800
2000-08-01,225800
2000-08-02,287800
2000-08-03,667500
2000-08-04,433300
2000-08-07,354700
2000-08-08,312600
2000-08-09,463900
2000-08-10,283900
2000-08-11,458000
2000-08-14,349500
2000-08-15,413000
2000-08-16,329400
2000-08-17,198300
2000-08-18,456600
2000-08-21,482700
2000-08-22,168000
2000-08-23,140100
2000-08-24,211600
2000-08-25,142800
2000-08-28,372100
2000-08-29,254000
2000-08-30,341700
2000-08-31,136600
2000-09-01,114100
2000-09-05,380500
2000-09-06,782400
2000-09-07,249400
2000-09-08,380400
2000-09-11,356000
2000-09-12,346300
2000-09-13,399400
2000-09-14,226600
2000-09-15,331200
2000-09-18,267700
2000-09-19,202500
2000-09-20,383200
2000-09-21,191900
2000-09-22,634500
2000-09-25,291200
2000-09-26,282000
2000-09-27,298900
2000-09-28,198800
2000-09-29,358900
2000-10-02,462100
2000-10-03,651700
2000-10-04,1160500
2000-10-05,611400
2000-10-06,576400
2000-10-09,610200
2000-10-10,1866700
2000-10-11,1480700
2000-10-12,903700
2000-10-13,742700
2000-10-16,845200
2000-10-17,290100
2000-10-18,606900
2000-10-19,1932800
2000-10-20,641200
2000-10-23,203600
2000-10-24,537200
2000-10-25,404700
2000-10-26,292400
2000-10-27,588200
2000-10-30,402600
2000-10-31,552200
2000-11-01,493600
2000-11-02,552400
2000-11-03,204700
2000-11-06,283000
2000-11-07,413900
2000-11-08,372200
2000-11-09,555800
2000-11-10,407900
2000-11-13,629500
2000-11-14,499600
2000-11-15,585200
2000-11-16,294500
2000-11-17,301200
2000-11-20,1253400
2000-11-21,1820000
2000-11-22,698000
2000-11-24,271600
2000-11-27,807800
2000-11-28,938600
2000-11-29,901700
2000-11-30,1411400
2000-12-01,478800
2000-12-04,520700
2000-12-05,518400
2000-12-06,840500
2000-12-07,724000
2000-12-08,674200
2000-12-11,712600
2000-12-12,622800
2000-12-13,769200
2000-12-14,286600
2000-12-15,647300
2000-12-18,382700
2000-12-19,518300
2000-12-20,950800
2000-12-21,361700
2000-12-22,392000
2000-12-26,462000
2000-12-27,364000
2000-12-28,455100
2000-12-29,717400
2001-01-02,454800
2001-01-03,653800
2001-01-04,514500
2001-01-05,569700
2001-01-08,812300
2001-01-09,1099100
2001-01-10,606900
2001-01-11,520300
2001-01-12,414900
2001-01-16,345300
2001-01-17,578100
2001-01-18,343800
2001-01-19,391700
2001-01-22,555600
2001-01-23,601600
2001-01-24,520400
2001-01-25,333500
2001-01-26,597000
2001-01-29,563300
2001-01-30,499000
2001-01-31,457700
2001-02-01,401400
2001-02-02,1157000
2001-02-05,569000
2001-02-06,1764700
2001-02-07,697500
2001-02-08,463700
2001-02-09,310200
2001-02-12,335900
2001-02-13,1956600
2001-02-14,4361100
2001-02-15,6541200
2001-02-16,2017600
2001-02-20,1412000
2001-02-21,1991700
2001-02-22,1750300
2001-02-23,1151600
2001-02-26,1510000
2001-02-27,1906600
2001-02-28,1680800
2001-03-01,1108900
2001-03-02,773400
2001-03-05,1969500
2001-03-06,1288700
2001-03-07,1069200
2001-03-08,920700
2001-03-09,661400
2001-03-12,795200
2001-03-13,952000
2001-03-14,1167800
2001-03-15,968600
2001-03-16,1489700
2001-03-19,1535900
2001-03-20,2110300
2001-03-21,1337300
2001-03-22,1916700
2001-03-23,1000500
2001-03-26,1045700
2001-03-27,932600
2001-03-28,743300
2001-03-29,1044500
2001-03-30,1656500
2001-04-02,847500
2001-04-03,522700
2001-04-04,875000
2001-04-05,572700
2001-04-06,740800
2001-04-09,496000
2001-04-10,1300000
2001-04-11,1877200
2001-04-12,1099400
2001-04-16,801300
2001-04-17,1198900
2001-04-18,1274600
2001-04-19,465000
2001-04-20,392800
2001-04-23,606900
2001-04-24,1183700
2001-04-25,386200
2001-04-26,802600
2001-04-27,708100
2001-04-30,1729500
2001-05-01,659300
2001-05-02,1880600
2001-05-03,441300
2001-05-04,796100
2001-05-07,1053800
2001-05-08,341700
2001-05-09,430800
2001-05-10,767100
2001-05-11,504300
2001-05-14,267800
2001-05-15,434200
2001-05-16,312200
2001-05-17,376300
2001-05-18,249900
2001-05-21,541100
2001-05-22,334300
2001-05-23,368900
2001-05-24,274800
2001-05-25,170900
2001-05-29,273200
2001-05-30,485700
2001-05-31,545900
2001-06-01,368100
2001-06-04,562700
2001-06-05,460500
2001-06-06,508100
2001-06-07,640200
2001-06-08,585700
2001-06-11,1013300
2001-06-12,404700
2001-06-13,606800
2001-06-14,552900
2001-06-15,588100
2001-06-18,551300
2001-06-19,571600
2001-06-20,943000
2001-06-21,1279900
2001-06-22,837500
2001-06-25,629600
2001-06-26,750900
2001-06-27,1464900
2001-06-28,707100
2001-06-29,1007700
2001-07-02,648100
2001-07-03,221800
2001-07-05,476500
2001-07-06,597700
2001-07-09,706800
2001-07-10,994100
2001-07-11,579300
2001-07-12,437000
2001-07-13,326000
2001-07-16,570500
2001-07-17,487300
2001-07-18,543100
2001-07-19,483700
2001-07-20,426800
2001-07-23,268700
2001-07-24,682600
2001-07-25,1128600
2001-07-26,574800
2001-07-27,711600
2001-07-30,515900
2001-07-31,512500
2001-08-01,518900
2001-08-02,1103800
2001-08-03,633300
2001-08-06,851900
2001-08-07,1229200
2001-08-08,960500
2001-08-09,726000
2001-08-10,545100
2001-08-13,743900
2001-08-14,365900
2001-08-15,614600
2001-08-16,514400
2001-08-17,798600
2001-08-20,409400
2001-08-21,541300
2001-08-22,582700
2001-08-23,400800
2001-08-24,651400
2001-08-27,284800
2001-08-28,707300
2001-08-29,822300
2001-08-30,672800
2001-08-31,1039100
2001-09-04,561500
2001-09-05,417600
2001-09-06,498300
2001-09-07,607100
2001-09-10,719300
2001-09-17,680400
2001-09-18,424000
2001-09-19,976100
2001-09-20,722400
2001-09-21,1203600
2001-09-24,1016900
2001-09-25,927200
2001-09-26,1167600
2001-09-27,401600
2001-09-28,699900
2001-10-01,469500
2001-10-02,255500
2001-10-03,770300
2001-10-04,720600
2001-10-05,718600
2001-10-08,469300
2001-10-09,674800
2001-10-10,579000
2001-10-11,387300
2001-10-12,1057200
2001-10-15,431600
2001-10-16,271600
2001-10-17,596300
2001-10-18,395000
2001-10-19,248600
2001-10-22,291900
2001-10-23,315300
2001-10-24,385600
2001-10-25,576600
2001-10-26,397000
2001-10-29,372100
2001-10-30,329300
2001-10-31,438100
2001-11-01,441200
2001-11-02,278900
2001-11-05,511100
2001-11-06,294700
2001-11-07,223200
2001-11-08,320000
2001-11-09,267000
2001-11-12,232400
2001-11-13,373300
2001-11-14,533700
2001-11-15,354800
2001-11-16,449900
2001-11-19,396500
2001-11-20,428500
2001-11-21,274700
2001-11-23,73600
2001-11-26,272300
2001-11-27,381900
2001-11-28,371500
2001-11-29,382300
2001-11-30,575100
2001-12-03,449900
2001-12-04,589700
2001-12-05,711200
2001-12-06,763900
2001-12-07,405700
2001-12-10,361400
2001-12-11,521600
2001-12-12,873600
2001-12-13,722900
2001-12-14,420500
2001-12-17,455300
2001-12-18,309300
2001-12-19,446400
2001-12-20,641100
2001-12-21,542900
2001-12-24,158800
2001-12-26,232000
