Date,volume
2000-01-03,863632
2000-01-04,745976
2000-01-05,1122763
2000-01-06,2708757
2000-01-07,1256024
2000-01-10,1033237
2000-01-11,843509
2000-01-12,599779
2000-01-13,1412899
2000-01-14,4047531
2000-01-18,1406944
2000-01-19,1524600
2000-01-20,2650853
2000-01-21,2437717
2000-01-24,1417621
2000-01-25,1321936
2000-01-26,1488667
2000-01-27,1761144
2000-01-28,1267933
2000-01-31,1518440
2000-02-01,861784
2000-02-02,800800
2000-02-03,863837
2000-02-04,764045
2000-02-07,935704
2000-02-08,673493
2000-02-09,644952
2000-02-10,618053
2000-02-11,772669
2000-02-14,564667
2000-02-15,1405507
2000-02-16,1090115
2000-02-17,566925
2000-02-18,662200
2000-02-22,817432
2000-02-23,898539
2000-02-24,905315
2000-02-25,1535688
2000-02-28,1149251
2000-02-29,2396035
2000-03-01,1694205
2000-03-02,597931
2000-03-03,702445
2000-03-06,1352120
2000-03-07,478632
2000-03-08,1003053
2000-03-09,1365056
2000-03-10,822565
2000-03-13,1052128
2000-03-14,898744
2000-03-15,1159928
2000-03-16,1487229
2000-03-17,906136
2000-03-20,796077
2000-03-21,907368
2000-03-22,1150483
2000-03-23,1563203
2000-03-24,1793587
2000-03-27,717640
2000-03-28,792381
2000-03-29,4515896
2000-03-30,2681859
2000-03-31,1939579
2000-04-03,3436459
2000-04-04,6464304
2000-04-05,2104667
2000-04-06,3040371
2000-04-07,1100792
2000-04-10,930981
2000-04-11,1380045
2000-04-12,1738557
2000-04-13,2598288
2000-04-14,2171811
2000-04-17,1545955
2000-04-18,1244868
2000-04-19,572059
2000-04-20,170153
2000-04-24,972459
2000-04-25,895116
2000-04-26,572743
2000-04-27,770479
2000-04-28,704567
2000-05-01,543175
2000-05-02,792792
2000-05-03,460563
2000-05-04,511896
2000-05-05,373775
2000-05-08,1600300
2000-05-09,1509063
2000-05-10,1364577
2000-05-11,2198162
2000-05-12,1447258
2000-05-15,607513
2000-05-16,770616
2000-05-17,582736
2000-05-18,739679
2000-05-19,789028
2000-05-22,1564572
2000-05-23,1093537
2000-05-24,1738968
2000-05-25,884781
2000-05-26,845700
2000-05-30,641393
2000-05-31,612715
2000-06-01,1383262
2000-06-02,1323716
2000-06-05,593961
2000-06-06,843030
2000-06-07,1161092
2000-06-08,579588
2000-06-09,614973
2000-06-12,791218
2000-06-13,376718
2000-06-14,610935
2000-06-15,916813
2000-06-16,5564876
2000-06-19,1580245
2000-06-20,1455197
2000-06-21,1821854
2000-06-22,1268755
2000-06-23,439413
2000-06-26,545708
2000-06-27,1488940
2000-06-28,1111059
2000-06-29,1842182
2000-06-30,703404
2000-07-03,357554
2000-07-05,1267112
2000-07-06,1942043
2000-07-07,1130086
2000-07-10,643309
2000-07-11,1906725
2000-07-12,520178
2000-07-13,1071566
2000-07-14,858430
2000-07-17,1032416
2000-07-18,478427
2000-07-19,524011
2000-07-20,1407765
2000-07-21,2055729
2000-07-24,573838
2000-07-25,292121
2000-07-26,641256
2000-07-27,928312
2000-07-28,1556564
2000-07-31,974375
2000-08-01,668976
2000-08-02,603269
2000-08-03,4767772
2000-08-04,1783115
2000-08-07,1385658
2000-08-08,716887
2000-08-09,1766688
2000-08-10,2281664
2000-08-11,1164514
2000-08-14,2244636
2000-08-15,1007708
2000-08-16,520931
2000-08-17,614357
2000-08-18,930571
2000-08-21,748098
2000-08-22,335857
2000-08-23,475073
2000-08-24,930434
2000-08-25,598273
2000-08-28,370764
2000-08-29,573017
2000-08-30,864316
2000-08-31,1713507
2000-09-01,785468
2000-09-05,1525079
2000-09-06,809013
2000-09-07,393145
2000-09-08,286508
2000-09-11,484108
2000-09-12,350093
2000-09-13,435649
2000-09-14,466312
2000-09-15,515387
2000-09-18,536947
2000-09-19,826535
2000-09-20,706347
2000-09-21,691973
2000-09-22,2377555
2000-09-25,1007981
2000-09-26,1587227
2000-09-27,1167183
2000-09-28,1157806
2000-09-29,1132687
2000-10-02,6158357
2000-10-03,3377665
2000-10-04,2640176
2000-10-05,1691057
2000-10-06,1511938
2000-10-09,983752
2000-10-10,2124105
2000-10-11,1254997
2000-10-12,1073209
2000-10-13,2543396
2000-10-16,1919661
2000-10-17,3408670
2000-10-18,2695548
2000-10-19,1187922
2000-10-20,1232411
2000-10-23,1013594
2000-10-24,1421933
2000-10-25,1409819
2000-10-26,1174301
2000-10-27,1273614
2000-10-30,1304483
2000-10-31,1461426
2000-11-01,1448627
2000-11-02,1018864
2000-11-03,1118588
2000-11-06,2633742
2000-11-07,1716176
2000-11-08,1017153
2000-11-09,796488
2000-11-10,4633347
2000-11-13,1287919
2000-11-14,982246
2000-11-15,1085392
2000-11-16,857540
2000-11-17,903604
2000-11-20,1322347
2000-11-21,1229125
2000-11-22,714012
2000-11-24,276379
2000-11-27,1020028
2000-11-28,1361771
2000-11-29,1518235
2000-11-30,1702624
2000-12-01,1744717
2000-12-04,1353352
2000-12-05,2982946
2000-12-06,2409381
2000-12-07,1420017
2000-12-08,3001015
2000-12-11,1506941
2000-12-12,1126390
2000-12-13,1976607
2000-12-14,843441
2000-12-15,449954
2000-12-18,818938
2000-12-19,636465
2000-12-20,1741364
2000-12-21,1104762
2000-12-22,389517
2000-12-26,190002
2000-12-27,680132
2000-12-28,490610
2000-12-29,440714
2001-01-02,891215
2001-01-03,3096769
2001-01-04,2151825
2001-01-05,2249358
2001-01-08,2574538
2001-01-09,1513854
2001-01-10,1229125
2001-01-11,2384536
2001-01-12,1887219
2001-01-16,2092552
2001-01-17,3385262
2001-01-18,5586572
2001-01-19,3252548
2001-01-22,1126116
2001-01-23,1736915
2001-01-24,2509447
2001-01-25,1136315
2001-01-26,710385
2001-01-29,1018248
2001-01-30,1448900
2001-01-31,1781404
2001-02-01,1279774
2001-02-02,2835996
2001-02-05,1470940
2001-02-06,2217258
2001-02-07,2867685
2001-02-08,1628430
2001-02-09,1905699
2001-02-12,1052676
2001-02-13,1071635
2001-02-14,4712468
2001-02-15,1887219
2001-02-16,1032964
2001-02-20,631195
2001-02-21,2133276
2001-02-22,1314955
2001-02-23,3639191
2001-02-26,2224787
2001-02-27,660968
2001-02-28,1851559
2001-03-01,1966546
2001-03-02,6344663
2001-03-05,3014430
2001-03-06,4597892
2001-03-07,2554620
2001-03-08,1735546
2001-03-09,2284333
2001-03-12,3502234
2001-03-13,2233137
2001-03-14,1751972
2001-03-15,1793792
2001-03-16,4767840
2001-03-19,1669155
2001-03-20,953157
2001-03-21,1132413
2001-03-22,2325332
2001-03-23,1761555
2001-03-26,1045694
2001-03-27,2309795
2001-03-28,1853270
2001-03-29,1766414
2001-03-30,3266169
2001-04-02,1364029
2001-04-03,1959496
2001-04-04,3455760
2001-04-05,2590964
2001-04-06,1217695
2001-04-09,920852
2001-04-10,2212740
2001-04-11,3453980
2001-04-12,2002068
2001-04-16,1484902
2001-04-17,2495964
2001-04-18,4766540
2001-04-19,5501633
2001-04-20,5020879
2001-04-23,3966219
2001-04-24,5095963
2001-04-25,3800172
2001-04-26,2602463
2001-04-27,2907794
2001-04-30,2370163
2001-05-01,2490693
2001-05-02,2669812
2001-05-03,6735892
2001-05-04,2039508
2001-05-07,1497564
2001-05-08,1431584
2001-05-09,1830068
2001-05-10,3677862
2001-05-11,1207018
2001-05-14,842346
2001-05-15,2520946
2001-05-16,2393844
2001-05-17,1530281
2001-05-18,2039576
2001-05-21,3742268
2001-05-22,1688182
2001-05-23,2843319
2001-05-24,2882332
2001-05-25,1666280
2001-05-29,1387164
2001-05-30,3002179
2001-05-31,1887903
2001-06-01,1081354
2001-06-04,790602
2001-06-05,2240118
2001-06-06,2451064
2001-06-07,1952309
2001-06-08,1797351
2001-06-11,1623297
2001-06-12,1383878
2001-06-13,1748276
2001-06-14,1577850
2001-06-15,1498728
2001-06-18,1303593
2001-06-19,1202500
2001-06-20,2175507
2001-06-21,2545517
2001-06-22,3007860
2001-06-25,846452
2001-06-26,1392708
2001-06-27,1411461
2001-06-28,2695958
2001-06-29,2525463
2001-07-02,1630552
2001-07-03,772943
2001-07-05,5324430
2001-07-06,1520493
2001-07-09,2538536
2001-07-10,2504314
2001-07-11,968078
2001-07-12,1585447
2001-07-13,1016879
2001-07-16,921947
2001-07-17,2898896
2001-07-18,2653933
2001-07-19,5352287
2001-07-20,1669360
2001-07-23,1521383
2001-07-24,1671345
2001-07-25,2258461
2001-07-26,2547365
2001-07-27,1532813
2001-07-30,897854
2001-07-31,1567652
2001-08-01,2738462
2001-08-02,3672318
2001-08-03,1113796
2001-08-06,684992
2001-08-07,1904604
2001-08-08,1609060
2001-08-09,1682844
2001-08-10,595330
2001-08-13,847890
2001-08-14,858909
2001-08-15,512786
2001-08-16,894637
2001-08-17,443999
2001-08-20,837555
2001-08-21,766646
2001-08-22,1138642
2001-08-23,782183
2001-08-24,1876268
2001-08-27,1481548
2001-08-28,2090430
2001-08-29,1519261
2001-08-30,1248700
2001-08-31,1574975
2001-09-04,2149498
2001-09-05,1805975
2001-09-06,1915760
2001-09-07,3745828
2001-09-10,4512474
