Date,volume
2006-06-12,13050
2006-06-13,5933
2006-06-14,6042
2006-06-15,2967
2006-06-16,4842
2006-06-19,9642
2006-06-20,21450
2006-06-21,18167
2006-06-22,10908
2006-06-23,2933
2006-06-26,8650
2006-06-27,4967
2006-06-28,12200
2006-06-29,5508
2006-06-30,2117
2006-07-03,1117
2006-07-05,367
2006-07-06,1533
2006-07-07,1000
2006-07-10,2358
2006-07-11,3533
2006-07-12,2350
2006-07-13,6408
2006-07-14,2558
2006-07-17,3858
2006-07-18,3333
2006-07-19,2767
2006-07-20,2308
2006-07-21,550
2006-07-24,492
2006-07-25,4400
2006-07-26,1617
2006-07-27,8008
2006-07-28,13758
2006-07-31,783
2006-08-01,14525
2006-08-02,11925
2006-08-03,4317
2006-08-04,9808
2006-08-07,5933
2006-08-08,16450
2006-08-09,6933
2006-08-10,3442
2006-08-11,3100
2006-08-14,4467
2006-08-15,1350
2006-08-16,1158
2006-08-17,1992
2006-08-18,367
2006-08-21,500
2006-08-22,3200
2006-08-23,2692
2006-08-24,5833
2006-08-25,2683
2006-08-28,2625
2006-08-29,1183
2006-08-30,792
2006-08-31,1283
2006-09-01,1075
2006-09-05,1300
2006-09-06,575
2006-09-07,14967
2006-09-08,17283
2006-09-11,408
2006-09-12,817
2006-09-13,3908
2006-09-14,14283
2006-09-15,8833
2006-09-18,3925
2006-09-19,992
2006-09-20,6733
2006-09-21,9750
2006-09-22,1333
2006-09-25,1483
2006-09-26,2458
2006-09-27,1792
2006-09-28,11483
2006-09-29,1108
2006-10-02,28850
2006-10-03,21567
2006-10-04,6775
2006-10-05,4567
2006-10-06,942
2006-10-09,13308
2006-10-10,28333
2006-10-11,49367
2006-10-12,20450
2006-10-13,9017
2006-10-16,33417
2006-10-17,9983
2006-10-18,3425
2006-10-19,6275
2006-10-20,7233
2006-10-23,10125
2006-10-24,9108
2006-10-25,2850
2006-10-26,7725
2006-10-27,5167
2006-10-30,4717
2006-10-31,10558
2006-11-01,2208
2006-11-02,3392
2006-11-03,4958
2006-11-06,6667
2006-11-07,7258
2006-11-08,23408
2006-11-09,4558
2006-11-10,15492
2006-11-13,13700
2006-11-14,30042
2006-11-15,28417
2006-11-16,3075
2006-11-17,1483
2006-11-20,1442
2006-11-21,3025
2006-11-22,8733
2006-11-24,4708
2006-11-27,7083
2006-11-28,1758
2006-11-29,6033
2006-11-30,6792
2006-12-01,10567
2006-12-04,24150
2006-12-05,10050
2006-12-06,4292
2006-12-07,3725
2006-12-08,3650
2006-12-11,3667
2006-12-12,1267
2006-12-13,6900
2006-12-14,17325
2006-12-15,17517
2006-12-18,20433
2006-12-19,7792
2006-12-20,5658
2006-12-21,9050
2006-12-22,4042
2006-12-26,5133
2006-12-27,2858
2006-12-28,3825
2006-12-29,2650
2007-01-03,4367
2007-01-04,2358
2007-01-05,750
2007-01-08,3475
2007-01-09,4425
2007-01-10,3575
2007-01-11,3725
2007-01-12,1617
2007-01-16,1583
2007-01-17,992
2007-01-18,9100
2007-01-19,17175
2007-01-22,11842
2007-01-23,4642
2007-01-24,9425
2007-01-25,4775
2007-01-26,1792
2007-01-29,3383
2007-01-30,2758
2007-01-31,1758
2007-02-01,2567
2007-02-02,5842
2007-02-05,3400
2007-02-06,2008
2007-02-07,9325
2007-02-08,1933
2007-02-09,5742
2007-02-12,6367
2007-02-13,2508
2007-02-14,2708
2007-02-15,2567
2007-02-16,2308
2007-02-20,3192
2007-02-21,1858
2007-02-22,4642
2007-02-23,63667
2007-02-26,11500
2007-02-27,4442
2007-02-28,3550
2007-03-01,2817
2007-03-02,792
2007-03-05,808
2007-03-06,4208
2007-03-07,3125
2007-03-08,1775
2007-03-09,1392
2007-03-12,542
2007-03-13,1600
2007-03-14,3350
2007-03-15,1158
2007-03-16,933
2007-03-19,650
2007-03-20,542
2007-03-21,3275
2007-03-22,1917
2007-03-23,1133
2007-03-26,1383
2007-03-27,5317
2007-03-28,675
2007-03-29,1558
2007-03-30,600
2007-04-02,1975
2007-04-03,4450
2007-04-04,7125
2007-04-05,3300
2007-04-09,2067
2007-04-10,2100
2007-04-11,3508
2007-04-12,2892
2007-04-13,1317
2007-04-16,1125
2007-04-17,2042
2007-04-18,2025
2007-04-19,1100
2007-04-20,2025
2007-04-23,1833
2007-04-24,4950
2007-04-25,3500
2007-04-26,7208
2007-04-27,5858
2007-04-30,3183
2007-05-01,3592
2007-05-02,3583
2007-05-03,2742
2007-05-04,133
2007-05-07,833
2007-05-08,3800
2007-05-09,742
2007-05-10,2775
2007-05-11,2000
2007-05-14,1242
2007-05-15,717
2007-05-16,2400
2007-05-17,5067
2007-05-18,3600
2007-05-21,1500
2007-05-22,2358
2007-05-23,3683
2007-05-24,575
2007-05-25,1900
2007-05-29,13225
2007-05-30,7217
2007-05-31,3100
2007-06-01,1858
2007-06-04,1683
2007-06-05,975
