Date,volume
2006-10-18,93200
2006-10-19,37300
2006-10-20,54100
2006-10-23,37500
2006-10-24,45500
2006-10-25,95500
2006-10-26,66400
2006-10-27,115400
2006-10-30,124200
2006-10-31,35100
2006-11-01,41700
2006-11-02,38300
2006-11-03,6000
2006-11-06,86200
2006-11-07,41200
2006-11-08,96900
2006-11-09,48900
2006-11-10,126900
2006-11-13,41400
2006-11-14,74700
2006-11-15,41300
2006-11-16,294800
2006-11-17,156800
2006-11-20,100800
2006-11-21,92500
2006-11-22,138500
2006-11-24,6600
2006-11-27,78500
2006-11-28,36400
2006-11-29,242800
2006-11-30,201800
2006-12-01,111900
2006-12-04,168400
2006-12-05,158500
2006-12-06,144300
2006-12-07,129900
2006-12-08,20900
2006-12-11,42200
2006-12-12,53800
2006-12-13,281000
2006-12-14,128200
2006-12-15,78900
2006-12-18,73400
2006-12-19,68100
2006-12-20,111700
2006-12-21,77700
2006-12-22,29300
2006-12-26,9100
2006-12-27,13900
2006-12-28,20900
2006-12-29,7800
2007-01-03,70800
2007-01-04,45200
2007-01-05,245900
2007-01-08,43100
2007-01-09,23300
2007-01-10,53700
2007-01-11,187200
2007-01-12,138700
2007-01-16,323100
2007-01-17,171400
2007-01-18,60100
2007-01-19,50100
2007-01-22,14900
2007-01-23,62000
2007-01-24,1358700
2007-01-25,125700
2007-01-26,58000
2007-01-29,68400
2007-01-30,42900
2007-01-31,81200
2007-02-01,351600
2007-02-02,389400
2007-02-05,83700
2007-02-06,155200
2007-02-07,211800
2007-02-08,151000
2007-02-09,124300
2007-02-12,20800
2007-02-13,40200
2007-02-14,13400
2007-02-15,3902000
2007-02-16,661300
2007-02-20,344700
2007-02-21,106200
2007-02-22,170700
2007-02-23,209100
2007-02-26,93500
2007-02-27,805100
2007-02-28,437600
2007-03-01,213900
2007-03-02,254700
2007-03-05,245400
2007-03-06,233600
2007-03-07,54600
2007-03-08,169800
2007-03-09,467600
2007-03-12,175000
2007-03-13,84400
