Date,volume
2007-02-22,17800
2007-02-23,48500
2007-02-26,23800
2007-02-27,23200
2007-02-28,12300
2007-03-01,6600
2007-03-02,3400
2007-03-05,10700
2007-03-06,3400
2007-03-07,7400
2007-03-08,12200
2007-03-09,4100
2007-03-12,16700
2007-03-13,13500
2007-03-14,8200
2007-03-15,15300
2007-03-16,4000
2007-03-19,2600
2007-03-20,4800
2007-03-21,7400
2007-03-22,8800
2007-03-23,19000
2007-03-26,4900
2007-03-27,17400
2007-03-28,15500
2007-03-29,23100
2007-03-30,3400
2007-04-02,8500
2007-04-03,17600
2007-04-04,5800
2007-04-05,6800
2007-04-09,700
2007-04-10,17500
2007-04-11,11800
2007-04-12,10800
2007-04-13,3600
2007-04-16,5200
2007-04-17,13200
2007-04-18,15500
2007-04-19,3900
2007-04-20,3600
2007-04-23,2500
2007-04-24,5100
2007-04-25,7400
2007-04-26,2700
2007-04-27,32800
2007-04-30,4400
2007-05-01,5200
2007-05-02,8200
2007-05-03,11500
2007-05-04,13400
2007-05-07,6700
2007-05-08,27500
2007-05-09,9800
2007-05-10,11700
2007-05-11,34400
2007-05-14,17300
2007-05-15,16800
2007-05-16,21000
2007-05-17,4700
2007-05-18,4000
2007-05-21,21000
2007-05-22,13100
2007-05-23,12200
2007-05-24,59600
2007-05-25,9800
2007-05-29,5800
2007-05-30,3200
2007-05-31,4900
2007-06-01,22300
2007-06-04,42400
2007-06-05,3900
2007-06-06,28600
2007-06-07,7900
2007-06-08,8100
2007-06-11,11500
2007-06-12,18000
2007-06-13,7700
2007-06-14,30200
2007-06-15,51400
2007-06-18,22500
2007-06-19,11600
2007-06-20,13000
2007-06-21,9300
2007-06-22,13900
2007-06-25,18600
2007-06-26,40400
2007-06-27,39200
2007-06-28,48100
2007-06-29,15300
2007-07-02,20900
2007-07-03,1600
2007-07-05,6000
2007-07-06,7100
2007-07-09,11500
2007-07-10,11300
2007-07-11,17300
2007-07-12,13900
2007-07-13,6600
2007-07-16,11200
2007-07-17,4000
2007-07-18,10000
2007-07-19,7100
2007-07-20,3600
2007-07-23,12800
2007-07-24,6300
2007-07-25,18000
2007-07-26,7600
2007-07-27,13500
2007-07-30,8900
2007-07-31,24000
2007-08-01,16200
2007-08-02,26100
2007-08-03,29800
2007-08-06,35200
2007-08-07,18600
2007-08-08,50800
2007-08-09,29100
2007-08-10,43100
2007-08-13,17000
2007-08-14,11800
2007-08-15,14700
2007-08-16,27400
2007-08-17,11300
2007-08-20,11900
2007-08-21,20300
2007-08-22,19300
2007-08-23,11000
2007-08-24,15500
2007-08-27,9700
2007-08-28,23800
2007-08-29,24600
2007-08-30,7700
2007-08-31,10200
2007-09-04,3000
2007-09-05,4600
2007-09-06,4400
2007-09-07,4500
2007-09-10,12800
2007-09-11,8600
2007-09-12,3700
2007-09-13,10800
2007-09-14,20800
2007-09-17,57500
2007-09-18,12400
2007-09-19,30300
2007-09-20,10000
2007-09-21,12800
2007-09-24,18600
2007-09-25,11100
2007-09-26,8600
2007-09-27,14600
2007-09-28,23700
2007-10-01,16300
2007-10-02,11000
2007-10-03,7300
2007-10-04,5400
2007-10-05,12200
2007-10-08,13900
2007-10-09,13400
2007-10-10,12700
2007-10-11,33200
2007-10-12,5700
2007-10-15,6600
2007-10-16,5900
2007-10-17,10800
2007-10-18,8200
2007-10-19,15800
2007-10-22,8500
2007-10-23,6500
2007-10-24,12100
2007-10-25,5400
2007-10-26,8300
2007-10-29,10100
2007-10-30,9700
2007-10-31,10700
2007-11-01,11500
2007-11-02,4000
2007-11-05,39300
2007-11-06,18800
2007-11-07,32300
2007-11-08,18000
2007-11-09,10100
2007-11-12,19300
2007-11-13,44200
2007-11-14,16200
2007-11-15,8600
2007-11-16,13200
2007-11-19,52800
2007-11-20,23400
2007-11-21,6600
2007-11-23,700
2007-11-26,19300
2007-11-27,28100
2007-11-28,13000
2007-11-29,18200
2007-11-30,5900
2007-12-03,11600
2007-12-04,26400
2007-12-05,21200
2007-12-06,37000
2007-12-07,24300
2007-12-10,53100
2007-12-11,14600
2007-12-12,20500
2007-12-13,6500
2007-12-14,18000
2007-12-17,24400
2007-12-18,22800
2007-12-19,17300
2007-12-20,18000
2007-12-21,41200
2007-12-24,9400
2007-12-26,36300
2007-12-27,48000
2007-12-28,40000
2007-12-31,52400
2008-01-02,30300
2008-01-03,34700
2008-01-04,26100
2008-01-07,30200
2008-01-08,45700
2008-01-09,12000
2008-01-10,11300
2008-01-11,8600
2008-01-14,23500
2008-01-15,15200
2008-01-16,11700
2008-01-17,21900
2008-01-18,8800
2008-01-22,19900
2008-01-23,23000
2008-01-24,14800
2008-01-25,5900
2008-01-28,3600
2008-01-29,12000
2008-01-30,12600
2008-01-31,19800
2008-02-01,22600
2008-02-04,33100
2008-02-05,25000
2008-02-06,34100
2008-02-07,14900
2008-02-08,9000
2008-02-11,12500
2008-02-12,11600
2008-02-13,9200
2008-02-14,5100
2008-02-15,6800
2008-02-19,8900
2008-02-20,8700
2008-02-21,15000
2008-02-22,26500
2008-02-25,3600
2008-02-26,22700
2008-02-27,22200
2008-02-28,20900
2008-02-29,7000
2008-03-03,13900
2008-03-04,7500
2008-03-05,18600
2008-03-06,10900
2008-03-07,8200
2008-03-10,24100
2008-03-11,10800
2008-03-12,3500
2008-03-13,6900
2008-03-14,11400
2008-03-17,33400
2008-03-18,5100
2008-03-19,2000
2008-03-20,11300
2008-03-24,22600
2008-03-25,7500
2008-03-26,9700
2008-03-27,3900
2008-03-28,2400
2008-03-31,3900
2008-04-01,14300
2008-04-02,7600
2008-04-03,7100
2008-04-04,1700
2008-04-07,4900
2008-04-08,1700
2008-04-09,4300
2008-04-10,9100
2008-04-11,8700
2008-04-14,700
2008-04-15,2100
2008-04-16,5600
2008-04-17,9100
2008-04-18,6000
2008-04-21,2200
2008-04-22,2200
2008-04-23,3600
2008-04-24,3600
2008-04-25,5600
2008-04-28,11400
2008-04-29,5400
2008-04-30,8800
2008-05-01,8100
2008-05-02,3700
2008-05-05,21200
2008-05-06,16100
2008-05-07,8400
2008-05-08,14200
2008-05-09,17300
2008-05-12,8200
2008-05-13,12500
2008-05-14,16000
2008-05-15,10100
2008-05-16,5100
2008-05-19,17200
2008-05-20,5200
2008-05-21,5400
2008-05-22,6200
2008-05-23,3800
2008-05-27,16100
2008-05-28,8000
2008-05-29,16600
2008-05-30,26300
2008-06-02,66100
2008-06-03,13800
2008-06-04,24300
2008-06-05,19700
2008-06-06,15900
2008-06-09,18100
2008-06-10,51500
2008-06-11,16600
2008-06-12,10300
2008-06-13,17500
2008-06-16,38400
2008-06-17,18900
2008-06-18,31600
2008-06-19,14800
2008-06-20,3100
2008-06-23,11600
2008-06-24,3300
2008-06-25,10500
2008-06-26,4300
2008-06-27,10800
2008-06-30,14800
2008-07-01,12100
2008-07-02,36000
2008-07-03,19800
2008-07-07,18600
2008-07-08,26300
2008-07-09,79500
2008-07-10,17500
2008-07-11,17100
2008-07-14,41400
2008-07-15,36100
2008-07-16,10500
2008-07-17,47200
2008-07-18,29300
2008-07-21,38700
2008-07-22,51500
2008-07-23,39200
2008-07-24,32700
2008-07-25,11400
2008-07-28,8500
2008-07-29,17300
2008-07-30,7100
2008-07-31,12400
2008-08-01,13300
2008-08-04,7400
2008-08-05,4700
2008-08-06,14700
2008-08-07,18900
2008-08-08,6700
2008-08-11,12900
2008-08-12,10600
2008-08-13,12900
2008-08-14,25400
2008-08-15,28900
2008-08-18,4700
2008-08-19,15900
2008-08-20,17700
2008-08-21,21000
2008-08-22,2500
2008-08-25,2700
2008-08-26,15300
2008-08-27,8700
2008-08-28,13400
2008-08-29,13200
2008-09-02,5700
2008-09-03,11500
2008-09-04,11000
2008-09-05,15200
2008-09-08,30600
2008-09-09,14800
2008-09-10,16800
2008-09-11,25300
2008-09-12,18300
2008-09-15,16300
2008-09-16,34300
2008-09-17,12800
2008-09-18,40800
2008-09-19,18700
2008-09-22,18400
2008-09-23,11800
2008-09-24,9900
2008-09-25,9100
2008-09-26,11100
2008-09-29,9200
2008-09-30,10300
2008-10-01,11700
2008-10-02,8900
2008-10-03,16400
2008-10-06,24000
2008-10-07,20400
2008-10-08,62800
2008-10-09,15600
2008-10-10,44100
2008-10-13,2800
2008-10-14,12600
2008-10-15,8300
2008-10-16,9400
2008-10-17,12400
2008-10-20,23300
2008-10-21,13200
2008-10-22,23400
2008-10-23,12200
2008-10-24,9600
2008-10-27,7400
2008-10-28,2200
2008-10-29,5700
2008-10-30,5200
2008-10-31,10700
2008-11-03,5000
2008-11-04,4700
2008-11-05,8200
2008-11-06,15800
2008-11-07,18400
2008-11-10,7600
2008-11-11,29000
2008-11-12,8900
2008-11-13,12900
2008-11-14,3100
2008-11-17,31100
2008-11-18,9900
2008-11-19,11700
2008-11-20,12400
2008-11-21,20500
2008-11-24,27200
2008-11-25,20100
2008-11-26,16100
2008-11-28,16400
2008-12-01,30600
2008-12-02,23500
2008-12-03,47100
2008-12-04,4700
2008-12-05,9700
2008-12-08,7000
2008-12-09,33200
2008-12-10,10100
2008-12-11,7000
2008-12-12,3600
2008-12-15,9900
2008-12-16,6400
2008-12-17,11200
2008-12-18,13300
2008-12-19,16400
2008-12-22,14300
2008-12-23,500
2008-12-24,4900
2008-12-26,5200
2008-12-29,5900
2008-12-30,8400
2008-12-31,26100
2009-01-02,15700
2009-01-05,6700
2009-01-06,10700
2009-01-07,22700
2009-01-08,21200
2009-01-09,13600
2009-01-12,20100
2009-01-13,25500
2009-01-14,10000
2009-01-15,15900
2009-01-16,20300
2009-01-20,9400
2009-01-21,4300
2009-01-22,4900
2009-01-23,2500
2009-01-26,8700
2009-01-27,27200
2009-01-28,3900
2009-01-29,1300
2009-01-30,1400
2009-02-02,7000
2009-02-03,14000
2009-02-04,3900
2009-02-05,3000
2009-02-06,2300
2009-02-09,10900
2009-02-10,5100
2009-02-11,0
2009-02-12,8700
2009-02-13,2500
2009-02-17,7100
2009-02-18,8800
2009-02-19,8000
2009-02-20,3400
2009-02-23,16200
2009-02-24,15800
2009-02-25,12400
2009-02-26,14900
2009-02-27,8500
2009-03-02,32600
2009-03-03,35600
2009-03-04,8800
2009-03-05,47200
2009-03-06,54200
2009-03-09,30700
2009-03-10,39400
2009-03-11,17700
2009-03-12,15500
2009-03-13,12600
2009-03-16,26800
2009-03-17,36800
2009-03-18,19700
2009-03-19,45500
2009-03-20,26300
2009-03-23,16400
2009-03-24,9000
2009-03-25,12200
2009-03-26,38400
2009-03-27,37500
2009-03-30,21800
2009-03-31,19300
2009-04-01,3600
2009-04-02,83900
2009-04-03,16400
2009-04-06,24100
2009-04-07,13600
2009-04-08,47400
2009-04-09,25200
2009-04-13,20600
2009-04-14,39000
2009-04-15,30100
2009-04-16,65000
2009-04-17,39200
2009-04-20,17200
2009-04-21,10400
2009-04-22,222800
2009-04-23,53000
2009-04-24,36800
2009-04-27,16300
2009-04-28,55800
2009-04-29,34800
2009-04-30,41000
2009-05-01,25100
2009-05-04,50600
2009-05-05,20900
2009-05-06,30100
2009-05-07,41200
2009-05-08,45900
2009-05-11,66400
2009-05-12,23200
2009-05-13,17400
2009-05-14,12700
2009-05-15,17500
2009-05-18,10900
2009-05-19,23100
2009-05-20,26200
2009-05-21,22400
2009-05-22,46800
2009-05-26,31400
2009-05-27,18400
2009-05-28,8500
2009-05-29,6200
2009-06-01,24200
2009-06-02,13800
2009-06-03,14300
2009-06-04,22500
2009-06-05,27100
2009-06-08,28400
2009-06-09,55600
2009-06-10,110500
2009-06-11,49100
2009-06-12,32300
2009-06-15,18700
2009-06-16,27700
2009-06-17,60600
2009-06-18,13800
2009-06-19,51900
2009-06-22,29200
2009-06-23,23100
2009-06-24,38000
2009-06-25,65100
2009-06-26,1221700
2009-06-29,90800
2009-06-30,38800
2009-07-01,77400
2009-07-02,74700
2009-07-06,59600
2009-07-07,64700
2009-07-08,31800
2009-07-09,34900
2009-07-10,17500
2009-07-13,36300
2009-07-14,27400
2009-07-15,32800
2009-07-16,16300
2009-07-17,17000
2009-07-20,35800
2009-07-21,21000
2009-07-22,33500
2009-07-23,49700
2009-07-24,35800
2009-07-27,28600
2009-07-28,30600
2009-07-29,26900
2009-07-30,54200
2009-07-31,61400
2009-08-03,33200
2009-08-04,20400
2009-08-05,25800
2009-08-06,89300
2009-08-07,496700
2009-08-10,115300
2009-08-11,53600
2009-08-12,40800
2009-08-13,38100
2009-08-14,37000
2009-08-17,22300
2009-08-18,37000
2009-08-19,22200
2009-08-20,42700
2009-08-21,56400
2009-08-24,39200
2009-08-25,48200
2009-08-26,37500
2009-08-27,22000
2009-08-28,62900
2009-08-31,164000
2009-09-01,63500
2009-09-02,28400
2009-09-03,28900
2009-09-04,24500
2009-09-08,34300
2009-09-09,38400
2009-09-10,25700
2009-09-11,59800
2009-09-14,36400
2009-09-15,36600
2009-09-16,49700
2009-09-17,41100
2009-09-18,52800
2009-09-21,29100
2009-09-22,53400
2009-09-23,55400
2009-09-24,93900
2009-09-25,105900
2009-09-28,124300
2009-09-29,119500
2009-09-30,87300
2009-10-01,104100
2009-10-02,272900
2009-10-05,162900
2009-10-06,179900
2009-10-07,68700
2009-10-08,50900
2009-10-09,50600
2009-10-12,38700
2009-10-13,27000
2009-10-14,60400
2009-10-15,57800
2009-10-16,39000
2009-10-19,54900
2009-10-20,42900
2009-10-21,55700
2009-10-22,47700
2009-10-23,44300
2009-10-26,63200
2009-10-27,69000
2009-10-28,50300
2009-10-29,41900
2009-10-30,46800
2009-11-02,30000
2009-11-03,35400
2009-11-04,21300
2009-11-05,107000
2009-11-06,39700
2009-11-09,59200
2009-11-10,25800
2009-11-11,26100
2009-11-12,28800
2009-11-13,13800
2009-11-16,74200
2009-11-17,15100
2009-11-18,22400
2009-11-19,23400
2009-11-20,33300
2009-11-23,30200
2009-11-24,22800
2009-11-25,31800
2009-11-27,25200
2009-11-30,44700
2009-12-01,87500
2009-12-02,30000
2009-12-03,27600
2009-12-04,45600
2009-12-07,61800
2009-12-08,509200
2009-12-09,200900
2009-12-10,105300
2009-12-11,98300
2009-12-14,169500
2009-12-15,136400
2009-12-16,176600
2009-12-17,120800
2009-12-18,234700
2009-12-21,89100
2009-12-22,62400
2009-12-23,44700
2009-12-24,19200
2009-12-28,62100
2009-12-29,28700
2009-12-30,35600
2009-12-31,24800
2010-01-04,63800
2010-01-05,94300
2010-01-06,95700
2010-01-07,58900
2010-01-08,62500
2010-01-11,64700
2010-01-12,63700
2010-01-13,56200
2010-01-14,50500
2010-01-15,42000
2010-01-19,85000
2010-01-20,64600
2010-01-21,54100
2010-01-22,66100
2010-01-25,41400
2010-01-26,42900
2010-01-27,63600
2010-01-28,47200
2010-01-29,49500
2010-02-01,45900
2010-02-02,63200
2010-02-03,35700
2010-02-04,63900
2010-02-05,65900
2010-02-08,27100
2010-02-09,30300
2010-02-10,31900
2010-02-11,19500
2010-02-12,34300
2010-02-16,21900
2010-02-17,38300
2010-02-18,66000
2010-02-19,44900
2010-02-22,57400
2010-02-23,101000
2010-02-24,125400
2010-02-25,93300
2010-02-26,47800
2010-03-01,73600
2010-03-02,97600
2010-03-03,91600
2010-03-04,57600
2010-03-05,40400
2010-03-08,42100
2010-03-09,59300
2010-03-10,42100
2010-03-11,84400
2010-03-12,46000
2010-03-15,47600
2010-03-16,89900
2010-03-17,88600
2010-03-18,47400
2010-03-19,92200
2010-03-22,156700
2010-03-23,118700
2010-03-24,44500
2010-03-25,70300
2010-03-26,47400
2010-03-29,79800
2010-03-30,64800
2010-03-31,54300
2010-04-01,36600
2010-04-05,64300
2010-04-06,63600
2010-04-07,101100
2010-04-08,58600
2010-04-09,98600
2010-04-12,76900
2010-04-13,97900
2010-04-14,114700
2010-04-15,29800
2010-04-16,58600
2010-04-19,33100
2010-04-20,55300
2010-04-21,26600
2010-04-22,38500
2010-04-23,76300
2010-04-26,109200
2010-04-27,126700
2010-04-28,70400
2010-04-29,75800
2010-04-30,48100
2010-05-03,50600
2010-05-04,81600
2010-05-05,212800
2010-05-06,221600
2010-05-07,124600
2010-05-10,166600
2010-05-11,77000
2010-05-12,106600
2010-05-13,70500
2010-05-14,71200
2010-05-17,59800
2010-05-18,98900
2010-05-19,84900
2010-05-20,161000
2010-05-21,91700
2010-05-24,71500
2010-05-25,70800
2010-05-26,155200
2010-05-27,67800
2010-05-28,39200
2010-06-01,99800
2010-06-02,89600
2010-06-03,87800
2010-06-04,82000
2010-06-07,84300
2010-06-08,85100
2010-06-09,142400
2010-06-10,154000
2010-06-11,60900
2010-06-14,185000
2010-06-15,72800
2010-06-16,59500
2010-06-17,71500
2010-06-18,58900
2010-06-21,64700
2010-06-22,49800
2010-06-23,40200
2010-06-24,50400
2010-06-25,711700
2010-06-28,133200
2010-06-29,83000
2010-06-30,44600
2010-07-01,46000
2010-07-02,52000
2010-07-06,61100
2010-07-07,55200
2010-07-08,87300
2010-07-09,57600
2010-07-12,57100
2010-07-13,48900
2010-07-14,44300
2010-07-15,32600
2010-07-16,43100
2010-07-19,34000
2010-07-20,34500
2010-07-21,59200
2010-07-22,45900
2010-07-23,51700
2010-07-26,100500
2010-07-27,64500
2010-07-28,84500
2010-07-29,36200
2010-07-30,187400
2010-08-02,85000
2010-08-03,66000
2010-08-04,57400
2010-08-05,54700
2010-08-06,80900
2010-08-09,73000
2010-08-10,45400
2010-08-11,84700
2010-08-12,55700
2010-08-13,52200
2010-08-16,36100
2010-08-17,51800
2010-08-18,61600
2010-08-19,64200
2010-08-20,60300
2010-08-23,36200
2010-08-24,34100
2010-08-25,83700
2010-08-26,102700
2010-08-27,76400
2010-08-30,98100
2010-08-31,49200
2010-09-01,172700
2010-09-02,128700
2010-09-03,110000
2010-09-07,233700
2010-09-08,90600
2010-09-09,49600
2010-09-10,87600
2010-09-13,106300
2010-09-14,64100
2010-09-15,69200
2010-09-16,52500
2010-09-17,75700
2010-09-20,96900
2010-09-21,700900
2010-09-22,619300
2010-09-23,162000
2010-09-24,152800
2010-09-27,190200
2010-09-28,155600
2010-09-29,134500
2010-09-30,399800
2010-10-01,157300
2010-10-04,106400
2010-10-05,166800
2010-10-06,104100
2010-10-07,85800
2010-10-08,79200
2010-10-11,125800
2010-10-12,79900
2010-10-13,89500
2010-10-14,93900
2010-10-15,85600
2010-10-18,93200
2010-10-19,93700
2010-10-20,86000
2010-10-21,70900
2010-10-22,75600
2010-10-25,99900
2010-10-26,51100
2010-10-27,114600
2010-10-28,58000
2010-10-29,114300
2010-11-01,103600
2010-11-02,83700
2010-11-03,100700
2010-11-04,201100
2010-11-05,146500
2010-11-08,197100
2010-11-09,158300
2010-11-10,97200
2010-11-11,82100
2010-11-12,104000
2010-11-15,98000
2010-11-16,97900
2010-11-17,84700
2010-11-18,83600
2010-11-19,90000
2010-11-22,88600
2010-11-23,49100
2010-11-24,60400
2010-11-26,42100
2010-11-29,78800
2010-11-30,123700
2010-12-01,205400
2010-12-02,117800
2010-12-03,109000
2010-12-06,196300
2010-12-07,277400
2010-12-08,62100
2010-12-09,83300
2010-12-10,85800
2010-12-13,221400
2010-12-14,329200
2010-12-15,116000
2010-12-16,237400
2010-12-17,193700
2010-12-20,84900
2010-12-21,53100
2010-12-22,79400
2010-12-23,92700
2010-12-27,92900
2010-12-28,55300
2010-12-29,77900
2010-12-30,121200
2010-12-31,40600
2011-01-03,97900
2011-01-04,74800
2011-01-05,51800
2011-01-06,66400
2011-01-07,60600
2011-01-10,65600
2011-01-11,44000
2011-01-12,79900
2011-01-13,47500
2011-01-14,78900
2011-01-18,64000
2011-01-19,94000
2011-01-20,76600
2011-01-21,62700
2011-01-24,159300
2011-01-25,88900
2011-01-26,84400
2011-01-27,196500
2011-01-28,110700
2011-01-31,106700
2011-02-01,116400
2011-02-02,121000
2011-02-03,58000
2011-02-04,99700
2011-02-07,69800
2011-02-08,1592200
2011-02-09,300400
2011-02-10,218200
2011-02-11,140200
2011-02-14,189100
2011-02-15,123800
2011-02-16,158400
2011-02-17,122700
2011-02-18,88200
2011-02-22,257300
2011-02-23,191600
2011-02-24,153200
2011-02-25,166200
2011-02-28,367900
2011-03-01,115600
2011-03-02,82900
2011-03-03,100200
2011-03-04,59100
2011-03-07,202800
2011-03-08,120800
2011-03-09,129300
2011-03-10,273800
2011-03-11,236100
2011-03-14,361600
2011-03-15,383000
2011-03-16,240400
2011-03-17,105900
2011-03-18,131700
2011-03-21,82700
2011-03-22,47600
2011-03-23,62400
2011-03-24,93400
2011-03-25,112900
2011-03-28,94200
2011-03-29,60900
2011-03-30,69800
2011-03-31,84000
2011-04-01,85400
2011-04-04,69700
2011-04-05,105900
2011-04-06,166000
2011-04-07,91200
2011-04-08,88700
2011-04-11,64000
2011-04-12,143400
2011-04-13,101300
2011-04-14,46400
2011-04-15,63000
2011-04-18,147000
2011-04-19,82400
2011-04-20,108700
2011-04-21,108500
2011-04-25,56100
2011-04-26,76500
2011-04-27,63900
2011-04-28,45300
2011-04-29,117000
2011-05-02,90000
2011-05-03,75000
2011-05-04,98000
2011-05-05,289200
2011-05-06,245400
2011-05-09,107000
2011-05-10,142100
2011-05-11,85400
2011-05-12,79000
2011-05-13,96500
2011-05-16,98100
2011-05-17,139400
2011-05-18,123200
2011-05-19,200500
2011-05-20,109900
2011-05-23,93400
2011-05-24,94300
2011-05-25,49200
2011-05-26,71300
2011-05-27,62400
2011-05-31,126700
2011-06-01,125600
2011-06-02,130200
2011-06-03,130900
2011-06-06,184600
2011-06-07,103400
2011-06-08,206700
2011-06-09,129400
2011-06-10,145200
2011-06-13,31800
2011-06-14,113400
2011-06-15,86700
2011-06-16,117600
2011-06-17,123400
2011-06-20,86900
2011-06-21,139600
2011-06-22,72400
2011-06-23,132900
2011-06-24,314100
2011-06-27,163500
2011-06-28,103400
2011-06-29,86700
2011-06-30,106600
2011-07-01,68900
2011-07-05,122900
2011-07-06,116600
2011-07-07,98400
2011-07-08,91200
2011-07-11,118800
2011-07-12,120900
2011-07-13,108800
2011-07-14,100600
2011-07-15,102200
2011-07-18,119400
2011-07-19,131100
2011-07-20,57100
2011-07-21,102500
2011-07-22,73700
2011-07-25,93500
2011-07-26,114200
2011-07-27,224200
2011-07-28,214800
2011-07-29,418800
2011-08-01,185100
2011-08-02,115200
2011-08-03,113300
2011-08-04,393300
2011-08-05,305300
2011-08-08,456700
2011-08-09,403400
2011-08-10,197900
2011-08-11,206200
2011-08-12,132400
2011-08-15,148800
2011-08-16,125000
2011-08-17,127800
2011-08-18,178400
2011-08-19,127400
2011-08-22,105600
2011-08-23,212300
2011-08-24,2172000
2011-08-25,411900
2011-08-26,256100
