Date,volume
2000-01-03,190300
2000-01-04,40300
2000-01-05,183800
2000-01-06,84800
2000-01-07,245900
2000-01-10,80100
2000-01-11,62900
2000-01-12,130500
2000-01-13,366900
2000-01-14,91400
2000-01-18,142100
2000-01-19,127000
2000-01-20,125800
2000-01-21,94400
2000-01-24,107800
2000-01-25,85000
2000-01-26,81700
2000-01-27,96500
2000-01-28,117000
2000-01-31,392400
2000-02-01,270400
2000-02-02,221700
2000-02-03,122600
2000-02-04,155200
2000-02-07,296200
2000-02-08,84800
2000-02-09,147200
2000-02-10,111500
2000-02-11,67900
2000-02-14,109700
2000-02-15,92500
2000-02-16,153300
2000-02-17,59400
2000-02-18,220100
2000-02-22,109500
2000-02-23,106400
2000-02-24,134700
2000-02-25,62900
2000-02-28,86200
2000-02-29,150300
2000-03-01,503000
2000-03-02,174400
2000-03-03,134300
2000-03-06,188200
2000-03-07,287000
2000-03-08,196500
2000-03-09,122500
2000-03-10,144100
2000-03-13,676100
2000-03-14,102200
2000-03-15,143200
2000-03-16,164200
2000-03-17,155300
2000-03-20,138800
2000-03-21,120200
2000-03-22,202100
2000-03-23,171000
2000-03-24,208700
2000-03-27,191000
2000-03-28,97700
2000-03-29,726300
2000-03-30,149700
2000-03-31,600500
2000-04-03,127900
2000-04-04,202500
2000-04-05,100400
2000-04-06,121800
2000-04-07,94100
2000-04-10,221500
2000-04-11,140400
2000-04-12,220700
2000-04-13,113400
2000-04-14,171700
2000-04-17,122800
2000-04-18,167500
2000-04-19,94300
2000-04-20,224400
2000-04-24,62400
2000-04-25,96900
2000-04-26,291900
2000-04-27,203500
2000-04-28,131700
2000-05-01,94400
2000-05-02,225200
2000-05-03,231400
2000-05-04,206800
2000-05-05,65800
2000-05-08,118800
2000-05-09,163600
2000-05-10,216500
2000-05-11,105700
2000-05-12,191200
2000-05-15,110400
2000-05-16,225000
2000-05-17,67300
2000-05-18,96500
2000-05-19,87000
2000-05-22,72100
2000-05-23,92400
2000-05-24,180300
2000-05-25,97700
2000-05-26,174700
2000-05-30,193700
2000-05-31,343900
2000-06-01,213000
2000-06-02,162300
2000-06-05,44900
2000-06-06,57900
2000-06-07,133600
2000-06-08,88100
2000-06-09,178000
2000-06-12,53400
2000-06-13,51700
2000-06-14,67600
2000-06-15,177900
2000-06-16,232700
2000-06-19,333200
2000-06-20,188600
2000-06-21,105700
2000-06-22,120700
2000-06-23,280900
2000-06-26,69500
2000-06-27,76500
2000-06-28,92800
2000-06-29,101200
2000-06-30,221700
2000-07-03,33800
2000-07-05,93100
2000-07-06,93100
2000-07-07,72700
2000-07-10,51300
2000-07-11,61500
2000-07-12,214400
2000-07-13,143500
2000-07-14,193500
2000-07-17,160600
2000-07-18,231100
2000-07-19,87100
2000-07-20,347400
2000-07-21,201500
2000-07-24,155000
2000-07-25,193400
2000-07-26,159100
2000-07-27,469500
2000-07-28,205400
2000-07-31,227700
2000-08-01,172000
2000-08-02,384700
2000-08-03,360800
2000-08-04,556200
2000-08-07,160100
2000-08-08,178200
2000-08-09,114700
2000-08-10,57600
2000-08-11,112800
2000-08-14,83800
2000-08-15,114600
2000-08-16,105500
2000-08-17,54000
2000-08-18,120100
2000-08-21,146100
2000-08-22,58000
2000-08-23,208100
2000-08-24,98400
2000-08-25,205900
2000-08-28,92400
2000-08-29,222300
2000-08-30,228700
2000-08-31,238200
2000-09-01,74300
2000-09-05,77200
2000-09-06,123900
2000-09-07,129500
2000-09-08,188500
2000-09-11,135700
2000-09-12,60600
2000-09-13,118100
2000-09-14,200700
2000-09-15,143900
2000-09-18,148800
2000-09-19,119800
2000-09-20,48300
2000-09-21,82900
2000-09-22,54000
2000-09-25,100700
2000-09-26,211700
2000-09-27,106800
2000-09-28,150800
2000-09-29,242600
2000-10-02,116100
2000-10-03,88400
2000-10-04,174100
2000-10-05,141800
2000-10-06,110000
2000-10-09,147600
2000-10-10,65200
2000-10-11,264900
2000-10-12,63400
2000-10-13,157400
2000-10-16,119600
2000-10-17,130700
2000-10-18,125400
2000-10-19,68400
2000-10-20,248400
2000-10-23,181700
