Date,volume
2000-01-03,59900
2000-01-04,95800
2000-01-05,101000
2000-01-06,143100
2000-01-07,139000
2000-01-10,189100
2000-01-11,85300
2000-01-12,61100
2000-01-13,40800
2000-01-14,64400
2000-01-18,73000
2000-01-19,100500
2000-01-20,158700
2000-01-21,272300
2000-01-24,117100
2000-01-25,135300
2000-01-26,119700
2000-01-27,118600
2000-01-28,228200
2000-01-31,127900
2000-02-01,2240200
2000-02-02,428800
2000-02-03,149400
2000-02-04,506300
2000-02-07,105800
2000-02-08,76500
2000-02-09,91700
2000-02-10,68600
2000-02-11,84900
2000-02-14,124600
2000-02-15,153100
2000-02-16,102300
2000-02-17,144900
2000-02-18,80000
2000-02-22,93400
2000-02-23,73300
2000-02-24,45500
2000-02-25,113900
2000-02-28,83000
2000-02-29,105900
2000-03-01,84800
2000-03-02,64200
2000-03-03,160000
2000-03-06,60600
2000-03-07,97100
2000-03-08,49100
2000-03-09,113500
2000-03-10,132000
2000-03-13,53100
2000-03-14,51900
2000-03-15,337200
2000-03-16,102900
2000-03-17,84200
2000-03-20,149400
2000-03-21,124400
2000-03-22,107100
2000-03-23,142700
2000-03-24,119900
2000-03-27,87100
2000-03-28,188000
2000-03-29,34700
2000-03-30,218000
2000-03-31,156600
2000-04-03,272400
2000-04-04,324600
2000-04-05,243100
2000-04-06,224400
2000-04-07,180000
2000-04-10,91000
2000-04-11,125100
2000-04-12,141900
2000-04-13,325400
2000-04-14,185600
2000-04-17,139400
2000-04-18,141200
2000-04-19,185500
2000-04-20,52700
2000-04-24,115100
2000-04-25,161800
2000-04-26,349100
2000-04-27,112500
2000-04-28,189400
2000-05-01,259100
2000-05-02,558200
2000-05-03,349500
2000-05-04,258500
2000-05-05,266000
2000-05-08,181500
2000-05-09,315900
2000-05-10,136700
2000-05-11,138100
2000-05-12,128700
2000-05-15,389400
2000-05-16,154500
2000-05-17,167100
2000-05-18,126300
2000-05-19,71300
2000-05-22,158100
2000-05-23,90800
2000-05-24,233100
2000-05-25,109100
2000-05-26,128800
2000-05-30,237700
2000-05-31,175800
2000-06-01,223700
2000-06-02,123300
2000-06-05,89300
2000-06-06,79500
2000-06-07,82300
2000-06-08,105300
2000-06-09,66200
2000-06-12,208200
2000-06-13,114000
2000-06-14,195400
2000-06-15,197400
2000-06-16,276000
2000-06-19,60100
2000-06-20,100000
2000-06-21,98100
2000-06-22,82800
2000-06-23,86100
2000-06-26,161900
2000-06-27,176100
2000-06-28,1302200
2000-06-29,202700
2000-06-30,340300
2000-07-03,44000
2000-07-05,299400
2000-07-06,336400
2000-07-07,567600
2000-07-10,112800
2000-07-11,77600
2000-07-12,100800
2000-07-13,130000
2000-07-14,77000
2000-07-17,75300
2000-07-18,69600
2000-07-19,89200
2000-07-20,257900
2000-07-21,266000
2000-07-24,494100
2000-07-25,415900
2000-07-26,397500
2000-07-27,378900
2000-07-28,379000
2000-07-31,253800
2000-08-01,302400
2000-08-02,217400
2000-08-03,247400
2000-08-04,426900
2000-08-07,180200
2000-08-08,208500
2000-08-09,191400
2000-08-10,215700
2000-08-11,44300
2000-08-14,128100
2000-08-15,48100
2000-08-16,61300
2000-08-17,93100
2000-08-18,137100
2000-08-21,158800
2000-08-22,138400
2000-08-23,308300
2000-08-24,330600
2000-08-25,272800
2000-08-28,127600
2000-08-29,181900
2000-08-30,150400
2000-08-31,71700
2000-09-01,89200
2000-09-05,291500
2000-09-06,207900
2000-09-07,134200
2000-09-08,366600
2000-09-11,141400
2000-09-12,186000
2000-09-13,104900
2000-09-14,122000
2000-09-15,49800
2000-09-18,105500
2000-09-19,198100
2000-09-20,60300
2000-09-21,81600
2000-09-22,155100
2000-09-25,52200
2000-09-26,64000
2000-09-27,108500
2000-09-28,133200
2000-09-29,193700
2000-10-02,171100
2000-10-03,153400
2000-10-04,569200
2000-10-05,495900
2000-10-06,374400
2000-10-09,131900
2000-10-10,52100
2000-10-11,587500
2000-10-12,212100
2000-10-13,322300
2000-10-16,176300
2000-10-17,101500
2000-10-18,168400
