Date,volume
2007-06-12,2631
2007-06-13,11577
2007-06-14,6841
2007-06-15,0
2007-06-18,37363
2007-06-19,4736
2007-06-20,27891
2007-06-21,0
2007-06-22,1052
2007-06-25,0
2007-06-26,1052
2007-06-27,526
2007-06-28,0
2007-06-29,2105
2007-07-02,10
2007-07-03,2631
2007-07-05,2631
2007-07-06,2631
2007-07-09,2631
2007-07-10,0
2007-07-11,1578
2007-07-12,4736
2007-07-13,0
2007-07-16,1578
2007-07-17,0
2007-07-18,181556
2007-07-19,7893
2007-07-20,6841
2007-07-23,13682
2007-07-24,1052
2007-07-25,2631
2007-07-26,1578
2007-07-27,0
2007-07-30,3157
2007-07-31,22102
2007-08-01,2105
2007-08-02,2105
2007-08-03,1052
2007-08-06,1052
2007-08-07,1052
2007-08-08,7367
2007-08-09,16313
2007-08-10,3157
2007-08-13,6315
2007-08-14,6315
2007-08-15,1578
2007-08-16,0
2007-08-17,1578
2007-08-20,2631
2007-08-21,1578
2007-08-22,0
2007-08-23,0
2007-08-24,526
2007-08-27,0
2007-08-28,526
2007-08-29,0
2007-08-30,0
2007-08-31,14735
2007-09-04,5788
2007-09-05,1052
2007-09-06,1052
2007-09-07,1052
2007-09-10,1052
2007-09-11,1052
2007-09-12,1052
2007-09-13,526
2007-09-14,526
2007-09-17,526
2007-09-18,2105
2007-09-19,1052
2007-09-20,0
2007-09-21,0
2007-09-24,526
2007-09-25,1052
2007-09-26,0
2007-09-27,3157
2007-09-28,1052
2007-10-01,1052
2007-10-02,2105
2007-10-03,1578
2007-10-04,0
2007-10-05,0
2007-10-08,1052
2007-10-09,0
2007-10-10,15787
2007-10-11,1578
2007-10-12,1578
2007-10-15,13156
2007-10-16,526
2007-10-17,6315
2007-10-18,3683
2007-10-19,0
2007-10-22,526
2007-10-23,526
2007-10-24,8946
2007-10-25,0
2007-10-26,0
2007-10-29,5262
2007-10-30,0
2007-10-31,1578
2007-11-01,1578
2007-11-02,0
2007-11-05,1052
2007-11-06,1052
2007-11-07,1052
2007-11-08,3683
2007-11-09,3683
2007-11-12,1052
2007-11-13,1052
2007-11-14,0
2007-11-15,0
2007-11-16,526
2007-11-19,1052
2007-11-20,1052
2007-11-21,1578
2007-11-23,0
2007-11-26,1578
2007-11-27,4736
2007-11-28,3157
2007-11-29,4736
2007-11-30,1052
2007-12-03,2105
2007-12-04,526
2007-12-05,526
2007-12-06,1052
2007-12-07,5262
2007-12-10,9472
2007-12-11,2631
2007-12-12,1052
2007-12-13,1052
2007-12-14,1052
2007-12-17,6315
2007-12-18,1052
2007-12-19,2105
2007-12-20,1052
2007-12-21,1052
2007-12-24,1052
2007-12-26,1052
2007-12-27,1052
2007-12-28,12630
2007-12-31,12630
2008-01-02,12630
2008-01-03,12630
2008-01-04,526
2008-01-07,526
2008-01-08,1052
2008-01-09,1052
2008-01-10,0
2008-01-11,0
2008-01-14,1052
2008-01-15,1052
2008-01-16,3157
2008-01-17,7367
2008-01-18,1052
2008-01-22,1578
2008-01-23,1578
2008-01-24,1578
2008-01-25,1052
2008-01-28,4736
2008-01-29,4736
2008-01-30,4736
2008-01-31,4736
2008-02-01,5262
2008-02-04,0
2008-02-05,0
2008-02-06,15261
2008-02-07,0
2008-02-08,3157
2008-02-11,0
2008-02-12,2105
2008-02-13,10
2008-02-14,1052
2008-02-15,526
2008-02-19,0
2008-02-20,10
2008-02-21,3157
2008-02-22,526
2008-02-25,526
2008-02-26,4736
2008-02-27,2631
2008-02-28,3157
2008-02-29,15
2008-03-03,1578
2008-03-04,3683
2008-03-05,5262
2008-03-06,10
2008-03-07,8420
2008-03-10,1578
2008-03-11,2631
2008-03-12,0
2008-03-13,3683
2008-03-14,0
2008-03-17,3157
2008-03-18,2105
2008-03-19,0
2008-03-20,18418
2008-03-24,526
2008-03-25,526
2008-03-26,0
2008-03-27,6841
2008-03-28,3683
2008-03-31,526
2008-04-01,526
2008-04-02,3683
2008-04-03,0
2008-04-04,0
2008-04-07,3157
2008-04-08,2105
2008-04-09,0
2008-04-10,526
2008-04-11,0
2008-04-14,0
2008-04-15,0
2008-04-16,526
2008-04-17,1052
2008-04-18,2631
2008-04-21,526
2008-04-22,0
2008-04-23,0
2008-04-24,3157
2008-04-25,7367
2008-04-28,1031
2008-04-29,1547
2008-04-30,2579
2008-05-01,5674
2008-05-02,5674
2008-05-05,4126
2008-05-06,43329
2008-05-07,515
2008-05-08,0
2008-05-09,0
2008-05-12,1547
2008-05-13,0
2008-05-14,0
2008-05-15,0
2008-05-16,1547
2008-05-19,7221
2008-05-20,7737
2008-05-21,0
2008-05-22,0
2008-05-23,515
2008-05-27,7737
2008-05-28,0
2008-05-29,1547
2008-05-30,0
2008-06-02,515
2008-06-03,1031
2008-06-04,0
2008-06-05,0
2008-06-06,0
2008-06-09,7479
2008-06-10,0
2008-06-11,0
2008-06-12,0
2008-06-13,0
2008-06-16,0
2008-06-17,0
2008-06-18,0
2008-06-19,0
2008-06-20,0
2008-06-23,2579
2008-06-24,0
2008-06-25,515
2008-06-26,0
2008-06-27,0
2008-06-30,0
2008-07-01,0
2008-07-02,0
2008-07-03,0
2008-07-07,7221
2008-07-08,44877
2008-07-09,0
2008-07-10,20633
2008-07-11,2579
2008-07-14,1547
2008-07-15,0
2008-07-16,515
2008-07-17,1031
2008-07-18,3610
2008-07-21,0
2008-07-22,0
2008-07-23,0
2008-07-24,0
2008-07-25,0
2008-07-28,0
2008-07-29,515
2008-07-30,0
2008-07-31,0
2008-08-01,0
2008-08-04,515
2008-08-05,0
2008-08-06,0
2008-08-07,0
2008-08-08,515
2008-08-11,1547
2008-08-12,2063
2008-08-13,3094
2008-08-14,0
2008-08-15,0
2008-08-18,0
2008-08-19,1547
2008-08-20,1031
2008-08-21,0
2008-08-22,0
2008-08-25,1031
2008-08-26,0
2008-08-27,0
2008-08-28,515
2008-08-29,1031
2008-09-02,0
2008-09-03,1031
2008-09-04,0
2008-09-05,1031
2008-09-08,4642
2008-09-09,4642
2008-09-10,515
2008-09-11,5158
2008-09-12,6189
2008-09-15,0
2008-09-16,0
2008-09-17,1031
2008-09-18,1031
2008-09-19,2063
2008-09-22,4126
2008-09-23,1031
2008-09-24,2579
2008-09-25,1031
2008-09-26,515
2008-09-29,1547
2008-09-30,2579
2008-10-01,1031
2008-10-02,515
2008-10-03,515
2008-10-06,2063
2008-10-07,2063
2008-10-08,1547
2008-10-09,515
2008-10-10,1031
2008-10-13,1031
2008-10-14,515
2008-10-15,1031
2008-10-16,0
2008-10-17,1031
2008-10-20,515
2008-10-21,0
2008-10-22,5158
2008-10-23,0
2008-10-24,0
2008-10-27,0
2008-10-28,515
2008-10-29,1547
2008-10-30,0
2008-10-31,0
2008-11-03,515
2008-11-04,515
2008-11-05,515
2008-11-06,1031
2008-11-07,1031
2008-11-10,0
2008-11-11,515
2008-11-12,0
2008-11-13,515
2008-11-14,3610
2008-11-17,0
2008-11-18,3094
2008-11-19,515
2008-11-20,515
2008-11-21,515
2008-11-24,515
2008-11-25,0
2008-11-26,515
2008-11-28,0
2008-12-01,515
2008-12-02,0
2008-12-03,0
2008-12-04,0
2008-12-05,515
2008-12-08,515
2008-12-09,0
2008-12-10,0
2008-12-11,0
2008-12-12,0
2008-12-15,0
2008-12-16,515
2008-12-17,0
2008-12-18,515
2008-12-19,515
2008-12-22,1547
2008-12-23,0
2008-12-24,0
2008-12-26,0
2008-12-29,0
2008-12-30,515
2008-12-31,0
2009-01-02,515
2009-01-05,515
2009-01-06,0
2009-01-07,0
2009-01-08,515
2009-01-09,2063
2009-01-12,1031
2009-01-13,13411
2009-01-14,3094
2009-01-15,4126
2009-01-16,0
2009-01-20,0
2009-01-21,0
2009-01-22,515
2009-01-23,17022
2009-01-26,0
2009-01-27,3610
2009-01-28,0
2009-01-29,0
2009-01-30,0
2009-02-02,515
2009-02-03,0
2009-02-04,0
2009-02-05,0
2009-02-06,0
2009-02-09,0
2009-02-10,515
