Date,volume
2020-11-06,6400
2020-11-09,12500
2020-11-10,18700
2020-11-11,0
2020-11-12,104900
2020-11-13,3000
2020-11-16,67600
2020-11-17,300
2020-11-18,8900
2020-11-19,3600
2020-11-20,368200
2020-11-23,5500
2020-11-24,4800
2020-11-25,12800
2020-11-27,82800
2020-11-30,173400
2020-12-01,175400
2020-12-02,19000
2020-12-03,27300
2020-12-04,1133600
2020-12-07,490400
2020-12-08,124700
2020-12-09,79400
2020-12-10,32900
2020-12-11,206200
2020-12-14,91000
2020-12-15,170600
2020-12-16,23800
2020-12-17,40200
2020-12-18,549100
2020-12-21,335400
2020-12-22,161800
2020-12-23,294600
2020-12-24,762600
2020-12-28,634500
2020-12-29,428700
2020-12-30,422100
2020-12-31,368300
2021-01-04,166500
2021-01-05,120000
2021-01-06,72800
2021-01-07,203900
2021-01-08,206400
2021-01-11,475500
2021-01-12,550000
2021-01-13,685700
2021-01-14,356100
2021-01-15,545400
2021-01-19,688100
2021-01-20,827500
2021-01-21,524200
2021-01-22,326000
2021-01-25,471800
2021-01-26,718900
2021-01-27,591200
2021-01-28,301800
2021-01-29,90100
2021-02-01,300100
2021-02-02,372100
2021-02-03,265700
2021-02-04,295300
2021-02-05,502600
2021-02-08,649200
2021-02-09,282400
2021-02-10,141800
2021-02-11,291400
2021-02-12,404000
2021-02-16,393900
2021-02-17,149700
2021-02-18,194500
2021-02-19,239000
2021-02-22,304300
2021-02-23,464300
2021-02-24,265300
2021-02-25,470600
2021-02-26,459400
2021-03-01,200400
2021-03-02,536700
2021-03-03,562100
2021-03-04,2414600
2021-03-05,396800
2021-03-08,246400
2021-03-09,376400
2021-03-10,651000
2021-03-11,324100
2021-03-12,259200
2021-03-15,91900
2021-03-16,194300
2021-03-17,126700
2021-03-18,373500
2021-03-19,76600
2021-03-22,340500
2021-03-23,153300
2021-03-24,384600
2021-03-25,250500
2021-03-26,73100
2021-03-29,54600
2021-03-30,307200
2021-03-31,116000
2021-04-01,120200
2021-04-05,42500
2021-04-06,139000
2021-04-07,99500
2021-04-08,5853800
2021-04-09,2337600
2021-04-12,841200
2021-04-13,419200
2021-04-14,575000
2021-04-15,669500
2021-04-16,1058800
2021-04-19,653900
2021-04-20,778600
2021-04-21,1260400
2021-04-22,429800
2021-04-23,294600
2021-04-26,443700
2021-04-27,582600
2021-04-28,418400
2021-04-29,306700
2021-04-30,262400
2021-05-03,113100
2021-05-04,264500
2021-05-05,246300
2021-05-06,493200
2021-05-07,1198500
2021-05-10,218200
2021-05-11,320100
2021-05-12,175400
2021-05-13,75300
2021-05-14,437800
2021-05-17,152800
2021-05-18,86000
2021-05-19,139800
2021-05-20,67100
2021-05-21,159700
2021-05-24,127000
2021-05-25,21900
2021-05-26,141600
2021-05-27,375900
2021-05-28,85200
2021-06-01,64800
2021-06-02,428500
2021-06-03,32500
2021-06-04,37200
2021-06-07,64400
2021-06-08,70200
2021-06-09,45200
2021-06-10,26600
2021-06-11,51800
2021-06-14,506000
2021-06-15,530500
2021-06-16,59500
2021-06-17,296500
2021-06-18,886800
2021-06-21,304000
2021-06-22,230900
2021-06-23,108900
2021-06-24,1879200
2021-06-25,198600
2021-06-28,2161300
2021-06-29,314200
2021-06-30,1970600
2021-07-01,216300
2021-07-02,235100
2021-07-06,154500
2021-07-07,235500
2021-07-08,286700
2021-07-09,26000
2021-07-12,139100
2021-07-13,176400
2021-07-14,269600
2021-07-15,479900
2021-07-16,225300
2021-07-19,511400
2021-07-20,70300
2021-07-21,884400
2021-07-22,41500
2021-07-23,62500
2021-07-26,622500
2021-07-27,40300
2021-07-28,89400
2021-07-29,96400
2021-07-30,187500
2021-08-02,140400
2021-08-03,112400
2021-08-04,36600
2021-08-05,40400
2021-08-06,22900
2021-08-09,1159900
2021-08-10,1225800
2021-08-11,998500
2021-08-12,2158500
2021-08-13,741400
2021-08-16,607100
2021-08-17,1171400
2021-08-18,186400
2021-08-19,2773400
2021-08-20,860900
2021-08-23,1147900
2021-08-24,470000
2021-08-25,838300
2021-08-26,922200
2021-08-27,719900
2021-08-30,474000
2021-08-31,642700
2021-09-01,749000
2021-09-02,405600
2021-09-03,415000
2021-09-07,235200
2021-09-08,302700
2021-09-09,315300
2021-09-10,362000
2021-09-13,288100
2021-09-14,228300
2021-09-15,165000
2021-09-16,1717800
2021-09-17,495200
2021-09-20,284800
2021-09-21,264800
2021-09-22,289300
2021-09-23,289000
2021-09-24,205500
2021-09-27,364800
2021-09-28,268000
2021-09-29,162000
2021-09-30,247100
2021-10-01,581200
2021-10-04,398300
2021-10-05,233200
2021-10-06,242100
2021-10-07,547800
2021-10-08,657500
2021-10-11,291000
2021-10-12,266500
2021-10-13,163700
2021-10-14,378900
2021-10-15,610800
2021-10-18,707800
2021-10-19,288500
2021-10-20,155200
2021-10-21,403400
2021-10-22,262700
2021-10-25,307800
2021-10-26,316500
2021-10-27,369600
2021-10-28,216200
2021-10-29,226100
2021-11-01,292900
2021-11-02,147800
2021-11-03,221600
2021-11-04,127700
2021-11-05,155900
2021-11-08,85400
2021-11-09,212900
2021-11-10,414500
2021-11-11,788500
2021-11-12,648700
2021-11-15,581800
2021-11-16,184300
2021-11-17,388600
2021-11-18,138300
2021-11-19,180700
2021-11-22,490500
2021-11-23,335000
2021-11-24,241400
2021-11-26,232000
2021-11-29,253600
2021-11-30,1298600
2021-12-01,317700
2021-12-02,262300
2021-12-03,282400
2021-12-06,222400
2021-12-07,209000
2021-12-08,166500
2021-12-09,150200
2021-12-10,133800
2021-12-13,143900
2021-12-14,182300
2021-12-15,255600
2021-12-16,445700
2021-12-17,140500
2021-12-20,116200
2021-12-21,67700
2021-12-22,69400
2021-12-23,107500
2021-12-27,209300
2021-12-28,252300
2021-12-29,255600
2021-12-30,308300
2021-12-31,165700
2022-01-03,187800
2022-01-04,199900
2022-01-05,230000
2022-01-06,190100
2022-01-07,233800
2022-01-10,589900
2022-01-11,365000
2022-01-12,361700
2022-01-13,357600
2022-01-14,345200
2022-01-18,255100
2022-01-19,371000
2022-01-20,492800
2022-01-21,343200
2022-01-24,726800
2022-01-25,243200
2022-01-26,298000
2022-01-27,512300
2022-01-28,354300
2022-01-31,389900
2022-02-01,245200
2022-02-02,130700
2022-02-03,206900
2022-02-04,149100
2022-02-07,208800
2022-02-08,208600
2022-02-09,631300
2022-02-10,176300
2022-02-11,222100
2022-02-14,181600
2022-02-15,540900
2022-02-16,947700
2022-02-17,221700
2022-02-18,163500
2022-02-22,95600
2022-02-23,362300
2022-02-24,288400
2022-02-25,231400
2022-02-28,780800
2022-03-01,507800
2022-03-02,256700
2022-03-03,290600
2022-03-04,143600
2022-03-07,549400
2022-03-08,277800
2022-03-09,247400
2022-03-10,163400
2022-03-11,367900
2022-03-14,122100
2022-03-15,504600
2022-03-16,454200
2022-03-17,79400
2022-03-18,202100
2022-03-21,444700
2022-03-22,292600
2022-03-23,179200
2022-03-24,49800
2022-03-25,66900
2022-03-28,620000
2022-03-29,220300
2022-03-30,165800
2022-03-31,59800
2022-04-01,172000
2022-04-04,359400
2022-04-05,222900
2022-04-06,310900
2022-04-07,980600
2022-04-08,275500
2022-04-11,70800
2022-04-12,84700
2022-04-13,86900
2022-04-14,138600
2022-04-18,364900
2022-04-19,336200
2022-04-20,314700
2022-04-21,161300
2022-04-22,498200
2022-04-25,608200
2022-04-26,652400
2022-04-27,373500
2022-04-28,711000
2022-04-29,246000
2022-05-02,161100
2022-05-03,127500
2022-05-04,122300
2022-05-05,74400
2022-05-06,113600
2022-05-09,262800
2022-05-10,386600
2022-05-11,204300
2022-05-12,176500
2022-05-13,166700
2022-05-16,99000
2022-05-17,100400
2022-05-18,117500
2022-05-19,256600
2022-05-20,156500
2022-05-23,119700
2022-05-24,99500
2022-05-25,159700
2022-05-26,366900
2022-05-27,148100
2022-05-31,486800
2022-06-01,71200
2022-06-02,314800
2022-06-03,73000
2022-06-06,211500
2022-06-07,110600
2022-06-08,29000
2022-06-09,110800
2022-06-10,55500
2022-06-13,107500
2022-06-14,106500
2022-06-15,408100
2022-06-16,207700
2022-06-17,116600
2022-06-21,187900
2022-06-22,98800
2022-06-23,95600
2022-06-24,133300
2022-06-27,97900
2022-06-28,47500
2022-06-29,90500
2022-06-30,94600
2022-07-01,58400
2022-07-05,85300
2022-07-06,89800
2022-07-07,74100
2022-07-08,54800
2022-07-11,39200
2022-07-12,47200
2022-07-13,60100
2022-07-14,75900
2022-07-15,74200
2022-07-18,62300
2022-07-19,186000
2022-07-20,92300
2022-07-21,112400
2022-07-22,48100
2022-07-25,106300
2022-07-26,133700
2022-07-27,134300
2022-07-28,109800
2022-07-29,104100
2022-08-01,133200
2022-08-02,133000
2022-08-03,192100
2022-08-04,187500
2022-08-05,115500
2022-08-08,64500
2022-08-09,78900
2022-08-10,105000
2022-08-11,212900
2022-08-12,247600
2022-08-15,226900
2022-08-16,236300
2022-08-17,209800
2022-08-18,416200
2022-08-19,71400
2022-08-22,114500
2022-08-23,174200
2022-08-24,42200
2022-08-25,42100
2022-08-26,47000
2022-08-29,226100
2022-08-30,59600
2022-08-31,140200
2022-09-01,123000
2022-09-02,96800
2022-09-06,127700
2022-09-07,117600
2022-09-08,171600
2022-09-09,140300
2022-09-12,269600
2022-09-13,303100
2022-09-14,150400
2022-09-15,480800
2022-09-16,61900
2022-09-19,113000
2022-09-20,130400
2022-09-21,250600
2022-09-22,150400
2022-09-23,305100
2022-09-26,105700
2022-09-27,94500
2022-09-28,116000
2022-09-29,309000
2022-09-30,133800
2022-10-03,232300
2022-10-04,199800
2022-10-05,100100
2022-10-06,193200
2022-10-07,54500
2022-10-10,68900
2022-10-11,104900
2022-10-12,91800
2022-10-13,76500
2022-10-14,36700
2022-10-17,122400
2022-10-18,101300
2022-10-19,14600
2022-10-20,97300
2022-10-21,92200
2022-10-24,58800
2022-10-25,95500
2022-10-26,42100
2022-10-27,24600
2022-10-28,53100
2022-10-31,92300
2022-11-01,50800
2022-11-02,45400
2022-11-03,21100
2022-11-04,54400
2022-11-07,40300
2022-11-08,60300
2022-11-09,24300
2022-11-10,120100
2022-11-11,105600
2022-11-14,100100
2022-11-15,52600
2022-11-16,44400
2022-11-17,105200
2022-11-18,135300
2022-11-21,63600
2022-11-22,506900
2022-11-23,43700
2022-11-25,25000
2022-11-28,159300
2022-11-29,92800
2022-11-30,91400
2022-12-01,200100
2022-12-02,230200
2022-12-05,215900
2022-12-06,163100
2022-12-07,136500
2022-12-08,126300
2022-12-09,100000
2022-12-12,99400
2022-12-13,108100
2022-12-14,55700
2022-12-15,102600
2022-12-16,62100
2022-12-19,140200
2022-12-20,88700
2022-12-21,105400
2022-12-22,2187100
2022-12-23,100900
2022-12-27,255600
2022-12-28,529100
2022-12-29,680300
2022-12-30,808100
2023-01-03,239600
2023-01-04,82800
2023-01-05,72400
2023-01-06,77300
2023-01-09,142200
2023-01-10,58200
2023-01-11,46100
2023-01-12,74800
2023-01-13,55600
2023-01-17,126900
2023-01-18,52700
2023-01-19,114600
2023-01-20,162100
2023-01-23,939800
2023-01-24,309800
2023-01-25,418000
2023-01-26,212700
2023-01-27,183300
2023-01-30,109900
2023-01-31,224600
2023-02-01,301100
2023-02-02,377300
2023-02-03,99800
2023-02-06,260300
2023-02-07,178700
2023-02-08,74400
2023-02-09,128900
2023-02-10,129100
2023-02-13,181700
2023-02-14,217500
2023-02-15,906600
2023-02-16,515900
2023-02-17,461800
2023-02-21,496800
2023-02-22,169500
2023-02-23,183700
2023-02-24,85900
2023-02-27,135800
2023-02-28,464400
2023-03-01,372100
2023-03-02,132100
