Date,high
2000-01-03,57.0
2000-01-04,52.4375
2000-01-05,47.0
2000-01-06,44.75
2000-01-07,46.0
2000-01-10,49.8125
2000-01-11,50.0
2000-01-12,48.5
2000-01-13,49.25
2000-01-14,48.0
2000-01-18,46.375
2000-01-19,46.0
2000-01-20,45.4375
2000-01-21,46.9375
2000-01-24,46.25
2000-01-25,43.5
2000-01-26,42.0
2000-01-27,39.875
2000-01-28,39.9375
2000-01-31,40.5
2000-02-01,42.3125
2000-02-02,46.4375
2000-02-03,50.9375
2000-02-04,49.8125
2000-02-07,51.375
2000-02-08,54.6875
2000-02-09,55.4375
2000-02-10,54.0
2000-02-11,51.6875
2000-02-14,48.1875
2000-02-15,44.875
2000-02-16,45.8125
2000-02-17,47.875
2000-02-18,48.4375
2000-02-22,45.9375
2000-02-23,45.5
2000-02-24,47.0
2000-02-25,47.0
2000-02-28,47.5
2000-02-29,47.8125
2000-03-01,46.3125
2000-03-02,53.25
2000-03-03,49.9375
2000-03-06,49.75
2000-03-07,50.25
2000-03-08,49.25
2000-03-09,50.75
2000-03-10,52.25
2000-03-13,51.0
2000-03-14,53.0
2000-03-15,52.6875
2000-03-16,55.0
2000-03-17,60.625
2000-03-20,62.25
2000-03-21,57.0
2000-03-22,57.25
2000-03-23,56.875
2000-03-24,56.5
2000-03-27,57.1875
2000-03-28,58.5
2000-03-29,57.5
2000-03-30,55.75
2000-03-31,53.5
2000-04-03,53.125
2000-04-04,50.6875
2000-04-05,50.0
2000-04-06,51.5
2000-04-07,51.0625
2000-04-10,51.5
2000-04-11,49.375
2000-04-12,49.125
2000-04-13,47.5
2000-04-14,45.75
2000-04-17,44.9375
2000-04-18,47.125
2000-04-19,51.1875
2000-04-20,50.4375
2000-04-24,50.375
2000-04-25,53.0
2000-04-26,53.625
2000-04-27,53.375
2000-04-28,54.8125
2000-05-01,54.375
2000-05-02,53.3125
2000-05-03,51.0
2000-05-04,48.0
2000-05-05,48.5
2000-05-08,48.0
2000-05-09,48.375
2000-05-10,44.6875
2000-05-11,44.625
2000-05-12,46.125
2000-05-15,45.625
2000-05-16,46.25
2000-05-17,44.25
2000-05-18,44.375
2000-05-19,45.0625
2000-05-22,42.75
2000-05-23,41.5625
2000-05-24,39.25
2000-05-25,42.25
2000-05-26,41.1875
2000-05-30,43.875
2000-05-31,47.4375
2000-06-01,48.125
2000-06-02,51.0
2000-06-05,50.75
2000-06-06,50.0
2000-06-07,48.3125
2000-06-08,47.5
2000-06-09,48.3125
2000-06-12,48.25
2000-06-13,48.625
2000-06-14,49.625
2000-06-15,49.875
2000-06-16,50.4375
2000-06-19,50.9375
2000-06-20,53.0625
2000-06-21,53.375
2000-06-22,53.625
2000-06-23,52.6875
2000-06-26,54.0625
2000-06-27,53.9375
2000-06-28,52.0
2000-06-29,50.6875
2000-06-30,50.0
2000-07-03,51.375
2000-07-05,50.75
2000-07-06,49.375
2000-07-07,51.0
2000-07-10,51.5
2000-07-11,52.5
2000-07-12,53.25
2000-07-13,58.75
2000-07-14,61.875
2000-07-17,62.75
2000-07-18,62.875
2000-07-19,61.125
2000-07-20,75.0
2000-07-21,70.9375
2000-07-24,69.625
2000-07-25,68.0
2000-07-26,65.6875
2000-07-27,65.375
2000-07-28,65.0
2000-07-31,62.9375
2000-08-01,64.0
2000-08-02,66.6875
2000-08-03,64.75
2000-08-04,66.375
2000-08-07,67.9375
2000-08-08,69.5
2000-08-09,70.4375
2000-08-10,68.1875
2000-08-11,66.1875
2000-08-14,67.9375
2000-08-15,69.0625
2000-08-16,70.0
2000-08-17,73.5
2000-08-18,75.4375
2000-08-21,73.4375
2000-08-22,74.75
2000-08-23,76.6875
2000-08-24,77.9375
2000-08-25,80.625
2000-08-28,82.125
2000-08-29,80.0625
2000-08-30,78.875
2000-08-31,79.3125
2000-09-01,81.375
2000-09-05,84.6875
2000-09-06,85.875
2000-09-07,84.25
2000-09-08,87.875
2000-09-11,81.75
2000-09-12,80.8125
2000-09-13,75.75
2000-09-14,77.4375
2000-09-15,78.6875
2000-09-18,78.375
2000-09-19,77.625
2000-09-20,82.5
2000-09-21,83.5
2000-09-22,82.25
2000-09-25,81.0
2000-09-26,80.375
2000-09-27,79.125
2000-09-28,76.0625
2000-09-29,72.9375
2000-10-02,70.75
2000-10-03,74.625
2000-10-04,72.375
2000-10-05,72.0625
2000-10-06,69.6875
2000-10-09,67.4375
2000-10-10,64.75
2000-10-11,65.0
2000-10-12,65.6875
2000-10-13,67.875
2000-10-16,71.25
2000-10-17,71.5
2000-10-18,72.0
2000-10-19,79.375
2000-10-20,84.625
2000-10-23,84.75
2000-10-24,84.625
2000-10-25,77.375
2000-10-26,72.9375
2000-10-27,72.75
2000-10-30,71.6875
2000-10-31,73.0
2000-11-01,74.75
2000-11-02,74.6875
2000-11-03,72.9375
2000-11-06,71.9375
2000-11-07,70.0
2000-11-08,65.375
2000-11-09,59.875
2000-11-10,54.9375
2000-11-13,59.8125
2000-11-14,64.0
2000-11-15,65.5625
2000-11-16,63.625
2000-11-17,64.3125
2000-11-20,62.6875
2000-11-21,60.3125
2000-11-22,59.1875
2000-11-24,61.375
2000-11-27,63.0
2000-11-28,62.25
2000-11-29,60.875
2000-11-30,58.9375
2000-12-01,59.0
2000-12-04,60.0
2000-12-05,59.9375
2000-12-06,66.375
2000-12-07,65.125
2000-12-08,68.6875
2000-12-11,72.375
2000-12-12,69.5
2000-12-13,65.0
2000-12-14,62.5
2000-12-15,57.625
2000-12-18,55.6875
2000-12-19,58.375
2000-12-20,50.8125
2000-12-21,48.5
2000-12-22,51.0
2000-12-26,51.5
2000-12-27,53.9375
2000-12-28,55.25
2000-12-29,56.0
2001-01-02,54.0
2001-01-03,56.75
2001-01-04,58.8125
2001-01-05,57.25
2001-01-08,54.0625
2001-01-09,55.25
2001-01-10,54.6875
2001-01-11,60.9375
2001-01-12,63.0
2001-01-16,61.9375
2001-01-17,65.0
2001-01-18,69.875
2001-01-19,71.6875
2001-01-22,71.75
2001-01-23,73.5
2001-01-24,73.4375
2001-01-25,71.0
2001-01-26,68.75
2001-01-29,72.75
2001-01-30,73.94999694824219
2001-01-31,73.4000015258789
2001-02-01,76.4000015258789
2001-02-02,75.9800033569336
2001-02-05,73.13999938964844
2001-02-06,72.98999786376953
2001-02-07,67.75
2001-02-08,67.94999694824219
2001-02-09,64.69999694824219
2001-02-12,64.05000305175781
2001-02-13,66.30000305175781
2001-02-14,66.5
2001-02-15,70.51000213623047
2001-02-16,63.0
2001-02-20,60.400001525878906
2001-02-21,56.79999923706055
2001-02-22,55.400001525878906
2001-02-23,52.79999923706055
2001-02-26,54.20000076293945
2001-02-27,53.29999923706055
2001-02-28,51.599998474121094
2001-03-01,47.31999969482422
2001-03-02,46.20000076293945
2001-03-05,47.189998626708984
2001-03-06,50.849998474121094
2001-03-07,53.75
2001-03-08,52.18000030517578
2001-03-09,47.0
2001-03-12,44.560001373291016
2001-03-13,43.75
2001-03-14,42.75
2001-03-15,43.0
2001-03-16,39.970001220703125
2001-03-19,38.029998779296875
2001-03-20,35.52000045776367
2001-03-21,31.389999389648438
2001-03-22,32.29999923706055
2001-03-23,34.900001525878906
2001-03-26,35.9900016784668
2001-03-27,35.0
2001-03-28,31.399999618530273
2001-03-29,29.5
2001-03-30,27.93000030517578
2001-04-02,27.719999313354492
2001-04-03,26.75
2001-04-04,25.56999969482422
2001-04-05,29.200000762939453
2001-04-06,27.600000381469727
2001-04-09,26.700000762939453
2001-04-10,28.729999542236328
2001-04-11,32.849998474121094
2001-04-12,34.900001525878906
2001-04-16,33.5099983215332
2001-04-17,34.20000076293945
2001-04-18,44.869998931884766
2001-04-19,50.0
2001-04-20,49.29999923706055
2001-04-23,44.75
2001-04-24,44.349998474121094
2001-04-25,46.75
2001-04-26,48.47999954223633
2001-04-27,49.720001220703125
2001-04-30,51.650001525878906
2001-05-01,53.0
2001-05-02,57.5
2001-05-03,55.70000076293945
2001-05-04,55.75
2001-05-07,55.0
2001-05-08,55.29999923706055
2001-05-09,55.20000076293945
2001-05-10,57.119998931884766
2001-05-11,53.68000030517578
2001-05-14,52.45000076293945
2001-05-15,52.0
2001-05-16,52.900001525878906
2001-05-17,56.36000061035156
2001-05-18,56.68000030517578
2001-05-21,63.25
2001-05-22,63.20000076293945
2001-05-23,57.65999984741211
2001-05-24,56.900001525878906
2001-05-25,56.68000030517578
2001-05-29,55.45000076293945
2001-05-30,51.0099983215332
2001-05-31,50.79999923706055
2001-06-01,51.630001068115234
2001-06-04,52.29999923706055
2001-06-05,54.599998474121094
2001-06-06,56.0
2001-06-07,55.47999954223633
2001-06-08,55.13999938964844
2001-06-11,50.5
2001-06-12,49.20000076293945
2001-06-13,49.34000015258789
2001-06-14,45.20000076293945
2001-06-15,42.400001525878906
2001-06-18,42.20000076293945
2001-06-19,41.29999923706055
2001-06-20,40.5
2001-06-21,43.400001525878906
2001-06-22,44.75
2001-06-25,44.72999954223633
2001-06-26,45.61000061035156
2001-06-27,46.70000076293945
2001-06-28,50.02000045776367
2001-06-29,51.720001220703125
2001-07-02,50.5
2001-07-03,49.47999954223633
2001-07-05,48.93000030517578
2001-07-06,47.060001373291016
2001-07-09,46.189998626708984
2001-07-10,45.68000030517578
2001-07-11,42.70000076293945
2001-07-12,46.95000076293945
2001-07-13,47.09000015258789
2001-07-16,46.79999923706055
2001-07-17,46.099998474121094
2001-07-18,45.90999984741211
2001-07-19,45.13999938964844
2001-07-20,44.79999923706055
2001-07-23,45.900001525878906
2001-07-24,45.20000076293945
2001-07-25,45.72999954223633
2001-07-26,46.5
2001-07-27,48.400001525878906
2001-07-30,48.779998779296875
2001-07-31,48.790000915527344
2001-08-01,49.939998626708984
2001-08-02,50.939998626708984
2001-08-03,50.900001525878906
2001-08-06,49.54999923706055
2001-08-07,47.95000076293945
2001-08-08,48.099998474121094
2001-08-09,46.0099983215332
2001-08-10,46.150001525878906
2001-08-13,45.97999954223633
2001-08-14,46.90999984741211
2001-08-15,45.47999954223633
2001-08-16,41.45000076293945
2001-08-17,40.79999923706055
2001-08-20,39.349998474121094
2001-08-21,38.650001525878906
2001-08-22,39.650001525878906
2001-08-23,39.84000015258789
2001-08-24,41.650001525878906
2001-08-27,41.900001525878906
2001-08-28,41.47999954223633
2001-08-29,40.16999816894531
2001-08-30,37.75
2001-08-31,37.04999923706055
2001-09-04,36.5
2001-09-05,32.75
2001-09-06,30.399999618530273
2001-09-07,30.399999618530273
2001-09-10,29.219999313354492
2001-09-17,27.700000762939453
2001-09-18,26.600000381469727
2001-09-19,24.799999237060547
2001-09-20,24.280000686645508
2001-09-21,24.0
2001-09-24,27.0
2001-09-25,28.299999237060547
2001-09-26,27.200000762939453
2001-09-27,26.0
2001-09-28,27.299999237060547
2001-10-01,27.200000762939453
2001-10-02,26.979999542236328
2001-10-03,30.5
2001-10-04,33.45000076293945
2001-10-05,32.45000076293945
