Date,volume
2000-01-03,721300
2000-01-04,614000
2000-01-05,743400
2000-01-06,1038500
2000-01-07,1013300
2000-01-10,445400
2000-01-11,882600
2000-01-12,657500
2000-01-13,2040300
2000-01-14,938500
2000-01-18,733900
2000-01-19,1142200
2000-01-20,851000
2000-01-21,1225200
2000-01-24,1138800
2000-01-25,1151600
2000-01-26,579500
2000-01-27,1877800
2000-01-28,1265100
2000-01-31,1083400
2000-02-01,1054000
2000-02-02,1077300
2000-02-03,1224900
2000-02-04,1816500
2000-02-07,1296700
2000-02-08,1128200
2000-02-09,1096400
2000-02-10,853000
2000-02-11,1540100
2000-02-14,913600
2000-02-15,1114000
2000-02-16,728200
2000-02-17,890100
2000-02-18,1267400
2000-02-22,945100
2000-02-23,1225400
2000-02-24,1066500
2000-02-25,974700
2000-02-28,967200
2000-02-29,1423100
2000-03-01,717000
2000-03-02,659500
2000-03-03,851100
2000-03-06,673400
2000-03-07,3258600
2000-03-08,4021000
2000-03-09,1583200
2000-03-10,4337100
2000-03-13,2371300
2000-03-14,1388100
2000-03-15,2451600
2000-03-16,2741100
2000-03-17,1403400
2000-03-20,920800
2000-03-21,1196400
2000-03-22,1579000
2000-03-23,1397800
2000-03-24,2484100
2000-03-27,3173600
2000-03-28,1990900
2000-03-29,1556900
2000-03-30,1645100
2000-03-31,1311700
2000-04-03,1453400
2000-04-04,1834600
2000-04-05,1788300
2000-04-06,1132200
2000-04-07,844800
2000-04-10,995500
2000-04-11,966600
2000-04-12,2217400
2000-04-13,1206800
2000-04-14,1234600
2000-04-17,1685800
2000-04-18,1206600
2000-04-19,953600
2000-04-20,647000
2000-04-24,833800
2000-04-25,896600
2000-04-26,1148400
2000-04-27,2592900
2000-04-28,1453500
2000-05-01,983000
2000-05-02,725700
2000-05-03,840400
2000-05-04,444400
2000-05-05,395200
2000-05-08,917700
2000-05-09,837800
2000-05-10,1173700
2000-05-11,801200
2000-05-12,843800
2000-05-15,764700
2000-05-16,986800
2000-05-17,1058700
2000-05-18,563800
2000-05-19,512900
2000-05-22,571500
2000-05-23,679000
2000-05-24,903800
2000-05-25,860200
2000-05-26,786500
2000-05-30,1215000
2000-05-31,1085900
2000-06-01,1126500
2000-06-02,1087100
2000-06-05,614900
2000-06-06,412700
2000-06-07,574300
2000-06-08,1256800
2000-06-09,437200
2000-06-12,762100
2000-06-13,1551800
2000-06-14,924400
2000-06-15,1409800
2000-06-16,801700
2000-06-19,555900
2000-06-20,1076600
2000-06-21,475100
2000-06-22,423000
2000-06-23,364700
2000-06-26,756600
2000-06-27,718000
2000-06-28,2077400
2000-06-29,1089800
2000-06-30,1216700
2000-07-03,311100
2000-07-05,442300
2000-07-06,351700
2000-07-07,699900
2000-07-10,491700
2000-07-11,1073000
2000-07-12,1163900
2000-07-13,899100
2000-07-14,1017800
2000-07-17,531900
2000-07-18,568500
2000-07-19,498300
2000-07-20,461300
2000-07-21,771800
2000-07-24,494300
2000-07-25,418300
2000-07-26,432500
2000-07-27,537100
2000-07-28,424000
2000-07-31,535800
2000-08-01,651200
2000-08-02,483800
2000-08-03,2643000
2000-08-04,1905600
2000-08-07,2918000
2000-08-08,1986600
2000-08-09,1956800
2000-08-10,1133700
2000-08-11,1146500
2000-08-14,2481100
2000-08-15,2080700
2000-08-16,1100400
2000-08-17,1258200
2000-08-18,972700
2000-08-21,702800
2000-08-22,771500
2000-08-23,705500
2000-08-24,692700
2000-08-25,591800
2000-08-28,1035700
2000-08-29,636000
2000-08-30,744700
2000-08-31,960000
2000-09-01,719000
2000-09-05,725200
2000-09-06,720100
2000-09-07,715700
2000-09-08,685000
2000-09-11,1289100
2000-09-12,1107400
2000-09-13,851300
2000-09-14,2157000
2000-09-15,1921800
2000-09-18,1043000
2000-09-19,1601600
2000-09-20,1203800
2000-09-21,1213500
2000-09-22,1471100
2000-09-25,1000900
2000-09-26,1601800
2000-09-27,1433000
2000-09-28,1423800
2000-09-29,1031000
2000-10-02,650500
2000-10-03,711500
2000-10-04,702700
2000-10-05,1756500
2000-10-06,1349000
2000-10-09,562200
2000-10-10,557400
2000-10-11,1106700
2000-10-12,874500
2000-10-13,702700
2000-10-16,728600
2000-10-17,936200
2000-10-18,731700
2000-10-19,716800
2000-10-20,758700
2000-10-23,475000
2000-10-24,1190300
2000-10-25,2160100
2000-10-26,1786900
2000-10-27,862100
2000-10-30,1129000
2000-10-31,1217900
2000-11-01,1379200
2000-11-02,994200
2000-11-03,424700
2000-11-06,531900
2000-11-07,460900
2000-11-08,443200
2000-11-09,706500
2000-11-10,724500
2000-11-13,633000
2000-11-14,492600
2000-11-15,658000
2000-11-16,606500
2000-11-17,398500
2000-11-20,731400
2000-11-21,549500
2000-11-22,707700
2000-11-24,202300
2000-11-27,636800
2000-11-28,680300
2000-11-29,1037100
2000-11-30,820500
2000-12-01,1051000
2000-12-04,1174900
2000-12-05,1801200
2000-12-06,1342100
2000-12-07,1074100
2000-12-08,806500
2000-12-11,983100
2000-12-12,1363200
2000-12-13,2881000
2000-12-14,5586000
2000-12-15,9330200
2000-12-18,2614300
2000-12-19,2147300
2000-12-20,1766700
2000-12-21,1483800
2000-12-22,1538100
2000-12-26,1372100
2000-12-27,1282500
2000-12-28,1319700
2000-12-29,2013900
2001-01-02,1145400
2001-01-03,1586300
2001-01-04,2925600
2001-01-05,1119300
2001-01-08,1037400
2001-01-09,813300
2001-01-10,2109400
2001-01-11,1535900
2001-01-12,1618700
2001-01-16,1128700
2001-01-17,1473800
2001-01-18,938300
2001-01-19,2510300
2001-01-22,1496700
2001-01-23,1288400
2001-01-24,1249700
2001-01-25,1627600
2001-01-26,1451500
2001-01-29,1007100
2001-01-30,1080600
2001-01-31,1748100
2001-02-01,4577300
2001-02-02,1961400
2001-02-05,1255100
2001-02-06,1218900
2001-02-07,1217700
2001-02-08,1045800
2001-02-09,1152100
2001-02-12,884900
2001-02-13,801300
2001-02-14,1352000
2001-02-15,1128100
2001-02-16,1384000
2001-02-20,770800
2001-02-21,719800
2001-02-22,1474200
2001-02-23,780700
2001-02-26,742800
2001-02-27,831900
2001-02-28,986500
2001-03-01,1211500
2001-03-02,1639000
2001-03-05,1678200
2001-03-06,955400
2001-03-07,2043800
2001-03-08,873000
2001-03-09,2273900
2001-03-12,2266900
2001-03-13,1880900
2001-03-14,3020500
2001-03-15,1692800
2001-03-16,2206900
2001-03-19,898800
2001-03-20,1091800
2001-03-21,1049500
2001-03-22,1190500
2001-03-23,1137300
2001-03-26,980500
2001-03-27,1202700
2001-03-28,633900
2001-03-29,449400
2001-03-30,761300
2001-04-02,740500
2001-04-03,781100
2001-04-04,1200800
2001-04-05,921600
2001-04-06,531800
2001-04-09,545100
2001-04-10,683400
2001-04-11,1890300
2001-04-12,1325200
2001-04-16,546400
2001-04-17,3891500
2001-04-18,1867200
2001-04-19,1217500
2001-04-20,819000
2001-04-23,683300
2001-04-24,836300
2001-04-25,1140800
2001-04-26,831600
2001-04-27,1067200
2001-04-30,1405500
2001-05-01,2214700
2001-05-02,714900
2001-05-03,605000
2001-05-04,514500
2001-05-07,771700
2001-05-08,1034600
2001-05-09,878100
2001-05-10,569200
2001-05-11,467000
2001-05-14,1027800
2001-05-15,495900
2001-05-16,390200
2001-05-17,586500
2001-05-18,447000
2001-05-21,652900
2001-05-22,624800
2001-05-23,1383500
2001-05-24,506900
2001-05-25,873500
2001-05-29,545000
2001-05-30,510900
2001-05-31,745100
2001-06-01,339200
2001-06-04,457100
2001-06-05,1134500
2001-06-06,510800
2001-06-07,436900
2001-06-08,452500
2001-06-11,366300
2001-06-12,452700
2001-06-13,219400
2001-06-14,290800
2001-06-15,688900
2001-06-18,458400
2001-06-19,670500
2001-06-20,1096800
2001-06-21,1005600
2001-06-22,794200
2001-06-25,390100
2001-06-26,880800
2001-06-27,491700
2001-06-28,342600
2001-06-29,1295100
2001-07-02,686500
2001-07-03,455500
2001-07-05,520600
2001-07-06,329800
2001-07-09,609500
2001-07-10,512700
2001-07-11,594000
2001-07-12,535000
2001-07-13,429100
2001-07-16,287400
2001-07-17,563000
2001-07-18,749100
2001-07-19,496500
2001-07-20,477900
2001-07-23,445200
2001-07-24,339100
2001-07-25,489900
2001-07-26,311300
2001-07-27,262800
2001-07-30,394100
2001-07-31,1398300
2001-08-01,836400
2001-08-02,571900
2001-08-03,533700
2001-08-06,590500
2001-08-07,400500
2001-08-08,2113200
2001-08-09,560700
2001-08-10,583800
2001-08-13,440500
2001-08-14,497900
2001-08-15,502300
2001-08-16,380900
2001-08-17,243700
2001-08-20,357100
2001-08-21,513700
2001-08-22,466200
2001-08-23,667500
2001-08-24,1216800
2001-08-27,403300
2001-08-28,678700
