Date,volume
2000-01-03,1063500
2000-01-04,90900
2000-01-05,115500
2000-01-06,103200
2000-01-07,228300
2000-01-10,143400
2000-01-11,159300
2000-01-12,309600
2000-01-13,276600
2000-01-14,253800
2000-01-18,95400
2000-01-19,66900
2000-01-20,95700
2000-01-21,96300
2000-01-24,57900
2000-01-25,87000
2000-01-26,40200
2000-01-27,27300
2000-01-28,35700
2000-01-31,84900
2000-02-01,149700
2000-02-02,450300
2000-02-03,44700
2000-02-04,112200
2000-02-07,46200
2000-02-08,133200
2000-02-09,142200
2000-02-10,26400
2000-02-11,181800
2000-02-14,178800
2000-02-15,57300
2000-02-16,174600
2000-02-17,283800
2000-02-18,171600
2000-02-22,165900
2000-02-23,248400
2000-02-24,451200
2000-02-25,160200
2000-02-28,116700
2000-02-29,154200
2000-03-01,64200
2000-03-02,137700
2000-03-03,104400
2000-03-06,199500
2000-03-07,39300
2000-03-08,91800
2000-03-09,70800
2000-03-10,73500
2000-03-13,28500
2000-03-14,27900
2000-03-15,42900
2000-03-16,276000
2000-03-17,103200
2000-03-20,64800
2000-03-21,113400
2000-03-22,240600
2000-03-23,108000
2000-03-24,129000
2000-03-27,198900
2000-03-28,122400
2000-03-29,315300
2000-03-30,184200
2000-03-31,406500
2000-04-03,484500
2000-04-04,125400
2000-04-05,540900
2000-04-06,70800
2000-04-07,479400
2000-04-10,85500
2000-04-11,300300
2000-04-12,199800
2000-04-13,181200
2000-04-14,91500
2000-04-17,63600
2000-04-18,42600
2000-04-19,50700
2000-04-20,14700
2000-04-24,58800
2000-04-25,108900
2000-04-26,1242600
2000-04-27,1039800
2000-04-28,674400
2000-05-01,609900
2000-05-02,1487700
2000-05-03,543900
2000-05-04,68700
2000-05-05,246300
2000-05-08,186300
2000-05-09,144900
2000-05-10,12600
2000-05-11,210000
2000-05-12,312900
2000-05-15,473400
2000-05-16,721200
2000-05-17,167700
2000-05-18,257100
2000-05-19,277800
2000-05-22,347100
2000-05-23,447600
2000-05-24,177000
2000-05-25,234600
2000-05-26,229800
2000-05-30,105600
2000-05-31,123000
2000-06-01,190800
2000-06-02,32700
2000-06-05,60000
2000-06-06,91200
2000-06-07,84600
2000-06-08,89400
2000-06-09,57600
2000-06-12,90300
2000-06-13,141900
2000-06-14,93600
2000-06-15,52200
2000-06-16,180000
2000-06-19,201000
2000-06-20,93300
2000-06-21,75300
2000-06-22,312600
2000-06-23,144300
2000-06-26,261300
2000-06-27,427200
2000-06-28,168600
2000-06-29,178500
2000-06-30,252900
2000-07-03,46500
2000-07-05,159900
2000-07-06,189600
2000-07-07,185100
2000-07-10,282600
2000-07-11,325200
2000-07-12,706800
2000-07-13,523800
2000-07-14,65100
2000-07-17,152400
2000-07-18,85200
2000-07-19,447300
2000-07-20,57600
2000-07-21,391200
2000-07-24,54300
2000-07-25,173400
2000-07-26,433500
2000-07-27,94200
2000-07-28,229200
2000-07-31,468000
2000-08-01,595500
2000-08-02,235200
2000-08-03,343800
2000-08-04,1102200
2000-08-07,559200
2000-08-08,992400
2000-08-09,788400
2000-08-10,201600
2000-08-11,388200
2000-08-14,695700
2000-08-15,389100
2000-08-16,102600
2000-08-17,156300
2000-08-18,192900
2000-08-21,416400
2000-08-22,366000
2000-08-23,130500
2000-08-24,558600
2000-08-25,227100
2000-08-28,236400
2000-08-29,216300
2000-08-30,265200
2000-08-31,363300
2000-09-01,418500
2000-09-05,511200
2000-09-06,486300
2000-09-07,396900
2000-09-08,69300
2000-09-11,442800
