Date,volume
2012-02-22,71800
2012-02-23,110000
2012-02-24,40000
2012-02-27,13800
2012-02-28,30300
2012-02-29,167500
2012-03-01,14900
2012-03-02,40800
2012-03-05,50100
2012-03-06,1700
2012-03-07,87600
2012-03-08,32800
2012-03-09,900
2012-03-12,2400
2012-03-13,1100
2012-03-14,32400
2012-03-15,2100
2012-03-16,27300
2012-03-19,27100
2012-03-20,47200
2012-03-21,1800
2012-03-22,40300
2012-03-23,39800
2012-03-26,25500
2012-03-27,19500
2012-03-28,34000
2012-03-29,71100
2012-03-30,19700
2012-04-02,32100
2012-04-03,151400
2012-04-04,5800
2012-04-05,6600
2012-04-09,2900
2012-04-10,12100
2012-04-11,400
2012-04-12,45900
2012-04-13,8100
2012-04-16,161500
2012-04-17,7300
2012-04-18,5500
2012-04-19,45800
2012-04-20,41700
2012-04-23,31100
2012-04-24,1900
2012-04-25,2000
2012-04-26,2600
2012-04-27,2100
2012-04-30,35900
2012-05-01,200
2012-05-02,100
2012-05-03,67000
2012-05-04,53200
2012-05-07,84500
2012-05-08,179300
2012-05-09,100000
2012-05-10,30000
2012-05-11,24700
2012-05-14,3800
2012-05-15,57500
2012-05-16,110000
2012-05-17,109100
2012-05-18,18000
2012-05-21,2400
2012-05-22,23700
2012-05-23,15300
2012-05-24,1200
2012-05-25,17300
2012-05-29,1700
2012-05-30,212400
2012-05-31,10400
2012-06-01,20400
2012-06-04,10700
2012-06-05,4300
2012-06-06,157500
2012-06-07,17500
2012-06-08,2400
2012-06-11,1900
2012-06-12,4400
2012-06-13,300
2012-06-14,1500
2012-06-15,33600
2012-06-18,16100
2012-06-19,45100
2012-06-20,6500
2012-06-21,66000
2012-06-22,400
2012-06-25,26500
2012-06-26,365200
2012-06-27,10100
2012-06-28,102000
2012-06-29,900
2012-07-02,254500
2012-07-03,25700
2012-07-05,3500
2012-07-06,200
2012-07-09,800
2012-07-10,5700
2012-07-11,34200
2012-07-12,31700
2012-07-13,28600
2012-07-16,300
2012-07-17,8000
2012-07-18,2800
2012-07-19,44800
2012-07-20,4000
2012-07-23,36700
2012-07-24,224600
2012-07-25,1500
2012-07-26,62100
2012-07-27,100
2012-07-30,242100
2012-07-31,985300
2012-08-01,76400
2012-08-02,7400
2012-08-03,153100
2012-08-06,128400
2012-08-07,25500
2012-08-08,9900
2012-08-09,198300
2012-08-10,35700
2012-08-13,42100
2012-08-14,328600
2012-08-15,140200
2012-08-16,164100
2012-08-17,428100
2012-08-20,319000
2012-08-21,174300
2012-08-22,49400
2012-08-23,232100
2012-08-24,10900
2012-08-27,23800
2012-08-28,286300
2012-08-29,211300
2012-08-30,380400
2012-08-31,35000
2012-09-04,7000
2012-09-05,4900
2012-09-06,16800
2012-09-07,7100
2012-09-10,8000
2012-09-11,92300
2012-09-12,9900
2012-09-13,40600
2012-09-14,22800
2012-09-17,13700
2012-09-18,800
2012-09-19,4600
2012-09-20,32800
2012-09-21,252300
2012-09-24,18400
2012-09-25,43100
2012-09-26,31600
2012-09-27,198500
2012-09-28,48800
2012-10-01,23600
2012-10-02,3000
2012-10-03,12600
2012-10-04,20900
2012-10-05,22200
2012-10-08,5400
2012-10-09,15800
2012-10-10,44100
2012-10-11,36500
2012-10-12,600
2012-10-15,2200
2012-10-16,23000
2012-10-17,43100
2012-10-18,73300
2012-10-19,300
2012-10-22,5100
2012-10-23,2900
2012-10-24,2000
2012-10-25,1100
2012-10-26,700
2012-10-31,23600
2012-11-01,10900
2012-11-02,1100
2012-11-05,2400
