Date,volume
2018-07-18,3602200
2018-07-19,248400
2018-07-20,109500
2018-07-23,177100
2018-07-24,60800
2018-07-25,47900
2018-07-26,23800
2018-07-27,14200
2018-07-30,32100
2018-07-31,39500
2018-08-01,149800
2018-08-02,105500
2018-08-03,40400
2018-08-06,25100
2018-08-07,109000
2018-08-08,135500
2018-08-09,60900
2018-08-10,70600
2018-08-13,336700
2018-08-14,52100
2018-08-15,144200
2018-08-16,159300
2018-08-17,166100
2018-08-20,160000
2018-08-21,315500
2018-08-22,266100
2018-08-23,143100
2018-08-24,43300
2018-08-27,86300
2018-08-28,16400
2018-08-29,23900
2018-08-30,199500
2018-08-31,21200
2018-09-04,91200
2018-09-05,44500
2018-09-06,78600
2018-09-07,64000
2018-09-10,130000
2018-09-11,56900
2018-09-12,39400
2018-09-13,41200
2018-09-14,88600
2018-09-17,49900
2018-09-18,75600
2018-09-19,152300
2018-09-20,87700
2018-09-21,978500
2018-09-24,98000
2018-09-25,83800
2018-09-26,52100
2018-09-27,44500
2018-09-28,44600
2018-10-01,106600
2018-10-02,61500
2018-10-03,46600
2018-10-04,74500
2018-10-05,81000
2018-10-08,71300
2018-10-09,90400
2018-10-10,92100
2018-10-11,36000
2018-10-12,32700
2018-10-15,21000
2018-10-16,38000
2018-10-17,53500
2018-10-18,27300
2018-10-19,238800
2018-10-22,98600
2018-10-23,77300
2018-10-24,35600
2018-10-25,38100
2018-10-26,17800
2018-10-29,58100
2018-10-30,17200
2018-10-31,119100
2018-11-01,37500
2018-11-02,12600
2018-11-05,37600
2018-11-06,140400
2018-11-07,15500
2018-11-08,13800
2018-11-09,41600
2018-11-12,18500
2018-11-13,31100
2018-11-14,60000
2018-11-15,100100
2018-11-16,81800
2018-11-19,24800
2018-11-20,44900
2018-11-21,35600
2018-11-23,10700
2018-11-26,46600
2018-11-27,32500
2018-11-28,39800
2018-11-29,32100
2018-11-30,19700
2018-12-03,38300
2018-12-04,32500
2018-12-06,27700
2018-12-07,27000
2018-12-10,26400
2018-12-11,79200
2018-12-12,51200
2018-12-13,64500
2018-12-14,44300
2018-12-17,95400
2018-12-18,81100
2018-12-19,83200
2018-12-20,128800
2018-12-21,418300
2018-12-24,35300
2018-12-26,91600
2018-12-27,35100
2018-12-28,74800
2018-12-31,37400
2019-01-02,50600
2019-01-03,46400
2019-01-04,62100
2019-01-07,57500
2019-01-08,79400
2019-01-09,68100
2019-01-10,56100
2019-01-11,81400
2019-01-14,39300
2019-01-15,145000
2019-01-16,41800
2019-01-17,29500
2019-01-18,25600
2019-01-22,59100
2019-01-23,38700
2019-01-24,49600
2019-01-25,34800
2019-01-28,33300
2019-01-29,19000
2019-01-30,56800
2019-01-31,58900
2019-02-01,24400
2019-02-04,13200
2019-02-05,48900
2019-02-06,45000
2019-02-07,26000
2019-02-08,43300
2019-02-11,24900
2019-02-12,17900
2019-02-13,60200
2019-02-14,32300
2019-02-15,49300
2019-02-19,30300
2019-02-20,36200
2019-02-21,72500
2019-02-22,100800
2019-02-25,77400
2019-02-26,58800
2019-02-27,88700
2019-02-28,37700
2019-03-01,53100
2019-03-04,43700
2019-03-05,64200
2019-03-06,79800
2019-03-07,68200
2019-03-08,43900
2019-03-11,82200
2019-03-12,217500
2019-03-13,81000
2019-03-14,126500
2019-03-15,305200
2019-03-18,259100
2019-03-19,77400
2019-03-20,62000
2019-03-21,144800
2019-03-22,72700
2019-03-25,69200
2019-03-26,55100
2019-03-27,66800
2019-03-28,33600
2019-03-29,99200
2019-04-01,46300
2019-04-02,43800
2019-04-03,51100
2019-04-04,32500
2019-04-05,84200
2019-04-08,28200
2019-04-09,45000
2019-04-10,153800
2019-04-11,35800
2019-04-12,28900
2019-04-15,53900
2019-04-16,41700
2019-04-17,68900
2019-04-18,43100
2019-04-22,148500
2019-04-23,62100
2019-04-24,82100
2019-04-25,64600
2019-04-26,25200
2019-04-29,31400
2019-04-30,51600
2019-05-01,49200
2019-05-02,54000
2019-05-03,23000
2019-05-06,81500
2019-05-07,54700
2019-05-08,24000
2019-05-09,24900
2019-05-10,26100
2019-05-13,49700
2019-05-14,45900
2019-05-15,68700
2019-05-16,34400
2019-05-17,36800
2019-05-20,33500
2019-05-21,25500
2019-05-22,32700
2019-05-23,26600
2019-05-24,133400
2019-05-28,133800
2019-05-29,84200
2019-05-30,55800
2019-05-31,69600
2019-06-03,113000
2019-06-04,25900
2019-06-05,32700
2019-06-06,58700
2019-06-07,102600
2019-06-10,105300
2019-06-11,88500
2019-06-12,62400
2019-06-13,37300
2019-06-14,48100
2019-06-17,56200
2019-06-18,29800
2019-06-19,29800
2019-06-20,35300
2019-06-21,301200
2019-06-24,51500
2019-06-25,23600
2019-06-26,23500
2019-06-27,132100
2019-06-28,490400
2019-07-01,45700
2019-07-02,44400
2019-07-03,27600
2019-07-05,36300
2019-07-08,69300
2019-07-09,41100
2019-07-10,54300
2019-07-11,45100
2019-07-12,114900
2019-07-15,27000
2019-07-16,21500
2019-07-17,47900
2019-07-18,40000
2019-07-19,33400
2019-07-22,40900
2019-07-23,85200
2019-07-24,190600
2019-07-25,155500
2019-07-26,59800
2019-07-29,116600
2019-07-30,34500
2019-07-31,43700
2019-08-01,38700
2019-08-02,58700
2019-08-05,36800
2019-08-06,101700
2019-08-07,60600
2019-08-08,52800
2019-08-09,24000
2019-08-12,84800
2019-08-13,41400
2019-08-14,102400
2019-08-15,37700
2019-08-16,46900
2019-08-19,36600
2019-08-20,27300
2019-08-21,35900
2019-08-22,28800
2019-08-23,24200
2019-08-26,33200
2019-08-27,46500
2019-08-28,59600
2019-08-29,144200
2019-08-30,35100
2019-09-03,221300
2019-09-04,37700
2019-09-05,114700
2019-09-06,87700
2019-09-09,97100
2019-09-10,112200
2019-09-11,134600
2019-09-12,108100
2019-09-13,134900
2019-09-16,64100
2019-09-17,43800
2019-09-18,70900
2019-09-19,98700
2019-09-20,120000
2019-09-23,37400
2019-09-24,62600
2019-09-25,47600
2019-09-26,37000
2019-09-27,84400
2019-09-30,54400
2019-10-01,121800
2019-10-02,66700
2019-10-03,76700
2019-10-04,39500
2019-10-07,76200
2019-10-08,36000
2019-10-09,23300
2019-10-10,40100
2019-10-11,27300
2019-10-14,23100
2019-10-15,38100
2019-10-16,38400
2019-10-17,22000
2019-10-18,44000
2019-10-21,49600
2019-10-22,40800
2019-10-23,45500
2019-10-24,13000
2019-10-25,12000
2019-10-28,33400
2019-10-29,28600
2019-10-30,13200
2019-10-31,25600
2019-11-01,48300
2019-11-04,30300
2019-11-05,30500
2019-11-06,36200
2019-11-07,36700
2019-11-08,37900
2019-11-11,27100
2019-11-12,21600
2019-11-13,73900
2019-11-14,30700
2019-11-15,25900
2019-11-18,66200
2019-11-19,31400
2019-11-20,111500
2019-11-21,37900
2019-11-22,29700
2019-11-25,51200
2019-11-26,59300
2019-11-27,34100
2019-11-29,34900
2019-12-02,40800
2019-12-03,50500
2019-12-04,54400
2019-12-05,22000
2019-12-06,99400
2019-12-09,25900
2019-12-10,103000
2019-12-11,32400
2019-12-12,54300
2019-12-13,118400
2019-12-16,75600
2019-12-17,43700
2019-12-18,66500
2019-12-19,79700
2019-12-20,389600
2019-12-23,70200
2019-12-24,18900
2019-12-26,43300
2019-12-27,51700
2019-12-30,35100
2019-12-31,120300
2020-01-02,129700
2020-01-03,43900
2020-01-06,41600
2020-01-07,184900
2020-01-08,72800
2020-01-09,107900
2020-01-10,38100
2020-01-13,73000
2020-01-14,93100
2020-01-15,125700
2020-01-16,108600
2020-01-17,69700
2020-01-21,48300
2020-01-22,40100
2020-01-23,45100
2020-01-24,33300
