Date,volume
2000-01-03,160
2000-01-04,590
2000-01-05,580
2000-01-06,30
2000-01-07,220
2000-01-10,630
2000-01-11,940
2000-01-12,90
2000-01-13,200
2000-01-14,1050
2000-01-18,420
2000-01-19,230
2000-01-20,230
2000-01-21,950
2000-01-24,180
2000-01-25,30
2000-01-26,3990
2000-01-27,4770
2000-01-28,1490
2000-01-31,2690
2000-02-01,1420
2000-02-02,500
2000-02-03,580
2000-02-04,2720
2000-02-07,1110
2000-02-08,10
2000-02-09,340
2000-02-10,1990
2000-02-11,750
2000-02-14,2930
2000-02-15,50
2000-02-16,60
2000-02-17,3550
2000-02-18,3910
2000-02-22,5840
2000-02-23,5940
2000-02-24,160
2000-02-25,1280
2000-02-28,0
2000-02-29,1280
2000-03-01,1360
2000-03-02,1990
2000-03-03,6480
2000-03-06,60
2000-03-07,7400
2000-03-08,20
2000-03-09,30
2000-03-10,130
2000-03-13,110
2000-03-14,70
2000-03-15,230
2000-03-16,1010
2000-03-17,1070
2000-03-20,340
2000-03-21,4650
2000-03-22,8470
2000-03-23,4100
2000-03-24,1430
2000-03-27,2030
2000-03-28,1460
2000-03-29,1830
2000-03-30,1640
2000-03-31,990
2000-04-03,2470
2000-04-04,4050
2000-04-05,5900
2000-04-06,1610
2000-04-07,1130
2000-04-10,840
2000-04-11,3460
2000-04-12,760
2000-04-13,1980
2000-04-14,950
2000-04-17,820
2000-04-18,1610
2000-04-19,700
2000-04-20,870
2000-04-24,1940
2000-04-25,2480
2000-04-26,450
2000-04-27,110
2000-04-28,1850
2000-05-01,3230
2000-05-02,1260
2000-05-03,640
2000-05-04,0
2000-05-05,3090
2000-05-08,920
2000-05-09,4090
2000-05-10,540
2000-05-11,1800
2000-05-12,550
2000-05-15,6550
2000-05-16,750
2000-05-17,1580
2000-05-18,100
2000-05-19,500
2000-05-22,2720
2000-05-23,1680
2000-05-24,2560
2000-05-25,1470
2000-05-26,1350
2000-05-30,2890
2000-05-31,750
2000-06-01,0
2000-06-02,260
2000-06-05,3080
2000-06-06,110
2000-06-07,170
2000-06-08,1050
2000-06-09,630
