Date,volume
2003-07-03,2489
2003-07-07,12444
2003-07-08,11378
2003-07-09,12622
2003-07-10,10489
2003-07-11,6044
2003-07-14,13333
2003-07-15,6044
2003-07-16,3911
2003-07-17,5511
2003-07-18,64533
2003-07-21,19911
2003-07-22,8356
2003-07-23,9600
2003-07-24,11378
2003-07-25,8000
2003-07-28,4444
2003-07-29,27022
2003-07-30,8178
2003-07-31,24533
2003-08-01,6756
2003-08-04,39644
2003-08-05,7644
2003-08-06,2844
2003-08-07,8711
2003-08-08,4267
2003-08-11,2667
2003-08-12,2844
2003-08-13,4978
2003-08-14,25422
2003-08-15,3911
2003-08-18,23644
2003-08-19,16711
2003-08-20,3378
2003-08-21,16000
2003-08-22,5511
2003-08-25,6933
2003-08-26,889
2003-08-27,2667
2003-08-28,20978
2003-08-29,11200
2003-09-02,19022
2003-09-03,18667
2003-09-04,4800
2003-09-05,8356
2003-09-08,16533
2003-09-09,1600
2003-09-10,9067
2003-09-11,3378
2003-09-12,6933
2003-09-15,20089
2003-09-16,16000
2003-09-17,13867
2003-09-18,9067
2003-09-19,16178
2003-09-22,9778
2003-09-23,2667
2003-09-24,9956
2003-09-25,9422
2003-09-26,3733
2003-09-29,16711
2003-09-30,26844
2003-10-01,10844
2003-10-02,2489
2003-10-03,711
2003-10-06,1067
2003-10-07,3556
2003-10-08,4800
2003-10-09,14578
2003-10-10,6578
2003-10-13,5867
2003-10-14,4800
2003-10-15,7644
2003-10-16,12978
2003-10-17,15644
2003-10-20,18133
2003-10-21,6044
2003-10-22,12089
2003-10-23,2133
2003-10-24,2844
2003-10-27,4089
2003-10-28,5511
2003-10-29,14578
2003-10-30,6044
2003-10-31,12444
2003-11-03,17600
2003-11-04,533
2003-11-05,17956
2003-11-06,2133
2003-11-07,2133
2003-11-10,5689
2003-11-11,1422
2003-11-12,1422
2003-11-13,3200
2003-11-14,8533
2003-11-17,21333
2003-11-18,3556
2003-11-19,4978
2003-11-20,4978
2003-11-21,4800
2003-11-24,45511
2003-11-25,2379022
2003-11-26,314311
2003-11-28,38400
2003-12-01,102578
2003-12-02,102400
2003-12-03,20622
2003-12-04,18667
2003-12-05,42311
2003-12-08,25956
2003-12-09,183822
2003-12-10,131378
2003-12-11,142578
2003-12-12,54400
2003-12-15,63111
2003-12-16,36444
2003-12-17,20444
2003-12-18,59022
2003-12-19,39289
2003-12-22,28978
2003-12-23,35733
2003-12-24,4089
2003-12-26,5867
2003-12-29,56533
2003-12-30,26844
2003-12-31,66311
2004-01-02,1956
2004-01-05,12622
2004-01-06,32711
2004-01-07,25067
2004-01-08,88533
2004-01-09,55289
2004-01-12,18844
2004-01-13,40533
2004-01-14,9422
2004-01-15,15644
2004-01-16,51911
2004-01-20,72533
2004-01-21,21156
2004-01-22,47644
2004-01-23,40000
2004-01-26,69511
2004-01-27,10844
2004-01-28,12978
2004-01-29,53333
2004-01-30,25600
2004-02-02,11022
2004-02-03,20444
2004-02-04,8711
2004-02-05,40178
2004-02-06,26667
2004-02-09,48356
2004-02-10,25956
2004-02-11,50489
2004-02-12,50667
2004-02-13,43378
2004-02-17,59022
2004-02-18,16711
2004-02-19,11378
2004-02-20,52800
2004-02-23,23644
2004-02-24,22933
2004-02-25,21333
2004-02-26,181689
2004-02-27,75200
2004-03-01,21156
2004-03-02,23822
2004-03-03,32889
2004-03-04,23467
2004-03-05,76622
2004-03-08,116089
2004-03-09,18311
2004-03-10,7111
2004-03-11,72711
2004-03-12,96889
2004-03-15,13511
2004-03-16,27378
2004-03-17,26667
2004-03-18,63644
2004-03-19,39644
2004-03-22,24889
2004-03-23,18133
2004-03-24,68800
2004-03-25,136711
2004-03-26,109689
2004-03-29,38578
2004-03-30,108089
2004-03-31,63644
2004-04-01,44800
2004-04-02,16000
2004-04-05,24356
2004-04-06,52444
2004-04-07,32889
2004-04-08,93867
2004-04-12,41778
2004-04-13,16000
2004-04-14,24533
2004-04-15,9244
2004-04-16,33600
2004-04-19,7644
2004-04-20,19733
2004-04-21,9778
2004-04-22,74489
2004-04-23,25244
2004-04-26,34489
2004-04-27,29156
2004-04-28,32356
2004-04-29,15822
2004-04-30,29867
2004-05-03,8711
2004-05-04,11022
2004-05-05,7467
2004-05-06,6044
2004-05-07,14933
2004-05-10,12978
2004-05-11,22222
2004-05-12,31111
2004-05-13,11378
2004-05-14,12089
2004-05-17,14222
2004-05-18,1067
2004-05-19,23111
2004-05-20,2844
2004-05-21,4267
2004-05-24,14222
2004-05-25,28800
2004-05-26,24711
2004-05-27,38044
2004-05-28,33778
2004-06-01,12267
2004-06-02,8533
2004-06-03,4622
2004-06-04,16356
2004-06-07,15289
2004-06-08,11911
2004-06-09,4800
2004-06-10,14578
2004-06-14,30933
2004-06-15,17422
2004-06-16,19556
2004-06-17,22756
2004-06-18,89244
2004-06-21,67556
2004-06-22,66844
2004-06-23,26667
2004-06-24,20267
2004-06-25,94578
2004-06-28,19022
2004-06-29,19733
2004-06-30,36800
2004-07-01,34133
2004-07-02,29867
2004-07-06,12978
2004-07-07,8711
2004-07-08,15111
2004-07-09,6578
2004-07-12,6400
2004-07-13,4267
2004-07-14,8889
2004-07-15,9600
2004-07-16,9422
2004-07-19,32533
2004-07-20,16533
2004-07-21,22222
2004-07-22,14044
2004-07-23,20444
2004-07-26,37156
2004-07-27,11556
2004-07-28,6756
2004-07-29,19733
2004-07-30,14756
2004-08-02,8889
2004-08-03,20978
2004-08-04,43378
2004-08-05,20800
2004-08-06,47644
2004-08-09,12800
2004-08-10,16533
2004-08-11,53689
2004-08-12,33600
2004-08-13,41600
2004-08-16,19022
2004-08-17,28800
2004-08-18,12089
2004-08-19,16711
2004-08-20,8533
2004-08-23,13333
2004-08-24,21689
2004-08-25,32000
2004-08-26,27733
2004-08-27,5689
2004-08-30,28267
2004-08-31,16889
2004-09-01,65067
2004-09-02,17244
2004-09-03,39111
2004-09-07,5333
2004-09-08,21867
2004-09-09,23467
2004-09-10,19378
2004-09-13,5156
2004-09-14,5867
2004-09-15,9422
2004-09-16,4267
2004-09-17,34667
2004-09-20,90667
2004-09-21,4800
2004-09-22,7289
2004-09-23,1600
2004-09-24,0
2004-09-27,9067
2004-09-28,4978
2004-09-29,10844
2004-09-30,119467
2004-10-01,188267
2004-10-04,20800
2004-10-05,1778
2004-10-06,7822
2004-10-07,15644
2004-10-08,38578
2004-10-11,30222
2004-10-12,23289
2004-10-13,2133
2004-10-14,7467
2004-10-15,5689
2004-10-18,9244
2004-10-19,4444
2004-10-20,10133
2004-10-21,21689
2004-10-22,19378
2004-10-25,19733
2004-10-26,64178
2004-10-27,137422
2004-10-28,33778
2004-10-29,19378
2004-11-01,11556
2004-11-02,10133
2004-11-03,5689
2004-11-04,21867
2004-11-05,10489
2004-11-08,9244
2004-11-09,21689
2004-11-10,13867
2004-11-11,16356
2004-11-12,38400
2004-11-15,52267
2004-11-16,5511
2004-11-17,3911
2004-11-18,17956
2004-11-19,9422
2004-11-22,5689
2004-11-23,13511
2004-11-24,18133
2004-11-26,36800
2004-11-29,30933
2004-11-30,1600
2004-12-01,50489
2004-12-02,60800
2004-12-03,13689
2004-12-06,15289
2004-12-07,9956
2004-12-08,97067
2004-12-09,13333
2004-12-10,19200
2004-12-13,18489
2004-12-14,30400
2004-12-15,12267
2004-12-16,26489
2004-12-17,92978
2004-12-20,36978
2004-12-21,24178
2004-12-22,24178
2004-12-23,25956
2004-12-27,17778
2004-12-28,2489
2004-12-29,29867
2004-12-30,14044
2004-12-31,18489
2005-01-03,8889
2005-01-04,11911
2005-01-05,44444
2005-01-06,71289
2005-01-07,62222
2005-01-10,9244
2005-01-11,16178
2005-01-12,10489
2005-01-13,44444
2005-01-14,20089
2005-01-18,4444
2005-01-19,33067
2005-01-20,15111
2005-01-21,13333
2005-01-24,13333
2005-01-25,10311
2005-01-26,4267
2005-01-27,26489
2005-01-28,12089
2005-01-31,11378
2005-02-01,57067
2005-02-02,12800
2005-02-03,56889
2005-02-04,7111
2005-02-07,20622
2005-02-08,8178
2005-02-09,4267
2005-02-10,47289
2005-02-11,38578
2005-02-14,67378
2005-02-15,52978
2005-02-16,77333
2005-02-17,62400
2005-02-18,50844
2005-02-22,54578
2005-02-23,21156
2005-02-24,14933
2005-02-25,29689
2005-02-28,10844
2005-03-01,36622
2005-03-02,39289
2005-03-03,56178
2005-03-04,20444
2005-03-07,8000
2005-03-08,30222
2005-03-09,10133
2005-03-10,7467
2005-03-11,65600
2005-03-14,53511
2005-03-15,8178
2005-03-16,8889
2005-03-17,23289
2005-03-18,64356
2005-03-21,111111
2005-03-22,61867
2005-03-23,8889
2005-03-24,11733
2005-03-28,25422
2005-03-29,58933
2005-03-30,86133
2005-03-31,64800
2005-04-01,40000
2005-04-04,43600
2005-04-05,18133
2005-04-06,10400
2005-04-07,7200
2005-04-08,22533
2005-04-11,8400
2005-04-12,26800
2005-04-13,87333
2005-04-14,17867
2005-04-15,13467
2005-04-18,33200
2005-04-19,25867
2005-04-20,33333
2005-04-21,25467
2005-04-22,80000
2005-04-25,17200
2005-04-26,22533
2005-04-27,7200
2005-04-28,10533
2005-04-29,17600
2005-05-02,11200
2005-05-03,16267
2005-05-04,17867
2005-05-05,8800
2005-05-06,6400
2005-05-09,7867
2005-05-10,6267
2005-05-11,13200
2005-05-12,11333
2005-05-13,11200
2005-05-16,28533
2005-05-17,86267
2005-05-18,15067
2005-05-19,36933
2005-05-20,5467
2005-05-23,12000
2005-05-24,13467
2005-05-25,5467
2005-05-26,7200
2005-05-27,69867
2005-05-31,29200
2005-06-01,24933
2005-06-02,35600
2005-06-03,9467
2005-06-06,42800
2005-06-07,15867
2005-06-08,7467
2005-06-09,3467
2005-06-10,16933
2005-06-13,13733
2005-06-14,5867
2005-06-15,15867
2005-06-16,6400
2005-06-17,45467
2005-06-20,18800
2005-06-21,12000
2005-06-22,5600
2005-06-23,7867
2005-06-24,100133
2005-06-27,13600
2005-06-28,24133
2005-06-29,9733
2005-06-30,12000
2005-07-01,6000
2005-07-05,26000
2005-07-06,10533
2005-07-07,4000
2005-07-08,9867
2005-07-11,24800
2005-07-12,7867
2005-07-13,8267
2005-07-14,12933
2005-07-15,9333
2005-07-18,6267
2005-07-19,8800
2005-07-20,6133
2005-07-21,34267
2005-07-22,18933
2005-07-25,8533
2005-07-26,11067
2005-07-27,9067
2005-07-28,9200
2005-07-29,11733
2005-08-01,12800
2005-08-02,43600
2005-08-03,34133
2005-08-04,27200
2005-08-05,14133
2005-08-08,6800
2005-08-09,10267
2005-08-10,18267
2005-08-11,17200
2005-08-12,31600
2005-08-15,78667
2005-08-16,8800
2005-08-17,14400
2005-08-18,13067
2005-08-19,6400
2005-08-22,19200
2005-08-23,11867
2005-08-24,13333
2005-08-25,8800
2005-08-26,14267
2005-08-29,8533
2005-08-30,8133
2005-08-31,10533
2005-09-01,23200
2005-09-02,7200
2005-09-06,8400
2005-09-07,9467
2005-09-08,4000
2005-09-09,4800
2005-09-12,11067
2005-09-13,13600
2005-09-14,12533
2005-09-15,12133
2005-09-16,69333
2005-09-19,5867
2005-09-20,145867
2005-09-21,11200
2005-09-22,19200
2005-09-23,5067
2005-09-26,13067
2005-09-27,9733
2005-09-28,6667
2005-09-29,7600
2005-09-30,16400
2005-10-03,40667
2005-10-04,18933
2005-10-05,47467
2005-10-06,33733
2005-10-07,24133
2005-10-10,14933
2005-10-11,14933
2005-10-12,13867
2005-10-13,28533
2005-10-14,15200
2005-10-17,11467
2005-10-18,18133
2005-10-19,15867
2005-10-20,11600
2005-10-21,156667
2005-10-24,49333
2005-10-25,34533
2005-10-26,225200
2005-10-27,24800
2005-10-28,38933
2005-10-31,91200
2005-11-01,49600
2005-11-02,30933
2005-11-03,68267
2005-11-04,69333
2005-11-07,67733
2005-11-08,12000
2005-11-09,69733
2005-11-10,79067
2005-11-11,27333
2005-11-14,54267
2005-11-15,37600
2005-11-16,39467
2005-11-17,14800
2005-11-18,43333
2005-11-21,19867
2005-11-22,18533
2005-11-23,19333
2005-11-25,22533
2005-11-28,39200
2005-11-29,29200
2005-11-30,56133
2005-12-01,47200
2005-12-02,25733
2005-12-05,78533
2005-12-06,25200
2005-12-07,47333
2005-12-08,28000
2005-12-09,9867
2005-12-12,22400
2005-12-13,44667
2005-12-14,16133
2005-12-15,41733
2005-12-16,80533
2005-12-19,23733
2005-12-20,78133
2005-12-21,10667
2005-12-22,16400
2005-12-23,29467
2005-12-27,11200
2005-12-28,14267
2005-12-29,52400
2005-12-30,35467
2006-01-03,34133
2006-01-04,25067
2006-01-05,14267
2006-01-06,21867
2006-01-09,39467
2006-01-10,14000
2006-01-11,32400
2006-01-12,23200
2006-01-13,32533
2006-01-17,57600
2006-01-18,63867
2006-01-19,24933
2006-01-20,26000
2006-01-23,16933
2006-01-24,26267
2006-01-25,5333
2006-01-26,36267
2006-01-27,18933
2006-01-30,36667
2006-01-31,145200
2006-02-01,61333
2006-02-02,29333
2006-02-03,21333
2006-02-06,12133
2006-02-07,26133
2006-02-08,9333
2006-02-09,20133
2006-02-10,9200
2006-02-13,15333
2006-02-14,27867
2006-02-15,77067
2006-02-16,17600
2006-02-17,36933
2006-02-21,4933
2006-02-22,15200
2006-02-23,6133
2006-02-24,18800
2006-02-27,15333
2006-02-28,14533
2006-03-01,24267
2006-03-02,17200
2006-03-03,37333
2006-03-06,70533
2006-03-07,36267
2006-03-08,91733
2006-03-09,48800
2006-03-10,42800
2006-03-13,59733
2006-03-14,156400
2006-03-15,126533
2006-03-16,30133
2006-03-17,142933
2006-03-20,116400
2006-03-21,48267
2006-03-22,70133
2006-03-23,21600
2006-03-24,38933
2006-03-27,31333
2006-03-28,49467
2006-03-29,48133
2006-03-30,53067
2006-03-31,65733
2006-04-03,48133
2006-04-04,76133
2006-04-05,50267
2006-04-06,62133
2006-04-07,36000
2006-04-10,62133
2006-04-11,45200
2006-04-12,12933
2006-04-13,13067
2006-04-17,24667
2006-04-18,37200
2006-04-19,42000
2006-04-20,14933
2006-04-21,39867
2006-04-24,76667
2006-04-25,58667
2006-04-26,37867
2006-04-27,38100
2006-04-28,91100
2006-05-01,49800
2006-05-02,28500
2006-05-03,69600
2006-05-04,42500
2006-05-05,30100
2006-05-08,94000
2006-05-09,40300
2006-05-10,90100
2006-05-11,35800
2006-05-12,46600
2006-05-15,47100
2006-05-16,14300
2006-05-17,31900
2006-05-18,8200
2006-05-19,56100
2006-05-22,28300
2006-05-23,18700
2006-05-24,26500
2006-05-25,17900
2006-05-26,22300
2006-05-30,37300
2006-05-31,40600
2006-06-01,36500
2006-06-02,26300
2006-06-05,50000
2006-06-06,14600
2006-06-07,11800
2006-06-08,21600
2006-06-09,24500
2006-06-12,27100
2006-06-13,26300
2006-06-14,23700
2006-06-15,23800
2006-06-16,150200
2006-06-19,26600
2006-06-20,18200
2006-06-21,19400
2006-06-22,38400
2006-06-23,36800
2006-06-26,26300
2006-06-27,19200
2006-06-28,26300
2006-06-29,53200
2006-06-30,172900
2006-07-03,9600
2006-07-05,19100
2006-07-06,19700
2006-07-07,47100
2006-07-10,22000
2006-07-11,18500
2006-07-12,23400
2006-07-13,26800
2006-07-14,48900
2006-07-17,22900
2006-07-18,35500
2006-07-19,38100
2006-07-20,11100
2006-07-21,16800
2006-07-24,43600
2006-07-25,52000
2006-07-26,19300
2006-07-27,12600
2006-07-28,10100
2006-07-31,24400
2006-08-01,32100
2006-08-02,29200
2006-08-03,7700
2006-08-04,55600
2006-08-07,15100
2006-08-08,23000
2006-08-09,25700
2006-08-10,10300
2006-08-11,16500
2006-08-14,11700
2006-08-15,14300
2006-08-16,7500
2006-08-17,16600
2006-08-18,10200
2006-08-21,5100
2006-08-22,9800
2006-08-23,8100
2006-08-24,10300
2006-08-25,39400
2006-08-28,28700
2006-08-29,52800
2006-08-30,21200
2006-08-31,32900
2006-09-01,19200
2006-09-05,37200
2006-09-06,19900
2006-09-07,195200
2006-09-08,58900
2006-09-11,55200
2006-09-12,50300
2006-09-13,152400
2006-09-14,79200
2006-09-15,83800
2006-09-18,28200
2006-09-19,12600
2006-09-20,15800
2006-09-21,22500
2006-09-22,52200
2006-09-25,52400
2006-09-26,18500
2006-09-27,10300
2006-09-28,17900
2006-09-29,79900
2006-10-02,12400
2006-10-03,18800
2006-10-04,10400
2006-10-05,17400
2006-10-06,11700
2006-10-09,8000
2006-10-10,10900
2006-10-11,21700
2006-10-12,28500
2006-10-13,20500
2006-10-16,49400
2006-10-17,8100
2006-10-18,13400
2006-10-19,24200
2006-10-20,45800
2006-10-23,27900
2006-10-24,16400
2006-10-25,23500
2006-10-26,31300
2006-10-27,10900
2006-10-30,20200
2006-10-31,26100
2006-11-01,25100
2006-11-02,28400
2006-11-03,20100
2006-11-06,27700
2006-11-07,20300
2006-11-08,24700
2006-11-09,34700
2006-11-10,14500
2006-11-13,41400
2006-11-14,33200
2006-11-15,34900
2006-11-16,67900
2006-11-17,57300
2006-11-20,154900
2006-11-21,69300
2006-11-22,38100
2006-11-24,22200
2006-11-27,61400
2006-11-28,37000
2006-11-29,33200
2006-11-30,66500
2006-12-01,53800
2006-12-04,33600
2006-12-05,23900
2006-12-06,30200
2006-12-07,34200
2006-12-08,26200
2006-12-11,30300
2006-12-12,17100
2006-12-13,34700
2006-12-14,16100
2006-12-15,71400
2006-12-18,30600
2006-12-19,25600
2006-12-20,26700
2006-12-21,10900
2006-12-22,17800
2006-12-26,15800
2006-12-27,15600
2006-12-28,8700
2006-12-29,24900
2007-01-03,30100
2007-01-04,16800
2007-01-05,27700
2007-01-08,30300
2007-01-09,37800
2007-01-10,42300
2007-01-11,38200
2007-01-12,50600
2007-01-16,66100
2007-01-17,26900
2007-01-18,27700
2007-01-19,25100
2007-01-22,23200
2007-01-23,65800
2007-01-24,7000
2007-01-25,18800
2007-01-26,14400
2007-01-29,23200
2007-01-30,35200
2007-01-31,34100
2007-02-01,11700
2007-02-02,16900
2007-02-05,24000
