Date,volume
2000-03-27,68259
2000-03-28,709979
2000-03-29,47755
2000-03-30,655749
2000-03-31,220292
2000-04-03,4139676
2000-04-04,2687613
2000-04-05,3174872
2000-04-06,2151655
2000-04-07,2340380
2000-04-10,1633369
2000-04-11,1497930
2000-04-12,1092285
2000-04-13,1296794
2000-04-14,1141254
2000-04-17,2489984
2000-04-18,1162298
2000-04-19,739252
2000-04-20,718882
2000-04-24,701750
2000-04-25,981802
2000-04-26,4448732
2000-04-27,1577386
2000-04-28,1288295
2000-05-01,843260
2000-05-02,802250
2000-05-03,1164457
2000-05-04,1238247
2000-05-05,574944
2000-05-08,617707
2000-05-09,665597
2000-05-10,448138
2000-05-11,1236089
2000-05-12,847037
2000-05-15,220696
2000-05-16,508978
2000-05-17,532855
2000-05-18,424800
2000-05-19,540005
2000-05-22,218808
2000-05-23,382172
2000-05-24,559430
2000-05-25,704178
2000-05-26,405644
2000-05-30,994753
2000-05-31,484561
2000-06-01,836650
2000-06-02,757733
2000-06-05,595718
2000-06-06,654805
2000-06-07,1025240
2000-06-08,423586
2000-06-09,693926
2000-06-12,162285
2000-06-13,916646
2000-06-14,988143
2000-06-15,353843
2000-06-16,1538804
2000-06-19,842585
2000-06-20,824239
2000-06-21,706471
2000-06-22,669509
2000-06-23,451915
2000-06-26,796585
2000-06-27,445710
2000-06-28,1009996
2000-06-29,247407
2000-06-30,909631
2000-07-03,154865
2000-07-05,435862
2000-07-06,201541
2000-07-07,1077042
2000-07-10,1416045
2000-07-11,425744
2000-07-12,518421
2000-07-13,518556
2000-07-14,571841
2000-07-17,445170
2000-07-18,243899
2000-07-19,530966
2000-07-20,109134
2000-07-21,598956
2000-07-24,198843
2000-07-25,240122
2000-07-26,160666
2000-07-27,341567
2000-07-28,244304
2000-07-31,209500
2000-08-01,325784
2000-08-02,370166
2000-08-03,144883
2000-08-04,167951
2000-08-07,284774
2000-08-08,163499
2000-08-09,206397
2000-08-10,554574
2000-08-11,136519
2000-08-14,83368
2000-08-15,260762
2000-08-16,682999
2000-08-17,329831
2000-08-18,287337
2000-08-21,267507
2000-08-22,221506
2000-08-23,256445
2000-08-24,146367
2000-08-25,318364
2000-08-28,227846
2000-08-29,278569
2000-08-30,114800
2000-08-31,206802
2000-09-01,369491
2000-09-05,318364
2000-09-06,431815
2000-09-07,229060
2000-09-08,349796
2000-09-11,87415
2000-09-12,134091
2000-09-13,645631
2000-09-14,353303
2000-09-15,330910
2000-09-18,188995
2000-09-19,149739
2000-09-20,197359
2000-09-21,74735
2000-09-22,124783
2000-09-25,443551
2000-09-26,264809
2000-09-27,588434
2000-09-28,411850
2000-09-29,757329
2000-10-02,325244
2000-10-03,274791
2000-10-04,321332
2000-10-05,1147325
2000-10-06,135170
2000-10-09,134900
2000-10-10,168085
2000-10-11,142859
2000-10-12,227846
2000-10-13,381362
2000-10-16,338059
2000-10-17,657772
2000-10-18,222045
2000-10-19,184678
2000-10-20,207611
2000-10-23,164443
2000-10-24,141510
2000-10-25,379204
2000-10-26,259278
2000-10-27,175505
2000-10-30,312833
2000-10-31,1375575
2000-11-01,1619340
2000-11-02,2439936
2000-11-03,1424004
2000-11-06,259413
2000-11-07,443012
2000-11-08,268856
2000-11-09,294217
2000-11-10,244169
2000-11-13,309730
2000-11-14,151358
2000-11-15,321197
2000-11-16,171593
2000-11-17,113991
2000-11-20,118712
2000-11-21,214491
2000-11-22,146367
2000-11-24,58412
2000-11-27,158373
2000-11-28,187646
2000-11-29,607859
2000-11-30,469182
2000-12-01,194526
2000-12-04,225418
2000-12-05,179552
2000-12-06,545536
2000-12-07,956171
2000-12-08,803060
2000-12-11,672746
2000-12-12,380688
2000-12-13,367737
2000-12-14,188590
2000-12-15,1112790
2000-12-18,554439
2000-12-19,796854
2000-12-20,495758
2000-12-21,808186
2000-12-22,307302
2000-12-26,240392
2000-12-27,269260
2000-12-28,1775689
2000-12-29,526785
2001-01-02,262246
2001-01-03,248621
2001-01-04,200057
2001-01-05,319848
2001-01-08,404160
2001-01-09,294757
2001-01-10,159182
2001-01-11,173347
2001-01-12,323086
2001-01-16,417381
2001-01-17,412389
2001-01-18,316206
2001-01-19,1675053
2001-01-22,212737
2001-01-23,305953
2001-01-24,147311
2001-01-25,214221
2001-01-26,217998
2001-01-29,282481
2001-01-30,2475415
2001-01-31,888991
2001-02-01,707685
2001-02-02,433434
2001-02-05,276950
2001-02-06,628094
2001-02-07,874422
2001-02-08,151897
2001-02-09,409961
2001-02-12,365309
2001-02-13,253477
2001-02-14,160261
2001-02-15,144208
2001-02-16,324165
2001-02-20,190209
2001-02-21,131528
2001-02-22,201676
2001-02-23,87145
2001-02-26,288012
2001-02-27,143534
2001-02-28,357350
2001-03-01,269800
2001-03-02,178203
2001-03-05,440718
2001-03-06,477411
2001-03-07,114935
2001-03-08,132067
2001-03-09,238638
2001-03-12,106706
2001-03-13,500209
2001-03-14,244709
2001-03-15,184678
2001-03-16,434648
2001-03-19,245788
2001-03-20,195470
2001-03-21,99961
2001-03-22,213682
2001-03-23,200327
2001-03-26,709979
2001-03-27,430601
2001-03-28,385679
2001-03-29,179957
2001-03-30,422102
2001-04-02,392019
2001-04-03,402137
2001-04-04,280322
2001-04-05,151763
2001-04-06,216380
2001-04-09,183464
2001-04-10,157293
2001-04-11,226497
2001-04-12,136924
2001-04-16,153651
2001-04-17,169569
2001-04-18,304739
2001-04-19,431410
2001-04-20,183059
2001-04-23,112372
2001-04-24,79726
2001-04-25,163904
2001-04-26,294487
2001-04-27,321197
2001-04-30,199517
2001-05-01,373133
2001-05-02,324165
2001-05-03,97533
2001-05-04,128425
2001-05-07,295161
2001-05-08,312563
2001-05-09,389052
2001-05-10,333068
2001-05-11,121545
2001-05-14,267507
2001-05-15,282885
2001-05-16,253072
2001-05-17,454478
2001-05-18,240797
2001-05-21,254152
2001-05-22,164983
2001-05-23,532046
2001-05-24,328482
2001-05-25,462842
2001-05-29,162420
2001-05-30,295161
2001-05-31,202485
2001-06-01,222720
2001-06-04,203294
2001-06-05,296780
2001-06-06,856615
2001-06-07,251319
2001-06-08,121005
2001-06-11,173347
2001-06-12,103873
2001-06-13,83908
2001-06-14,211793
