Date,volume
2000-01-03,2660
2000-01-04,5480
2000-01-05,17420
2000-01-06,920
2000-01-07,1400
2000-01-10,4420
2000-01-11,2100
2000-01-12,2520
2000-01-13,6440
2000-01-14,3740
2000-01-18,2320
2000-01-19,3080
2000-01-20,4280
2000-01-21,6740
2000-01-24,4220
2000-01-25,10160
2000-01-26,5740
2000-01-27,5760
2000-01-28,4460
2000-01-31,9240
2000-02-01,2060
2000-02-02,10400
2000-02-03,9440
2000-02-04,5300
2000-02-07,4520
2000-02-08,4260
2000-02-09,3300
2000-02-10,8320
2000-02-11,3960
2000-02-14,2420
2000-02-15,4600
2000-02-16,4440
2000-02-17,2620
2000-02-18,2260
2000-02-22,4040
2000-02-23,46540
2000-02-24,13800
2000-02-25,4060
2000-02-28,2400
2000-02-29,15020
2000-03-01,5420
2000-03-02,10120
2000-03-03,4520
2000-03-06,2780
2000-03-07,11100
2000-03-08,3980
2000-03-09,3760
2000-03-10,7860
2000-03-13,2400
2000-03-14,5480
2000-03-15,3920
2000-03-16,8920
2000-03-17,3040
2000-03-20,900
2000-03-21,4720
2000-03-22,3140
2000-03-23,2040
2000-03-24,820
2000-03-27,3420
2000-03-28,3040
2000-03-29,1620
2000-03-30,2320
2000-03-31,3980
2000-04-03,3740
2000-04-04,3880
2000-04-05,720
2000-04-06,3040
2000-04-07,3060
2000-04-10,520
2000-04-11,1000
2000-04-12,1860
2000-04-13,4120
2000-04-14,1520
2000-04-17,4120
2000-04-18,1520
2000-04-19,2480
2000-04-20,2240
2000-04-24,2580
2000-04-25,12980
2000-04-26,1600
2000-04-27,4680
2000-04-28,1820
2000-05-01,2280
2000-05-02,1600
2000-05-03,940
2000-05-04,560
2000-05-05,2580
2000-05-08,1940
2000-05-09,560
2000-05-10,1460
2000-05-11,1660
2000-05-12,880
2000-05-15,1340
2000-05-16,2620
2000-05-17,1080
2000-05-18,2820
2000-05-19,4200
2000-05-22,1960
2000-05-23,680
2000-05-24,2320
2000-05-25,1020
2000-05-26,1200
2000-05-30,6180
2000-05-31,3540
2000-06-01,620
2000-06-02,1080
2000-06-05,1100
2000-06-06,1120
2000-06-07,3300
2000-06-08,740
2000-06-09,1000
2000-06-12,4580
2000-06-13,4020
2000-06-14,360
2000-06-15,7960
2000-06-16,6940
2000-06-19,1080
2000-06-20,640
2000-06-21,2680
2000-06-22,7120
2000-06-23,1180
2000-06-26,1120
2000-06-27,4300
2000-06-28,6560
2000-06-29,5420
2000-06-30,9680
2000-07-03,1120
2000-07-05,4400
2000-07-06,500
2000-07-07,2840
2000-07-10,5720
2000-07-11,960
2000-07-12,2580
2000-07-13,4000
2000-07-14,1880
2000-07-17,1820
2000-07-18,940
2000-07-19,880
2000-07-20,180
2000-07-21,960
2000-07-24,1900
2000-07-25,5540
2000-07-26,4400
2000-07-27,4700
2000-07-28,620
2000-07-31,3360
2000-08-01,5080
2000-08-02,960
2000-08-03,2600
2000-08-04,1140
2000-08-07,1120
2000-08-08,1400
2000-08-09,1420
2000-08-10,920
2000-08-11,2120
2000-08-14,560
2000-08-15,2180
2000-08-16,1980
2000-08-17,1120
2000-08-18,700
2000-08-21,1320
2000-08-22,1020
2000-08-23,1180
2000-08-24,1540
2000-08-25,3900
2000-08-28,6080
2000-08-29,3760
2000-08-30,9000
2000-08-31,10480
2000-09-01,800
2000-09-05,1780
2000-09-06,1500
2000-09-07,5520
2000-09-08,5340
2000-09-11,1900
2000-09-12,10140
2000-09-13,620
2000-09-14,44060
2000-09-15,3240
2000-09-18,500
2000-09-19,340
2000-09-20,3160
2000-09-21,3940
2000-09-22,5000
2000-09-25,9120
2000-09-26,5060
2000-09-27,3820
2000-09-28,10620
2000-09-29,10340
2000-10-02,6420
2000-10-03,3640
2000-10-04,1280
2000-10-05,3620
2000-10-06,2700
2000-10-09,3000
2000-10-10,5920
2000-10-11,1260
2000-10-12,5680
2000-10-13,1820
2000-10-16,2240
2000-10-17,1380
2000-10-18,1540
2000-10-19,4920
2000-10-20,280
2000-10-23,4780
2000-10-24,680
2000-10-25,1120
2000-10-26,520
2000-10-27,1540
2000-10-30,2880
2000-10-31,3000
2000-11-01,840
2000-11-02,3840
2000-11-03,860
2000-11-06,300
2000-11-07,520
2000-11-08,1920
2000-11-09,1820
2000-11-10,2680
2000-11-13,1840
