Date,volume
2000-01-03,5900
2000-01-04,3700
2000-01-05,2400
2000-01-06,10000
2000-01-07,2100
2000-01-10,6200
2000-01-11,28200
2000-01-12,3200
2000-01-13,14600
2000-01-14,37300
2000-01-18,6400
2000-01-19,3000
2000-01-20,3400
2000-01-21,9500
2000-01-24,9100
2000-01-25,3100
2000-01-26,5400
2000-01-27,6400
2000-01-28,3500
2000-01-31,3800
2000-02-01,13700
2000-02-02,4100
2000-02-03,800
2000-02-04,6500
2000-02-07,2500
2000-02-08,1000
2000-02-09,4600
2000-02-10,7300
2000-02-11,3000
2000-02-14,5300
2000-02-15,25600
2000-02-16,12000
2000-02-17,6700
2000-02-18,5200
2000-02-22,7000
2000-02-23,4800
2000-02-24,1900
2000-02-25,28100
2000-02-28,1100
2000-02-29,3700
2000-03-01,10900
2000-03-02,1100
2000-03-03,1500
2000-03-06,2800
2000-03-07,6900
2000-03-08,2600
2000-03-09,7400
2000-03-10,1200
2000-03-13,2300
2000-03-14,12600
2000-03-15,1900
2000-03-16,2300
2000-03-17,5600
2000-03-20,2600
2000-03-21,9400
2000-03-22,4500
2000-03-23,6000
2000-03-24,5700
2000-03-27,1400
2000-03-28,5600
2000-03-29,7800
2000-03-30,7800
2000-03-31,58400
2000-04-03,10400
2000-04-04,10500
2000-04-05,8100
2000-04-06,23200
2000-04-07,3800
2000-04-10,13300
2000-04-11,9300
2000-04-12,2600
2000-04-13,6400
2000-04-14,3600
2000-04-17,10600
2000-04-18,700
2000-04-19,13800
2000-04-20,3300
2000-04-24,12000
2000-04-25,6500
2000-04-26,11800
2000-04-27,9000
2000-04-28,1100
2000-05-01,2000
2000-05-02,5000
2000-05-03,500
2000-05-04,0
2000-05-05,3700
2000-05-08,3500
2000-05-09,1700
2000-05-10,400
2000-05-11,5900
2000-05-12,23600
2000-05-15,5300
2000-05-16,4800
2000-05-17,5600
2000-05-18,18300
2000-05-19,2800
2000-05-22,5400
2000-05-23,12400
2000-05-24,15600
2000-05-25,2000
2000-05-26,14200
2000-05-30,11700
2000-05-31,6100
2000-06-01,3300
2000-06-02,8300
2000-06-05,9700
2000-06-06,5900
2000-06-07,3200
2000-06-08,1900
2000-06-09,2800
2000-06-12,900
2000-06-13,1600
2000-06-14,1200
2000-06-15,2800
2000-06-16,48700
2000-06-19,1100
2000-06-20,4000
2000-06-21,9800
2000-06-22,5700
2000-06-23,7500
2000-06-26,2900
2000-06-27,22000
2000-06-28,5100
2000-06-29,12000
2000-06-30,54500
2000-07-03,2800
2000-07-05,13100
2000-07-06,1300
2000-07-07,2600
2000-07-10,14400
2000-07-11,1500
2000-07-12,5000
2000-07-13,3900
2000-07-14,2900
2000-07-17,3800
2000-07-18,500
2000-07-19,400
2000-07-20,300
2000-07-21,500
2000-07-24,1300
2000-07-25,1600
2000-07-26,2200
2000-07-27,4100
2000-07-28,8900
2000-07-31,3900
2000-08-01,7000
2000-08-02,1200
2000-08-03,700
2000-08-04,11500
2000-08-07,11200
2000-08-08,16000
2000-08-09,600
2000-08-10,100
2000-08-11,3900
2000-08-14,1900
2000-08-15,7500
2000-08-16,11800
2000-08-17,14200
2000-08-18,4900
2000-08-21,2900
2000-08-22,24100
2000-08-23,2300
2000-08-24,4000
2000-08-25,500
2000-08-28,26400
2000-08-29,7500
2000-08-30,2800
2000-08-31,4600
2000-09-01,100
2000-09-05,2200
2000-09-06,6700
2000-09-07,4800
2000-09-08,2000
2000-09-11,1500
2000-09-12,800
2000-09-13,1500
2000-09-14,1300
2000-09-15,8300
2000-09-18,4200
2000-09-19,2100
2000-09-20,6100
2000-09-21,0
2000-09-22,1700
2000-09-25,18000
2000-09-26,3300
2000-09-27,11100
2000-09-28,9700
2000-09-29,6700
2000-10-02,8300
2000-10-03,4400
2000-10-04,800
2000-10-05,14800
2000-10-06,17700
2000-10-09,16700
2000-10-10,1600
2000-10-11,14200
2000-10-12,21900
2000-10-13,7400
2000-10-16,5900
2000-10-17,400
2000-10-18,3900
2000-10-19,2800
2000-10-20,6500
2000-10-23,600
2000-10-24,2200
2000-10-25,4300
2000-10-26,1900
2000-10-27,1200
2000-10-30,1800
2000-10-31,7800
2000-11-01,6100
2000-11-02,2400
2000-11-03,700
2000-11-06,5500
2000-11-07,3000
2000-11-08,7300
2000-11-09,4500
2000-11-10,900
2000-11-13,1500
2000-11-14,2400
2000-11-15,3500
2000-11-16,1300
2000-11-17,4200
2000-11-20,10700
2000-11-21,2400
2000-11-22,5700
2000-11-24,5000
2000-11-27,4500
2000-11-28,2300
2000-11-29,3400
2000-11-30,5200
2000-12-01,8800
2000-12-04,5700
2000-12-05,6100
2000-12-06,3800
2000-12-07,6500
