Date,volume
2000-01-03,106500
2000-01-04,245100
2000-01-05,332400
2000-01-06,98250
2000-01-07,38250
2000-01-10,57150
2000-01-11,168750
2000-01-12,32550
2000-01-13,67500
2000-01-14,42150
2000-01-18,64350
2000-01-19,98400
2000-01-20,17400
2000-01-21,42300
2000-01-24,81300
2000-01-25,39300
2000-01-26,180150
2000-01-27,213450
2000-01-28,102150
2000-01-31,212400
2000-02-01,98550
2000-02-02,126600
2000-02-03,373050
2000-02-04,68400
2000-02-07,80850
2000-02-08,240900
2000-02-09,152550
2000-02-10,116700
2000-02-11,74850
2000-02-14,162150
2000-02-15,175800
2000-02-16,113250
2000-02-17,402150
2000-02-18,120150
2000-02-22,144900
2000-02-23,364500
2000-02-24,226200
2000-02-25,118950
2000-02-28,296700
2000-02-29,137700
2000-03-01,577350
2000-03-02,185100
2000-03-03,103350
2000-03-06,131550
2000-03-07,77700
2000-03-08,122250
2000-03-09,118200
2000-03-10,146850
2000-03-13,158700
2000-03-14,141600
2000-03-15,213750
2000-03-16,218550
2000-03-17,289500
2000-03-20,238800
2000-03-21,156450
2000-03-22,371850
2000-03-23,469200
2000-03-24,347550
2000-03-27,83400
2000-03-28,112500
2000-03-29,138450
2000-03-30,388500
2000-03-31,524850
2000-04-03,210000
2000-04-04,322650
2000-04-05,132750
2000-04-06,136200
2000-04-07,128700
2000-04-10,316950
2000-04-11,600450
2000-04-12,603750
2000-04-13,386850
2000-04-14,265950
2000-04-17,134100
2000-04-18,114600
2000-04-19,158100
2000-04-20,195750
2000-04-24,75450
2000-04-25,120150
2000-04-26,175500
2000-04-27,54600
2000-04-28,130800
2000-05-01,297450
2000-05-02,417150
2000-05-03,643350
2000-05-04,413250
2000-05-05,241950
2000-05-08,117300
2000-05-09,200400
2000-05-10,105000
2000-05-11,124650
2000-05-12,78000
2000-05-15,343200
2000-05-16,248250
2000-05-17,130800
2000-05-18,40350
2000-05-19,25050
2000-05-22,227100
2000-05-23,334500
2000-05-24,99150
2000-05-25,276300
2000-05-26,727950
2000-05-30,253500
2000-05-31,384900
2000-06-01,323700
2000-06-02,619650
2000-06-05,388800
2000-06-06,270600
2000-06-07,222150
2000-06-08,301200
2000-06-09,242100
2000-06-12,116250
2000-06-13,192600
2000-06-14,486600
2000-06-15,408000
2000-06-16,65100
2000-06-19,84000
2000-06-20,189900
2000-06-21,51750
2000-06-22,83550
2000-06-23,54150
2000-06-26,176550
2000-06-27,160950
2000-06-28,215100
2000-06-29,121500
2000-06-30,532200
2000-07-03,66450
2000-07-05,195000
2000-07-06,213450
2000-07-07,177600
2000-07-10,126900
2000-07-11,286650
2000-07-12,291600
2000-07-13,384000
2000-07-14,442800
2000-07-17,190950
2000-07-18,212800
2000-07-19,238800
2000-07-20,784600
2000-07-21,413100
2000-07-24,117000
2000-07-25,106800
2000-07-26,197000
2000-07-27,217400
2000-07-28,322200
2000-07-31,178900
2000-08-01,109200
2000-08-02,118500
2000-08-03,229500
2000-08-04,109500
2000-08-07,112500
2000-08-08,130300
2000-08-09,178700
2000-08-10,152400
2000-08-11,234900
2000-08-14,161100
2000-08-15,184000
2000-08-16,509600
2000-08-17,242800
2000-08-18,130400
2000-08-21,312500
2000-08-22,292300
2000-08-23,640500
2000-08-24,246000
2000-08-25,365400
2000-08-28,149400
2000-08-29,155600
2000-08-30,227400
2000-08-31,363100
2000-09-01,145300
2000-09-05,151400
2000-09-06,69600
2000-09-07,121300
2000-09-08,196400
2000-09-11,233300
2000-09-12,104400
2000-09-13,181900
2000-09-14,66700
2000-09-15,151700
2000-09-18,175900
2000-09-19,59100
2000-09-20,110200
2000-09-21,335900
2000-09-22,456900
2000-09-25,391800
2000-09-26,200600
2000-09-27,391900
2000-09-28,317000
2000-09-29,326600
2000-10-02,157400
2000-10-03,251500
2000-10-04,96900
2000-10-05,101300
2000-10-06,160400
2000-10-09,159000
2000-10-10,207200
2000-10-11,194200
2000-10-12,128000
2000-10-13,234700
2000-10-16,156400
2000-10-17,131800
2000-10-18,256000
2000-10-19,235000
2000-10-20,219400
2000-10-23,268100
2000-10-24,693300
2000-10-25,212200
2000-10-26,197600
2000-10-27,410600
2000-10-30,652200
2000-10-31,461700
2000-11-01,245100
2000-11-02,141500
2000-11-03,439600
2000-11-06,396200
2000-11-07,150800
2000-11-08,107700
2000-11-09,236400
2000-11-10,220100
2000-11-13,65300
2000-11-14,132100
2000-11-15,432900
2000-11-16,202100
2000-11-17,212900
2000-11-20,111500
2000-11-21,206700
2000-11-22,191200
2000-11-24,57600
2000-11-27,308400
2000-11-28,145000
2000-11-29,163800
2000-11-30,142300
2000-12-01,93000
2000-12-04,77700
2000-12-05,104200
2000-12-06,143200
2000-12-07,34500
2000-12-08,172000
2000-12-11,208200
2000-12-12,263800
2000-12-13,161500
2000-12-14,89200
2000-12-15,202600
2000-12-18,195700
2000-12-19,151200
2000-12-20,72700
2000-12-21,165900
2000-12-22,97000
2000-12-26,90300
2000-12-27,130700
2000-12-28,283900
2000-12-29,169200
2001-01-02,272400
2001-01-03,474900
2001-01-04,294000
2001-01-05,254900
2001-01-08,429000
2001-01-09,591400
2001-01-10,563800
2001-01-11,509800
2001-01-12,494700
2001-01-16,211600
2001-01-17,679400
2001-01-18,397800
2001-01-19,621800
2001-01-22,71400
2001-01-23,171100
2001-01-24,161800
2001-01-25,53600
2001-01-26,91700
2001-01-29,318400
2001-01-30,261700
2001-01-31,202300
2001-02-01,271100
2001-02-02,272300
2001-02-05,352600
2001-02-06,104800
2001-02-07,267300
2001-02-08,142900
2001-02-09,177200
2001-02-12,99000
2001-02-13,180500
2001-02-14,182300
2001-02-15,116300
2001-02-16,205400
2001-02-20,97000
2001-02-21,82000
2001-02-22,72500
2001-02-23,112600
2001-02-26,250900
2001-02-27,152800
2001-02-28,109700
2001-03-01,167200
2001-03-02,244100
2001-03-05,96200
2001-03-06,147500
2001-03-07,156300
2001-03-08,228500
2001-03-09,314900
2001-03-12,139200
2001-03-13,318400
2001-03-14,318600
2001-03-15,188600
2001-03-16,206100
2001-03-19,117900
2001-03-20,481200
2001-03-21,496600
2001-03-22,288500
2001-03-23,499500
2001-03-26,504000
2001-03-27,227600
2001-03-28,163600
2001-03-29,171700
2001-03-30,246500
2001-04-02,273900
2001-04-03,466200
2001-04-04,368300
2001-04-05,182300
2001-04-06,182100
2001-04-09,133400
2001-04-10,243100
2001-04-11,217800
2001-04-12,75600
2001-04-16,86000
2001-04-17,57800
2001-04-18,326600
2001-04-19,237200
2001-04-20,88700
2001-04-23,53100
2001-04-24,112000
2001-04-25,105100
2001-04-26,462500
2001-04-27,141900
2001-04-30,324900
2001-05-01,271600
2001-05-02,99400
2001-05-03,138500
2001-05-04,77300
2001-05-07,236400
2001-05-08,205800
2001-05-09,292500
2001-05-10,543000
2001-05-11,270700
2001-05-14,79800
2001-05-15,138700
2001-05-16,161000
2001-05-17,351200
2001-05-18,448900
2001-05-21,206800
2001-05-22,205500
2001-05-23,50900
2001-05-24,185000
2001-05-25,318000
2001-05-29,114200
2001-05-30,228300
2001-05-31,132700
2001-06-01,204000
2001-06-04,129200
2001-06-05,692500
2001-06-06,74800
2001-06-07,123700
2001-06-08,68200
2001-06-11,99200
2001-06-12,200600
2001-06-13,156200
2001-06-14,239100
2001-06-15,263400
2001-06-18,81600
2001-06-19,100300
2001-06-20,142900
2001-06-21,177900
2001-06-22,122600
2001-06-25,108200
2001-06-26,240600
2001-06-27,142400
2001-06-28,259700
2001-06-29,296800
2001-07-02,120600
2001-07-03,46100
2001-07-05,116200
2001-07-06,75300
2001-07-09,83700
2001-07-10,277700
2001-07-11,99300
2001-07-12,108400
2001-07-13,141300
2001-07-16,267800
2001-07-17,400200
2001-07-18,409100
2001-07-19,101400
2001-07-20,302800
2001-07-23,339800
2001-07-24,265000
2001-07-25,152100
2001-07-26,299200
2001-07-27,356400
2001-07-30,192500
2001-07-31,98700
2001-08-01,211400
2001-08-02,183900
2001-08-03,62700
2001-08-06,72000
2001-08-07,58900
2001-08-08,68000
2001-08-09,245400
2001-08-10,196500
2001-08-13,134500
2001-08-14,201900
2001-08-15,191800
2001-08-16,110100
2001-08-17,110200
2001-08-20,172400
2001-08-21,182900
2001-08-22,241700
2001-08-23,279900
2001-08-24,229300
2001-08-27,119300
2001-08-28,179400
2001-08-29,212800
2001-08-30,173800
2001-08-31,183800
2001-09-04,97900
2001-09-05,38300
2001-09-06,111600
2001-09-07,94500
2001-09-10,247600
2001-09-17,493000
2001-09-18,149300
2001-09-19,217500
2001-09-20,252500
2001-09-21,240900
2001-09-24,634200
2001-09-25,200700
2001-09-26,249700
2001-09-27,698000
2001-09-28,328400
2001-10-01,437800
2001-10-02,274600
2001-10-03,349500
2001-10-04,240200
2001-10-05,172700
2001-10-08,273400
2001-10-09,241700
2001-10-10,284800
2001-10-11,239000
2001-10-12,88600
2001-10-15,172400
2001-10-16,117300
2001-10-17,245600
2001-10-18,181100
2001-10-19,279400
2001-10-22,221000
2001-10-23,295700
2001-10-24,567600
2001-10-25,323400
2001-10-26,294000
2001-10-29,562900
2001-10-30,431500
2001-10-31,346000
2001-11-01,237400
2001-11-02,280800
2001-11-05,76900
2001-11-06,67900
2001-11-07,104500
2001-11-08,243400
2001-11-09,294000
2001-11-12,195900
2001-11-13,208300
2001-11-14,199100
2001-11-15,259000
2001-11-16,334000
2001-11-19,253700
2001-11-20,290800
2001-11-21,184600
2001-11-23,93700
2001-11-26,253600
2001-11-27,157300
2001-11-28,276000
2001-11-29,406100
2001-11-30,293000
2001-12-03,142100
2001-12-04,242300
2001-12-05,327400
2001-12-06,169400
2001-12-07,92000
2001-12-10,78800
2001-12-11,329500
2001-12-12,214100
2001-12-13,296500
2001-12-14,276900
2001-12-17,179200
2001-12-18,220000
2001-12-19,224300
2001-12-20,258000
2001-12-21,199300
2001-12-24,24700
2001-12-26,114700
2001-12-27,256200
2001-12-28,91100
2001-12-31,99000
2002-01-02,763700
2002-01-03,335600
2002-01-04,205300
2002-01-07,196400
2002-01-08,254900
2002-01-09,445200
2002-01-10,237100
2002-01-11,399300
2002-01-14,317300
2002-01-15,281200
2002-01-16,343200
2002-01-17,419100
2002-01-18,242300
2002-01-22,196600
2002-01-23,229500
2002-01-24,163400
2002-01-25,134500
2002-01-28,322500
2002-01-29,261600
2002-01-30,186700
2002-01-31,115800
2002-02-01,547800
2002-02-04,602000
2002-02-05,329000
2002-02-06,294600
2002-02-07,540000
2002-02-08,456800
2002-02-11,122200
2002-02-12,153000
2002-02-13,263900
2002-02-14,224800
2002-02-15,112500
2002-02-19,236200
2002-02-20,340800
2002-02-21,136700
2002-02-22,293000
2002-02-25,378600
2002-02-26,284400
2002-02-27,231800
2002-02-28,284800
2002-03-01,265200
2002-03-04,188100
2002-03-05,131200
2002-03-06,279800
2002-03-07,206200
2002-03-08,184300
2002-03-11,510400
2002-03-12,337800
2002-03-13,190000
2002-03-14,154600
2002-03-15,73800
2002-03-18,141000
2002-03-19,79300
2002-03-20,138900
2002-03-21,75000
2002-03-22,99600
2002-03-25,94300
2002-03-26,272200
2002-03-27,150800
2002-03-28,213700
2002-04-01,210400
2002-04-02,429600
2002-04-03,389300
2002-04-04,353700
2002-04-05,579500
2002-04-08,271700
2002-04-09,464000
2002-04-10,389000
2002-04-11,421000
2002-04-12,467000
2002-04-15,266800
2002-04-16,412300
2002-04-17,220100
2002-04-18,647300
2002-04-19,241500
2002-04-22,305800
2002-04-23,243300
2002-04-24,431600
2002-04-25,335500
2002-04-26,262900
2002-04-29,770600
2002-04-30,313000
2002-05-01,369600
2002-05-02,217900
2002-05-03,411700
2002-05-06,349000
2002-05-07,276000
2002-05-08,159700
2002-05-09,205400
2002-05-10,139200
2002-05-13,361800
2002-05-14,405600
2002-05-15,195200
2002-05-16,154400
2002-05-17,134600
2002-05-20,103900
2002-05-21,99100
2002-05-22,103000
2002-05-23,172600
2002-05-24,145100
2002-05-28,150800
2002-05-29,162700
2002-05-30,188400
2002-05-31,139200
2002-06-03,240000
2002-06-04,164900
2002-06-05,202500
2002-06-06,281800
2002-06-07,198000
2002-06-10,279800
2002-06-11,224900
2002-06-12,497200
2002-06-13,273100
2002-06-14,428500
2002-06-17,132700
2002-06-18,359900
2002-06-19,114200
2002-06-20,166400
2002-06-21,148800
2002-06-24,241900
2002-06-25,185800
2002-06-26,327600
2002-06-27,344000
2002-06-28,431400
2002-07-01,601200
2002-07-02,237200
2002-07-03,206400
2002-07-05,84200
2002-07-08,184400
2002-07-09,257900
2002-07-10,249000
2002-07-11,412100
2002-07-12,278300
2002-07-15,156600
2002-07-16,296200
2002-07-17,146900
2002-07-18,195600
2002-07-19,458400
2002-07-22,534700
2002-07-23,528100
2002-07-24,629600
2002-07-25,211600
2002-07-26,414100
2002-07-29,487400
2002-07-30,478100
2002-07-31,326600
2002-08-01,157600
2002-08-02,218000
2002-08-05,248600
2002-08-06,196800
2002-08-07,136800
2002-08-08,297800
2002-08-09,99100
2002-08-12,110200
2002-08-13,180700
2002-08-14,208000
2002-08-15,142300
2002-08-16,239400
2002-08-19,383400
2002-08-20,171100
2002-08-21,194400
2002-08-22,266500
2002-08-23,133200
2002-08-26,220600
2002-08-27,241700
2002-08-28,162400
2002-08-29,202800
2002-08-30,115300
2002-09-03,239400
2002-09-04,450600
2002-09-05,90900
2002-09-06,108400
2002-09-09,173100
2002-09-10,131600
2002-09-11,95900
2002-09-12,305700
2002-09-13,152200
2002-09-16,182600
2002-09-17,226800
2002-09-18,252400
2002-09-19,244900
2002-09-20,398500
2002-09-23,349600
2002-09-24,344800
2002-09-25,250300
2002-09-26,354200
2002-09-27,206600
2002-09-30,498400
2002-10-01,479400
2002-10-02,341300
2002-10-03,485700
2002-10-04,607400
