Date,volume
2017-11-09,100
2017-11-10,9885700
2017-11-13,2148100
2017-11-14,2226900
2017-11-15,917400
2017-11-16,940900
2017-11-17,869900
2017-11-20,437800
2017-11-21,2498500
2017-11-22,4301300
2017-11-24,2689800
2017-11-27,1096400
2017-11-28,882900
2017-11-29,840000
2017-11-30,653600
2017-12-01,1531200
2017-12-04,988600
2017-12-05,916400
2017-12-06,1993400
2017-12-07,3164600
2017-12-08,1406100
2017-12-11,1690600
2017-12-12,987600
2017-12-13,2085200
2017-12-14,1401800
2017-12-15,1004200
2017-12-18,1170700
2017-12-19,544600
2017-12-20,573300
2017-12-21,462000
2017-12-22,296400
2017-12-26,587400
2017-12-27,410400
2017-12-28,355800
2017-12-29,436600
2018-01-02,426000
2018-01-03,629200
2018-01-04,574300
2018-01-05,615300
2018-01-08,336600
2018-01-09,307800
2018-01-10,141400
2018-01-11,475600
2018-01-12,237800
2018-01-16,466500
2018-01-17,322100
2018-01-18,1895900
2018-01-19,479100
2018-01-22,549800
2018-01-23,376500
2018-01-24,1107800
2018-01-25,2254000
2018-01-26,1518400
2018-01-29,345600
2018-01-30,315200
2018-01-31,281800
2018-02-01,530700
2018-02-02,353000
2018-02-05,883700
2018-02-06,516200
2018-02-07,202600
2018-02-08,364700
2018-02-09,644100
2018-02-12,145900
2018-02-13,509300
2018-02-14,600200
2018-02-15,245100
2018-02-16,150000
2018-02-20,164700
2018-02-21,231300
2018-02-22,72200
2018-02-23,239200
2018-02-26,286700
2018-02-27,382700
2018-02-28,143200
2018-03-01,216700
2018-03-02,209600
2018-03-05,336900
2018-03-06,246500
2018-03-07,224100
2018-03-08,670000
2018-03-09,531300
2018-03-12,1031600
2018-03-13,643700
2018-03-14,286400
2018-03-15,906900
2018-03-16,231400
2018-03-19,337200
2018-03-20,366600
2018-03-21,840000
2018-03-22,855100
2018-03-23,662100
2018-03-26,852400
2018-03-27,338100
2018-03-28,201000
2018-03-29,388600
2018-04-02,293200
2018-04-03,391900
2018-04-04,176600
2018-04-05,227300
2018-04-06,361100
2018-04-09,105500
2018-04-10,311100
2018-04-11,450500
2018-04-12,310600
2018-04-13,436200
2018-04-16,361800
2018-04-17,545800
2018-04-18,479400
2018-04-19,239500
2018-04-20,189500
2018-04-23,107800
2018-04-24,116400
2018-04-25,104000
2018-04-26,177700
2018-04-27,300300
2018-04-30,255200
2018-05-01,208200
2018-05-02,75000
2018-05-03,95100
2018-05-04,67800
2018-05-07,104600
2018-05-08,187600
