Date,volume
2013-01-10,32667163
2013-01-11,57032721
2013-01-14,13067090
2013-01-15,4345002
2013-01-16,4339936
2013-01-17,5191036
2013-01-18,3007559
2013-01-22,4789690
2013-01-23,5070576
2013-01-24,4884257
2013-01-25,2476184
2013-01-28,3578899
2013-01-29,3319966
2013-01-30,2892165
2013-01-31,4491918
2013-02-01,6656257
2013-02-04,2220066
2013-02-05,5720159
2013-02-06,2913555
2013-02-07,1750610
2013-02-08,2492508
2013-02-11,1087517
2013-02-12,3363872
2013-02-13,2536977
2013-02-14,1318305
2013-02-15,1609322
2013-02-19,1265955
2013-02-20,1196719
2013-02-21,3225400
2013-02-22,2749752
2013-02-25,1816469
2013-02-26,2572439
2013-02-27,4164875
2013-02-28,6657945
2013-03-01,3332913
2013-03-04,2249336
2013-03-05,1380223
2013-03-06,2625351
2013-03-07,2882032
2013-03-08,1676870
2013-03-11,2840378
2013-03-12,1923419
2013-03-13,2122684
2013-03-14,1565416
2013-03-15,2696276
2013-03-18,3191063
2013-03-19,3396520
2013-03-20,3295199
2013-03-21,3780416
2013-03-22,1447771
2013-03-25,911893
2013-03-26,1182084
2013-03-27,1399925
2013-03-28,3758463
2013-04-01,1814780
2013-04-02,1526577
2013-04-03,1950438
2013-04-04,1360522
2013-04-05,1309298
2013-04-08,1202911
2013-04-09,873053
2013-04-10,877556
2013-04-11,6246468
2013-04-12,3604792
2013-04-15,3027260
2013-04-16,1838984
2013-04-17,2980539
2013-04-18,1676870
2013-04-19,1093146
2013-04-22,1229367
2013-04-23,937786
2013-04-24,1390918
2013-04-25,1208540
2013-04-26,1295226
2013-04-29,1389793
2013-04-30,3483769
2013-05-01,3497842
2013-05-02,1295226
2013-05-03,1246254
2013-05-06,2453668
2013-05-07,4653469
2013-05-08,2773393
2013-05-09,1901466
2013-05-10,1341383
2013-05-13,2242582
2013-05-14,3925081
2013-05-15,3775350
2013-05-16,3021631
2013-05-17,2782400
2013-05-20,2842630
2013-05-21,3734821
2013-05-22,4155868
2013-05-23,4417615
2013-05-24,2381054
2013-05-28,4090572
2013-05-29,11095262
2013-05-30,5338515
2013-05-31,8041546
2013-06-03,5428578
2013-06-04,24926767
2013-06-05,5466855
2013-06-06,3724689
2013-06-07,4831908
2013-06-10,2915806
2013-06-11,2337148
2013-06-12,3088616
2013-06-13,4244806
2013-06-14,5421824
2013-06-17,3542311
2013-06-18,3849652
2013-06-19,2558930
2013-06-20,5185970
2013-06-21,7309217
2013-06-24,5754496
2013-06-25,3125204
2013-06-26,2829120
2013-06-27,4405795
2013-06-28,7559143
2013-07-01,3466882
2013-07-02,4077063
2013-07-03,1760742
2013-07-05,2005039
2013-07-08,4275202
2013-07-09,6669766
2013-07-10,4457581
2013-07-11,3901439
2013-07-12,4768300
2013-07-15,3927332
2013-07-16,4379338
2013-07-17,3997694
2013-07-18,5331760
2013-07-19,3809124
2013-07-22,3658830
2013-07-23,3277186
2013-07-24,4720454
2013-07-25,3520358
2013-07-26,3012062
2013-07-29,3118449
2013-07-30,2851073
2013-07-31,3970112
2013-08-01,3008121
2013-08-02,6222826
2013-08-05,2969844
2013-08-06,4108022
2013-08-07,2100169
2013-08-08,1540649
2013-08-09,2305063
2013-08-12,2583134
2013-08-13,1902592
2013-08-14,2022489
2013-08-15,2153081
2013-08-16,3600289
2013-08-19,2818988
2013-08-20,3327847
2013-08-21,2187418
2013-08-22,1217546
2013-08-23,1701638
2013-08-26,2381054
2013-08-27,2014608
2013-08-28,1753424
2013-08-29,1947624
2013-08-30,1345887
2013-09-03,2742997
2013-09-04,3072292
2013-09-05,4090572
2013-09-06,4587610
2013-09-09,2498137
2013-09-10,1851368
2013-09-11,3477015
2013-09-12,2051197
2013-09-13,2198113
2013-09-16,2514461
2013-09-17,3343045
2013-09-18,3406652
2013-09-19,3912134
2013-09-20,5688074
2013-09-23,3061597
2013-09-24,2187418
2013-09-25,2869086
2013-09-26,3892995
2013-09-27,2847133
2013-09-30,2860080
2013-10-01,1978020
2013-10-02,1027287
2013-10-03,2122684
2013-10-04,3562575
2013-10-07,2576942
2013-10-08,3547377
2013-10-09,3163481
2013-10-10,4915779
2013-10-11,15608570
2013-10-14,4983890
2013-10-15,3918326
2013-10-16,6265043
2013-10-17,5288417
2013-10-18,2090036
2013-10-21,2093414
2013-10-22,5416758
2013-10-23,2785214
2013-10-24,4059050
2013-10-25,7196638
2013-10-28,5680193
2013-10-29,4772803
2013-10-30,2227946
2013-10-31,3522046
2013-11-01,3638003
2013-11-04,3681346
2013-11-05,2956335
2013-11-06,2819551
2013-11-07,3877234
2013-11-08,1743855
2013-11-11,1556973
2013-11-12,8106842
2013-11-13,5418446
2013-11-14,2549923
2013-11-15,3299702
2013-11-18,2967030
2013-11-19,2512772
2013-11-20,3732007
2013-11-21,3292947
2013-11-22,6592086
2013-11-25,3148283
2013-11-26,4673734
2013-11-27,2858954
2013-11-29,1573860
2013-12-02,2882595
2013-12-03,4171067
2013-12-04,4059613
2013-12-05,3223711
2013-12-06,4319671
2013-12-09,2744123
2013-12-10,2961401
2013-12-11,4575789
2013-12-12,4418741
2013-12-13,2812233
2013-12-16,2398504
2013-12-17,2841504
2013-12-18,6936579
2013-12-19,5496126
2013-12-20,8691129
2013-12-23,1877824
2013-12-24,1326748
2013-12-26,1289034
2013-12-27,1520948
2013-12-30,1596376
2013-12-31,1782132
2014-01-02,3287318
2014-01-03,2780148
2014-01-06,20681398
2014-01-07,10421475
2014-01-08,8111345
2014-01-09,4275202
2014-01-10,7797249
2014-01-13,5543972
2014-01-14,5506821
2014-01-15,5232127
2014-01-16,3379071
2014-01-17,5537780
2014-01-21,3775913
2014-01-22,4531321
2014-01-23,4594928
2014-01-24,6868469
2014-01-27,6561127
2014-01-28,6610662
2014-01-29,8792451
2014-01-30,6162033
2014-01-31,4592113
2014-02-03,5031736
2014-02-04,5594633
2014-02-05,10505909
2014-02-06,6284745
2014-02-07,6576888
2014-02-10,3619428
2014-02-11,5215240
2014-02-12,4029779
2014-02-13,12473234
2014-02-14,4655158
2014-02-18,3059345
2014-02-19,4693998
2014-02-20,4652343
2014-02-21,4879754
2014-02-24,3371753
2014-02-25,2495885
2014-02-26,2788029
2014-02-27,2871337
2014-02-28,4501487
2014-03-03,3059345
2014-03-04,6050580
2014-03-05,4553274
2014-03-06,3592971
2014-03-07,1893023
2014-03-10,2759321
2014-03-11,3954914
2014-03-12,4288712
2014-03-13,3847401
2014-03-14,25062988
2014-03-17,3738199
2014-03-18,3514166
2014-03-19,4910150
2014-03-20,3552443
2014-03-21,6423780
2014-03-24,12715280
2014-03-25,6205939
2014-03-26,4262819
2014-03-27,5807971
2014-03-28,3475889
2014-03-31,5430830
2014-04-01,3201758
2014-04-02,14728762
2014-04-03,3561449
2014-04-04,4102393
2014-04-07,4606186
2014-04-08,3550754
2014-04-09,3362184
2014-04-10,6953466
2014-04-11,4935481
2014-04-14,3916074
2014-04-15,4363577
2014-04-16,2512209
2014-04-17,3598037
2014-04-21,2579194
2014-04-22,4968692
2014-04-23,3406652
2014-04-24,2515587
2014-04-25,3092556
2014-04-28,6148524
2014-04-29,2653496
2014-04-30,2794783
2014-05-01,2017986
2014-05-02,2596644
2014-05-05,1081325
2014-05-06,2226820
2014-05-07,3047524
2014-05-08,3637440
2014-05-09,2930442
2014-05-12,3317715
2014-05-13,5238882
2014-05-14,6368616
2014-05-15,5385798
2014-05-16,4469965
2014-05-19,5137561
2014-05-20,4096764
2014-05-21,5488245
2014-05-22,5621089
2014-05-23,6600530
2014-05-27,3532178
2014-05-28,5875519
2014-05-29,9340149
2014-05-30,8035917
2014-06-02,4625887
2014-06-03,8170450
2014-06-04,6699037
2014-06-05,4377650
2014-06-06,3958292
2014-06-09,3351489
2014-06-10,8514942
2014-06-11,3810812
2014-06-12,3573833
2014-06-13,2574128
2014-06-16,4513871
2014-06-17,4048355
2014-06-18,4543704
2014-06-19,2961964
2014-06-20,4379338
