Date,volume
2010-04-15,1839025
2010-04-16,252595
2010-04-19,236464
2010-04-20,174795
2010-04-21,120784
2010-04-22,88010
2010-04-23,162849
2010-04-26,125991
2010-04-27,199197
2010-04-28,149679
2010-04-29,135895
2010-04-30,199810
2010-05-03,116496
2010-05-04,194398
2010-05-05,157234
2010-05-06,681620
2010-05-07,120478
2010-05-10,97914
2010-05-11,59626
2010-05-12,77392
2010-05-13,36041
2010-05-14,109043
2010-05-17,150802
2010-05-18,134262
2010-05-19,227887
2010-05-20,174387
2010-05-21,86274
2010-05-24,44720
2010-05-25,96076
2010-05-26,57176
2010-05-27,50233
2010-05-28,55747
2010-06-01,41657
2010-06-02,13069
2010-06-03,36552
2010-06-04,17357
2010-06-07,54317
2010-06-08,58605
2010-06-09,18582
2010-06-10,16949
2010-06-11,42678
2010-06-14,46558
2010-06-15,57176
2010-06-16,45537
2010-06-17,42065
2010-06-18,70653
2010-06-21,156621
2010-06-22,154784
2010-06-23,138039
2010-06-24,71470
2010-06-25,916858
2010-06-28,39002
2010-06-29,39002
2010-06-30,37573
2010-07-01,71266
2010-07-02,24096
2010-07-06,73512
2010-07-07,44924
2010-07-08,31243
2010-07-09,29711
2010-07-12,25525
2010-07-13,119049
2010-07-14,53092
2010-07-15,13579
2010-07-16,20216
2010-07-19,40738
2010-07-20,19807
2010-07-21,65242
2010-07-22,34204
2010-07-23,36960
2010-07-26,46353
2010-07-27,22666
2010-07-28,28894
2010-07-29,17868
2010-07-30,26648
2010-08-02,26240
2010-08-03,24810
2010-08-04,41350
2010-08-05,24096
2010-08-06,70960
2010-08-09,43903
2010-08-10,32876
2010-08-11,110472
2010-08-12,82803
2010-08-13,31957
2010-08-16,52479
2010-08-17,44822
2010-08-18,45026
2010-08-19,37471
2010-08-20,41248
2010-08-23,29405
2010-08-24,33897
2010-08-25,16234
2010-08-26,23993
2010-08-27,35633
2010-08-30,19195
2010-08-31,42167
2010-09-01,67897
2010-09-02,23177
2010-09-03,34510
2010-09-07,67794
2010-09-08,48600
2010-09-09,16642
2010-09-10,39206
2010-09-13,52684
2010-09-14,40023
2010-09-15,15723
2010-09-16,28996
2010-09-17,30222
2010-09-20,44107
2010-09-21,98935
2010-09-22,54623
2010-09-23,98731
2010-09-24,60545
2010-09-27,22666
2010-09-28,80149
2010-09-29,52479
2010-09-30,61975
2010-10-01,67284
2010-10-04,34306
2010-10-05,72695
2010-10-06,37573
2010-10-07,91686
2010-10-08,73614
2010-10-11,35020
2010-10-12,13579
2010-10-13,32264
2010-10-14,22462
2010-10-15,40023
2010-10-18,24708
2010-10-19,35939
2010-10-20,21645
2010-10-21,47170
2010-10-22,27975
2010-10-25,35939
2010-10-26,22666
2010-10-27,40840
2010-10-28,33693
2010-10-29,84028
2010-11-01,31243
2010-11-02,37573
2010-11-03,27465
2010-11-04,72185
2010-11-05,28690
2010-11-08,33183
2010-11-09,47272
2010-11-10,55849
2010-11-11,85764
2010-11-12,47783
2010-11-15,63812
2010-11-16,61260
2010-11-17,40636
2010-11-18,20624
2010-11-19,23891
2010-11-22,143042
2010-11-23,32059
2010-11-24,46966
2010-11-26,15315
2010-11-29,91686
2010-11-30,260151
2010-12-01,60954
2010-12-02,27261
2010-12-03,19093
2010-12-06,23279
2010-12-07,53602
2010-12-08,33999
2010-12-09,28486
2010-12-10,40738
2010-12-13,54215
2010-12-14,40738
2010-12-15,80965
2010-12-16,60035
2010-12-17,91073
2010-12-20,33285
2010-12-21,25014
2010-12-22,30119
2010-12-23,27975
2010-12-27,43086
2010-12-28,17970
2010-12-29,32876
2010-12-30,188783
2010-12-31,36858
2011-01-03,52581
2011-01-04,52786
2011-01-05,19093
2011-01-06,25117
2011-01-07,17153
2011-01-10,41350
2011-01-11,35429
2011-01-12,30936
2011-01-13,29609
2011-01-14,26750
2011-01-18,37675
2011-01-19,81578
2011-01-20,140796
2011-01-21,57891
2011-01-24,42576
2011-01-25,28077
2011-01-26,22360
2011-01-27,24096
2011-01-28,33999
2011-01-31,24912
2011-02-01,46353
2011-02-02,8474
2011-02-03,20318
2011-02-04,32672
2011-02-07,31038
2011-02-08,21543
2011-02-09,19195
2011-02-10,18378
2011-02-11,32059
2011-02-14,20216
2011-02-15,17255
2011-02-16,18174
2011-02-17,21747
2011-02-18,14498
2011-02-22,22666
2011-02-23,24402
2011-02-24,26444
2011-02-25,21441
2011-02-28,19195
2011-03-01,35122
2011-03-02,25933
2011-03-03,15315
2011-03-04,24504
2011-03-07,26648
2011-03-08,20522
2011-03-09,20012
2011-03-10,69836
2011-03-11,28384
2011-03-14,6841
2011-03-15,33693
2011-03-16,21645
2011-03-17,26852
2011-03-18,30936
2011-03-21,27975
2011-03-22,12660
2011-03-23,7657
2011-03-24,12967
2011-03-25,12456
2011-03-28,15621
2011-03-29,20930
2011-03-30,54317
2011-03-31,156519
2011-04-01,1389479
2011-04-04,283838
2011-04-05,183984
2011-04-06,130892
2011-04-07,109962
2011-04-08,103223
2011-04-11,79332
2011-04-12,90563
2011-04-13,57584
2011-04-14,78719
2011-04-15,98731
2011-04-18,62894
2011-04-19,60341
2011-04-20,47885
2011-04-21,41759
2011-04-25,36143
2011-04-26,68918
2011-04-27,70653
2011-04-28,154273
2011-04-29,185822
2011-05-02,83007
2011-05-03,73920
2011-05-04,83722
2011-05-05,54419
2011-05-06,67386
2011-05-09,176531
2011-05-10,70653
2011-05-11,70551
2011-05-12,43597
2011-05-13,88623
2011-05-16,78617
2011-05-17,69632
2011-05-18,72593
2011-05-19,113331
2011-05-20,49110
2011-05-23,79434
2011-05-24,47987
2011-05-25,94340
2011-05-26,271688
2011-05-27,82293
2011-05-31,88419
2011-06-01,114965
2011-06-02,42780
2011-06-03,55134
2011-06-06,56972
2011-06-07,38288
2011-06-08,55849
2011-06-09,66263
2011-06-10,71674
2011-06-13,76167
2011-06-14,38185
2011-06-15,75146
2011-06-16,76677
2011-06-17,111289
2011-06-20,38288
2011-06-21,32264
2011-06-22,35327
2011-06-23,76167
2011-06-24,413301
2011-06-27,70551
2011-06-28,78004
2011-06-29,51356
2011-06-30,101079
2011-07-01,75350
2011-07-05,61056
2011-07-06,96689
2011-07-07,74023
2011-07-08,43903
2011-07-11,55747
2011-07-12,87398
2011-07-13,73512
2011-07-14,70653
2011-07-15,64936
2011-07-18,55338
2011-07-19,50948
2011-07-20,62894
2011-07-21,73818
2011-07-22,47681
2011-07-25,54930
2011-07-26,42371
2011-07-27,106082
2011-07-28,52071
2011-07-29,130280
2011-08-01,64017
2011-08-02,107715
2011-08-03,138856
2011-08-04,115373
2011-08-05,129871
2011-08-08,263826
2011-08-09,183065
2011-08-10,178879
2011-08-11,103121
2011-08-12,52684
2011-08-15,64119
2011-08-16,89644
2011-08-17,36143
2011-08-18,51663
2011-08-19,49314
2011-08-22,63608
