Date,volume
2021-10-28,18618900
2021-10-29,4639400
2021-11-01,9946500
2021-11-02,4122500
2021-11-03,2642300
2021-11-04,3985400
2021-11-05,4222100
2021-11-08,3012100
2021-11-09,1947200
2021-11-10,1543700
2021-11-11,1762700
2021-11-12,1703200
2021-11-15,1430500
2021-11-16,1136900
2021-11-17,1432800
2021-11-18,2831800
2021-11-19,2389400
2021-11-22,4244800
2021-11-23,1562000
2021-11-24,1998400
2021-11-26,1454300
2021-11-29,3822400
2021-11-30,3490800
2021-12-01,3172700
2021-12-02,1914800
2021-12-03,1916500
2021-12-06,2775700
2021-12-07,2769400
2021-12-08,1785200
2021-12-09,1505400
2021-12-10,1881500
2021-12-13,1324800
2021-12-14,1377400
2021-12-15,1854100
2021-12-16,2031300
2021-12-17,5666900
2021-12-20,2706600
2021-12-21,2132300
2021-12-22,840500
2021-12-23,751200
2021-12-27,756200
2021-12-28,1039000
2021-12-29,734400
2021-12-30,1051100
2021-12-31,866100
2022-01-03,1766500
2022-01-04,1988400
2022-01-05,1907400
2022-01-06,1155500
2022-01-07,1175800
2022-01-10,1610400
2022-01-11,1118100
2022-01-12,790600
2022-01-13,1739700
2022-01-14,910300
2022-01-18,1428000
2022-01-19,3384700
2022-01-20,2321500
2022-01-21,4229100
2022-01-24,3712700
2022-01-25,2295800
2022-01-26,2929200
2022-01-27,5039400
2022-01-28,2978200
2022-01-31,1914200
2022-02-01,1587000
2022-02-02,1592300
2022-02-03,1940900
2022-02-04,2250600
2022-02-07,3346900
2022-02-08,3659100
2022-02-09,6095600
2022-02-10,3414000
2022-02-11,3109900
2022-02-14,1567700
2022-02-15,2983400
2022-02-16,2309600
2022-02-17,2529700
2022-02-18,2917100
2022-02-22,1577700
2022-02-23,1239800
2022-02-24,5208300
2022-02-25,4204100
2022-02-28,3105900
2022-03-01,1800100
2022-03-02,916600
2022-03-03,3400700
2022-03-04,1550500
2022-03-07,2190900
2022-03-08,1750000
2022-03-09,1425300
2022-03-10,1321300
2022-03-11,1139000
2022-03-14,1517300
2022-03-15,4094100
2022-03-16,3146000
2022-03-17,4791100
2022-03-18,3745000
2022-03-21,3083000
2022-03-22,2206700
2022-03-23,3641000
2022-03-24,3591500
2022-03-25,4247400
2022-03-28,3416600
2022-03-29,3797900
2022-03-30,4527400
2022-03-31,3846400
2022-04-01,2951100
2022-04-04,1872500
2022-04-05,3234900
2022-04-06,2510700
2022-04-07,2021000
2022-04-08,1563300
2022-04-11,1716000
2022-04-12,3008700
2022-04-13,1472700
2022-04-14,2125600
2022-04-18,1289000
2022-04-19,1180400
2022-04-20,2143200
2022-04-21,2490900
2022-04-22,1445800
2022-04-25,1538800
2022-04-26,2164700
2022-04-27,1845700
2022-04-28,1400600
2022-04-29,1353600
2022-05-02,1913500
2022-05-03,1177600
2022-05-04,1454400
2022-05-05,1386600
2022-05-06,1715200
2022-05-09,2574100
2022-05-10,3187900
2022-05-11,5131600
2022-05-12,3299400
2022-05-13,2418800
2022-05-16,2063500
2022-05-17,2879300
2022-05-18,1478100
2022-05-19,1732600
2022-05-20,1673800
2022-05-23,1429900
2022-05-24,3480700
2022-05-25,2768000
2022-05-26,2248400
2022-05-27,2701400
2022-05-31,2464400
2022-06-01,2554100
2022-06-02,1571900
2022-06-03,1285600
2022-06-06,1554300
2022-06-07,1641500
2022-06-08,1015500
2022-06-09,1197000
2022-06-10,2219900
2022-06-13,2348200
2022-06-14,1914600
2022-06-15,1609300
2022-06-16,1916200
2022-06-17,2845900
2022-06-21,1395600
2022-06-22,2779400
2022-06-23,3027300
2022-06-24,3116600
2022-06-27,1363400
2022-06-28,2291400
2022-06-29,1591200
2022-06-30,3134900
2022-07-01,3541500
2022-07-05,2375800
2022-07-06,2703500
2022-07-07,2169100
2022-07-08,2591500
2022-07-11,1854400
2022-07-12,3120900
2022-07-13,1999300
2022-07-14,1917000
2022-07-15,3298300
2022-07-18,2827900
2022-07-19,2672800
2022-07-20,1607300
2022-07-21,1767600
2022-07-22,1502100
2022-07-25,2869500
2022-07-26,1365300
2022-07-27,1911200
2022-07-28,1587000
2022-07-29,4238400
2022-08-01,6242900
2022-08-02,2538900
2022-08-03,1638300
2022-08-04,2531600
2022-08-05,1601000
2022-08-08,5421300
2022-08-09,4050400
2022-08-10,3277600
2022-08-11,2438700
2022-08-12,7078500
2022-08-15,2105200
2022-08-16,1692300
2022-08-17,1719900
2022-08-18,2081100
2022-08-19,1731600
2022-08-22,1455600
2022-08-23,987800
2022-08-24,815800
2022-08-25,2802200
2022-08-26,2303500
2022-08-29,1099400
2022-08-30,2187300
2022-08-31,1856800
2022-09-01,2405300
2022-09-02,1312000
2022-09-06,3869100
2022-09-07,1751500
2022-09-08,2558000
2022-09-09,1749300
2022-09-12,1694900
2022-09-13,1782400
2022-09-14,1300100
2022-09-15,983000
2022-09-16,4092800
2022-09-19,1433400
2022-09-20,752600
2022-09-21,1351300
2022-09-22,1819100
2022-09-23,1873100
2022-09-26,885100
2022-09-27,1161200
2022-09-28,1468100
2022-09-29,1805700
2022-09-30,1494200
2022-10-03,2024500
2022-10-04,1266000
2022-10-05,1148200
2022-10-06,1555300
2022-10-07,1273500
2022-10-10,1092300
2022-10-11,2034800
2022-10-12,930100
2022-10-13,2397500
2022-10-14,1679800
2022-10-17,1356500
2022-10-18,1666200
2022-10-19,1090600
2022-10-20,1212900
2022-10-21,1267800
2022-10-24,3119400
2022-10-25,2064400
2022-10-26,1615300
2022-10-27,1264000
2022-10-28,1662200
2022-10-31,1357800
2022-11-01,1292100
2022-11-02,1600800
2022-11-03,2483200
2022-11-04,1989800
2022-11-07,1921900
2022-11-08,4894800
2022-11-09,2736400
2022-11-10,4138100
2022-11-11,3547000
2022-11-14,1740200
2022-11-15,3108700
2022-11-16,1512100
2022-11-17,1673500
2022-11-18,1529400
2022-11-21,1006100
2022-11-22,1698800
2022-11-23,1283300
2022-11-25,452100
2022-11-28,1782700
2022-11-29,2061800
2022-11-30,2418500
2022-12-01,1617000
2022-12-02,1755200
2022-12-05,1340300
2022-12-06,1163300
2022-12-07,1125400
2022-12-08,1866400
2022-12-09,1297900
2022-12-12,3411800
2022-12-13,2776200
2022-12-14,2752300
2022-12-15,2738300
2022-12-16,25953400
2022-12-19,2072900
2022-12-20,1569300
2022-12-21,1694400
2022-12-22,1858100
2022-12-23,747100
2022-12-27,1072600
2022-12-28,853300
2022-12-29,1191500
2022-12-30,1246300
2023-01-03,2295700
2023-01-04,1462500
2023-01-05,1361800
2023-01-06,2145600
2023-01-09,1216300
2023-01-10,802500
2023-01-11,1354200
2023-01-12,1250500
2023-01-13,1108100
2023-01-17,1335400
2023-01-18,1371800
2023-01-19,1222900
2023-01-20,1764000
2023-01-23,2277600
2023-01-24,1360200
2023-01-25,1188000
2023-01-26,1089500
2023-01-27,1336900
2023-01-30,1177600
2023-01-31,1214900
2023-02-01,1634400
2023-02-02,2397900
2023-02-03,1716600
2023-02-06,865600
2023-02-07,2359400
2023-02-08,1778000
2023-02-09,2923700
2023-02-10,1725000
2023-02-13,2359400
2023-02-14,6877400
2023-02-15,4296600
2023-02-16,2370500
2023-02-17,1857300
2023-02-21,2560400
2023-02-22,1328400
2023-02-23,1342600
2023-02-24,1105100
2023-02-27,1161700
2023-02-28,1201000
2023-03-01,1319400
2023-03-02,884000
2023-03-03,986200
2023-03-06,822400
2023-03-07,1144700
2023-03-08,1352900
2023-03-09,1331500
2023-03-10,1010300
2023-03-13,1066900
2023-03-14,1059900
2023-03-15,1678600
2023-03-16,1200500
2023-03-17,1994100
2023-03-20,1322100
2023-03-21,1045900
2023-03-22,1252100
2023-03-23,1479500
2023-03-24,887300
2023-03-27,715700
2023-03-28,1493100
2023-03-29,1036700
2023-03-30,1488800
2023-03-31,1315000
2023-04-03,1147300
2023-04-04,874900
2023-04-05,1588100
2023-04-06,1431700
2023-04-10,1013400
2023-04-11,905200
2023-04-12,819100
2023-04-13,1130600
2023-04-14,745000
2023-04-17,719700
2023-04-18,1220900
2023-04-19,1129000
2023-04-20,1689400
2023-04-21,1109800
2023-04-24,1027700
2023-04-25,1476400
2023-04-26,1244200
2023-04-27,1537100
2023-04-28,1633400
2023-05-01,1734300
2023-05-02,1524000
2023-05-03,1385900
2023-05-04,2326900
2023-05-05,1541900
2023-05-08,1625100
2023-05-09,5368800
2023-05-10,2085000
2023-05-11,1501900
2023-05-12,1324300
2023-05-15,992600
2023-05-16,1021500
2023-05-17,1272000
2023-05-18,1168700
2023-05-19,1050900
2023-05-22,697800
2023-05-23,1202400
2023-05-24,1314100
2023-05-25,2087900
2023-05-26,2693300
2023-05-30,1672400
2023-05-31,1656300
2023-06-01,1521000
2023-06-02,1117500
2023-06-05,1484900
2023-06-06,1160300
2023-06-07,1734100
2023-06-08,730800
2023-06-09,1154500
2023-06-12,1756000
2023-06-13,1371800
2023-06-14,1248000
2023-06-15,1116800
2023-06-16,2642500
2023-06-20,1048100
2023-06-21,928100
2023-06-22,585200
2023-06-23,1806000
2023-06-26,1549300
2023-06-27,1435600
2023-06-28,1617400
2023-06-29,1236600
2023-06-30,1260200
2023-07-03,637000
2023-07-05,718200
2023-07-06,1342800
2023-07-07,758300
2023-07-10,1778200
2023-07-11,2129300
2023-07-12,1287700
2023-07-13,1145600
2023-07-14,1074100
2023-07-17,1741000
2023-07-18,1660400
2023-07-19,1014700
2023-07-20,2411800
2023-07-21,6481900
2023-07-24,1782700
2023-07-25,1302700
2023-07-26,1502900
2023-07-27,1741400
2023-07-28,1340000
2023-07-31,1093800
2023-08-01,848400
2023-08-02,1455300
2023-08-03,1499000
2023-08-04,2299600
2023-08-07,2122000
2023-08-08,3800200
2023-08-09,1635100
2023-08-10,944200
2023-08-11,2514400
2023-08-14,962100
2023-08-15,817300
2023-08-16,1083400
2023-08-17,1583000
2023-08-18,1750200
2023-08-21,1267600
2023-08-22,1005900
2023-08-23,2268900
2023-08-24,1992800
2023-08-25,1275600
2023-08-28,841800
2023-08-29,1569900
2023-08-30,820200
2023-08-31,849800
2023-09-01,878900
2023-09-05,831900
2023-09-06,828600
2023-09-07,1712900
2023-09-08,2073900
2023-09-11,1441300
2023-09-12,1631300
2023-09-13,1145200
2023-09-14,1329700
2023-09-15,2235000
2023-09-18,848000
2023-09-19,1339300
2023-09-20,982600
2023-09-21,1928100
2023-09-22,1085400
2023-09-25,1219700
2023-09-26,1151900
2023-09-27,1246400
2023-09-28,1086200
2023-09-29,1024200
2023-10-02,1102700
2023-10-03,1444300
2023-10-04,1208500
2023-10-05,1025500
2023-10-06,1131600
2023-10-09,852500
2023-10-10,884900
2023-10-11,1183600
2023-10-12,832200
2023-10-13,997700
2023-10-16,1008100
2023-10-17,894400
2023-10-18,819400
2023-10-19,1027800
2023-10-20,1464100
2023-10-23,945700
2023-10-24,1262300
2023-10-25,1789400
2023-10-26,1223000
2023-10-27,702100
2023-10-30,1640700
2023-10-31,1502400
2023-11-01,3123700
2023-11-02,1984300
2023-11-03,1945700
2023-11-06,1932200
2023-11-07,3809000
2023-11-08,1690000
2023-11-09,1697000
2023-11-10,2371900
2023-11-13,1139700
2023-11-14,2241900
2023-11-15,1375500
2023-11-16,1039200
2023-11-17,819900
2023-11-20,1534100
2023-11-21,747400
2023-11-22,731100
2023-11-24,625600
2023-11-27,1051500
2023-11-28,788300
2023-11-29,1063500
2023-11-30,1322500
2023-12-01,1307700
2023-12-04,2478800
2023-12-05,1341000
2023-12-06,1257600
2023-12-07,2109800
2023-12-08,2969000
2023-12-11,2655900
2023-12-12,1975800
2023-12-13,1620100
2023-12-14,2387000
2023-12-15,3838700
2023-12-18,1130200
2023-12-19,796000
2023-12-20,1438200
2023-12-21,1027400
2023-12-22,855900
2023-12-26,783600
2023-12-27,829300
2023-12-28,743600
2023-12-29,962100
2024-01-02,1423400
2024-01-03,1299500
2024-01-04,975500
2024-01-05,761100
2024-01-08,1559200
2024-01-09,1257700
2024-01-10,694500
2024-01-11,773800
2024-01-12,799000
2024-01-16,1968600
2024-01-17,1619900
2024-01-18,1764900
2024-01-19,1833100
2024-01-22,1499700
2024-01-23,1389700
2024-01-24,1177200
2024-01-25,1408800
2024-01-26,2240400
2024-01-29,1381200
2024-01-30,1136400
2024-01-31,1393100
2024-02-01,1383700
2024-02-02,1114600
2024-02-05,3297600
2024-02-06,1856100
2024-02-07,1419300
2024-02-08,2453700
2024-02-09,2308400
2024-02-12,2536600
2024-02-13,4136900
2024-02-14,2578300
2024-02-15,1958200
2024-02-16,2500000
2024-02-20,4351000
2024-02-21,2082500
2024-02-22,2684400
2024-02-23,1051700
2024-02-26,973000
2024-02-27,1386300
2024-02-28,1137800
2024-02-29,1972100
2024-03-01,1474300
2024-03-04,1687900
2024-03-05,1998100
2024-03-06,1349400
2024-03-07,1429400
2024-03-08,1700800
2024-03-11,1404100
2024-03-12,1301300
2024-03-13,1057600
2024-03-14,1664500
2024-03-15,2652800
2024-03-18,1192700
2024-03-19,864400
2024-03-20,986100
2024-03-21,1118400
2024-03-22,580100
2024-03-25,519000
2024-03-26,1488900
2024-03-27,1312100
2024-03-28,988600
2024-04-01,836100
2024-04-02,885400
2024-04-03,1323000
2024-04-04,1011700
2024-04-05,994300
2024-04-08,775900
2024-04-09,1470800
2024-04-10,1876300
2024-04-11,1483000
2024-04-12,1479100
2024-04-15,2581700
2024-04-16,1175800
2024-04-17,1242900
2024-04-18,1413500
2024-04-19,2177000
2024-04-22,1286600
2024-04-23,1122900
2024-04-24,1909800
2024-04-25,1100500
2024-04-26,865300
2024-04-29,686900
2024-04-30,1471000
2024-05-01,1322800
2024-05-02,1333100
2024-05-03,1554900
2024-05-06,2047100
2024-05-07,3584200
2024-05-08,1512700
2024-05-09,1023200
2024-05-10,958700
2024-05-13,789000
