Date,volume
2023-02-03,1783100
2023-02-06,114400
2023-02-07,105700
2023-02-08,285600
2023-02-09,42700
2023-02-10,15600
2023-02-13,147500
2023-02-14,179000
2023-02-15,48700
2023-02-16,67700
2023-02-17,49100
2023-02-21,24100
2023-02-22,81700
2023-02-23,19300
2023-02-24,27500
2023-02-27,8600
2023-02-28,60400
2023-03-01,73400
2023-03-02,34700
2023-03-03,142100
2023-03-06,31700
2023-03-07,55900
2023-03-08,40900
2023-03-09,55400
2023-03-10,24400
2023-03-13,44200
2023-03-14,52300
2023-03-15,100600
2023-03-16,104700
2023-03-17,99000
2023-03-20,67500
2023-03-21,26900
2023-03-22,44300
2023-03-23,14000
2023-03-24,33700
2023-03-27,124900
2023-03-28,42400
2023-03-29,89700
2023-03-30,27700
2023-03-31,23100
2023-04-03,131700
2023-04-04,23500
2023-04-05,28500
2023-04-06,35000
2023-04-10,37700
2023-04-11,50200
2023-04-12,156000
2023-04-13,49100
2023-04-14,12400
2023-04-17,21200
2023-04-18,31300
2023-04-19,20400
2023-04-20,1300
2023-04-21,123800
2023-04-24,1600
2023-04-25,900
2023-04-26,1900
2023-04-27,400
2023-04-28,15600
2023-05-01,77900
2023-05-02,15700
2023-05-03,71700
2023-05-04,5300
2023-05-05,36500
2023-05-08,121100
2023-05-09,29300
2023-05-10,59300
2023-05-11,31400
2023-05-12,61700
2023-05-15,32200
2023-05-16,28900
2023-05-17,19900
2023-05-18,78800
2023-05-19,119300
2023-05-22,137600
2023-05-23,27600
2023-05-24,65300
2023-05-25,320000
2023-05-26,155500
2023-05-30,120200
2023-05-31,135700
2023-06-01,191500
2023-06-02,158300
2023-06-05,172500
2023-06-06,421400
2023-06-07,193000
2023-06-08,153000
2023-06-09,81300
2023-06-12,164200
2023-06-13,149400
2023-06-14,118600
2023-06-15,154100
2023-06-16,212100
2023-06-20,162800
2023-06-21,237900
2023-06-22,162600
2023-06-23,255300
2023-06-26,540400
2023-06-27,573100
2023-06-28,193100
2023-06-29,295800
2023-06-30,263600
2023-07-03,147800
2023-07-05,593600
2023-07-06,304800
2023-07-07,269500
2023-07-10,173300
2023-07-11,268000
2023-07-12,236900
2023-07-13,333500
2023-07-14,304400
2023-07-17,164500
2023-07-18,157900
2023-07-19,184300
2023-07-20,127500
2023-07-21,115100
2023-07-24,230500
2023-07-25,265900
2023-07-26,109800
2023-07-27,67000
2023-07-28,186400
2023-07-31,146800
2023-08-01,116800
2023-08-02,1809500
2023-08-03,599700
2023-08-04,1126200
2023-08-07,747800
2023-08-08,2290900
2023-08-09,886200
2023-08-10,734100
2023-08-11,527200
2023-08-14,252100
2023-08-15,227000
2023-08-16,279500
2023-08-17,345200
2023-08-18,410800
2023-08-21,376600
2023-08-22,440000
2023-08-23,838400
2023-08-24,601500
2023-08-25,323100
2023-08-28,874400
2023-08-29,1144800
2023-08-30,286500
