Date,volume
2024-06-12,1157400
2024-06-13,738200
2024-06-14,291900
2024-06-17,246700
2024-06-18,272300
2024-06-20,961500
2024-06-21,367100
2024-06-24,610600
2024-06-25,10373700
2024-06-26,5052300
2024-06-27,4831400
2024-06-28,4399000
2024-07-01,1991600
2024-07-02,1813400
2024-07-03,1952700
2024-07-05,2911000
2024-07-08,1822800
2024-07-09,2185300
2024-07-10,846400
2024-07-11,830500
2024-07-12,803700
2024-07-15,1170500
2024-07-16,3613900
2024-07-17,2615900
2024-07-18,2374700
2024-07-19,1396400
2024-07-22,1076600
2024-07-23,1164800
2024-07-24,1041500
2024-07-25,872600
2024-07-26,637000
2024-07-29,805400
2024-07-30,453900
2024-07-31,852100
2024-08-01,895700
2024-08-02,879300
2024-08-05,1107700
2024-08-06,592600
2024-08-07,1024200
2024-08-08,477600
2024-08-09,816700
2024-08-12,726000
2024-08-13,862200
2024-08-14,1502600
2024-08-15,656800
2024-08-16,353800
2024-08-19,717400
2024-08-20,717600
2024-08-21,1089600
2024-08-22,724900
2024-08-23,757400
2024-08-26,1074000
2024-08-27,617800
2024-08-28,551500
2024-08-29,472700
2024-08-30,2266600
2024-09-03,1522000
2024-09-04,1017600
2024-09-05,1192800
2024-09-06,1314700
2024-09-09,1365800
2024-09-10,938400
2024-09-11,703200
2024-09-12,711900
2024-09-13,720600
2024-09-16,1304000
2024-09-17,758300
2024-09-18,585000
2024-09-19,710100
2024-09-20,1642000
2024-09-23,983600
2024-09-24,875400
2024-09-25,1197700
2024-09-26,796300
2024-09-27,873000
2024-09-30,723300
2024-10-01,507500
2024-10-02,447600
2024-10-03,656400
2024-10-04,463000
2024-10-07,744200
2024-10-08,434600
2024-10-09,442800
2024-10-10,387100
2024-10-11,1041700
2024-10-14,686000
2024-10-15,488800
2024-10-16,619900
2024-10-17,475600
2024-10-18,585100
2024-10-21,346100
2024-10-22,339300
2024-10-23,501300
2024-10-24,485000
2024-10-25,328700
2024-10-28,522300
2024-10-29,263400
2024-10-30,651400
2024-10-31,417600
2024-11-01,579900
2024-11-04,443900
2024-11-05,364200
2024-11-06,483200
2024-11-07,744800
2024-11-08,450400
2024-11-11,870800
2024-11-12,671700
2024-11-13,1258100
2024-11-14,496800
2024-11-15,832500
2024-11-18,1377500
2024-11-19,416700
2024-11-20,481200
2024-11-21,752700
2024-11-22,532200
2024-11-25,1017700
2024-11-26,843400
2024-11-27,760000
2024-11-29,265800
2024-12-02,1382000
2024-12-03,1162600
2024-12-04,1322000
2024-12-05,1539300
2024-12-06,972700
2024-12-09,796300
2024-12-10,1023500
2024-12-11,768500
2024-12-12,763900
2024-12-13,873300
2024-12-16,1086700
2024-12-17,894600
2024-12-18,2779400
2024-12-19,2429300
2024-12-20,3363000
2024-12-23,628100
2024-12-24,289500
2024-12-26,371000
2024-12-27,363200
2024-12-30,545500
2024-12-31,728600
2025-01-02,506300
2025-01-03,413800
2025-01-06,531800
2025-01-07,730400
2025-01-08,829100
2025-01-10,517900
2025-01-13,1027100
2025-01-14,614900
2025-01-15,1080300
2025-01-16,1122300
2025-01-17,483900
2025-01-21,800600
2025-01-22,2896000
2025-01-23,1651200
2025-01-24,2358000
2025-01-27,1543800
2025-01-28,806900
2025-01-29,786200
2025-01-30,1480500
2025-01-31,1748200
2025-02-03,1240400
2025-02-04,843800
2025-02-05,1457900
2025-02-06,1553000
2025-02-07,740700
2025-02-10,1048600
2025-02-11,453100
2025-02-12,1780300
2025-02-13,5015300
2025-02-14,3159400
2025-02-18,5372500
2025-02-19,2032400
2025-02-20,1594100
2025-02-21,2845600
2025-02-24,2063100
2025-02-25,1818200
2025-02-26,1599100
2025-02-27,959300
2025-02-28,1315200
2025-03-03,1144000
2025-03-04,2239600
2025-03-05,1742800
2025-03-06,1638900
2025-03-07,2426400
2025-03-10,2101600
2025-03-11,2117900
2025-03-12,1394000
2025-03-13,1579000
2025-03-14,1413700
2025-03-17,795900
2025-03-18,950600
2025-03-19,1158500
2025-03-20,860900
2025-03-21,1740700
2025-03-24,1286000
2025-03-25,685400
2025-03-26,1091000
2025-03-27,886600
2025-03-28,949100
2025-03-31,948300
2025-04-01,805300
2025-04-02,1193200
2025-04-03,920100
2025-04-04,1621000
2025-04-07,1655600
2025-04-08,1874500
2025-04-09,1943500
2025-04-10,1106400
2025-04-11,1026600
2025-04-14,1243200
2025-04-15,1031700
2025-04-16,1037600
2025-04-17,644500
2025-04-21,1107700
2025-04-22,1392100
2025-04-23,1989000
2025-04-24,1068700
2025-04-25,939800
2025-04-28,1295700
2025-04-29,1515900
2025-04-30,1024400
2025-05-01,1320000
2025-05-02,1690100
2025-05-05,821900
2025-05-06,1270800
2025-05-07,1367700
2025-05-08,1121200
2025-05-09,878400
2025-05-12,891100
2025-05-13,3022800
2025-05-14,5135600
2025-05-15,2566000
2025-05-16,2075800
2025-05-19,1678700
2025-05-20,959100
2025-05-21,1005500
2025-05-22,1568700
2025-05-23,780000
2025-05-27,1534500
2025-05-28,1195400
2025-05-29,726200
2025-05-30,1589500
2025-06-02,1480400
2025-06-03,1648300
2025-06-04,1136600
2025-06-05,1680400
2025-06-06,2102800
2025-06-09,2593600
2025-06-10,1216800
2025-06-11,1175200
2025-06-12,797300
2025-06-13,763000
2025-06-16,614000
2025-06-17,851400
2025-06-18,2343800
2025-06-20,2221800
2025-06-23,1049400
2025-06-24,725300
2025-06-25,856300
2025-06-26,944900
2025-06-27,5793300
2025-06-30,1374700
2025-07-01,1451300
2025-07-02,1418600
2025-07-03,1042700
2025-07-07,1248400
2025-07-08,1021200
2025-07-09,909700
2025-07-10,808100
2025-07-11,768400
2025-07-14,790900
2025-07-15,1170400
2025-07-16,1940700
2025-07-17,990700
2025-07-18,992100
2025-07-21,819700
2025-07-22,1666000
2025-07-23,1425100
2025-07-24,771800
2025-07-25,551700
2025-07-28,807100
2025-07-29,1580300
2025-07-30,845100
2025-07-31,833700
2025-08-01,850600
2025-08-04,613300
2025-08-05,653500
2025-08-06,903300
2025-08-07,697600
2025-08-08,645800
2025-08-11,1099800
2025-08-12,1434200
2025-08-13,1492100
2025-08-14,1016100
2025-08-15,806600
2025-08-18,666400
2025-08-19,573500
2025-08-20,886200
2025-08-21,621000
2025-08-22,637800
2025-08-25,525400
2025-08-26,698400
2025-08-27,421100
2025-08-28,392700
2025-08-29,694000
2025-09-02,625000
2025-09-03,591800
2025-09-04,652200
2025-09-05,1108800
2025-09-08,1149800
2025-09-09,530400
2025-09-10,870900
2025-09-11,1119900
2025-09-12,519900
2025-09-15,485200
2025-09-16,473000
2025-09-17,550100
2025-09-18,662200
2025-09-19,1510400
2025-09-22,1226400
2025-09-23,1414200
2025-09-24,732800
2025-09-25,878000
2025-09-26,801000
2025-09-29,2071600
2025-09-30,1182800
2025-10-01,956600
2025-10-02,736400
2025-10-03,2169400
2025-10-06,1265200
2025-10-07,765700
2025-10-08,1210700
2025-10-09,1076700
2025-10-10,1057500
2025-10-13,604800
2025-10-14,602300
2025-10-15,931100
2025-10-16,2092000
2025-10-17,1235300
2025-10-20,3547600
2025-10-21,1297500
2025-10-22,1278100
2025-10-23,776100
2025-10-24,1030100
2025-10-27,797900
2025-10-28,425000
2025-10-29,843800
2025-10-30,1613700
2025-10-31,1122800
2025-11-03,896000
2025-11-04,1607300
2025-11-05,825000
2025-11-06,970300
2025-11-07,1002500
2025-11-10,599700
2025-11-11,657600
2025-11-12,965800
2025-11-13,1291100
2025-11-14,1165900
2025-11-17,1267400
2025-11-18,1988100
2025-11-19,979500
2025-11-20,1574900
2025-11-21,1989000
2025-11-24,2655000
2025-11-25,1626400
2025-11-26,687900
2025-11-28,503700
2025-12-01,1331900
2025-12-02,930800
2025-12-03,1232200
2025-12-04,896200
2025-12-05,503600
2025-12-08,820300
2025-12-09,906400
2025-12-10,882800
2025-12-11,644700
2025-12-12,892500
2025-12-15,889700
2025-12-16,806000
2025-12-17,764100
2025-12-18,645300
2025-12-19,2417000
2025-12-22,631400
2025-12-23,771100
2025-12-24,262200
2025-12-26,498300
2025-12-29,532700
2025-12-30,562400
2025-12-31,762100
2026-01-02,426400
2026-01-05,590800
2026-01-06,803800
2026-01-07,926000
2026-01-08,940200
2026-01-09,535700
2026-01-12,1000800
2026-01-13,535400
2026-01-14,519600
2026-01-15,740600
2026-01-16,727500
2026-01-20,1161600
2026-01-21,941300
2026-01-22,1393800
2026-01-23,1222400
2026-01-26,812500
2026-01-27,922500
2026-01-28,1038300
2026-01-29,690000
2026-01-30,799200
2026-02-02,489300
2026-02-03,467600
2026-02-04,894300
2026-02-05,991800
2026-02-06,724100
2026-02-09,527100
2026-02-10,623400
2026-02-11,467900
2026-02-12,738100
2026-02-13,450400
2026-02-17,433700
2026-02-18,644000
2026-02-19,2847200
2026-02-20,15444900
2026-02-23,5429500
2026-02-24,3472200
2026-02-25,2054900
2026-02-26,1515600
2026-02-27,1945400
2026-03-02,1565300
2026-03-03,1035900
2026-03-04,893900
2026-03-05,1135300
2026-03-06,992200
2026-03-09,1588200
2026-03-10,849700
2026-03-11,1091200
2026-03-12,1056100
2026-03-13,1570000
2026-03-16,995700
2026-03-17,523000
2026-03-18,1246000
2026-03-19,701500
2026-03-20,1200300
2026-03-23,715600
2026-03-24,462400
2026-03-25,732700
2026-03-26,614800
2026-03-27,711004
