Date,volume
2006-11-02,769867
2006-11-03,197533
2006-11-06,125880
2006-11-07,67173
2006-11-08,86447
2006-11-09,48787
2006-11-10,33933
2006-11-13,43480
2006-11-14,50360
2006-11-15,33493
2006-11-16,20013
2006-11-17,13613
2006-11-20,8693
2006-11-21,50533
2006-11-22,18767
2006-11-24,8053
2006-11-27,12587
2006-11-28,29600
2006-11-29,22747
2006-11-30,12033
2006-12-01,6133
2006-12-04,9333
2006-12-05,10220
2006-12-06,11973
2006-12-07,6973
2006-12-08,15640
2006-12-11,10207
2006-12-12,35653
2006-12-13,46707
2006-12-14,39127
2006-12-15,172680
2006-12-18,50893
2006-12-19,35107
2006-12-20,20647
2006-12-21,12460
2006-12-22,13680
2006-12-26,11907
2006-12-27,11813
2006-12-28,10347
2006-12-29,20440
2007-01-03,30347
2007-01-04,27160
2007-01-05,10727
2007-01-08,11573
2007-01-09,19140
2007-01-10,10533
2007-01-11,14527
2007-01-12,5293
2007-01-16,16640
2007-01-17,18413
2007-01-18,5333
2007-01-19,5253
2007-01-22,4847
2007-01-23,28047
2007-01-24,10973
2007-01-25,8447
2007-01-26,3373
2007-01-29,5073
2007-01-30,18320
2007-01-31,11707
2007-02-01,61627
2007-02-02,14600
2007-02-05,14300
2007-02-06,744800
2007-02-07,214800
2007-02-08,70067
2007-02-09,75413
2007-02-12,50940
2007-02-13,55673
2007-02-14,23187
2007-02-15,22880
2007-02-16,13360
2007-02-20,25867
2007-02-21,27847
2007-02-22,8860
2007-02-23,8227
2007-02-26,12767
2007-02-27,34027
2007-02-28,16333
2007-03-01,21207
2007-03-02,11767
2007-03-05,7047
2007-03-06,9347
2007-03-07,10307
2007-03-08,10980
2007-03-09,3407
2007-03-12,4773
2007-03-13,15693
2007-03-14,5867
2007-03-15,3200
2007-03-16,10467
2007-03-19,12327
2007-03-20,9547
2007-03-21,6067
2007-03-22,12680
2007-03-23,7133
2007-03-26,8633
2007-03-27,3173
2007-03-28,15733
2007-03-29,24653
2007-03-30,8860
2007-04-02,15673
2007-04-03,19853
2007-04-04,10967
2007-04-05,147547
2007-04-09,65800
2007-04-10,17593
2007-04-11,25153
2007-04-12,28380
2007-04-13,14700
2007-04-16,10600
2007-04-17,8240
2007-04-18,6867
2007-04-19,5947
2007-04-20,16853
2007-04-23,8133
2007-04-24,8067
2007-04-25,6187
2007-04-26,5247
2007-04-27,11547
2007-04-30,30867
2007-05-01,10047
2007-05-02,6033
2007-05-03,8373
2007-05-04,8287
2007-05-07,112580
2007-05-08,21060
2007-05-09,6693
2007-05-10,19307
2007-05-11,12160
2007-05-14,31567
2007-05-15,24073
2007-05-16,25720
2007-05-17,13347
2007-05-18,10607
2007-05-21,12827
2007-05-22,8500
2007-05-23,3927
2007-05-24,22533
2007-05-25,11707
2007-05-29,6767
2007-05-30,23660
2007-05-31,17533
2007-06-01,11493
2007-06-04,41860
2007-06-05,10647
2007-06-06,9793
2007-06-07,30827
2007-06-08,65813
2007-06-11,7473
2007-06-12,5507
2007-06-13,12360
2007-06-14,9513
