Date,volume
2005-02-14,4827700
2005-02-15,5801400
2005-02-16,4271000
2005-02-17,2111400
2005-02-18,2910200
2005-02-22,1528300
2005-02-23,1123500
2005-02-24,2297400
2005-02-25,3390600
2005-02-28,1673600
2005-03-01,2358000
2005-03-02,1414700
2005-03-03,500500
2005-03-04,1488800
2005-03-07,1905100
2005-03-08,1549500
2005-03-09,1233700
2005-03-10,1098300
2005-03-11,845600
2005-03-14,2277900
2005-03-15,630600
2005-03-16,4051000
2005-03-17,1131000
2005-03-18,765400
2005-03-21,457600
2005-03-22,974900
2005-03-23,870000
2005-03-24,1626700
2005-03-28,1801400
2005-03-29,1416700
2005-03-30,4545800
2005-03-31,3508900
2005-04-01,1654500
2005-04-04,558300
2005-04-05,1760900
2005-04-06,1548400
2005-04-07,1365000
2005-04-08,907300
2005-04-11,643300
2005-04-12,3012500
2005-04-13,3356300
2005-04-14,2637700
2005-04-15,2945900
2005-04-18,1258800
2005-04-19,1620300
2005-04-20,556400
2005-04-21,501800
2005-04-22,777200
2005-04-25,1381200
2005-04-26,1166800
2005-04-27,755700
2005-04-28,727200
2005-04-29,679800
2005-05-02,981600
2005-05-03,673300
2005-05-04,1361600
2005-05-05,734100
2005-05-06,874800
2005-05-09,745500
2005-05-10,720000
2005-05-11,786800
2005-05-12,1890400
2005-05-13,1095400
2005-05-16,1943700
2005-05-17,595600
2005-05-18,1965700
2005-05-19,418200
2005-05-20,267800
2005-05-23,521800
2005-05-24,993000
2005-05-25,524000
2005-05-26,2427200
2005-05-27,468800
2005-05-31,916900
2005-06-01,1337600
2005-06-02,569700
2005-06-03,656700
2005-06-06,411900
2005-06-07,984700
2005-06-08,688700
2005-06-09,489000
2005-06-10,464300
2005-06-13,536800
2005-06-14,653100
2005-06-15,873500
2005-06-16,1542600
2005-06-17,1113600
2005-06-20,996200
2005-06-21,1028700
2005-06-22,592600
2005-06-23,592100
2005-06-24,408800
2005-06-27,472900
2005-06-28,501300
2005-06-29,750200
2005-06-30,461000
2005-07-01,172700
2005-07-05,221300
2005-07-06,1029700
2005-07-07,1182000
2005-07-08,1217000
2005-07-11,1141900
2005-07-12,697500
2005-07-13,374500
2005-07-14,512400
2005-07-15,393100
2005-07-18,252100
2005-07-19,638600
2005-07-20,488000
2005-07-21,309400
2005-07-22,411900
2005-07-25,869200
2005-07-26,469800
2005-07-27,230800
2005-07-28,471300
2005-07-29,287600
2005-08-01,197800
2005-08-02,449100
2005-08-03,520200
2005-08-04,1473600
2005-08-05,672200
2005-08-08,500200
2005-08-09,387900
2005-08-10,305700
2005-08-11,768900
2005-08-12,381700
2005-08-15,322300
2005-08-16,620900
2005-08-17,208100
2005-08-18,337700
2005-08-19,278600
2005-08-22,296100
2005-08-23,463400
2005-08-24,576200
2005-08-25,856400
2005-08-26,1246500
2005-08-29,919000
2005-08-30,978300
2005-08-31,789100
2005-09-01,701300
2005-09-02,314000
2005-09-06,788800
2005-09-07,989400
2005-09-08,613300
2005-09-09,321400
2005-09-12,732200
2005-09-13,1308700
2005-09-14,520500
2005-09-15,705900
2005-09-16,300700
2005-09-19,405000
2005-09-20,732900
2005-09-21,328800
2005-09-22,1111700
2005-09-23,1083200
2005-09-26,1066800
2005-09-27,844200
2005-09-28,654000
2005-09-29,1996500
2005-09-30,1476000
2005-10-03,963800
2005-10-04,433000
2005-10-05,330900
2005-10-06,469500
2005-10-07,1183500
2005-10-10,312000
2005-10-11,622700
2005-10-12,429800
2005-10-13,389300
2005-10-14,451700
2005-10-17,293700
2005-10-18,145600
2005-10-19,872700
2005-10-20,693400
2005-10-21,759200
2005-10-24,870200
2005-10-25,673400
2005-10-26,366300
2005-10-27,707900
2005-10-28,335200
2005-10-31,765000
2005-11-01,490700
2005-11-02,2468600
2005-11-03,1985900
2005-11-04,534100
2005-11-07,494100
2005-11-08,353000
2005-11-09,593900
2005-11-10,404800
2005-11-11,776900
2005-11-14,774200
2005-11-15,837200
2005-11-16,1579300
2005-11-17,668100
2005-11-18,539000
2005-11-21,596100
2005-11-22,1612300
2005-11-23,775300
2005-11-25,203500
2005-11-28,576100
2005-11-29,502300
2005-11-30,337300
2005-12-01,1049800
2005-12-02,864100
2005-12-05,754400
2005-12-06,1002300
2005-12-07,398800
2005-12-08,313800
2005-12-09,689600
2005-12-12,655600
2005-12-13,1242100
2005-12-14,741500
2005-12-15,1269700
2005-12-16,393500
2005-12-19,979400
2005-12-20,1211700
2005-12-21,727600
2005-12-22,703200
2005-12-23,1092500
2005-12-27,557100
2005-12-28,359900
2005-12-29,536600
2005-12-30,836400
2006-01-03,881200
2006-01-04,559000
2006-01-05,3134500
2006-01-06,2932100
2006-01-09,2883700
2006-01-10,1185000
2006-01-11,856500
2006-01-12,685600
2006-01-13,777800
2006-01-17,1463300
2006-01-18,924200
2006-01-19,1775000
2006-01-20,2564600
2006-01-23,1969700
2006-01-24,2510400
2006-01-25,1782300
2006-01-26,1039900
2006-01-27,739400
2006-01-30,1421700
2006-01-31,10825400
2006-02-01,7723000
2006-02-02,3623300
2006-02-03,2610000
2006-02-06,10011300
2006-02-07,2832900
2006-02-08,1471500
2006-02-09,1771900
2006-02-10,1169600
2006-02-13,2120800
2006-02-14,1760400
2006-02-15,897600
2006-02-16,767300
2006-02-17,1896500
2006-02-21,1336300
2006-02-22,1646300
2006-02-23,1192300
2006-02-24,4188500
2006-02-27,1948900
2006-02-28,1655200
2006-03-01,1165400
2006-03-02,703600
2006-03-03,362200
2006-03-06,773600
2006-03-07,763900
2006-03-08,837900
2006-03-09,526900
2006-03-10,703300
2006-03-13,576700
2006-03-14,427300
2006-03-15,869900
2006-03-16,495900
2006-03-17,1171000
2006-03-20,2001000
2006-03-21,1221100
2006-03-22,1112700
2006-03-23,1055800
2006-03-24,787700
2006-03-27,2633800
2006-03-28,1410100
2006-03-29,802700
2006-03-30,2127400
2006-03-31,991200
2006-04-03,1073100
2006-04-04,721700
2006-04-05,737400
2006-04-06,1718200
2006-04-07,846300
2006-04-10,1286600
2006-04-11,1585700
2006-04-12,802100
2006-04-13,1155500
2006-04-17,900800
2006-04-18,939200
2006-04-19,600200
2006-04-20,611700
2006-04-21,801300
2006-04-24,542700
2006-04-25,522100
2006-04-26,431300
2006-04-27,394300
2006-04-28,1756600
2006-05-01,1871200
2006-05-02,1782700
2006-05-03,2707600
2006-05-04,1024800
2006-05-05,691000
2006-05-08,789400
2006-05-09,436700
2006-05-10,666000
2006-05-11,855800
2006-05-12,1072000
2006-05-15,1376000
2006-05-16,1058200
2006-05-17,2365700
2006-05-18,1047300
2006-05-19,685000
2006-05-22,1289400
2006-05-23,1174200
2006-05-24,2711200
2006-05-25,908800
2006-05-26,883800
2006-05-30,291300
2006-05-31,773300
2006-06-01,1190200
2006-06-02,1012200
2006-06-05,883200
2006-06-06,698500
2006-06-07,807400
2006-06-08,1182700
2006-06-09,1015600
2006-06-12,524700
2006-06-13,595600
2006-06-14,725300
2006-06-15,836000
2006-06-16,700000
