Date,volume
2000-01-03,5600
2000-01-04,258400
2000-01-05,257600
2000-01-06,60800
2000-01-07,24200
2000-01-10,16200
2000-01-11,83000
2000-01-12,32600
2000-01-13,60000
2000-01-14,34800
2000-01-18,76000
2000-01-19,57200
2000-01-20,132800
2000-01-21,84800
2000-01-24,8000
2000-01-25,22600
2000-01-26,1800
2000-01-27,10600
2000-01-28,3200
2000-01-31,81200
2000-02-01,33200
2000-02-02,3400
2000-02-03,37600
2000-02-04,4200
2000-02-07,14600
2000-02-08,49800
2000-02-09,37600
2000-02-10,31000
2000-02-11,10800
2000-02-14,9400
2000-02-15,2400
2000-02-16,0
2000-02-17,9400
2000-02-18,34000
2000-02-22,14400
2000-02-23,22200
2000-02-24,36000
2000-02-25,16000
2000-02-28,7400
2000-02-29,400
2000-03-01,3000
2000-03-02,4000
2000-03-03,39200
2000-03-06,27800
2000-03-07,23800
2000-03-08,45000
2000-03-09,5400
2000-03-10,200
2000-03-13,7600
2000-03-14,39400
2000-03-15,400
2000-03-16,51400
2000-03-17,70200
2000-03-20,3800
2000-03-21,59800
2000-03-22,6200
2000-03-23,27000
2000-03-24,1000
2000-03-27,95800
2000-03-28,28800
2000-03-29,34000
2000-03-30,13200
2000-03-31,11000
2000-04-03,78200
2000-04-04,76400
2000-04-05,26000
2000-04-06,3800
2000-04-07,44200
2000-04-10,29200
2000-04-11,42800
2000-04-12,19600
2000-04-13,46600
2000-04-14,83400
2000-04-17,13200
2000-04-18,33800
2000-04-19,17200
2000-04-20,3800
2000-04-24,2200
2000-04-25,12800
2000-04-26,7400
2000-04-27,64400
2000-04-28,12200
2000-05-01,600
2000-05-02,7200
2000-05-03,2400
2000-05-04,3200
2000-05-05,11200
2000-05-08,14000
2000-05-09,52400
2000-05-10,4600
2000-05-11,41200
2000-05-12,3600
2000-05-15,23000
2000-05-16,17000
2000-05-17,8000
2000-05-18,16800
2000-05-19,1200
2000-05-22,0
2000-05-23,0
2000-05-24,38400
2000-05-25,20800
2000-05-26,5600
2000-05-30,5200
2000-05-31,5400
2000-06-01,1000
2000-06-02,0
2000-06-05,107400
2000-06-06,1000
2000-06-07,9800
2000-06-08,1000
2000-06-09,1400
2000-06-12,400
2000-06-13,6800
2000-06-14,1600
2000-06-15,3600
2000-06-16,10600
2000-06-19,4400
2000-06-20,31400
2000-06-21,9000
2000-06-22,11600
2000-06-23,42200
2000-06-26,800
2000-06-27,17400
2000-06-28,5000
2000-06-29,30000
2000-06-30,32000
2000-07-03,12000
2000-07-05,10200
2000-07-06,13600
2000-07-07,600
2000-07-10,2000
2000-07-11,3600
2000-07-12,127800
2000-07-13,4800
2000-07-14,400
2000-07-17,91800
2000-07-18,200
2000-07-19,8000
2000-07-20,10600
2000-07-21,10600
2000-07-24,200
2000-07-25,0
2000-07-26,3800
2000-07-27,18400
2000-07-28,10000
2000-07-31,3000
2000-08-01,2200
2000-08-02,28000
2000-08-03,0
2000-08-04,200
2000-08-07,1000
2000-08-08,16400
2000-08-09,27000
2000-08-10,12200
2000-08-11,3200
2000-08-14,19600
2000-08-15,25400
2000-08-16,1800
2000-08-17,18600
2000-08-18,5600
2000-08-21,3600
2000-08-22,1800
2000-08-23,4000
2000-08-24,36000
2000-08-25,16600
2000-08-28,13400
2000-08-29,39000
2000-08-30,17800
2000-08-31,11400
2000-09-01,46200
2000-09-05,11200
2000-09-06,20000
2000-09-07,14400
2000-09-08,600
2000-09-11,0
2000-09-12,8400
2000-09-13,7400
2000-09-14,35800
2000-09-15,5000
2000-09-18,36600
2000-09-19,9400
2000-09-20,6200
2000-09-21,5600
2000-09-22,12400
2000-09-25,4000
2000-09-26,200
2000-09-27,2000
2000-09-28,16200
2000-09-29,24800
2000-10-02,2800
2000-10-03,18600
2000-10-04,11400
2000-10-05,400
2000-10-06,200
2000-10-09,2800
2000-10-10,11200
2000-10-11,18200
2000-10-12,200
2000-10-13,105200
2000-10-16,10400
2000-10-17,10200
2000-10-18,0
2000-10-19,1000
2000-10-20,8200
2000-10-23,16400
2000-10-24,39200
2000-10-25,0
2000-10-26,2600
2000-10-27,2400
2000-10-30,6000
2000-10-31,12800
2000-11-01,17000
2000-11-02,1600
2000-11-03,0
2000-11-06,1000
2000-11-07,0
2000-11-08,0
2000-11-09,3000
2000-11-10,13600
2000-11-13,0
2000-11-14,13400
2000-11-15,17800
2000-11-16,400
2000-11-17,0
2000-11-20,1200
2000-11-21,3400
2000-11-22,0
2000-11-24,2000
2000-11-27,2600
2000-11-28,8600
2000-11-29,5000
2000-11-30,8000
2000-12-01,54200
2000-12-04,87600
2000-12-05,40000
2000-12-06,10200
2000-12-07,5800
2000-12-08,5200
2000-12-11,27400
2000-12-12,1000
2000-12-13,27600
2000-12-14,10000
2000-12-15,0
2000-12-18,3200
2000-12-19,3000
2000-12-20,1400
2000-12-21,23600
2000-12-22,3600
2000-12-26,1200
2000-12-27,34000
2000-12-28,7000
2000-12-29,9000
2001-01-02,400
2001-01-03,74000
2001-01-04,3400
2001-01-05,4400
2001-01-08,21200
2001-01-09,400
2001-01-10,400
2001-01-11,21400
2001-01-12,32200
2001-01-16,21600
2001-01-17,60800
2001-01-18,14000
2001-01-19,8200
2001-01-22,14400
2001-01-23,1600
2001-01-24,11400
2001-01-25,25200
2001-01-26,1000
2001-01-29,25800
2001-01-30,56200
2001-01-31,19400
2001-02-01,20000
2001-02-02,1400
2001-02-05,1200
2001-02-06,6800
2001-02-07,14600
2001-02-08,19800
2001-02-09,200
2001-02-12,19400
2001-02-13,36000
2001-02-14,14400
2001-02-15,9400
2001-02-16,18800
2001-02-20,2400
2001-02-21,28200
2001-02-22,13800
2001-02-23,20600
2001-02-26,21200
2001-02-27,5600
2001-02-28,11000
2001-03-01,8600
2001-03-02,4600
2001-03-05,9200
2001-03-06,3000
2001-03-07,7800
2001-03-08,33000
2001-03-09,5600
2001-03-12,5600
2001-03-13,10800
2001-03-14,8600
2001-03-15,14600
2001-03-16,400
2001-03-19,0
2001-03-20,13200
2001-03-21,2600
2001-03-22,9400
2001-03-23,0
2001-03-26,4000
2001-03-27,8400
2001-03-28,0
2001-03-29,1000
2001-03-30,1000
2001-04-02,22200
2001-04-03,1200
2001-04-04,8600
2001-04-05,4200
2001-04-06,42000
2001-04-09,2000
2001-04-10,800
2001-04-11,1200
2001-04-12,1800
2001-04-16,43400
2001-04-17,1200
2001-04-18,0
2001-04-19,7000
2001-04-20,6800
2001-04-23,19400
2001-04-24,10000
2001-04-25,16800
2001-04-26,1800
2001-04-27,10800
2001-04-30,7200
2001-05-01,28200
2001-05-02,5000
2001-05-03,0
2001-05-04,3800
2001-05-07,21000
2001-05-08,26400
2001-05-09,4200
2001-05-10,200
2001-05-11,0
2001-05-14,2600
2001-05-15,0
2001-05-16,10200
2001-05-17,10000
2001-05-18,75600
2001-05-21,29000
2001-05-22,22800
2001-05-23,1000
2001-05-24,4000
2001-05-25,3600
2001-05-29,8000
2001-05-30,18400
2001-05-31,800
2001-06-01,8000
2001-06-04,4000
2001-06-05,41800
2001-06-06,3600
2001-06-07,17800
2001-06-08,600
2001-06-11,0
2001-06-12,8000
2001-06-13,11800
2001-06-14,4200
2001-06-15,5600
2001-06-18,28200
2001-06-19,1600
2001-06-20,1000
2001-06-21,5600
2001-06-22,400
2001-06-25,1400
2001-06-26,86600
2001-06-27,5400
2001-06-28,5200
2001-06-29,31200
2001-07-02,6400
2001-07-03,3000
2001-07-05,35000
2001-07-06,2000
2001-07-09,14800
2001-07-10,28400
2001-07-11,200
2001-07-12,0
2001-07-13,2200
2001-07-16,9200
2001-07-17,200
2001-07-18,6800
2001-07-19,0
2001-07-20,0
2001-07-23,1200
2001-07-24,5000
2001-07-25,2800
2001-07-26,7400
2001-07-27,14800
2001-07-30,2800
2001-07-31,1000
2001-08-01,3400
2001-08-02,1400
2001-08-03,6400
2001-08-06,38200
2001-08-07,4800
2001-08-08,13200
2001-08-09,2200
2001-08-10,10800
2001-08-13,400
2001-08-14,3200
2001-08-15,29800
2001-08-16,19400
2001-08-17,0
2001-08-20,12600
2001-08-21,800
2001-08-22,0
2001-08-23,6800
2001-08-24,1800
2001-08-27,7400
2001-08-28,3200
2001-08-29,1800
2001-08-30,3200
2001-08-31,2800
2001-09-04,8800
2001-09-05,2800
2001-09-06,0
2001-09-07,400
2001-09-10,27800
2001-09-17,1400
2001-09-18,9400
2001-09-19,3600
2001-09-20,32800
2001-09-21,3600
2001-09-24,27600
2001-09-25,200
2001-09-26,8800
2001-09-27,12400
2001-09-28,15600
2001-10-01,10000
2001-10-02,1400
2001-10-03,2800
2001-10-04,1000
2001-10-05,74000
2001-10-08,0
2001-10-09,800
2001-10-10,15600
2001-10-11,0
2001-10-12,84200
2001-10-15,8200
2001-10-16,800
2001-10-17,8000
2001-10-18,3600
2001-10-19,5200
2001-10-22,4400
2001-10-23,6200
2001-10-24,1000
2001-10-25,2600
2001-10-26,61400
2001-10-29,41400
2001-10-30,19400
2001-10-31,5000
2001-11-01,3000
2001-11-02,1000
2001-11-05,23400
2001-11-06,61000
2001-11-07,3400
2001-11-08,1200
2001-11-09,5600
2001-11-12,21600
2001-11-13,13600
2001-11-14,3000
2001-11-15,600
2001-11-16,0
2001-11-19,3000
2001-11-20,200
2001-11-21,1200
2001-11-23,0
2001-11-26,4000
2001-11-27,6400
2001-11-28,4600
2001-11-29,400
2001-11-30,6400
2001-12-03,4200
2001-12-04,0
2001-12-05,10200
2001-12-06,11200
2001-12-07,10200
2001-12-10,8600
2001-12-11,4000
2001-12-12,4400
2001-12-13,4400
2001-12-14,2800
2001-12-17,10400
2001-12-18,28800
2001-12-19,21400
2001-12-20,600
2001-12-21,8400
2001-12-24,5200
2001-12-26,13400
2001-12-27,19200
2001-12-28,0
2001-12-31,5800
2002-01-02,3000
2002-01-03,12000
2002-01-04,1600
2002-01-07,200
2002-01-08,3000
2002-01-09,12800
2002-01-10,5200
2002-01-11,39200
2002-01-14,10800
2002-01-15,24800
2002-01-16,59000
2002-01-17,200
2002-01-18,0
2002-01-22,1800
2002-01-23,9200
2002-01-24,36400
2002-01-25,67400
2002-01-28,16400
2002-01-29,9000
2002-01-30,4000
2002-01-31,32000
2002-02-01,14800
2002-02-04,42000
2002-02-05,19800
2002-02-06,22200
2002-02-07,1200
2002-02-08,17200
2002-02-11,27600
2002-02-12,3000
2002-02-13,4200
2002-02-14,2800
2002-02-15,0
2002-02-19,3600
2002-02-20,16200
2002-02-21,3600
2002-02-22,3800
2002-02-25,3800
2002-02-26,9000
2002-02-27,104400
2002-02-28,2000
2002-03-01,7600
2002-03-04,14200
2002-03-05,31800
2002-03-06,13400
2002-03-07,26600
2002-03-08,16800
2002-03-11,3200
2002-03-12,43400
2002-03-13,31200
2002-03-14,7600
2002-03-15,44200
2002-03-18,24800
2002-03-19,87400
2002-03-20,16800
2002-03-21,11200
2002-03-22,3000
2002-03-25,400
2002-03-26,29400
2002-03-27,10400
2002-03-28,17200
2002-04-01,8000
2002-04-02,800
2002-04-03,27200
2002-04-04,1000
2002-04-05,4400
2002-04-08,400
2002-04-09,17200
2002-04-10,14600
2002-04-11,10200
2002-04-12,117600
2002-04-15,16600
2002-04-16,111800
2002-04-17,14800
2002-04-18,7000
2002-04-19,58200
2002-04-22,11800
2002-04-23,29800
2002-04-24,15200
2002-04-25,9200
2002-04-26,1000
2002-04-29,4000
2002-04-30,6600
2002-05-01,36800
2002-05-02,7000
2002-05-03,12600
2002-05-06,50800
2002-05-07,19600
2002-05-08,6400
2002-05-09,23000
2002-05-10,4600
2002-05-13,9400
2002-05-14,19600
2002-05-15,20400
2002-05-16,8400
2002-05-17,8400
2002-05-20,19000
2002-05-21,2800
2002-05-22,800
2002-05-23,2800
2002-05-24,21000
2002-05-28,2600
2002-05-29,40800
2002-05-30,19200
2002-05-31,29600
2002-06-03,4400
2002-06-04,1200
2002-06-05,4200
2002-06-06,1200
2002-06-07,12000
2002-06-10,0
2002-06-11,2600
2002-06-12,21800
2002-06-13,2000
2002-06-14,600
2002-06-17,9800
2002-06-18,9600
2002-06-19,6200
2002-06-20,56600
2002-06-21,123000
2002-06-24,12600
2002-06-25,5800
2002-06-26,3200
2002-06-27,10400
2002-06-28,12200
2002-07-01,20800
2002-07-02,34400
2002-07-03,4800
2002-07-05,10200
2002-07-08,12200
2002-07-09,600
2002-07-10,28200
2002-07-11,8800
2002-07-12,2000
2002-07-15,2800
2002-07-16,200
2002-07-17,17200
2002-07-18,2400
2002-07-19,8400
2002-07-22,2000
2002-07-23,38400
2002-07-24,7400
2002-07-25,5000
2002-07-26,5400
2002-07-29,16000
2002-07-30,7400
2002-07-31,26400
2002-08-01,6200
2002-08-02,5800
2002-08-05,600
2002-08-06,8200
2002-08-07,2800
2002-08-08,31600
2002-08-09,16200
2002-08-12,4000
2002-08-13,6400
2002-08-14,25000
2002-08-15,7600
2002-08-16,1600
2002-08-19,5200
2002-08-20,1600
2002-08-21,10800
2002-08-22,5000
2002-08-23,200
2002-08-26,200
2002-08-27,7200
2002-08-28,1400
2002-08-29,4600
2002-08-30,3800
2002-09-03,7400
2002-09-04,9400
2002-09-05,15800
2002-09-06,3400
2002-09-09,0
2002-09-10,23600
2002-09-11,3400
2002-09-12,1400
2002-09-13,2600
2002-09-16,2200
2002-09-17,0
2002-09-18,3200
2002-09-19,4800
2002-09-20,2000
2002-09-23,0
2002-09-24,11400
2002-09-25,12600
2002-09-26,3000
2002-09-27,1200
2002-09-30,17600
2002-10-01,8000
2002-10-02,16600
2002-10-03,3200
2002-10-04,1200
2002-10-07,1600
2002-10-08,0
2002-10-09,400
2002-10-10,0
2002-10-11,80200
2002-10-14,6600
2002-10-15,3400
2002-10-16,3000
2002-10-17,3400
2002-10-18,7200
2002-10-21,200
2002-10-22,10200
2002-10-23,4400
2002-10-24,2600
2002-10-25,4600
2002-10-28,200
2002-10-29,3800
2002-10-30,4400
2002-10-31,1000
2002-11-01,31400
2002-11-04,6000
2002-11-05,5600
2002-11-06,400
2002-11-07,1000
2002-11-08,0
2002-11-11,2800
2002-11-12,20200
2002-11-13,10400
2002-11-14,8400
2002-11-15,2200
2002-11-18,800
2002-11-19,1200
2002-11-20,5000
2002-11-21,5600
2002-11-22,21200
2002-11-25,4000
2002-11-26,22600
2002-11-27,5200
2002-11-29,14400
2002-12-02,9200
2002-12-03,400
2002-12-04,600
2002-12-05,1400
2002-12-06,4600
2002-12-09,33800
2002-12-10,0
2002-12-11,1600
2002-12-12,49400
2002-12-13,11800
2002-12-16,68400
2002-12-17,16200
2002-12-18,5000
2002-12-19,36000
2002-12-20,11200
2002-12-23,15400
2002-12-24,0
2002-12-26,10200
2002-12-27,1800
2002-12-30,17400
2002-12-31,12800
2003-01-02,13000
2003-01-03,9400
2003-01-06,30200
2003-01-07,39600
2003-01-08,12000
2003-01-09,13200
2003-01-10,14400
2003-01-13,18000
2003-01-14,27000
2003-01-15,11400
2003-01-16,1000
2003-01-17,49400
2003-01-21,26200
2003-01-22,105000
2003-01-23,0
2003-01-24,400
2003-01-27,11600
2003-01-28,3000
2003-01-29,11000
2003-01-30,12400
2003-01-31,54400
2003-02-03,5400
2003-02-04,800
2003-02-05,0
2003-02-06,2000
2003-02-07,13600
2003-02-10,34600
2003-02-11,2800
2003-02-12,35800
2003-02-13,12200
2003-02-14,6800
2003-02-18,27000
2003-02-19,17600
2003-02-20,5600
2003-02-21,21800
2003-02-24,10600
2003-02-25,43800
2003-02-26,0
2003-02-27,2400
2003-02-28,7600
2003-03-03,8600
2003-03-04,3400
2003-03-05,4800
2003-03-06,10200
2003-03-07,2800
2003-03-10,6200
2003-03-11,48400
2003-03-12,40000
2003-03-13,29400
2003-03-14,7800
2003-03-17,2400
2003-03-18,800
2003-03-19,3800
2003-03-20,1200
2003-03-21,19200
2003-03-24,15000
2003-03-25,200
2003-03-26,5200
2003-03-27,12800
2003-03-28,22000
2003-03-31,34800
2003-04-01,17400
2003-04-02,9400
2003-04-03,3800
2003-04-04,37400
2003-04-07,27200
2003-04-08,3800
2003-04-09,101200
2003-04-10,28000
2003-04-11,72200
2003-04-14,19800
2003-04-15,18400
2003-04-16,0
2003-04-17,18000
2003-04-21,31800
2003-04-22,6800
2003-04-23,16400
2003-04-24,36800
2003-04-25,600
2003-04-28,8200
2003-04-29,2400
2003-04-30,6800
2003-05-01,14600
2003-05-02,3400
2003-05-05,11600
2003-05-06,23400
2003-05-07,15600
2003-05-08,268600
2003-05-09,43200
2003-05-12,4400
2003-05-13,2400
2003-05-14,1200
2003-05-15,58600
2003-05-16,74200
2003-05-19,20400
2003-05-20,28600
2003-05-21,17200
2003-05-22,32000
2003-05-23,17000
2003-05-27,20600
2003-05-28,3000
2003-05-29,2200
2003-05-30,8600
2003-06-02,20200
2003-06-03,36600
2003-06-04,7400
2003-06-05,6800
2003-06-06,4200
2003-06-09,12000
2003-06-10,20000
2003-06-11,11400
2003-06-12,36400
2003-06-13,19200
2003-06-16,49000
2003-06-17,64800
