Date,volume
2000-01-03,8592500
2000-01-04,4072600
2000-01-05,4346500
2000-01-06,2306400
2000-01-07,3445500
2000-01-10,4717500
2000-01-11,6051500
2000-01-12,6610500
2000-01-13,3288700
2000-01-14,3871000
2000-01-18,1681700
2000-01-19,1992400
2000-01-20,1605200
2000-01-21,1333100
2000-01-24,1334500
2000-01-25,912700
2000-01-26,1318400
2000-01-27,1410700
2000-01-28,1356600
2000-01-31,2250300
2000-02-01,1497300
2000-02-02,942300
2000-02-03,1250800
2000-02-04,902500
2000-02-07,715900
2000-02-08,783700
2000-02-09,696400
2000-02-10,4991700
2000-02-11,4305900
2000-02-14,1922100
2000-02-15,1205500
2000-02-16,885800
2000-02-17,1089800
2000-02-18,1950000
2000-02-22,911500
2000-02-23,773900
2000-02-24,742100
2000-02-25,836200
2000-02-28,887600
2000-02-29,852200
2000-03-01,644400
2000-03-02,507500
2000-03-03,576200
2000-03-06,1830200
2000-03-07,1019200
2000-03-08,829700
2000-03-09,465400
2000-03-10,511200
2000-03-13,702800
2000-03-14,699100
2000-03-15,1160700
2000-03-16,898800
2000-03-17,529500
2000-03-20,606600
2000-03-21,904800
2000-03-22,686600
2000-03-23,453200
2000-03-24,418700
2000-03-27,371200
2000-03-28,350300
2000-03-29,611000
2000-03-30,653200
2000-03-31,1469400
2000-04-03,588600
2000-04-04,1778300
2000-04-05,826500
2000-04-06,484000
2000-04-07,378100
2000-04-10,430100
2000-04-11,715700
2000-04-12,907900
2000-04-13,841200
2000-04-14,1393300
2000-04-17,1704800
2000-04-18,1403500
2000-04-19,1107000
2000-04-20,1190600
2000-04-24,1051000
2000-04-25,828700
2000-04-26,950300
2000-04-27,742300
2000-04-28,570100
2000-05-01,862900
2000-05-02,1937900
2000-05-03,1125000
2000-05-04,1954500
2000-05-05,738600
2000-05-08,604700
2000-05-09,619000
2000-05-10,845800
2000-05-11,605500
2000-05-12,496200
2000-05-15,377800
2000-05-16,448800
2000-05-17,311500
2000-05-18,380500
2000-05-19,703000
2000-05-22,1043000
2000-05-23,832600
2000-05-24,964500
2000-05-25,728500
2000-05-26,553700
2000-05-30,430000
2000-05-31,399300
2000-06-01,655200
2000-06-02,704200
2000-06-05,508900
2000-06-06,788200
2000-06-07,438000
2000-06-08,344100
2000-06-09,266300
2000-06-12,275600
2000-06-13,499300
2000-06-14,268100
2000-06-15,345000
2000-06-16,498500
2000-06-19,236100
2000-06-20,355100
2000-06-21,330800
2000-06-22,697800
2000-06-23,479100
2000-06-26,175100
2000-06-27,244500
2000-06-28,213000
2000-06-29,302000
2000-06-30,280900
2000-07-03,175600
2000-07-05,190000
2000-07-06,277200
2000-07-07,2631200
2000-07-10,2253700
2000-07-11,1153100
2000-07-12,511600
2000-07-13,1043300
2000-07-14,619000
2000-07-17,451900
2000-07-18,500200
2000-07-19,342400
2000-07-20,614300
2000-07-21,347500
2000-07-24,400400
2000-07-25,234000
2000-07-26,285800
2000-07-27,463200
2000-07-28,463600
2000-07-31,416900
2000-08-01,272600
2000-08-02,320800
2000-08-03,368100
2000-08-04,344000
2000-08-07,238200
2000-08-08,193800
2000-08-09,236000
2000-08-10,226700
2000-08-11,364900
2000-08-14,330200
2000-08-15,273400
2000-08-16,244600
2000-08-17,452100
2000-08-18,597900
2000-08-21,529100
2000-08-22,343700
2000-08-23,281300
2000-08-24,295500
2000-08-25,420200
2000-08-28,255200
2000-08-29,227700
2000-08-30,194600
2000-08-31,304500
2000-09-01,379600
2000-09-05,240100
2000-09-06,293100
2000-09-07,237000
2000-09-08,230000
2000-09-11,249000
2000-09-12,288500
2000-09-13,408400
2000-09-14,634100
2000-09-15,527400
2000-09-18,637300
2000-09-19,383900
2000-09-20,249000
2000-09-21,374700
2000-09-22,443200
2000-09-25,305700
2000-09-26,616600
2000-09-27,586700
2000-09-28,807600
2000-09-29,466500
2000-10-02,439900
2000-10-03,862100
2000-10-04,805200
2000-10-05,600000
2000-10-06,607400
2000-10-09,1024900
2000-10-10,707300
2000-10-11,782200
2000-10-12,1069400
2000-10-13,610600
2000-10-16,419700
2000-10-17,416500
2000-10-18,675400
2000-10-19,413000
2000-10-20,406600
2000-10-23,293100
2000-10-24,384900
2000-10-25,347000
2000-10-26,320600
2000-10-27,191200
2000-10-30,332100
2000-10-31,465700
2000-11-01,263500
2000-11-02,339000
2000-11-03,266800
2000-11-06,286300
