Date,volume
2000-01-03,540800
2000-01-04,151400
2000-01-05,51400
2000-01-06,227500
2000-01-07,154500
2000-01-10,210000
2000-01-11,546700
2000-01-12,495200
2000-01-13,257700
2000-01-14,120800
2000-01-18,376400
2000-01-19,233000
2000-01-20,92900
2000-01-21,262500
2000-01-24,126200
2000-01-25,312900
2000-01-26,87300
2000-01-27,158500
2000-01-28,40700
2000-01-31,27400
2000-02-01,146700
2000-02-02,122700
2000-02-03,261900
2000-02-04,69500
2000-02-07,47300
2000-02-08,36900
2000-02-09,243800
2000-02-10,78100
2000-02-11,97700
2000-02-14,204800
2000-02-15,384000
2000-02-16,596600
2000-02-17,801700
2000-02-18,415900
2000-02-22,144100
2000-02-23,722600
2000-02-24,160500
2000-02-25,285300
2000-02-28,85400
2000-02-29,77800
2000-03-01,207300
2000-03-02,178200
2000-03-03,169200
2000-03-06,329800
2000-03-07,251000
2000-03-08,205200
2000-03-09,270200
2000-03-10,95400
2000-03-13,130200
2000-03-14,112800
2000-03-15,131500
2000-03-16,461200
2000-03-17,229400
2000-03-20,303500
2000-03-21,196400
2000-03-22,309500
2000-03-23,245600
2000-03-24,499400
2000-03-27,81800
2000-03-28,105100
2000-03-29,160100
2000-03-30,141200
2000-03-31,50400
2000-04-03,51700
2000-04-04,188500
2000-04-05,168600
2000-04-06,42000
2000-04-07,45500
2000-04-10,35000
2000-04-11,51800
2000-04-12,147400
2000-04-13,18700
2000-04-14,88300
2000-04-17,140700
2000-04-18,153900
2000-04-19,228900
2000-04-20,311200
2000-04-24,99100
2000-04-25,169500
2000-04-26,72700
2000-04-27,62500
2000-04-28,47700
2000-05-01,150200
2000-05-02,61700
2000-05-03,120500
2000-05-04,309500
2000-05-05,124900
2000-05-08,122400
2000-05-09,53700
2000-05-10,209700
2000-05-11,81500
2000-05-12,287400
2000-05-15,28200
2000-05-16,187300
2000-05-17,234600
2000-05-18,142300
2000-05-19,379500
2000-05-22,43600
2000-05-23,91400
2000-05-24,29900
2000-05-25,35400
2000-05-26,24500
2000-05-30,118300
2000-05-31,57500
2000-06-01,53000
2000-06-02,59700
2000-06-05,102000
2000-06-06,275500
2000-06-07,172200
2000-06-08,136800
2000-06-09,145600
2000-06-12,40100
2000-06-13,69600
2000-06-14,103400
2000-06-15,105600
2000-06-16,56300
2000-06-19,80600
2000-06-20,71300
2000-06-21,89200
2000-06-22,22700
2000-06-23,31600
2000-06-26,111700
2000-06-27,28200
2000-06-28,57300
2000-06-29,68200
2000-06-30,55500
2000-07-03,12600
2000-07-05,41600
2000-07-06,14100
2000-07-07,18900
2000-07-10,47000
2000-07-11,76800
2000-07-12,16100
2000-07-13,1369900
2000-07-14,500600
2000-07-17,282000
2000-07-18,234300
2000-07-19,209000
2000-07-20,231400
2000-07-21,400700
2000-07-24,201500
2000-07-25,354500
2000-07-26,188900
2000-07-27,86500
2000-07-28,266500
2000-07-31,130400
2000-08-01,61900
2000-08-02,336500
2000-08-03,73700
2000-08-04,100800
2000-08-07,238200
2000-08-08,131600
2000-08-09,327800
2000-08-10,98800
2000-08-11,475100
2000-08-14,314700
2000-08-15,289100
2000-08-16,233500
2000-08-17,121300
2000-08-18,13900
2000-08-21,36400
2000-08-22,122100
2000-08-23,185900
2000-08-24,66400
2000-08-25,26800
2000-08-28,123400
2000-08-29,52600
2000-08-30,363000
2000-08-31,51400
2000-09-01,43300
2000-09-05,125300
2000-09-06,567500
2000-09-07,329800
2000-09-08,241400
2000-09-11,59300
2000-09-12,114400
2000-09-13,123600
2000-09-14,135800
2000-09-15,18000
2000-09-18,181800
2000-09-19,84100
2000-09-20,77300
2000-09-21,450800
2000-09-22,263200
2000-09-25,521100
2000-09-26,1405000
2000-09-27,1186400
2000-09-28,1813100
2000-09-29,912300
2000-10-02,172800
2000-10-03,139100
2000-10-04,77000
2000-10-05,120800
2000-10-06,298100
2000-10-09,46700
2000-10-10,178700
2000-10-11,293400
2000-10-12,11000500
2000-10-13,4038000
2000-10-16,1212100
2000-10-17,1406300
2000-10-18,1474400
2000-10-19,2088500
2000-10-20,657300
2000-10-23,1704400
2000-10-24,1137100
2000-10-25,1015200
2000-10-26,1134200
2000-10-27,861700
2000-10-30,405100
2000-10-31,222600
2000-11-01,247200
2000-11-02,333500
2000-11-03,181700
2000-11-06,367000
2000-11-07,81400
2000-11-08,189600
2000-11-09,526700
2000-11-10,279900
2000-11-13,441400
2000-11-14,257300
2000-11-15,452700
2000-11-16,212900
2000-11-17,717200
2000-11-20,282300
2000-11-21,186300
2000-11-22,403500
2000-11-24,60100
2000-11-27,1128500
2000-11-28,349400
2000-11-29,96600
2000-11-30,175900
2000-12-01,148900
2000-12-04,173200
2000-12-05,523100
2000-12-06,448100
2000-12-07,139300
2000-12-08,134700
2000-12-11,184000
2000-12-12,101700
2000-12-13,361800
2000-12-14,103200
2000-12-15,60300
2000-12-18,78100
2000-12-19,186200
2000-12-20,213300
2000-12-21,147100
2000-12-22,150300
2000-12-26,175900
2000-12-27,373800
2000-12-28,264000
2000-12-29,375900
2001-01-02,167000
2001-01-03,64800
2001-01-04,67100
2001-01-05,186300
2001-01-08,249300
2001-01-09,218100
2001-01-10,136900
2001-01-11,58800
2001-01-12,137800
2001-01-16,190200
2001-01-17,115200
2001-01-18,185500
2001-01-19,384100
2001-01-22,332700
2001-01-23,555500
2001-01-24,1711100
2001-01-25,465200
2001-01-26,146500
2001-01-29,95000
2001-01-30,87100
2001-01-31,96400
2001-02-01,80600
2001-02-02,109700
2001-02-05,152900
2001-02-06,310400
2001-02-07,359900
2001-02-08,38100
2001-02-09,152400
2001-02-12,144400
2001-02-13,131600
2001-02-14,171600
2001-02-15,84700
2001-02-16,97000
2001-02-20,103300
2001-02-21,199700
2001-02-22,87000
2001-02-23,40600
2001-02-26,40300
2001-02-27,38400
2001-02-28,42600
2001-03-01,48800
2001-03-02,19200
2001-03-05,90600
2001-03-06,60600
2001-03-07,62700
2001-03-08,100600
2001-03-09,70200
2001-03-12,22300
2001-03-13,69500
2001-03-14,58200
2001-03-15,29700
2001-03-16,60100
2001-03-19,16000
2001-03-20,19200
2001-03-21,35600
2001-03-22,19200
2001-03-23,28100
2001-03-26,23500
2001-03-27,43700
2001-03-28,27800
2001-03-29,103700
2001-03-30,27100
2001-04-02,15900
2001-04-03,119600
2001-04-04,51100
2001-04-05,30800
2001-04-06,32100
2001-04-09,125000
2001-04-10,50300
2001-04-11,65800
2001-04-12,8300
2001-04-16,28000
2001-04-17,11200
2001-04-18,70000
2001-04-19,22000
2001-04-20,20500
2001-04-23,14400
2001-04-24,5600
2001-04-25,103200
2001-04-26,41500
2001-04-27,38100
2001-04-30,79300
2001-05-01,41500
2001-05-02,186500
2001-05-03,36700
