Date,volume
2024-10-24,7748000
2024-10-25,1185900
2024-10-28,506800
2024-10-29,547100
2024-10-30,380700
2024-10-31,450700
2024-11-01,292200
2024-11-04,141600
2024-11-05,121300
2024-11-06,253200
2024-11-07,152900
2024-11-08,123200
2024-11-11,289900
2024-11-12,349500
2024-11-13,231300
2024-11-14,178000
2024-11-15,235500
2024-11-18,505000
2024-11-19,195200
2024-11-20,241700
2024-11-21,226200
2024-11-22,486700
2024-11-25,281400
2024-11-26,349000
2024-11-27,882400
2024-11-29,393600
2024-12-02,251900
2024-12-03,156200
2024-12-04,449100
2024-12-05,195000
2024-12-06,215200
2024-12-09,210400
2024-12-10,268200
2024-12-11,315000
2024-12-12,209200
2024-12-13,277500
2024-12-16,251900
2024-12-17,254000
2024-12-18,383800
2024-12-19,319800
2024-12-20,1271500
2024-12-23,270000
2024-12-24,157000
2024-12-26,291100
2024-12-27,408800
2024-12-30,367000
2024-12-31,385300
2025-01-02,880000
2025-01-03,560500
2025-01-06,329800
2025-01-07,285300
2025-01-08,731000
2025-01-10,281100
2025-01-13,198300
2025-01-14,247000
2025-01-15,158300
2025-01-16,316400
2025-01-17,293500
2025-01-21,256400
2025-01-22,829200
2025-01-23,739200
2025-01-24,377100
2025-01-27,440700
2025-01-28,292400
2025-01-29,259300
2025-01-30,175900
2025-01-31,239900
2025-02-03,362400
2025-02-04,170700
2025-02-05,271500
2025-02-06,189200
2025-02-07,208000
2025-02-10,143300
2025-02-11,154500
2025-02-12,180300
2025-02-13,211400
2025-02-14,130700
2025-02-18,132700
2025-02-19,122200
2025-02-20,118100
2025-02-21,183100
2025-02-24,239000
2025-02-25,253500
2025-02-26,208100
2025-02-27,220700
2025-02-28,296800
2025-03-03,383900
2025-03-04,645900
2025-03-05,815300
2025-03-06,623900
2025-03-07,494400
2025-03-10,488400
2025-03-11,456100
2025-03-12,678000
2025-03-13,377900
2025-03-14,303300
2025-03-17,251100
2025-03-18,382800
2025-03-19,185700
2025-03-20,293100
2025-03-21,862500
2025-03-24,435200
2025-03-25,411700
2025-03-26,431400
2025-03-27,1023900
2025-03-28,555000
2025-03-31,378000
2025-04-01,293400
2025-04-02,245500
2025-04-03,532300
2025-04-04,1025700
2025-04-07,604200
2025-04-08,972000
2025-04-09,614900
2025-04-10,1009000
2025-04-11,465200
2025-04-14,530300
2025-04-15,477900
2025-04-16,346900
2025-04-17,271300
2025-04-21,275000
2025-04-22,234700
2025-04-23,342300
2025-04-24,296000
2025-04-25,295300
2025-04-28,328700
2025-04-29,321500
2025-04-30,128400
2025-05-01,231500
2025-05-02,207600
2025-05-05,315000
2025-05-06,253600
2025-05-07,329300
2025-05-08,295900
2025-05-09,533900
2025-05-12,558100
2025-05-13,320500
2025-05-14,314500
2025-05-15,355100
2025-05-16,1290200
2025-05-19,340100
2025-05-20,309600
2025-05-21,320800
2025-05-22,277400
2025-05-23,181700
2025-05-27,267300
2025-05-28,206500
2025-05-29,266900
2025-05-30,188900
2025-06-02,281400
2025-06-03,277600
2025-06-04,279800
2025-06-05,399500
2025-06-06,166000
2025-06-09,206300
2025-06-10,176500
2025-06-11,689800
2025-06-12,356000
2025-06-13,385400
2025-06-16,274800
2025-06-17,567700
2025-06-18,447500
2025-06-20,597400
2025-06-23,274300
2025-06-24,303000
2025-06-25,211700
2025-06-26,241900
2025-06-27,607500
2025-06-30,375800
2025-07-01,203900
2025-07-02,397800
2025-07-03,140400
2025-07-07,697100
2025-07-08,862200
2025-07-09,569300
2025-07-10,339800
2025-07-11,326000
2025-07-14,275200
2025-07-15,236500
2025-07-16,229900
2025-07-17,563600
2025-07-18,351100
2025-07-21,335600
2025-07-22,463600
2025-07-23,450800
2025-07-24,171500
2025-07-25,232600
2025-07-28,246600
2025-07-29,524400
2025-07-30,299700
2025-07-31,212300
2025-08-01,1022100
2025-08-04,521800
2025-08-05,415700
2025-08-06,899600
2025-08-07,828300
2025-08-08,283500
2025-08-11,316500
2025-08-12,282500
2025-08-13,340200
2025-08-14,233900
2025-08-15,256000
2025-08-18,167400
2025-08-19,207400
2025-08-20,387400
2025-08-21,247300
2025-08-22,318400
2025-08-25,265100
2025-08-26,191500
2025-08-27,256500
2025-08-28,177700
2025-08-29,153300
2025-09-02,259600
2025-09-03,184600
2025-09-04,198900
2025-09-05,265800
2025-09-08,240800
2025-09-09,277000
2025-09-10,325300
2025-09-11,212300
