Date,volume
2022-06-23,69400
2022-06-24,1563900
2022-06-27,160300
2022-06-28,71800
2022-06-29,62200
2022-06-30,327300
2022-07-01,592700
2022-07-05,1240900
2022-07-06,2473600
2022-07-07,1262900
2022-07-08,41000
2022-07-11,186400
2022-07-12,205600
2022-07-13,180700
2022-07-14,217000
2022-07-15,817400
2022-07-18,140200
2022-07-19,240800
2022-07-20,539800
2022-07-21,190900
2022-07-22,128800
2022-07-25,188000
2022-07-26,124500
2022-07-27,451200
2022-07-28,436900
2022-07-29,536900
2022-08-01,225600
2022-08-02,116900
2022-08-03,743900
2022-08-04,538900
2022-08-05,519300
2022-08-08,179900
2022-08-09,209300
2022-08-10,500700
2022-08-11,511500
2022-08-12,229800
2022-08-15,559400
2022-08-16,2761500
2022-08-17,715800
2022-08-18,121100
2022-08-19,142000
2022-08-22,102100
2022-08-23,181100
2022-08-24,826000
2022-08-25,189600
2022-08-26,856800
2022-08-29,130600
2022-08-30,111000
2022-08-31,163800
2022-09-01,272700
2022-09-02,134000
2022-09-06,1181000
2022-09-07,17300
2022-09-08,143500
2022-09-09,439000
2022-09-12,179500
2022-09-13,144500
2022-09-14,148100
2022-09-15,289500
2022-09-16,330300
2022-09-19,134600
2022-09-20,326100
2022-09-21,64300
2022-09-22,119300
2022-09-23,640100
2022-09-26,123200
2022-09-27,134400
2022-09-28,317300
2022-09-29,104200
2022-09-30,2309900
2022-10-03,917000
2022-10-04,940300
2022-10-05,195800
2022-10-06,472300
2022-10-07,62700
2022-10-10,256600
2022-10-11,135200
2022-10-12,30200
2022-10-13,383200
2022-10-14,150900
2022-10-17,183000
2022-10-18,251500
2022-10-19,474900
2022-10-20,325600
2022-10-21,704100
2022-10-24,76400
2022-10-25,119700
2022-10-26,199900
2022-10-27,212000
2022-10-28,120400
2022-10-31,514000
2022-11-01,493800
2022-11-02,10100
2022-11-03,78000
2022-11-04,664200
2022-11-07,72400
2022-11-08,268300
2022-11-09,1965200
2022-11-10,1301500
2022-11-11,587100
2022-11-14,269600
2022-11-15,29400
2022-11-16,752000
2022-11-17,546400
2022-11-18,56000
2022-11-21,630900
2022-11-22,192300
2022-11-23,1942400
2022-11-25,859700
2022-11-28,54800
2022-11-29,221900
2022-11-30,632000
2022-12-01,173800
2022-12-02,106300
2022-12-05,135400
2022-12-06,2029500
2022-12-07,76000
2022-12-08,1092200
2022-12-09,20400
2022-12-12,69300
2022-12-13,67700
2022-12-14,556100
2022-12-15,451200
2022-12-16,363700
2022-12-19,519100
2022-12-20,773900
2022-12-21,833100
2022-12-22,532900
2022-12-23,367200
2022-12-27,443900
2022-12-28,551500
2022-12-29,245300
2022-12-30,197100
2023-01-03,406900
2023-01-04,1210500
2023-01-05,109200
2023-01-06,301900
2023-01-09,193500
2023-01-10,69400
2023-01-11,123700
2023-01-12,242200
2023-01-13,187200
2023-01-17,359400
2023-01-18,625600
2023-01-19,701800
2023-01-20,671700
2023-01-23,254800
2023-01-24,417700
2023-01-25,283600
2023-01-26,535800
2023-01-27,455200
2023-01-30,426000
2023-01-31,853100
2023-02-01,750400
2023-02-02,210600
2023-02-03,880200
2023-02-06,235800
2023-02-07,171800
2023-02-08,52700
2023-02-09,465200
2023-02-10,339000
2023-02-13,285400
2023-02-14,146100
2023-02-15,895400
2023-02-16,771700
2023-02-17,114200
2023-02-21,227800
2023-02-22,222800
2023-02-23,271500
2023-02-24,322200
2023-02-27,81300
2023-02-28,446800
2023-03-01,317500
2023-03-02,180400
2023-03-03,409400
2023-03-06,345700
2023-03-07,245100
2023-03-08,295000
2023-03-09,191100
2023-03-10,458600
2023-03-13,302800
2023-03-14,1174000
2023-03-15,1509500
2023-03-16,709100
2023-03-17,730500
2023-03-20,796800
2023-03-21,446900
2023-03-22,420200
2023-03-23,589000
2023-03-24,323600
2023-03-27,496600
2023-03-28,159000
2023-03-29,169300
2023-03-30,302000
2023-03-31,255500
2023-04-03,149000
2023-04-04,115200
2023-04-05,120000
2023-04-06,210800
2023-04-10,125700
2023-04-11,409500
2023-04-12,518700
2023-04-13,144500
2023-04-14,317900
2023-04-17,276500
2023-04-18,599500
2023-04-19,860000
2023-04-20,190100
2023-04-21,38200
2023-04-24,254400
2023-04-25,168100
2023-04-26,154600
2023-04-27,185900
2023-04-28,195700
2023-05-01,39700
2023-05-02,120800
2023-05-03,175200
2023-05-04,251400
2023-05-05,200600
2023-05-08,389300
2023-05-09,570900
2023-05-10,571300
2023-05-11,755300
2023-05-12,393600
2023-05-15,275000
2023-05-16,444100
2023-05-17,209900
2023-05-18,210900
2023-05-19,389900
2023-05-22,166800
2023-05-23,235700
2023-05-24,186600
2023-05-25,2079200
2023-05-26,1294100
2023-05-30,131600
2023-05-31,650600
2023-06-01,409600
2023-06-02,467600
2023-06-05,205100
2023-06-06,327000
2023-06-07,546900
2023-06-08,221600
2023-06-09,217500
2023-06-12,331800
2023-06-13,400400
2023-06-14,191800
2023-06-15,174800
2023-06-16,78700
2023-06-20,179000
2023-06-21,191500
2023-06-22,253700
2023-06-23,270900
2023-06-26,129200
2023-06-27,147600
2023-06-28,174100
2023-06-29,299100
2023-06-30,77200
2023-07-03,81100
2023-07-05,217800
2023-07-06,282000
2023-07-07,460400
2023-07-10,342500
2023-07-11,161900
2023-07-12,104700
2023-07-13,120200
2023-07-14,166200
2023-07-17,74100
2023-07-18,206300
2023-07-19,149300
2023-07-20,105200
2023-07-21,699500
2023-07-24,119000
2023-07-25,161700
2023-07-26,177300
2023-07-27,301500
2023-07-28,141000
2023-07-31,219900
2023-08-01,142900
2023-08-02,119000
2023-08-03,205300
2023-08-04,197000
2023-08-07,195300
2023-08-08,151400
2023-08-09,139100
2023-08-10,149600
2023-08-11,112300
2023-08-14,667700
2023-08-15,260800
2023-08-16,669600
2023-08-17,197500
2023-08-18,292000
2023-08-21,183300
2023-08-22,214500
2023-08-23,381100
2023-08-24,124700
2023-08-25,65600
2023-08-28,191200
2023-08-29,86600
2023-08-30,117100
2023-08-31,232300
2023-09-01,191300
2023-09-05,143300
2023-09-06,184300
2023-09-07,40200
2023-09-08,150300
2023-09-11,154300
2023-09-12,282900
2023-09-13,389500
2023-09-14,53600
2023-09-15,31800
2023-09-18,131100
2023-09-19,115400
2023-09-20,40200
2023-09-21,259900
2023-09-22,67900
2023-09-25,52400
2023-09-26,221900
2023-09-27,137500
2023-09-28,137100
2023-09-29,77200
2023-10-02,215400
2023-10-03,234300
2023-10-04,126000
2023-10-05,243300
2023-10-06,206000
2023-10-09,256800
2023-10-10,187800
2023-10-11,185000
2023-10-12,40800
2023-10-13,168700
2023-10-16,908400
2023-10-17,337500
2023-10-18,232400
2023-10-19,313200
2023-10-20,345900
2023-10-23,500200
2023-10-24,354300
2023-10-25,413400
2023-10-26,312200
2023-10-27,200600
2023-10-30,207600
2023-10-31,193800
2023-11-01,712800
2023-11-02,320400
2023-11-03,747100
2023-11-06,558800
2023-11-07,452100
2023-11-08,220700
2023-11-09,320000
2023-11-10,851400
2023-11-13,219100
2023-11-14,357500
2023-11-15,245700
2023-11-16,352000
2023-11-17,128700
2023-11-20,292400
2023-11-21,204800
2023-11-22,364300
2023-11-24,124300
2023-11-27,226400
2023-11-28,176100
2023-11-29,163200
2023-11-30,91200
2023-12-01,432600
2023-12-04,300400
2023-12-05,435000
2023-12-06,215600
2023-12-07,260000
2023-12-08,161800
2023-12-11,141500
2023-12-12,109700
2023-12-13,228200
2023-12-14,261800
2023-12-15,577100
2023-12-18,128900
2023-12-19,213600
2023-12-20,1147000
2023-12-21,295200
2023-12-22,265600
2023-12-26,272500
2023-12-27,603600
2023-12-28,286600
2023-12-29,320100
2024-01-02,254800
2024-01-03,162400
2024-01-04,364100
2024-01-05,453600
2024-01-08,331800
2024-01-09,328700
2024-01-10,303300
2024-01-11,420100
2024-01-12,284600
2024-01-16,369900
2024-01-17,3307400
2024-01-18,13650300
2024-01-19,5690600
2024-01-22,3741100
2024-01-23,2626700
2024-01-24,1059300
2024-01-25,1715600
2024-01-26,2246200
2024-01-29,2388500
2024-01-30,1890400
2024-01-31,2706100
2024-02-01,938000
2024-02-02,510600
2024-02-05,361500
2024-02-06,683300
2024-02-07,1751200
2024-02-08,2068500
2024-02-09,1908000
2024-02-12,788800
2024-02-13,1117700
2024-02-14,803500
2024-02-15,778400
2024-02-16,1875900
2024-02-20,1108000
2024-02-21,717600
2024-02-22,1900200
2024-02-23,2154400
2024-02-26,773300
2024-02-27,885800
2024-02-28,1254000
2024-02-29,398400
2024-03-01,623600
2024-03-04,1138000
2024-03-05,3502500
2024-03-06,753500
2024-03-07,1251100
2024-03-08,644600
2024-03-11,902700
2024-03-12,677400
2024-03-13,812700
2024-03-14,1090100
2024-03-15,806000
2024-03-18,728600
2024-03-19,1033100
2024-03-20,995500
2024-03-21,609100
2024-03-22,654300
2024-03-25,577000
2024-03-26,595500
2024-03-27,1288200
2024-03-28,1212200
2024-04-01,2194000
2024-04-02,1266300
2024-04-03,772500
2024-04-04,1327500
2024-04-05,887200
2024-04-08,520700
2024-04-09,571400
2024-04-10,1251800
2024-04-11,761400
2024-04-12,723300
2024-04-15,1587500
2024-04-16,1644600
2024-04-17,678700
2024-04-18,642100
2024-04-19,542800
2024-04-22,394500
2024-04-23,440100
2024-04-24,667200
2024-04-25,317600
2024-04-26,421000
2024-04-29,502200
2024-04-30,310900
2024-05-01,202000
2024-05-02,436900
2024-05-03,710700
2024-05-06,438700
2024-05-07,756500
2024-05-08,464800
2024-05-09,1451500
2024-05-10,801800
2024-05-13,568100
2024-05-14,914400
2024-05-15,1507400
2024-05-16,1379100
2024-05-17,717700
2024-05-20,474500
2024-05-21,1017600
2024-05-22,1317800
2024-05-23,444000
2024-05-24,2693100
2024-05-28,825700
2024-05-29,2185700
2024-05-30,576800
2024-05-31,1700600
2024-06-03,1283900
2024-06-04,546900
2024-06-05,1221000
2024-06-06,722000
2024-06-07,674500
2024-06-10,567400
2024-06-11,578700
2024-06-12,441200
2024-06-13,425400
