Date,volume
2005-02-24,5993283
2005-02-25,1399311
2005-02-28,1420294
2005-03-01,676258
2005-03-02,826584
2005-03-03,731612
2005-03-04,567620
2005-03-07,817473
2005-03-08,365530
2005-03-09,211753
2005-03-10,325222
2005-03-11,57149
2005-03-14,137626
2005-03-15,191185
2005-03-16,256754
2005-03-17,316388
2005-03-18,358628
2005-03-21,81582
2005-03-22,266693
2005-03-23,462158
2005-03-24,187734
2005-03-28,60185
2005-03-29,616763
2005-03-30,226110
2005-03-31,1533762
2005-04-01,316664
2005-04-04,195879
2005-04-05,298581
2005-04-06,160126
2005-04-07,279531
2005-04-08,170894
2005-04-11,295406
2005-04-12,419227
2005-04-13,185664
2005-04-14,310866
2005-04-15,345238
2005-04-18,276218
2005-04-19,264071
2005-04-20,155295
2005-04-21,69158
2005-04-22,251233
2005-04-25,119267
2005-04-26,88070
2005-04-27,77993
2005-04-28,33268
2005-04-29,92763
2005-05-02,97732
2005-05-03,23467
2005-05-04,116920
2005-05-05,87103
2005-05-06,50661
2005-05-09,81168
2005-05-10,42102
2005-05-11,53283
2005-05-12,34372
2005-05-13,22224
2005-05-16,35476
2005-05-17,69158
2005-05-18,123408
2005-05-19,162611
2005-05-20,40308
2005-05-23,60738
2005-05-24,126997
2005-05-25,71919
2005-05-26,50937
2005-05-27,75922
2005-05-31,61842
2005-06-01,86827
2005-06-02,33406
2005-06-03,49004
2005-06-06,155157
2005-06-07,88760
2005-06-08,56320
2005-06-09,42654
2005-06-10,51489
2005-06-13,60047
2005-06-14,80753
2005-06-15,117472
2005-06-16,134175
2005-06-17,430409
2005-06-20,94557
2005-06-21,381405
2005-06-22,132518
2005-06-23,135693
2005-06-24,579354
2005-06-27,48038
2005-06-28,78407
2005-06-29,34510
2005-06-30,25123
2005-07-01,38927
2005-07-05,111674
2005-07-06,97870
2005-07-07,81582
2005-07-08,142457
2005-07-11,52179
2005-07-12,32301
2005-07-13,43759
2005-07-14,43345
2005-07-15,24847
2005-07-18,18221
2005-07-19,35752
2005-07-20,73023
2005-07-21,57287
2005-07-22,29955
2005-07-25,32025
2005-07-26,40860
2005-07-27,25952
2005-07-28,32577
2005-07-29,40446
2005-08-01,34648
2005-08-02,58253
2005-08-03,39617
2005-08-04,31335
2005-08-05,38375
2005-08-08,49280
2005-08-09,12148
2005-08-10,57977
2005-08-11,63774
2005-08-12,37961
2005-08-15,69848
2005-08-16,45415
2005-08-17,44035
2005-08-18,57701
2005-08-19,42240
2005-08-22,92211
2005-08-23,129758
2005-08-24,209269
2005-08-25,320943
2005-08-26,132794
2005-08-29,72471
2005-08-30,215757
2005-08-31,339164
2005-09-01,261586
2005-09-02,97318
2005-09-06,194636
2005-09-07,89588
2005-09-08,127963
2005-09-09,59909
2005-09-12,263932
2005-09-13,159712
2005-09-14,81168
2005-09-15,54112
2005-09-16,200572
2005-09-19,86551
2005-09-20,86137
2005-09-21,53974
2005-09-22,62808
2005-09-23,20844
2005-09-26,85171
2005-09-27,60462
2005-09-28,75784
2005-09-29,73575
2005-09-30,42792
2005-10-03,61842
2005-10-04,81029
2005-10-05,77026
2005-10-06,78821
2005-10-07,54526
2005-10-10,16151
2005-10-11,78269
2005-10-12,140801
2005-10-13,58667
2005-10-14,48176
2005-10-17,65845
2005-10-18,17393
2005-10-19,74266
2005-10-20,18221
2005-10-21,18911
2005-10-24,48314
2005-10-25,68744
2005-10-26,73989
2005-10-27,21534
2005-10-28,30783
2005-10-31,64327
2005-11-01,32992
2005-11-02,34924
2005-11-03,28850
2005-11-04,73299
2005-11-07,20430
2005-11-08,169375
2005-11-09,123546
2005-11-10,101459
2005-11-11,111122
2005-11-14,30093
2005-11-15,21258
2005-11-16,58667
2005-11-17,35614
2005-11-18,74956
2005-11-21,31887
2005-11-22,57011
2005-11-23,45415
2005-11-25,9525
2005-11-28,28022
2005-11-29,81306
2005-11-30,113469
2005-12-01,76474
2005-12-02,212306
2005-12-05,106567
2005-12-06,286709
2005-12-07,81444
2005-12-08,73851
2005-12-09,40032
2005-12-12,42378
2005-12-13,38651
2005-12-14,35890
2005-12-15,45001
2005-12-16,187044
2005-12-19,59633
2005-12-20,16703
2005-12-21,10629
2005-12-22,26228
2005-12-23,8835
2005-12-27,20568
2005-12-28,6764
2005-12-29,17117
2005-12-30,47072
2006-01-03,31197
2006-01-04,54112
2006-01-05,70676
2006-01-06,123822
2006-01-09,33406
2006-01-10,51075
2006-01-11,39065
2006-01-12,13114
2006-01-13,8282
2006-01-17,13804
2006-01-18,14218
2006-01-19,12976
2006-01-20,98561
2006-01-23,21948
2006-01-24,29403
2006-01-25,23053
2006-01-26,32025
2006-01-27,52041
2006-01-30,33406
2006-01-31,54940
2006-02-01,33544
2006-02-02,122856
2006-02-03,66259
2006-02-06,19602
2006-02-07,34096
2006-02-08,12424
2006-02-09,64603
2006-02-10,42240
2006-02-13,35062
2006-02-14,29403
2006-02-15,24985
2006-02-16,13390
2006-02-17,21534
2006-02-21,20706
2006-02-22,31749
2006-02-23,36719
2006-02-24,50247
2006-02-27,38375
2006-02-28,47486
2006-03-01,90278
2006-03-02,102564
2006-03-03,121061
2006-03-06,72195
2006-03-07,66535
2006-03-08,58805
2006-03-09,139835
2006-03-10,165510
2006-03-13,45553
2006-03-14,24157
2006-03-15,15737
2006-03-16,34372
2006-03-17,228180
2006-03-20,76474
2006-03-21,57011
2006-03-22,62808
2006-03-23,30231
2006-03-24,12976
2006-03-27,24157
2006-03-28,42792
2006-03-29,21810
2006-03-30,14080
2006-03-31,75508
2006-04-03,54526
2006-04-04,20706
2006-04-05,51351
2006-04-06,67778
2006-04-07,90692
2006-04-10,31749
2006-04-11,46105
2006-04-12,19602
2006-04-13,8144
2006-04-17,88898
2006-04-18,64465
2006-04-19,46243
2006-04-20,20016
2006-04-21,85585
2006-04-24,61842
2006-04-25,89726
2006-04-26,32439
2006-04-27,32577
2006-04-28,108085
2006-05-01,66259
2006-05-02,129758
2006-05-03,30231
2006-05-04,31335
2006-05-05,32715
2006-05-08,48866
2006-05-09,43621
2006-05-10,70953
2006-05-11,73023
2006-05-12,136384
2006-05-15,108085
2006-05-16,60876
2006-05-17,50523
2006-05-18,54664
2006-05-19,69158
2006-05-22,62670
2006-05-23,53836
2006-05-24,110846
2006-05-25,58115
2006-05-26,50799
2006-05-30,45277
2006-05-31,128929
2006-06-01,70676
2006-06-02,67364
2006-06-05,111950
2006-06-06,851293
2006-06-07,196155
2006-06-08,208578
2006-06-09,69572
2006-06-12,90002
2006-06-13,496806
2006-06-14,123270
2006-06-15,99113
2006-06-16,412878
2006-06-19,104082
2006-06-20,108361
2006-06-21,100631
2006-06-22,25537
2006-06-23,56182
2006-06-26,49556
2006-06-27,76336
2006-06-28,37133
2006-06-29,129758
2006-06-30,266417
2006-07-03,53145
2006-07-05,73575
2006-07-06,37823
2006-07-07,31749
2006-07-10,37823
2006-07-11,32992
2006-07-12,60323
2006-07-13,85033
2006-07-14,99113
2006-07-17,29126
2006-07-18,85585
2006-07-19,162059
2006-07-20,38927
2006-07-21,53560
2006-07-24,59081
2006-07-25,54388
2006-07-26,45691
2006-07-27,24571
2006-07-28,43345
2006-07-31,50247
2006-08-01,27884
2006-08-02,12562
2006-08-03,34648
2006-08-04,55354
2006-08-07,46243
2006-08-08,97732
2006-08-09,57425
2006-08-10,43759
2006-08-11,45829
2006-08-14,8144
2006-08-15,32301
2006-08-16,41550
2006-08-17,33820
2006-08-18,40032
2006-08-21,7454
2006-08-22,34786
2006-08-23,51075
2006-08-24,27470
2006-08-25,43621
2006-08-28,33544
2006-08-29,40584
2006-08-30,26918
2006-08-31,35200
2006-09-01,58115
2006-09-05,43483
2006-09-06,45829
2006-09-07,42240
2006-09-08,39617
2006-09-11,19188
2006-09-12,62532
2006-09-13,13666
2006-09-14,53698
2006-09-15,332676
2006-09-18,29264
2006-09-19,36719
2006-09-20,87103
2006-09-21,105877
2006-09-22,124374
2006-09-25,52731
2006-09-26,131414
2006-09-27,60462
2006-09-28,78407
2006-09-29,77993
2006-10-02,89174
2006-10-03,94695
2006-10-04,289194
2006-10-05,32715
2006-10-06,36995
2006-10-09,10353
2006-10-10,53421
2006-10-11,60738
2006-10-12,85309
2006-10-13,39479
2006-10-16,54250
2006-10-17,81168
2006-10-18,36857
2006-10-19,56734
2006-10-20,69986
2006-10-23,32301
2006-10-24,24847
2006-10-25,11733
2006-10-26,63636
2006-10-27,42240
2006-10-30,33682
2006-10-31,23743
2006-11-01,42378
2006-11-02,33130
2006-11-03,32163
2006-11-06,71505
2006-11-07,77164
2006-11-08,50523
2006-11-09,65983
2006-11-10,88208
2006-11-13,32577
2006-11-14,49694
2006-11-15,102012
2006-11-16,35200
2006-11-17,45001
2006-11-20,191185
