Date,volume
2025-11-24,64200
2025-11-25,7600
2025-11-26,900
2025-11-28,1100
2025-12-01,6200
2025-12-02,2500
2025-12-03,0
2025-12-04,0
2025-12-05,2900
2025-12-08,3300
2025-12-09,200
2025-12-10,200
2025-12-11,29100
2025-12-12,5400
2025-12-15,31200
2025-12-16,4200
2025-12-17,14500
2025-12-18,500
2025-12-19,5200
2025-12-22,13100
2025-12-23,26300
2025-12-24,27100
2025-12-26,1100
2025-12-29,9200
2025-12-30,34300
2025-12-31,0
2026-01-02,14500
2026-01-05,5200
2026-01-06,200
2026-01-07,1000
2026-01-08,8700
2026-01-09,6700
2026-01-12,0
2026-01-13,173800
2026-01-14,45400
2026-01-15,200
2026-01-16,1400
2026-01-20,19400
2026-01-21,17200
2026-01-22,11000
2026-01-23,300
2026-01-26,600
2026-01-27,300
2026-01-28,503400
2026-01-29,200
2026-01-30,0
2026-02-02,22200
2026-02-03,360400
2026-02-04,0
2026-02-05,271300
2026-02-06,0
2026-02-09,44600
2026-02-10,55400
2026-02-11,0
2026-02-12,1000
2026-02-13,1700
2026-02-17,3100
2026-02-18,1100
2026-02-19,11600
2026-02-20,400
2026-02-23,600
2026-02-24,15300
2026-02-25,7800
2026-02-26,75100
2026-02-27,39600
2026-03-02,3600
2026-03-03,1300
2026-03-04,4200
2026-03-05,2000
2026-03-06,2000
2026-03-09,1400
2026-03-10,0
2026-03-11,300
2026-03-12,900
2026-03-13,1000
2026-03-16,0
2026-03-17,400
2026-03-18,0
2026-03-19,13400
2026-03-20,16200
2026-03-23,1200
2026-03-24,3200
2026-03-25,5200
2026-03-26,123700
2026-03-27,9816
