Date,volume
2019-05-28,2722100
2019-05-29,5732700
2019-05-30,3916800
2019-05-31,5210500
2019-06-03,2642000
2019-06-04,1991100
2019-06-05,1386500
2019-06-06,1440700
2019-06-07,970700
2019-06-10,961100
2019-06-11,968400
2019-06-12,1130300
2019-06-13,1133200
2019-06-14,890400
2019-06-17,1009800
2019-06-18,1366500
2019-06-19,1322400
2019-06-20,951800
2019-06-21,1249900
2019-06-24,1298600
2019-06-25,864500
2019-06-26,1226800
2019-06-27,1106400
2019-06-28,5471500
2019-07-01,996600
2019-07-02,684800
2019-07-03,253100
2019-07-05,241600
2019-07-08,717600
2019-07-09,976900
2019-07-10,937200
2019-07-11,652200
2019-07-12,528400
2019-07-15,548600
2019-07-16,521200
2019-07-17,519900
2019-07-18,637500
2019-07-19,1390500
2019-07-22,823300
2019-07-23,509100
2019-07-24,941600
2019-07-25,768500
2019-07-26,824400
2019-07-29,497200
2019-07-30,284100
2019-07-31,1419000
2019-08-01,1223600
2019-08-02,521700
2019-08-05,979500
2019-08-06,1443200
2019-08-07,743600
2019-08-08,2089700
2019-08-09,551800
2019-08-12,773300
2019-08-13,669200
2019-08-14,1108300
2019-08-15,1263600
2019-08-16,430500
2019-08-19,494900
2019-08-20,362300
2019-08-21,649600
2019-08-22,447300
2019-08-23,569100
2019-08-26,305300
2019-08-27,854400
2019-08-28,309000
2019-08-29,402700
2019-08-30,425800
2019-09-03,399600
2019-09-04,702000
2019-09-05,571100
2019-09-06,528500
2019-09-09,886400
2019-09-10,636800
2019-09-11,467700
2019-09-12,598500
2019-09-13,620900
2019-09-16,553100
2019-09-17,494300
2019-09-18,682200
2019-09-19,538400
2019-09-20,907400
2019-09-23,511300
2019-09-24,557500
2019-09-25,407800
2019-09-26,400700
2019-09-27,331300
2019-09-30,728700
2019-10-01,615600
2019-10-02,361600
2019-10-03,338300
2019-10-04,695800
2019-10-07,549900
2019-10-08,521800
2019-10-09,632500
2019-10-10,404200
2019-10-11,1139400
2019-10-14,671200
2019-10-15,974300
2019-10-16,648000
2019-10-17,461300
2019-10-18,433100
2019-10-21,836000
2019-10-22,674100
2019-10-23,896500
