Date,volume
2013-07-03,200000
2013-07-05,200
2013-07-08,0
2013-07-09,200000
2013-07-10,0
2013-07-11,0
2013-07-12,0
2013-07-15,1300
2013-07-16,0
2013-07-17,0
2013-07-18,0
2013-07-19,300
2013-07-22,0
2013-07-23,100
2013-07-24,0
2013-07-25,10100
2013-07-26,800
2013-07-29,0
2013-07-30,0
2013-07-31,100
2013-08-01,0
2013-08-02,0
2013-08-05,200
2013-08-06,0
2013-08-07,0
2013-08-08,0
2013-08-09,0
2013-08-12,0
2013-08-13,0
2013-08-14,100
2013-08-15,0
2013-08-16,0
2013-08-19,0
2013-08-20,0
2013-08-21,0
2013-08-22,100
2013-08-23,0
2013-08-26,100
2013-08-27,200
2013-08-28,100
2013-08-29,0
2013-08-30,1000
2013-09-03,0
2013-09-04,0
2013-09-05,0
2013-09-06,0
2013-09-09,0
2013-09-10,5000
2013-09-11,2500
2013-09-12,0
2013-09-13,0
2013-09-16,3900
2013-09-17,2100
2013-09-18,400
2013-09-19,0
2013-09-20,0
2013-09-23,0
2013-09-24,0
2013-09-25,0
2013-09-26,0
2013-09-27,0
2013-09-30,0
2013-10-01,0
2013-10-02,0
2013-10-03,0
2013-10-04,0
2013-10-07,0
2013-10-08,0
2013-10-09,0
2013-10-10,5000
2013-10-11,100
2013-10-14,11000
2013-10-15,0
2013-10-16,0
2013-10-17,0
2013-10-18,0
2013-10-21,100
2013-10-22,257300
2013-10-23,0
2013-10-24,0
2013-10-25,5000
2013-10-28,0
2013-10-29,0
2013-10-30,0
2013-10-31,0
2013-11-01,0
2013-11-04,3500
2013-11-05,0
2013-11-06,0
2013-11-07,0
2013-11-08,0
2013-11-11,0
2013-11-12,0
2013-11-13,0
2013-11-14,0
2013-11-15,0
2013-11-18,0
2013-11-19,0
2013-11-20,0
2013-11-21,0
2013-11-22,0
2013-11-25,0
2013-11-26,0
2013-11-27,0
2013-11-29,0
2013-12-02,0
2013-12-03,10000
2013-12-04,0
2013-12-05,0
2013-12-06,0
2013-12-09,0
2013-12-10,300
2013-12-11,1600
2013-12-12,0
2013-12-13,200
2013-12-16,0
2013-12-17,0
2013-12-18,0
2013-12-19,0
2013-12-20,0
2013-12-23,0
2013-12-24,0
2013-12-26,25100
2013-12-27,0
2013-12-30,0
2013-12-31,0
2014-01-02,0
2014-01-03,0
2014-01-06,0
2014-01-07,0
2014-01-08,0
2014-01-09,0
2014-01-10,0
2014-01-13,0
2014-01-14,0
2014-01-15,6000
2014-01-16,0
2014-01-17,0
2014-01-21,100
2014-01-22,100
2014-01-23,0
2014-01-24,0
2014-01-27,5200
2014-01-28,3000
2014-01-29,0
2014-01-30,0
2014-01-31,2100
2014-02-03,123700
2014-02-04,100
2014-02-05,700
2014-02-06,1300
2014-02-07,0
2014-02-10,0
2014-02-11,0
2014-02-12,100
2014-02-13,300
2014-02-14,200300
2014-02-18,750000
2014-02-19,0
2014-02-20,0
2014-02-21,0
2014-02-24,0
2014-02-25,0
2014-02-26,0
2014-02-27,0
2014-02-28,300
2014-03-03,500
2014-03-04,900
2014-03-05,0
2014-03-06,0
2014-03-07,0
2014-03-10,0
2014-03-11,821400
2014-03-12,1800
2014-03-13,100
2014-03-14,0
2014-03-17,83500
2014-03-18,800
2014-03-19,500
2014-03-20,2500
2014-03-21,0
2014-03-24,0
2014-03-25,0
2014-03-26,65800
2014-03-27,0
2014-03-28,100
2014-03-31,1200
2014-04-01,200
2014-04-02,31100
2014-04-03,3200
2014-04-04,1900
2014-04-07,100
2014-04-08,0
2014-04-09,10000
2014-04-10,100
2014-04-11,300
2014-04-14,1800
2014-04-15,5400
2014-04-16,100
2014-04-17,100
2014-04-21,100
2014-04-22,400
2014-04-23,500
2014-04-24,100
2014-04-25,0
2014-04-28,100
2014-04-29,100
2014-04-30,0
2014-05-01,0
2014-05-02,0
2014-05-05,100
2014-05-06,0
2014-05-07,4600
2014-05-08,100
2014-05-09,0
2014-05-12,400
2014-05-13,1700
2014-05-14,800
2014-05-15,15600
2014-05-16,1600
2014-05-19,1200
2014-05-20,100
2014-05-21,100
2014-05-22,100
2014-05-23,200
2014-05-27,300
2014-05-28,100
2014-05-29,100
2014-05-30,100
2014-06-02,200
2014-06-03,0
2014-06-04,100
2014-06-05,25300
2014-06-06,0
2014-06-09,2700
2014-06-10,0
2014-06-11,300
2014-06-12,0
2014-06-13,0
2014-06-16,1000
2014-06-17,100
2014-06-18,100
2014-06-19,100
2014-06-20,3000
2014-06-23,100
2014-06-24,600
2014-06-25,300
2014-06-26,300
2014-06-27,800
2014-06-30,0
2014-07-01,0
2014-07-02,0
2014-07-03,300
2014-07-07,0
2014-07-08,0
2014-07-09,0
2014-07-10,0
2014-07-11,0
2014-07-14,22000
2014-07-15,8100
2014-07-16,1000
2014-07-17,1100
2014-07-18,6900
2014-07-21,0
2014-07-22,0
2014-07-23,0
2014-07-24,0
2014-07-25,300
2014-07-28,0
2014-07-29,0
2014-07-30,3400
2014-07-31,100
2014-08-01,0
2014-08-04,0
2014-08-05,0
2014-08-06,200
2014-08-07,0
2014-08-08,200
2014-08-11,0
2014-08-12,0
2014-08-13,0
2014-08-14,0
2014-08-15,0
2014-08-18,0
2014-08-19,0
2014-08-20,100
2014-08-21,13200
2014-08-22,3400
2014-08-25,1700
2014-08-26,1100
2014-08-27,100
2014-08-28,100
2014-08-29,100
2014-09-02,1300
2014-09-03,100
2014-09-04,0
2014-09-05,300
2014-09-08,0
2014-09-09,0
2014-09-10,0
2014-09-11,0
2014-09-12,18300
2014-09-15,2400
2014-09-16,0
2014-09-17,0
2014-09-18,0
2014-09-19,300
2014-09-22,13000
2014-09-23,100
2014-09-24,5000
2014-09-25,100
2014-09-26,300
2014-09-29,1100
2014-09-30,4000
2014-10-01,100
2014-10-02,0
2014-10-03,100
2014-10-06,100
2014-10-07,100
2014-10-08,100
2014-10-09,100
2014-10-10,400
2014-10-13,1200
2014-10-14,100
2014-10-15,100
2014-10-16,100
2014-10-17,100
2014-10-20,400
2014-10-21,100
2014-10-22,100
2014-10-23,600
2014-10-24,0
2014-10-27,0
2014-10-28,0
2014-10-29,0
2014-10-30,0
2014-10-31,2100
2014-11-03,0
2014-11-04,0
2014-11-05,100
2014-11-06,0
2014-11-07,0
2014-11-10,0
2014-11-11,0
2014-11-12,0
2014-11-13,0
2014-11-14,200
2014-11-17,200
2014-11-18,0
2014-11-19,0
2014-11-20,0
2014-11-21,0
2014-11-24,0
2014-11-25,0
2014-11-26,0
2014-11-28,0
2014-12-01,0
2014-12-02,0
2014-12-03,0
2014-12-04,0
2014-12-05,0
2014-12-08,0
2014-12-09,0
2014-12-10,0
2014-12-11,3700
2014-12-12,200
2014-12-15,0
2014-12-16,0
2014-12-17,0
2014-12-18,0
2014-12-19,0
2014-12-22,0
2014-12-23,0
2014-12-24,0
2014-12-26,0
2014-12-29,24200
2014-12-30,0
2014-12-31,120000
2015-01-02,100
2015-01-05,100
2015-01-06,100
2015-01-07,100
2015-01-08,1100
2015-01-09,0
2015-01-12,0
2015-01-13,100100
2015-01-14,100
2015-01-15,100
2015-01-16,100
2015-01-20,100
2015-01-21,100
2015-01-22,0
2015-01-23,100
2015-01-26,100
2015-01-27,100
2015-01-28,100
2015-01-29,100
2015-01-30,100
2015-02-02,0
2015-02-03,0
2015-02-04,0
2015-02-05,100
2015-02-06,100
2015-02-09,100
2015-02-10,700
2015-02-11,500
2015-02-12,100
2015-02-13,100
2015-02-17,100
2015-02-18,2700
2015-02-19,0
2015-02-20,0
2015-02-23,0
2015-02-24,0
2015-02-25,0
2015-02-26,0
2015-02-27,0
2015-03-02,0
2015-03-03,500
2015-03-04,0
2015-03-05,0
2015-03-06,300
2015-03-09,0
2015-03-10,66900
2015-03-11,914100
2015-03-12,11900
2015-03-13,15300
2015-03-16,6400
2015-03-17,600
2015-03-18,100
2015-03-19,5500
2015-03-20,5300
2015-03-23,50100
2015-03-24,200
2015-03-25,259300
2015-03-26,298900
2015-03-27,10600
2015-03-30,26800
2015-03-31,48100
2015-04-01,93200
2015-04-02,16700
2015-04-06,1600
2015-04-07,2605900
2015-04-08,1214500
2015-04-09,936800
2015-04-10,1638600
2015-04-13,340000
2015-04-14,704100
2015-04-15,101000
2015-04-16,153300
2015-04-17,34600
2015-04-20,79000
2015-04-21,3600
2015-04-22,315600
2015-04-23,180300
2015-04-24,298200
2015-04-27,252200
2015-04-28,132000
2015-04-29,110000
2015-04-30,178100
2015-05-01,208300
2015-05-04,123200
2015-05-05,70000
2015-05-06,295400
2015-05-07,21200
2015-05-08,2700
2015-05-11,88800
2015-05-12,122400
2015-05-13,210900
2015-05-14,100700
2015-05-15,65200
2015-05-18,344700
2015-05-19,396500
2015-05-20,27300
2015-05-21,201100
2015-05-22,142100
2015-05-26,85600
2015-05-27,137000
2015-05-28,51800
2015-05-29,25800
2015-06-01,206500
2015-06-02,60500
2015-06-03,65200
2015-06-04,147800
2015-06-05,29500
2015-06-08,92200
