Date,volume
2000-01-03,92400
2000-01-04,68900
2000-01-05,86800
2000-01-06,157800
2000-01-07,282000
2000-01-10,125800
2000-01-11,95800
2000-01-12,134100
2000-01-13,205600
2000-01-14,179300
2000-01-18,108500
2000-01-19,116700
2000-01-20,347100
2000-01-21,469700
2000-01-24,149700
2000-01-25,280700
2000-01-26,139600
2000-01-27,176100
2000-01-28,103300
2000-01-31,153200
2000-02-01,129800
2000-02-02,89200
2000-02-03,114200
2000-02-04,109400
2000-02-07,172300
2000-02-08,291700
2000-02-09,206900
2000-02-10,496800
2000-02-11,187700
2000-02-14,214200
2000-02-15,163200
2000-02-16,102900
2000-02-17,142200
2000-02-18,156000
2000-02-22,227000
2000-02-23,252900
2000-02-24,372300
2000-02-25,259600
2000-02-28,105700
2000-02-29,187600
2000-03-01,203800
2000-03-02,186100
2000-03-03,201800
2000-03-06,262100
2000-03-07,299100
2000-03-08,293600
2000-03-09,186600
2000-03-10,402200
2000-03-13,172400
2000-03-14,150400
2000-03-15,168200
2000-03-16,111200
2000-03-17,141000
2000-03-20,151600
2000-03-21,210700
2000-03-22,56300
2000-03-23,135900
2000-03-24,83100
2000-03-27,148600
2000-03-28,233100
2000-03-29,124700
2000-03-30,92300
2000-03-31,129500
2000-04-03,104700
2000-04-04,157000
2000-04-05,106800
2000-04-06,85200
2000-04-07,47400
2000-04-10,111000
2000-04-11,96200
2000-04-12,138300
2000-04-13,169600
2000-04-14,70200
2000-04-17,79600
2000-04-18,277200
2000-04-19,117100
2000-04-20,43000
2000-04-24,120800
2000-04-25,146800
2000-04-26,628400
2000-04-27,237200
2000-04-28,180900
2000-05-01,193000
2000-05-02,121100
2000-05-03,63500
2000-05-04,47800
2000-05-05,288900
2000-05-08,51000
2000-05-09,48900
2000-05-10,42400
2000-05-11,79900
2000-05-12,161600
2000-05-15,161700
2000-05-16,57300
2000-05-17,98300
2000-05-18,102500
2000-05-19,63000
2000-05-22,111900
2000-05-23,61500
2000-05-24,244600
2000-05-25,83900
2000-05-26,121300
