Date,volume
2000-01-03,318700
2000-01-04,340100
2000-01-05,246400
2000-01-06,252000
2000-01-07,301500
2000-01-10,87900
2000-01-11,199600
2000-01-12,476400
2000-01-13,241500
2000-01-14,297500
2000-01-18,255000
2000-01-19,259700
2000-01-20,695300
2000-01-21,228600
2000-01-24,271400
2000-01-25,276900
2000-01-26,408600
2000-01-27,357200
2000-01-28,560400
2000-01-31,225200
2000-02-01,320400
2000-02-02,782700
2000-02-03,465100
2000-02-04,203100
2000-02-07,326600
2000-02-08,174900
2000-02-09,204100
2000-02-10,305400
2000-02-11,452500
2000-02-14,283900
2000-02-15,728100
2000-02-16,1356100
2000-02-17,526300
2000-02-18,654700
2000-02-22,372500
2000-02-23,286000
2000-02-24,175000
2000-02-25,245100
2000-02-28,528000
2000-02-29,327500
2000-03-01,564900
2000-03-02,173800
2000-03-03,361600
2000-03-06,401100
2000-03-07,627700
2000-03-08,607900
2000-03-09,504000
2000-03-10,279400
2000-03-13,506800
2000-03-14,448100
2000-03-15,610500
2000-03-16,214700
2000-03-17,313300
2000-03-20,351600
2000-03-21,349000
2000-03-22,333700
2000-03-23,175300
2000-03-24,194100
2000-03-27,150200
2000-03-28,248500
2000-03-29,278600
2000-03-30,350700
2000-03-31,493800
2000-04-03,358600
2000-04-04,551400
2000-04-05,314300
2000-04-06,174500
2000-04-07,185800
2000-04-10,215900
2000-04-11,340000
2000-04-12,203200
2000-04-13,119100
2000-04-14,214800
2000-04-17,268600
2000-04-18,151700
2000-04-19,611100
2000-04-20,297200
2000-04-24,555000
2000-04-25,350200
2000-04-26,129200
2000-04-27,179800
2000-04-28,327000
2000-05-01,249600
2000-05-02,195000
2000-05-03,408400
2000-05-04,281700
2000-05-05,273000
2000-05-08,349300
2000-05-09,647100
2000-05-10,501400
2000-05-11,220800
2000-05-12,200500
2000-05-15,106600
2000-05-16,172800
2000-05-17,123800
2000-05-18,164500
2000-05-19,173500
2000-05-22,231500
2000-05-23,265200
2000-05-24,223800
2000-05-25,151900
2000-05-26,113400
2000-05-30,202800
2000-05-31,237500
2000-06-01,224300
2000-06-02,157200
2000-06-05,197300
2000-06-06,97800
2000-06-07,201000
2000-06-08,351600
2000-06-09,98900
2000-06-12,111900
2000-06-13,121300
2000-06-14,107900
2000-06-15,235300
2000-06-16,323600
2000-06-19,293100
2000-06-20,337600
2000-06-21,263000
2000-06-22,512400
2000-06-23,425600
2000-06-26,395000
2000-06-27,426400
2000-06-28,346700
2000-06-29,414300
2000-06-30,784700
2000-07-03,103400
2000-07-05,317100
2000-07-06,557900
2000-07-07,341600
2000-07-10,384100
2000-07-11,427700
2000-07-12,298900
2000-07-13,318900
2000-07-14,195400
2000-07-17,226000
2000-07-18,253300
2000-07-19,294600
2000-07-20,83100
2000-07-21,176900
2000-07-24,140100
2000-07-25,517900
2000-07-26,261100
2000-07-27,237300
2000-07-28,320200
2000-07-31,273800
2000-08-01,322400
2000-08-02,633900
2000-08-03,208100
2000-08-04,97000
2000-08-07,88500
2000-08-08,212300
2000-08-09,231200
2000-08-10,196000
2000-08-11,199600
2000-08-14,165800
2000-08-15,197800
2000-08-16,221300
2000-08-17,174900
2000-08-18,75500
2000-08-21,148500
2000-08-22,221700
2000-08-23,130700
2000-08-24,199000
2000-08-25,174200
2000-08-28,237700
2000-08-29,140000
2000-08-30,137900
2000-08-31,152100
2000-09-01,123000
2000-09-05,82800
2000-09-06,171700
2000-09-07,606400
2000-09-08,1934400
2000-09-11,699600
2000-09-12,179700
2000-09-13,304700
2000-09-14,209600
2000-09-15,303500
2000-09-18,333100
