Date,volume
2000-01-03,271600
2000-01-04,432800
2000-01-05,562000
2000-01-06,459600
2000-01-07,2020000
2000-01-10,954400
2000-01-11,1422000
2000-01-12,721600
2000-01-13,457200
2000-01-14,461200
2000-01-18,1881200
2000-01-19,1085600
2000-01-20,1224400
2000-01-21,1557600
2000-01-24,998400
2000-01-25,1279200
2000-01-26,1172400
2000-01-27,475600
2000-01-28,576000
2000-01-31,615200
2000-02-01,735200
2000-02-02,521600
2000-02-03,757600
2000-02-04,844400
2000-02-07,799600
2000-02-08,1602400
2000-02-09,756000
2000-02-10,1042000
2000-02-11,2038000
2000-02-14,987200
2000-02-15,788000
2000-02-16,862400
2000-02-17,1175600
2000-02-18,1682400
2000-02-22,1248000
2000-02-23,1747600
2000-02-24,1069600
2000-02-25,2162800
2000-02-28,8525600
2000-02-29,1011200
2000-03-01,391200
2000-03-02,764800
2000-03-03,724800
2000-03-06,768000
2000-03-07,2481200
2000-03-08,726000
2000-03-09,731200
2000-03-10,1057600
2000-03-13,1276800
2000-03-14,724800
2000-03-15,577200
2000-03-16,2442000
2000-03-17,743200
2000-03-20,601600
2000-03-21,792800
2000-03-22,497600
2000-03-23,1044800
2000-03-24,387200
2000-03-27,834800
2000-03-28,450800
2000-03-29,531200
2000-03-30,580400
2000-03-31,950800
2000-04-03,779600
2000-04-04,693600
2000-04-05,598000
2000-04-06,929600
2000-04-07,365200
2000-04-10,839200
2000-04-11,938800
2000-04-12,3939600
2000-04-13,790400
2000-04-14,947200
2000-04-17,754400
2000-04-18,395600
2000-04-19,310800
2000-04-20,496800
2000-04-24,317200
2000-04-25,481200
2000-04-26,544400
2000-04-27,408800
2000-04-28,430400
2000-05-01,200400
2000-05-02,449600
2000-05-03,448000
2000-05-04,388400
2000-05-05,563600
2000-05-08,668800
2000-05-09,1029600
2000-05-10,453600
2000-05-11,585200
2000-05-12,448400
2000-05-15,889200
2000-05-16,498800
2000-05-17,627600
2000-05-18,780000
2000-05-19,400400
2000-05-22,340400
2000-05-23,694000
2000-05-24,424000
2000-05-25,264800
2000-05-26,2731200
2000-05-30,607200
2000-05-31,870800
