Date,volume
2000-01-03,535800
2000-01-04,874600
2000-01-05,613800
2000-01-06,456600
2000-01-07,563000
2000-01-10,836600
2000-01-11,353200
2000-01-12,347400
2000-01-13,345200
2000-01-14,185600
2000-01-18,394800
2000-01-19,745400
2000-01-20,830600
2000-01-21,518400
2000-01-24,879200
2000-01-25,489000
2000-01-26,671600
2000-01-27,337600
2000-01-28,510000
2000-01-31,554300
2000-02-01,629300
2000-02-02,384500
2000-02-03,268300
2000-02-04,164100
2000-02-07,389500
2000-02-08,701700
2000-02-09,364600
2000-02-10,433000
2000-02-11,482200
2000-02-14,444600
2000-02-15,273200
2000-02-16,269200
2000-02-17,273400
2000-02-18,555100
2000-02-22,634700
2000-02-23,368100
2000-02-24,266500
2000-02-25,584200
2000-02-28,322200
2000-02-29,652300
2000-03-01,1122500
2000-03-02,577100
2000-03-03,452300
2000-03-06,477300
2000-03-07,866300
2000-03-08,603000
2000-03-09,487300
2000-03-10,841900
2000-03-13,577200
2000-03-14,607200
2000-03-15,631000
2000-03-16,1272500
2000-03-17,954200
2000-03-20,17325600
2000-03-21,7871600
2000-03-22,7220800
2000-03-23,14599900
2000-03-24,7134400
2000-03-27,3455400
2000-03-28,4660800
2000-03-29,2569100
2000-03-30,1542200
2000-03-31,1352600
2000-04-03,1047400
2000-04-04,2172900
2000-04-05,2020600
2000-04-06,2267700
2000-04-07,1670400
2000-04-10,1591100
2000-04-11,1690100
2000-04-12,1401800
2000-04-13,4318300
2000-04-14,2882500
2000-04-17,2225000
2000-04-18,2380000
2000-04-19,1561200
2000-04-20,805000
2000-04-24,1091500
2000-04-25,1423100
2000-04-26,1642100
2000-04-27,5710800
2000-04-28,2561700
2000-05-01,1432500
2000-05-02,1548300
2000-05-03,1020200
2000-05-04,1163800
2000-05-05,1131800
2000-05-08,757100
2000-05-09,1709500
2000-05-10,1211600
2000-05-11,1087500
2000-05-12,2291100
2000-05-15,1836300
2000-05-16,1268900
2000-05-17,5430300
2000-05-18,1241100
