Date,volume
2019-03-27,1352000
2019-03-28,1300
2019-03-29,50100
2019-04-01,12400
2019-04-02,288600
2019-04-03,548000
2019-04-04,6000
2019-04-05,5000
2019-04-08,101300
2019-04-09,25800
2019-04-10,356700
2019-04-11,600
2019-04-12,476200
2019-04-15,183400
2019-04-16,8500
2019-04-17,50500
2019-04-18,0
2019-04-22,4500
2019-04-23,10000
2019-04-24,11500
2019-04-25,1400
2019-04-26,227500
2019-04-29,1543400
2019-04-30,5200
2019-05-01,259300
2019-05-02,100
2019-05-03,1100
2019-05-06,58700
2019-05-07,10000
2019-05-08,582300
2019-05-09,31200
2019-05-10,500200
2019-05-13,200
2019-05-14,1100
2019-05-15,300400
2019-05-16,5500
2019-05-17,21700
2019-05-20,9200
2019-05-21,600
2019-05-22,0
2019-05-23,2000
2019-05-24,10200
2019-05-28,100
2019-05-29,2300
2019-05-30,11500
2019-05-31,6000
2019-06-03,100
2019-06-04,100
2019-06-05,100
2019-06-06,18700
2019-06-07,675300
2019-06-10,100
2019-06-11,445700
2019-06-12,200
2019-06-13,253300
2019-06-14,37200
2019-06-17,37100
2019-06-18,68300
2019-06-19,29100
2019-06-20,195800
2019-06-21,30100
2019-06-24,15100
2019-06-25,522500
2019-06-26,1200
2019-06-27,10300
2019-06-28,234300
2019-07-01,152000
2019-07-02,342900
2019-07-03,200
2019-07-05,0
2019-07-08,127900
2019-07-09,19700
2019-07-10,74600
2019-07-11,1200
2019-07-12,1200
2019-07-15,25100
2019-07-16,100
2019-07-17,600
2019-07-18,300
2019-07-19,100
2019-07-22,24900
2019-07-23,137600
2019-07-24,6700
2019-07-25,4500
2019-07-26,100
2019-07-29,53400
2019-07-30,19700
2019-07-31,19700
2019-08-01,109600
2019-08-02,100
2019-08-05,122200
2019-08-06,77800
2019-08-07,3600
2019-08-08,100
2019-08-09,2800
2019-08-12,10300
2019-08-13,652700
2019-08-14,100
2019-08-15,100
2019-08-16,402600
2019-08-19,25800
2019-08-20,1100
2019-08-21,1081400
2019-08-22,6000
2019-08-23,10900
2019-08-26,0
2019-08-27,455400
2019-08-28,1500
2019-08-29,209100
2019-08-30,200
2019-09-03,15900
2019-09-04,125500
2019-09-05,0
2019-09-06,258600
2019-09-09,5100
2019-09-10,0
2019-09-11,1000
2019-09-12,1600
2019-09-13,100
2019-09-16,3800
2019-09-17,800
2019-09-18,19500
2019-09-19,200
2019-09-20,0
2019-09-23,18400
2019-09-24,300
2019-09-25,0
2019-09-26,100
2019-09-27,4200
2019-09-30,49800
2019-10-01,1300
2019-10-02,18200
2019-10-03,1200
2019-10-04,92200
2019-10-07,30000
2019-10-08,27300
2019-10-09,102500
2019-10-10,0
2019-10-11,0
2019-10-14,0
2019-10-15,100
2019-10-16,900
2019-10-17,19900
2019-10-18,0
2019-10-21,101000
2019-10-22,0
2019-10-23,0
2019-10-24,200500
2019-10-25,400
2019-10-28,50400
2019-10-29,2700
2019-10-30,0
2019-10-31,0
2019-11-01,32500
2019-11-04,1000
2019-11-05,3400
2019-11-06,0
2019-11-07,500
2019-11-08,500
2019-11-11,0
2019-11-12,0
2019-11-13,1328500
2019-11-14,1100
2019-11-15,17500
2019-11-18,719900
2019-11-19,103800
2019-11-20,192600
2019-11-21,27000
2019-11-22,1200
2019-11-25,313600
2019-11-26,18500
2019-11-27,24500
2019-11-29,3600
2019-12-02,6800
2019-12-03,527000
2019-12-04,197400
2019-12-05,461500
2019-12-06,3300
2019-12-09,225100
2019-12-10,2100
2019-12-11,1700
2019-12-12,217900
2019-12-13,1200
2019-12-16,18500
2019-12-17,130700
2019-12-18,255600
2019-12-19,344600
2019-12-20,106400
2019-12-23,101000
2019-12-24,300
2019-12-26,500
2019-12-27,6300
2019-12-30,988700
2019-12-31,145000
2020-01-02,256100
2020-01-03,400
2020-01-06,121700
2020-01-07,20100
2020-01-08,359700
2020-01-09,12700
2020-01-10,2000
2020-01-13,40000
2020-01-14,140800
2020-01-15,260800
2020-01-16,171000
2020-01-17,352500
2020-01-21,3400
2020-01-22,361800
2020-01-23,17200
2020-01-24,337500
2020-01-27,0
2020-01-28,500
2020-01-29,25400
2020-01-30,13400
2020-01-31,100700
2020-02-03,5800
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-10,0
2020-02-11,173000
2020-02-12,4100
2020-02-13,4800
2020-02-14,0
2020-02-18,0
2020-02-19,1000
2020-02-20,49500
2020-02-21,0
2020-02-24,56300
2020-02-25,112700
2020-02-26,3000
2020-02-27,234100
2020-02-28,170100
2020-03-02,300
2020-03-03,101100
2020-03-04,99800
2020-03-05,113100
2020-03-06,60400
2020-03-09,11400
2020-03-10,31100
2020-03-11,1000
2020-03-12,1000
2020-03-13,2700
2020-03-16,314700
2020-03-17,2846200
2020-03-18,23600
2020-03-19,217800
2020-03-20,1029800
2020-03-23,497700
2020-03-24,2178100
2020-03-25,5700
2020-03-26,101500
2020-03-27,109800
2020-03-30,0
2020-03-31,700
2020-04-01,7300
2020-04-02,0
2020-04-03,36700
2020-04-06,4400
2020-04-07,322200
2020-04-08,200
2020-04-09,13500
2020-04-13,10200
2020-04-14,22200
2020-04-15,3300
2020-04-16,0
