Date,volume
2008-08-13,245000
2008-08-14,811200
2008-08-15,533500
2008-08-18,191200
2008-08-19,0
2008-08-20,1558100
2008-08-21,51300
2008-08-22,12000
2008-08-25,0
2008-08-26,0
2008-08-27,0
2008-08-28,296500
2008-08-29,2000
2008-09-02,4200
2008-09-03,397600
2008-09-04,2800
2008-09-05,24400
2008-09-08,49400
2008-09-09,246400
2008-09-10,166500
2008-09-11,68600
2008-09-12,8000
2008-09-15,6900
2008-09-16,117100
2008-09-17,2000
2008-09-18,80500
2008-09-19,312200
2008-09-22,25000
2008-09-23,20100
2008-09-24,1700
2008-09-25,285500
2008-09-26,16500
2008-09-29,19200
2008-09-30,19400
2008-10-01,6500
2008-10-02,11100
2008-10-03,17300
2008-10-06,900
2008-10-07,600
2008-10-08,5800
2008-10-09,4000
2008-10-10,32600
2008-10-13,1600
2008-10-14,135800
2008-10-15,4700
2008-10-16,100
2008-10-17,500
2008-10-20,500
2008-10-21,962600
2008-10-22,644000
2008-10-23,9800
2008-10-24,300
2008-10-27,10900
2008-10-28,8900
2008-10-29,3100
2008-10-30,216000
2008-10-31,77500
2008-11-03,65200
2008-11-04,72400
2008-11-05,36300
2008-11-06,7000
2008-11-07,30300
2008-11-10,1900
2008-11-11,81000
2008-11-12,66900
2008-11-13,603200
2008-11-14,948300
2008-11-17,5200
2008-11-18,11900
2008-11-19,26300
2008-11-20,44200
2008-11-21,16400
2008-11-24,29400
2008-11-25,28300
2008-11-26,5700
2008-11-28,9800
2008-12-01,30000
2008-12-02,15700
2008-12-03,11000
2008-12-04,16500
2008-12-05,383600
2008-12-08,249600
2008-12-09,218400
2008-12-10,256700
2008-12-11,327800
2008-12-12,15100
2008-12-15,464200
2008-12-16,39300
2008-12-17,445600
2008-12-18,688500
2008-12-19,253800
2008-12-22,46400
2008-12-23,257100
2008-12-24,44300
2008-12-26,3800
2008-12-29,76000
2008-12-30,121100
2008-12-31,111600
2009-01-02,391900
2009-01-05,724200
2009-01-06,608900
2009-01-07,164200
2009-01-08,392500
2009-01-09,154000
2009-01-12,287600
2009-01-13,42800
2009-01-14,157400
2009-01-15,217700
2009-01-16,512800
2009-01-20,131700
2009-01-21,88300
2009-01-22,50900
2009-01-23,134400
2009-01-26,275600
2009-01-27,124600
2009-01-28,50100
2009-01-29,100700
2009-01-30,172700
2009-02-02,79900
2009-02-03,38100
2009-02-04,31800
2009-02-05,55300
2009-02-06,96100
2009-02-09,16700
2009-02-10,13500
2009-02-11,23600
2009-02-12,41900
2009-02-13,43700
2009-02-17,11000
2009-02-18,78700
2009-02-19,53900
2009-02-20,76600
2009-02-23,112900
2009-02-24,102400
2009-02-25,121900
2009-02-26,95600
2009-02-27,20500
2009-03-02,49000
2009-03-03,42000
2009-03-04,52500
2009-03-05,26900
2009-03-06,30200
2009-03-09,62800
2009-03-10,98100
2009-03-11,150600
2009-03-12,87500
2009-03-13,552000
2009-03-16,134800
2009-03-17,59500
2009-03-18,100700
2009-03-19,47300
2009-03-20,179300
2009-03-23,97700
2009-03-24,31500
2009-03-25,93300
2009-03-26,54500
2009-03-27,72500
2009-03-30,153800
2009-03-31,74200
2009-04-01,148200
2009-04-02,106900
2009-04-03,145800
2009-04-06,68300
2009-04-07,212300
2009-04-08,16900
2009-04-09,32000
2009-04-13,53700
2009-04-14,67600
2009-04-15,45600
2009-04-16,81300
2009-04-17,119500
2009-04-20,43600
2009-04-21,69800
2009-04-22,126400
2009-04-23,56100
2009-04-24,43100
2009-04-27,78900
2009-04-28,77200
2009-04-29,75400
2009-04-30,84000
2009-05-01,50400
2009-05-04,77500
2009-05-05,282000
2009-05-06,127100
2009-05-07,67700
2009-05-08,69900
2009-05-11,123000
2009-05-12,44800
2009-05-13,90200
2009-05-14,94200
2009-05-15,401100
2009-05-18,278400
2009-05-19,175200
2009-05-20,367200
2009-05-21,145200
2009-05-22,45500
2009-05-26,126200
2009-05-27,91800
2009-05-28,122700
2009-05-29,587900
2009-06-01,211700
2009-06-02,79900
2009-06-03,141400
2009-06-04,144000
2009-06-05,301900
2009-06-08,69400
2009-06-09,92700
2009-06-10,223700
2009-06-11,146300
2009-06-12,209800
2009-06-15,222400
2009-06-16,531000
2009-06-17,171300
2009-06-18,85400
2009-06-19,134700
2009-06-22,313600
2009-06-23,246800
2009-06-24,532800
2009-06-25,171900
2009-06-26,3646200
2009-06-29,221300
2009-06-30,245000
2009-07-01,100500
2009-07-02,176900
2009-07-06,173600
2009-07-07,258400
2009-07-08,265800
2009-07-09,455800
2009-07-10,447000
2009-07-13,194700
2009-07-14,132300
2009-07-15,289500
2009-07-16,143100
2009-07-17,167100
2009-07-20,101000
2009-07-21,86000
2009-07-22,80700
2009-07-23,153700
2009-07-24,169600
2009-07-27,107600
2009-07-28,234700
2009-07-29,236400
2009-07-30,111000
2009-07-31,97400
2009-08-03,121700
2009-08-04,98400
2009-08-05,187600
2009-08-06,136000
2009-08-07,82300
2009-08-10,115400
2009-08-11,659700
2009-08-12,216000
2009-08-13,129300
2009-08-14,203900
2009-08-17,133100
2009-08-18,118400
2009-08-19,186900
2009-08-20,123200
2009-08-21,155400
2009-08-24,45400
2009-08-25,71400
2009-08-26,88200
2009-08-27,77900
2009-08-28,162400
2009-08-31,144200
2009-09-01,185300
2009-09-02,78800
2009-09-03,107400
2009-09-04,91900
2009-09-08,37200
2009-09-09,38200
2009-09-10,23600
2009-09-11,48900
2009-09-14,63600
2009-09-15,76800
2009-09-16,65300
2009-09-17,26400
2009-09-18,85000
2009-09-21,38900
2009-09-22,36000
2009-09-23,65900
2009-09-24,59400
2009-09-25,79800
2009-09-28,96300
2009-09-29,121100
2009-09-30,88100
2009-10-01,87500
2009-10-02,91800
2009-10-05,96500
2009-10-06,186600
2009-10-07,94600
2009-10-08,43300
2009-10-09,57500
2009-10-12,89900
2009-10-13,98600
2009-10-14,88600
2009-10-15,73100
2009-10-16,261600
2009-10-19,412500
2009-10-20,174000
2009-10-21,167900
2009-10-22,274900
2009-10-23,185800
2009-10-26,198100
2009-10-27,73600
2009-10-28,137400
2009-10-29,128100
2009-10-30,76200
2009-11-02,73700
2009-11-03,67700
2009-11-04,264800
2009-11-05,296800
2009-11-06,530800
2009-11-09,304200
2009-11-10,554900
2009-11-11,529300
2009-11-12,239700
2009-11-13,139600
2009-11-16,280900
2009-11-17,83100
2009-11-18,145300
2009-11-19,206200
2009-11-20,308700
2009-11-23,143300
2009-11-24,251000
2009-11-25,82500
2009-11-27,65000
2009-11-30,123300
2009-12-01,120700
2009-12-02,211800
2009-12-03,282500
2009-12-04,169500
2009-12-07,183500
2009-12-08,402300
2009-12-09,91500
2009-12-10,159500
2009-12-11,98700
2009-12-14,148700
2009-12-15,170800
2009-12-16,541500
2009-12-17,185300
2009-12-18,454500
2009-12-21,156500
2009-12-22,95100
2009-12-23,201400
2009-12-24,90600
2009-12-28,174800
2009-12-29,51500
2009-12-30,68200
2009-12-31,71300
2010-01-04,108700
2010-01-05,106600
2010-01-06,121000
2010-01-07,68000
2010-01-08,104400
2010-01-11,166500
2010-01-12,422500
2010-01-13,189600
2010-01-14,131300
2010-01-15,203600
2010-01-19,547800
2010-01-20,225800
2010-01-21,485200
2010-01-22,156000
2010-01-25,194500
2010-01-26,295100
2010-01-27,134600
2010-01-28,113000
2010-01-29,96400
2010-02-01,33400
2010-02-02,85900
2010-02-03,147800
2010-02-04,110500
2010-02-05,125400
2010-02-08,150800
2010-02-09,108300
2010-02-10,734500
2010-02-11,357300
2010-02-12,316000
2010-02-16,159400
2010-02-17,143400
2010-02-18,204400
2010-02-19,97000
2010-02-22,124000
2010-02-23,74700
2010-02-24,75000
2010-02-25,108900
2010-02-26,234200
2010-03-01,73600
2010-03-02,43300
2010-03-03,94800
2010-03-04,26400
2010-03-05,131900
2010-03-08,56000
2010-03-09,66900
2010-03-10,170900
2010-03-11,231000
2010-03-12,217000
2010-03-15,190300
2010-03-16,189200
2010-03-17,104800
2010-03-18,85300
2010-03-19,181500
2010-03-22,154100
2010-03-23,95500
2010-03-24,163700
2010-03-25,106200
2010-03-26,128600
2010-03-29,282500
2010-03-30,44000
2010-03-31,57300
2010-04-01,141000
2010-04-05,53700
2010-04-06,43100
2010-04-07,48800
2010-04-08,39300
2010-04-09,42500
2010-04-12,66400
2010-04-13,64200
2010-04-14,57100
2010-04-15,24300
2010-04-16,70200
2010-04-19,81500
2010-04-20,54600
2010-04-21,30400
2010-04-22,96800
2010-04-23,101300
2010-04-26,46000
2010-04-27,44000
2010-04-28,76300
2010-04-29,129500
2010-04-30,91500
2010-05-03,78000
2010-05-04,98200
2010-05-05,114800
2010-05-06,106300
2010-05-07,94800
2010-05-10,90300
2010-05-11,174700
2010-05-12,101700
2010-05-13,140000
2010-05-14,98300
2010-05-17,166700
2010-05-18,289500
2010-05-19,82700
2010-05-20,119600
2010-05-21,194400
2010-05-24,77300
2010-05-25,71600
2010-05-26,146600
2010-05-27,53800
2010-05-28,86700
2010-06-01,86300
2010-06-02,69500
2010-06-03,62400
2010-06-04,193200
2010-06-07,65600
2010-06-08,83500
2010-06-09,74200
2010-06-10,105700
2010-06-11,83300
2010-06-14,80500
2010-06-15,130200
2010-06-16,48200
2010-06-17,95200
2010-06-18,112700
2010-06-21,95600
2010-06-22,50200
2010-06-23,67300
2010-06-24,98600
2010-06-25,1046600
2010-06-28,60500
2010-06-29,66300
2010-06-30,90400
2010-07-01,94200
2010-07-02,62300
2010-07-06,46900
2010-07-07,119600
2010-07-08,58100
2010-07-09,27700
2010-07-12,50600
2010-07-13,76500
2010-07-14,41800
2010-07-15,43700
2010-07-16,84400
2010-07-19,27400
2010-07-20,57200
2010-07-21,106800
2010-07-22,65900
2010-07-23,49800
2010-07-26,60400
2010-07-27,46600
2010-07-28,61000
2010-07-29,62900
2010-07-30,34500
2010-08-02,48000
2010-08-03,173200
2010-08-04,84200
2010-08-05,25200
2010-08-06,63600
2010-08-09,70800
2010-08-10,83700
2010-08-11,109200
2010-08-12,123700
2010-08-13,63600
2010-08-16,46800
2010-08-17,55500
2010-08-18,62600
2010-08-19,322200
2010-08-20,154500
2010-08-23,158900
2010-08-24,243000
2010-08-25,163600
2010-08-26,143900
2010-08-27,72300
2010-08-30,127100
2010-08-31,130400
2010-09-01,123100
2010-09-02,30900
2010-09-03,42700
2010-09-07,80600
2010-09-08,26600
2010-09-09,54700
2010-09-10,122900
2010-09-13,85100
2010-09-14,62300
2010-09-15,65100
2010-09-16,42600
2010-09-17,115900
2010-09-20,80000
2010-09-21,43400
2010-09-22,68500
2010-09-23,72700
2010-09-24,81800
2010-09-27,66200
2010-09-28,56500
2010-09-29,136100
2010-09-30,99800
2010-10-01,51800
2010-10-04,50700
2010-10-05,106100
2010-10-06,53400
2010-10-07,111300
2010-10-08,91200
2010-10-11,51400
2010-10-12,44600
2010-10-13,116900
2010-10-14,43300
2010-10-15,105500
2010-10-18,48400
2010-10-19,76500
2010-10-20,86200
2010-10-21,72800
2010-10-22,37000
2010-10-25,64600
2010-10-26,76900
2010-10-27,43900
2010-10-28,300200
2010-10-29,135000
2010-11-01,85700
2010-11-02,70800
2010-11-03,486900
2010-11-04,105200
2010-11-05,53900
2010-11-08,91600
2010-11-09,168100
2010-11-10,208400
2010-11-11,222100
2010-11-12,78200
2010-11-15,73400
2010-11-16,139000
2010-11-17,122400
2010-11-18,205100
2010-11-19,118800
2010-11-22,73700
2010-11-23,70700
2010-11-24,125000
2010-11-26,47800
2010-11-29,142100
2010-11-30,129500
2010-12-01,172200
2010-12-02,215000
2010-12-03,224600
2010-12-06,118800
2010-12-07,100300
2010-12-08,115200
2010-12-09,89900
2010-12-10,278800
2010-12-13,241000
2010-12-14,435000
2010-12-15,126000
2010-12-16,96400
2010-12-17,408200
2010-12-20,820400
2010-12-21,640900
2010-12-22,226800
2010-12-23,85800
2010-12-27,72900
2010-12-28,132400
2010-12-29,79000
2010-12-30,64000
2010-12-31,103700
2011-01-03,80100
2011-01-04,256600
2011-01-05,79300
2011-01-06,85300
2011-01-07,68900
2011-01-10,62100
2011-01-11,124700
2011-01-12,156400
2011-01-13,103900
2011-01-14,202600
2011-01-18,405600
2011-01-19,283300
2011-01-20,150600
2011-01-21,281700
2011-01-24,204400
2011-01-25,142600
2011-01-26,155600
2011-01-27,91800
2011-01-28,124400
2011-01-31,87400
2011-02-01,179900
2011-02-02,100300
2011-02-03,66700
2011-02-04,58800
2011-02-07,74900
2011-02-08,107400
2011-02-09,45400
2011-02-10,70400
2011-02-11,50300
2011-02-14,77000
2011-02-15,202200
2011-02-16,84300
2011-02-17,126300
2011-02-18,100500
2011-02-22,108600
2011-02-23,277400
2011-02-24,131500
2011-02-25,116700
2011-02-28,79800
2011-03-01,270600
2011-03-02,139900
2011-03-03,102700
2011-03-04,66400
2011-03-07,98500
2011-03-08,294100
2011-03-09,637100
2011-03-10,516300
2011-03-11,257000
2011-03-14,186700
2011-03-15,143200
2011-03-16,163100
2011-03-17,87200
2011-03-18,235400
2011-03-21,107900
2011-03-22,84300
2011-03-23,78200
2011-03-24,282400
2011-03-25,118000
2011-03-28,47900
2011-03-29,71600
2011-03-30,62400
2011-03-31,45200
2011-04-01,227300
2011-04-04,80400
2011-04-05,103800
2011-04-06,66400
2011-04-07,66000
2011-04-08,113200
2011-04-11,122300
2011-04-12,294900
2011-04-13,153000
2011-04-14,258200
2011-04-15,163400
2011-04-18,159000
2011-04-19,109400
2011-04-20,75300
2011-04-21,169500
2011-04-25,104200
2011-04-26,167600
2011-04-27,149800
2011-04-28,143000
2011-04-29,157000
2011-05-02,76800
2011-05-03,46100
2011-05-04,50000
2011-05-05,96500
2011-05-06,76000
2011-05-09,126800
2011-05-10,360500
2011-05-11,190700
2011-05-12,237400
2011-05-13,147800
2011-05-16,145000
