Date,volume
2000-01-03,4700
2000-01-04,13000
2000-01-05,2100
2000-01-06,500
2000-01-07,1100
2000-01-10,5300
2000-01-11,900
2000-01-12,2200
2000-01-13,1100
2000-01-14,1600
2000-01-18,4200
2000-01-19,9200
2000-01-20,3100
2000-01-21,12500
2000-01-24,4600
2000-01-25,800
2000-01-26,4700
2000-01-27,1400
2000-01-28,15200
2000-01-31,15800
2000-02-01,10200
2000-02-02,500
2000-02-03,1100
2000-02-04,11000
2000-02-07,4200
2000-02-08,1200
2000-02-09,10500
2000-02-10,1700
2000-02-11,5100
2000-02-14,6800
2000-02-15,4600
2000-02-16,3100
2000-02-17,3800
2000-02-18,7500
2000-02-22,1100
2000-02-23,5400
2000-02-24,400
2000-02-25,8200
2000-02-28,1500
2000-02-29,8000
2000-03-01,9700
2000-03-02,7900
2000-03-03,7200
2000-03-06,5500
2000-03-07,4800
2000-03-08,2100
2000-03-09,3200
2000-03-10,0
2000-03-13,1000
2000-03-14,2400
2000-03-15,600
2000-03-16,600
2000-03-17,1300
2000-03-20,2400
2000-03-21,1700
2000-03-22,1000
2000-03-23,1600
2000-03-24,10500
2000-03-27,13600
2000-03-28,8500
2000-03-29,1400
2000-03-30,8600
2000-03-31,19500
2000-04-03,8800
2000-04-04,2300
2000-04-05,5500
2000-04-06,7800
2000-04-07,21700
2000-04-10,17500
2000-04-11,1700
2000-04-12,2800
2000-04-13,0
2000-04-14,3400
2000-04-17,4500
2000-04-18,1300
2000-04-19,10000
2000-04-20,200
2000-04-24,4300
2000-04-25,16200
2000-04-26,7900
2000-04-27,5600
2000-04-28,600
2000-05-01,300
2000-05-02,7600
2000-05-03,1700
2000-05-04,5400
2000-05-05,9200
2000-05-08,9500
2000-05-09,14000
2000-05-10,8200
2000-05-11,1600
2000-05-12,18000
2000-05-15,1700
2000-05-16,34900
2000-05-17,4000
2000-05-18,1500
2000-05-19,0
2000-05-22,19400
2000-05-23,1000
2000-05-24,3700
2000-05-25,3300
2000-05-26,2300
2000-05-30,3200
2000-05-31,100
2000-06-01,5600
2000-06-02,800
2000-06-05,21500
2000-06-06,1400
2000-06-07,3300
2000-06-08,600
2000-06-09,500
2000-06-12,0
2000-06-13,400
2000-06-14,0
2000-06-15,2400
2000-06-16,1600
2000-06-19,2900
2000-06-20,5500
2000-06-21,200
2000-06-22,2600
2000-06-23,6300
2000-06-26,21900
2000-06-27,1700
2000-06-28,3000
2000-06-29,5000
2000-06-30,3200
2000-07-03,300
2000-07-05,7900
2000-07-06,8800
2000-07-07,7000
2000-07-10,4500
2000-07-11,1300
2000-07-12,2100
2000-07-13,7600
2000-07-14,9800
2000-07-17,6400
2000-07-18,15500
2000-07-19,1400
2000-07-20,1000
2000-07-21,15300
2000-07-24,1100
2000-07-25,5000
2000-07-26,3300
2000-07-27,0
2000-07-28,2600
2000-07-31,1600
2000-08-01,300
2000-08-02,1000
2000-08-03,10000
2000-08-04,1300
2000-08-07,4900
2000-08-08,700
2000-08-09,22000
2000-08-10,3000
2000-08-11,24800
2000-08-14,1500
2000-08-15,12100
2000-08-16,1400
2000-08-17,12200
2000-08-18,24400
2000-08-21,18300
2000-08-22,1900
2000-08-23,100
2000-08-24,700
2000-08-25,2300
2000-08-28,0
2000-08-29,4900
2000-08-30,0
2000-08-31,6800
2000-09-01,0
2000-09-05,1700
2000-09-06,4900
2000-09-07,6800
2000-09-08,12700
2000-09-11,2700
2000-09-12,0
2000-09-13,900
2000-09-14,6600
2000-09-15,600
2000-09-18,6200
2000-09-19,6000
2000-09-20,101100
2000-09-21,11800
2000-09-22,4700
2000-09-25,6000
2000-09-26,1000
2000-09-27,7600
2000-09-28,0
2000-09-29,55400
2000-10-02,1700
2000-10-03,6600
2000-10-04,0
2000-10-05,3800
2000-10-06,100
2000-10-09,0
2000-10-10,9300
2000-10-11,13000
2000-10-12,13800
2000-10-13,23100
2000-10-16,2900
2000-10-17,8500
2000-10-18,3500
2000-10-19,16500
2000-10-20,6500
2000-10-23,1000
2000-10-24,4500
2000-10-25,7800
2000-10-26,7000
2000-10-27,3000
2000-10-30,4100
2000-10-31,4900
2000-11-01,1100
2000-11-02,3600
2000-11-03,0
2000-11-06,1300
2000-11-07,3300
2000-11-08,30100
2000-11-09,1500
2000-11-10,200
2000-11-13,1800
2000-11-14,22400
2000-11-15,8500
2000-11-16,6900
2000-11-17,0
2000-11-20,7500
2000-11-21,11200
2000-11-22,1000
2000-11-24,300
2000-11-27,3400
2000-11-28,1700
2000-11-29,5100
2000-11-30,7000
2000-12-01,1100
2000-12-04,300
2000-12-05,881800
2000-12-06,3600
2000-12-07,1700
2000-12-08,700
2000-12-11,1500
2000-12-12,22400
2000-12-13,12300
2000-12-14,20500
2000-12-15,10000
2000-12-18,92100
2000-12-19,21900
2000-12-20,4600
2000-12-21,6900
2000-12-22,21300
2000-12-26,10900
2000-12-27,2800
2000-12-28,4600
2000-12-29,22400
2001-01-02,7800
2001-01-03,23000
2001-01-04,2500
2001-01-05,700
2001-01-08,2500
2001-01-09,700
2001-01-10,3500
2001-01-11,3000
2001-01-12,4900
2001-01-16,22800
2001-01-17,900
2001-01-18,1000
2001-01-19,12300
2001-01-22,5800
2001-01-23,0
2001-01-24,7200
2001-01-25,10800
2001-01-26,1500
2001-01-29,1600
2001-01-30,8100
2001-01-31,6800
2001-02-01,900
2001-02-02,5500
2001-02-05,12100
2001-02-06,0
2001-02-07,100
2001-02-08,1500
2001-02-09,4000
2001-02-12,300
2001-02-13,1100
2001-02-14,1200
2001-02-15,3700
2001-02-16,1100
2001-02-20,4300
2001-02-21,2200
2001-02-22,10000
2001-02-23,0
2001-02-26,4600
2001-02-27,4200
2001-02-28,0
2001-03-01,12100
2001-03-02,6100
2001-03-05,8000
2001-03-06,7000
2001-03-07,200
2001-03-08,2100
2001-03-09,9100
2001-03-12,6900
2001-03-13,5800
2001-03-14,0
2001-03-15,1100
2001-03-16,0
2001-03-19,200
2001-03-20,10700
2001-03-21,2300
2001-03-22,16400
2001-03-23,35400
2001-03-26,5100
2001-03-27,14000
2001-03-28,15700
2001-03-29,43700
2001-03-30,127300
2001-04-02,19500
2001-04-03,9800
2001-04-04,10200
2001-04-05,9200
2001-04-06,2000
2001-04-09,2300
2001-04-10,3100
2001-04-11,9400
2001-04-12,3300
2001-04-16,4200
2001-04-17,0
2001-04-18,5800
2001-04-19,2200
2001-04-20,6200
2001-04-23,4500
2001-04-24,11500
2001-04-25,1300
2001-04-26,600
2001-04-27,5900
2001-04-30,600
2001-05-01,95400
2001-05-02,26200
2001-05-03,17100
2001-05-04,8500
2001-05-07,3200
2001-05-08,5000
2001-05-09,7000
2001-05-10,8600
2001-05-11,66300
2001-05-14,9500
2001-05-15,8400
2001-05-16,9400
2001-05-17,6300
2001-05-18,8000
2001-05-21,13000
2001-05-22,1500
2001-05-23,3900
2001-05-24,12200
2001-05-25,1100
2001-05-29,1500
2001-05-30,2000
2001-05-31,26600
2001-06-01,29500
2001-06-04,9200
2001-06-05,3300
2001-06-06,7800
2001-06-07,4300
2001-06-08,600
2001-06-11,50800
2001-06-12,7200
2001-06-13,4800
2001-06-14,3100
2001-06-15,7000
2001-06-18,2700
2001-06-19,1800
2001-06-20,6600
2001-06-21,2100
2001-06-22,10000
2001-06-25,8500
2001-06-26,10800
2001-06-27,10200
2001-06-28,12400
2001-06-29,203700
2001-07-02,64700
2001-07-03,17500
2001-07-05,23600
2001-07-06,9100
2001-07-09,6000
2001-07-10,35000
2001-07-11,18100
2001-07-12,10300
2001-07-13,3700
2001-07-16,20500
2001-07-17,16800
2001-07-18,6400
2001-07-19,20400
2001-07-20,21800
2001-07-23,16700
2001-07-24,7700
2001-07-25,3100
2001-07-26,6200
2001-07-27,8700
2001-07-30,2600
2001-07-31,7000
2001-08-01,7000
2001-08-02,4200
2001-08-03,2700
2001-08-06,4300
2001-08-07,1900
2001-08-08,11600
2001-08-09,8800
2001-08-10,1400
2001-08-13,3500
2001-08-14,15200
2001-08-15,17700
2001-08-16,3000
2001-08-17,5300
