Date,volume
2016-05-06,5025200
2016-05-09,778100
2016-05-10,658400
2016-05-11,377700
2016-05-12,588400
2016-05-13,208500
2016-05-16,281300
2016-05-17,420700
2016-05-18,335700
2016-05-19,231800
2016-05-20,145200
2016-05-23,245700
2016-05-24,454200
2016-05-25,169100
2016-05-26,263900
2016-05-27,269000
2016-05-31,396100
2016-06-01,173000
2016-06-02,540200
2016-06-03,319500
2016-06-06,142100
2016-06-07,426000
2016-06-08,151100
2016-06-09,239800
2016-06-10,221300
2016-06-13,263300
2016-06-14,399700
2016-06-15,189400
2016-06-16,142000
2016-06-17,633400
2016-06-20,175600
2016-06-21,187200
2016-06-22,226800
2016-06-23,155800
2016-06-24,984200
2016-06-27,608500
2016-06-28,148000
2016-06-29,368700
2016-06-30,297000
2016-07-01,115700
2016-07-05,171300
2016-07-06,208200
2016-07-07,222200
2016-07-08,136100
2016-07-11,124800
2016-07-12,119900
2016-07-13,128400
2016-07-14,144000
2016-07-15,154600
2016-07-18,130700
2016-07-19,130200
2016-07-20,104500
2016-07-21,345600
2016-07-22,279400
2016-07-25,129100
2016-07-26,122900
2016-07-27,131900
2016-07-28,566100
2016-07-29,172500
2016-08-01,143900
2016-08-02,141600
2016-08-03,77500
2016-08-04,51600
2016-08-05,579600
2016-08-08,158500
2016-08-09,210100
2016-08-10,315200
2016-08-11,147400
2016-08-12,89600
2016-08-15,208600
2016-08-16,315400
2016-08-17,281400
2016-08-18,104900
2016-08-19,162700
2016-08-22,241600
2016-08-23,270700
2016-08-24,844500
2016-08-25,637800
2016-08-26,356900
2016-08-29,229300
2016-08-30,247700
2016-08-31,150200
2016-09-01,78600
2016-09-02,78300
2016-09-06,186700
2016-09-07,105500
2016-09-08,256700
2016-09-09,202100
2016-09-12,124200
2016-09-13,90100
2016-09-14,108000
2016-09-15,404400
2016-09-16,353000
2016-09-19,142400
2016-09-20,93300
2016-09-21,893900
2016-09-22,479600
2016-09-23,290400
2016-09-26,181800
2016-09-27,96100
2016-09-28,100400
2016-09-29,795000
2016-09-30,173800
2016-10-03,154300
2016-10-04,162800
2016-10-05,1673300
2016-10-06,596600
2016-10-07,872500
2016-10-10,615900
2016-10-11,340100
2016-10-12,559800
2016-10-13,582700
2016-10-14,401500
2016-10-17,171400
2016-10-18,448600
2016-10-19,351100
2016-10-20,322400
2016-10-21,536700
2016-10-24,390600
2016-10-25,316800
2016-10-26,235600
2016-10-27,212100
2016-10-28,171300
2016-10-31,232700
2016-11-01,126300
2016-11-02,257200
2016-11-03,260500
2016-11-04,249700
2016-11-07,220500
2016-11-08,166100
2016-11-09,331500
2016-11-10,236400
2016-11-11,232000
2016-11-14,363900
2016-11-15,604300
2016-11-16,266300
2016-11-17,364000
2016-11-18,198100
2016-11-21,172600
2016-11-22,140700
2016-11-23,228300
2016-11-25,102500
2016-11-28,199900
2016-11-29,229400
2016-11-30,275800
2016-12-01,165600
2016-12-02,206000
2016-12-05,222000
2016-12-06,220200
2016-12-07,186500
2016-12-08,163800
2016-12-09,179400
2016-12-12,275000
2016-12-13,226600
2016-12-14,223100
2016-12-15,218200
2016-12-16,1876100
2016-12-19,269400
2016-12-20,204800
2016-12-21,119200
2016-12-22,220100
2016-12-23,177700
2016-12-27,200100
2016-12-28,310100
2016-12-29,195100
2016-12-30,284900
2017-01-03,180400
2017-01-04,269400
2017-01-05,168200
2017-01-06,197900
2017-01-09,220400
2017-01-10,219900
2017-01-11,206500
2017-01-12,166800
2017-01-13,216100
2017-01-17,278100
2017-01-18,129200
2017-01-19,84200
2017-01-20,178600
2017-01-23,193600
2017-01-24,187700
2017-01-25,145700
2017-01-26,187100
2017-01-27,121400
2017-01-30,134300
2017-01-31,108100
2017-02-01,192700
2017-02-02,125400
2017-02-03,134000
2017-02-06,91300
2017-02-07,182800
2017-02-08,110000
2017-02-09,164500
2017-02-10,136000
2017-02-13,133400
2017-02-14,127300
2017-02-15,1500800
2017-02-16,744400
