Date,volume
2016-09-30,30011500
2016-10-03,28809900
2016-10-04,9879400
2016-10-05,8423500
2016-10-06,5266600
2016-10-07,5268800
2016-10-10,3719400
2016-10-11,4014200
2016-10-12,2269500
2016-10-13,3785100
2016-10-14,2540900
2016-10-17,2614600
2016-10-18,3657800
2016-10-19,1389600
2016-10-20,1772900
2016-10-21,2735200
2016-10-24,2575100
2016-10-25,2473000
2016-10-26,1261800
2016-10-27,2681000
2016-10-28,2358100
2016-10-31,2094500
2016-11-01,1324400
2016-11-02,1489300
2016-11-03,1208100
2016-11-04,1513000
2016-11-07,1440500
2016-11-08,2291700
2016-11-09,2812200
2016-11-10,1697900
2016-11-11,977200
2016-11-14,1084200
2016-11-15,2857100
2016-11-16,2074200
2016-11-17,1193900
2016-11-18,1845300
2016-11-21,1298900
2016-11-22,1059100
2016-11-23,1207000
2016-11-25,530700
2016-11-28,1319600
2016-11-29,2766900
2016-11-30,3465200
2016-12-01,2816900
2016-12-02,1765600
2016-12-05,1467000
2016-12-06,1064000
2016-12-07,1810600
2016-12-08,841900
2016-12-09,718200
2016-12-12,758700
2016-12-13,1260800
2016-12-14,754900
2016-12-15,1827200
2016-12-16,2973100
2016-12-19,583300
2016-12-20,772000
2016-12-21,606900
2016-12-22,2192200
2016-12-23,650300
2016-12-27,274200
2016-12-28,595600
2016-12-29,633100
2016-12-30,471700
2017-01-03,1044700
2017-01-04,889800
2017-01-05,1204800
2017-01-06,890500
2017-01-09,1181200
2017-01-10,742200
2017-01-11,923500
2017-01-12,618100
2017-01-13,514500
2017-01-17,748800
2017-01-18,1513700
2017-01-19,490500
2017-01-20,488900
2017-01-23,782300
2017-01-24,764200
2017-01-25,1349100
2017-01-26,1008600
2017-01-27,427500
2017-01-30,615500
2017-01-31,487600
2017-02-01,580200
2017-02-02,557300
2017-02-03,1234800
2017-02-06,503700
2017-02-07,521200
2017-02-08,720000
2017-02-09,733800
2017-02-10,581700
2017-02-13,581800
2017-02-14,453600
2017-02-15,1181500
2017-02-16,1309000
2017-02-17,543200
2017-02-21,727900
2017-02-22,426200
2017-02-23,582000
2017-02-24,562600
2017-02-27,531000
2017-02-28,535000
2017-03-01,753700
2017-03-02,1925800
2017-03-03,9396600
2017-03-06,5082200
2017-03-07,2363900
2017-03-08,1455100
2017-03-09,779100
2017-03-10,797200
2017-03-13,652400
2017-03-14,957200
2017-03-15,760100
2017-03-16,498500
2017-03-17,720400
2017-03-20,775400
2017-03-21,1018200
2017-03-22,732500
2017-03-23,694400
2017-03-24,343900
2017-03-27,787400
2017-03-28,1122100
2017-03-29,10830700
2017-03-30,3104600
2017-03-31,1979300
2017-04-03,2000800
2017-04-04,4808900
2017-04-05,4133400
2017-04-06,3161400
2017-04-07,2280200
2017-04-10,1469700
2017-04-11,2683600
2017-04-12,2372200
2017-04-13,2017700
2017-04-17,1630400
2017-04-18,1308100
2017-04-19,2359200
2017-04-20,2482100
2017-04-21,1275100
2017-04-24,1501900
2017-04-25,1851400
2017-04-26,1914900
2017-04-27,1805500
2017-04-28,2215700
2017-05-01,3543500
2017-05-02,4264200
2017-05-03,4132300
2017-05-04,1371700
2017-05-05,1756400
2017-05-08,1612100
2017-05-09,1759600
2017-05-10,3459200
2017-05-11,1300100
2017-05-12,1059300
2017-05-15,2647400
2017-05-16,2947300
2017-05-17,1968700
2017-05-18,1499900
2017-05-19,1612700
2017-05-22,4764900
2017-05-23,2800700
2017-05-24,3077900
2017-05-25,6704600
2017-05-26,20547200
2017-05-30,12472500
2017-05-31,5680700
2017-06-01,4288200
2017-06-02,3733100
2017-06-05,5404500
2017-06-06,4020800
2017-06-07,2841800
2017-06-08,6211500
2017-06-09,3433900
2017-06-12,3158100
2017-06-13,2482000
2017-06-14,2125300
2017-06-15,2192700
2017-06-16,3422500
2017-06-19,3706600
2017-06-20,2158700
2017-06-21,2450300
2017-06-22,2703600
2017-06-23,7649300
2017-06-26,4289200
2017-06-27,2940800
2017-06-28,10816300
2017-06-29,4137900
2017-06-30,4026300
2017-07-03,2479500
2017-07-05,2798500
2017-07-06,2370100
2017-07-07,1942600
2017-07-10,1911400
2017-07-11,1918000
2017-07-12,2513200
2017-07-13,3165300
2017-07-14,11291800
2017-07-17,9613600
2017-07-18,7727600
2017-07-19,5235500
2017-07-20,4797000
2017-07-21,3908900
2017-07-24,3064300
2017-07-25,3120300
2017-07-26,2823200
2017-07-27,5039900
2017-07-28,2456100
2017-07-31,2674900
2017-08-01,2260000
2017-08-02,3544600
2017-08-03,1882100
2017-08-04,1582100
2017-08-07,2377200
2017-08-08,2391900
2017-08-09,1731100
2017-08-10,2761700
2017-08-11,2138200
2017-08-14,2068200
2017-08-15,2109300
2017-08-16,1846500
2017-08-17,3947900
2017-08-18,2281000
2017-08-21,2029300
2017-08-22,2121900
2017-08-23,1668500
2017-08-24,1801100
2017-08-25,2251700
2017-08-28,2124200
2017-08-29,2526700
2017-08-30,3350100
2017-08-31,7616600
2017-09-01,17793000
2017-09-05,10783400
2017-09-06,5494900
2017-09-07,4592900
2017-09-08,2353800
2017-09-11,2150400
2017-09-12,3016800
2017-09-13,3443800
2017-09-14,2602900
2017-09-15,4237300
2017-09-18,8029900
2017-09-19,4138900
2017-09-20,4441500
2017-09-21,4743800
2017-09-22,7500900
2017-09-25,5180900
2017-09-26,3574000
2017-09-27,3706900
2017-09-28,7435600
2017-09-29,2646700
2017-10-02,5522200
2017-10-03,3370400
2017-10-04,4209800
2017-10-05,2936900
2017-10-06,2791500
2017-10-09,2486200
2017-10-10,15571900
2017-10-11,7363300
2017-10-12,5284200
2017-10-13,5067200
2017-10-16,3306300
2017-10-17,2300800
2017-10-18,2259800
2017-10-19,2346400
2017-10-20,2225900
2017-10-23,3359800
2017-10-24,5598500
2017-10-25,5227200
2017-10-26,2574500
2017-10-27,3187400
2017-10-30,3133800
2017-10-31,2141900
2017-11-01,3090300
2017-11-02,2583400
2017-11-03,1558900
2017-11-06,3233300
2017-11-07,1991700
2017-11-08,2911000
2017-11-09,3382000
2017-11-10,1997500
2017-11-13,1163500
2017-11-14,1555000
2017-11-15,2196200
2017-11-16,2884000
2017-11-17,2496100
2017-11-20,2752800
2017-11-21,3801100
2017-11-22,7209400
2017-11-24,3834800
2017-11-27,4059200
2017-11-28,4325400
2017-11-29,5745500
2017-11-30,5605500
2017-12-01,20932100
2017-12-04,8362900
2017-12-05,3603700
2017-12-06,3107600
2017-12-07,3479800
2017-12-08,2811100
2017-12-11,3142500
2017-12-12,3451900
2017-12-13,4532500
2017-12-14,4899900
2017-12-15,9046500
2017-12-18,4984900
2017-12-19,4203400
2017-12-20,4279800
2017-12-21,3154300
2017-12-22,1850000
2017-12-26,2184200
2017-12-27,1385300
2017-12-28,1266300
2017-12-29,1745800
2018-01-02,1920300
2018-01-03,3819700
2018-01-04,3891900
2018-01-05,2532900
2018-01-08,4216900
2018-01-09,3264200
2018-01-10,1652500
2018-01-11,1809300
2018-01-12,1919500
2018-01-16,4011200
2018-01-17,3643600
2018-01-18,3856800
2018-01-19,3247000
2018-01-22,3770400
2018-01-23,3782900
2018-01-24,3250200
2018-01-25,9405800
2018-01-26,3973100
2018-01-29,2903100
2018-01-30,3993500
2018-01-31,2676000
2018-02-01,2408300
2018-02-02,3177300
2018-02-05,3841700
2018-02-06,3411700
2018-02-07,4678800
2018-02-08,3045400
2018-02-09,5167800
2018-02-12,2428100
2018-02-13,2041400
2018-02-14,2654500
2018-02-15,2146900
2018-02-16,1914700
2018-02-20,4525000
2018-02-21,4381700
2018-02-22,3778600
2018-02-23,2166200
2018-02-26,2593600
2018-02-27,2742900
2018-02-28,3292500
2018-03-01,5911900
2018-03-02,9831200
2018-03-05,10004800
2018-03-06,8282800
2018-03-07,7508000
2018-03-08,5457100
2018-03-09,9683600
2018-03-12,9071000
2018-03-13,9311100
2018-03-14,8761000
2018-03-15,7335100
2018-03-16,8485000
2018-03-19,7124000
2018-03-20,4855000
