Date,volume
2021-07-08,15054500
2021-07-09,1529400
2021-07-12,1030700
2021-07-13,137700
2021-07-14,129300
2021-07-15,51800
2021-07-16,158500
2021-07-19,1049600
2021-07-20,1085300
2021-07-21,17200
2021-07-22,3700
2021-07-23,8400
2021-07-26,9500
2021-07-27,23200
2021-07-28,13900
2021-07-29,3700
2021-07-30,8000
2021-08-02,7400
2021-08-03,12100
2021-08-04,32800
2021-08-05,646500
2021-08-06,31800
2021-08-09,1200
2021-08-10,4500
2021-08-11,12700
2021-08-12,1760100
2021-08-13,1900
2021-08-16,22100
2021-08-17,1300
2021-08-18,14600
2021-08-19,100
2021-08-20,4100
2021-08-23,3100
2021-08-24,8200
2021-08-25,9100
2021-08-26,900
2021-08-27,7800
2021-08-30,2100
2021-08-31,0
2021-09-01,0
2021-09-02,2100
2021-09-03,12600
2021-09-07,5300
2021-09-08,8100
2021-09-09,8600
2021-09-10,0
2021-09-13,400
2021-09-14,18600
2021-09-15,6800
2021-09-16,32700
2021-09-17,21100
2021-09-20,5800
2021-09-21,1600
2021-09-22,24700
2021-09-23,23700
2021-09-24,300
2021-09-27,600
2021-09-28,34600
2021-09-29,28700
2021-09-30,0
2021-10-01,75000
2021-10-04,4200
2021-10-05,43500
2021-10-06,10700
2021-10-07,4300
2021-10-08,700
2021-10-11,578600
2021-10-12,11800
2021-10-13,0
2021-10-14,17900
2021-10-15,500
2021-10-18,18200
2021-10-19,300
2021-10-20,800
2021-10-21,0
2021-10-22,18000
2021-10-25,2900
2021-10-26,55700
2021-10-27,31500
2021-10-28,2100
2021-10-29,38200
2021-11-01,28400
2021-11-02,200
2021-11-03,17000
2021-11-04,105400
2021-11-05,90700
2021-11-08,191500
2021-11-09,1300
2021-11-10,4700
2021-11-11,45400
2021-11-12,16300
2021-11-15,7000
2021-11-16,1900
2021-11-17,1100
2021-11-18,10600
2021-11-19,84500
2021-11-22,33100
2021-11-23,10400
2021-11-24,700
2021-11-26,2500
2021-11-29,10800
2021-11-30,4200
2021-12-01,18800
2021-12-02,14100
2021-12-03,1600
2021-12-06,5500
2021-12-07,1018200
2021-12-08,932000
2021-12-09,477900
2021-12-10,35100
2021-12-13,6700
2021-12-14,26200
2021-12-15,16400
2021-12-16,1600
2021-12-17,167200
2021-12-20,16100
2021-12-21,2400
2021-12-22,57000
2021-12-23,14900
2021-12-27,8400
2021-12-28,7300
2021-12-29,4800
2021-12-30,11300
2021-12-31,52700
2022-01-03,8800
2022-01-04,1200
2022-01-05,20800
2022-01-06,600
2022-01-07,16900
2022-01-10,2000
2022-01-11,24800
2022-01-12,0
2022-01-13,8400
2022-01-14,0
2022-01-18,3800
2022-01-19,2400
2022-01-20,3500
2022-01-21,446800
2022-01-24,8800
2022-01-25,6200
2022-01-26,700
2022-01-27,19900
2022-01-28,73100
2022-01-31,37700
2022-02-01,14500
2022-02-02,2500
2022-02-03,1500
2022-02-04,1100
2022-02-07,10600
2022-02-08,100100
2022-02-09,7200
2022-02-10,500
2022-02-11,2900
2022-02-14,6200
2022-02-15,2500
2022-02-16,1300
2022-02-17,600
2022-02-18,1400
2022-02-22,400
2022-02-23,865100
2022-02-24,39200
2022-02-25,35100
2022-02-28,3200
2022-03-01,90600
2022-03-02,67500
2022-03-03,301000
2022-03-04,3900
2022-03-07,19500
2022-03-08,318500
2022-03-09,100
2022-03-10,400
2022-03-11,400
2022-03-14,54900
2022-03-15,300
2022-03-16,200
2022-03-17,2100
2022-03-18,2883900
2022-03-21,501700
2022-03-22,500
2022-03-23,0
2022-03-24,55000
2022-03-25,2000
2022-03-28,1900
2022-03-29,600
2022-03-30,77100
2022-03-31,5400
2022-04-01,0
2022-04-04,5700
2022-04-05,30300
2022-04-06,24000
2022-04-07,12700
2022-04-08,2500
2022-04-11,7200
2022-04-12,32200
2022-04-13,44300
2022-04-14,806100
2022-04-18,1300
2022-04-19,1500
2022-04-20,13300
2022-04-21,2300
2022-04-22,780300
2022-04-25,100200
2022-04-26,17000
2022-04-27,100
2022-04-28,10400
2022-04-29,11000
2022-05-02,8000
2022-05-03,3600
2022-05-04,1300
2022-05-05,15600
2022-05-06,28300
2022-05-09,24700
2022-05-10,300
2022-05-11,9600
2022-05-12,4100
2022-05-13,1000
2022-05-16,0
2022-05-17,0
2022-05-18,200
2022-05-19,800
2022-05-20,700
2022-05-23,2100
2022-05-24,52700
2022-05-25,2900
2022-05-26,100100
2022-05-27,277500
2022-05-31,118800
2022-06-01,1100
2022-06-02,26200
2022-06-03,21500
2022-06-06,156800
2022-06-07,19900
2022-06-08,43800
2022-06-09,1600
2022-06-10,2300
2022-06-13,100
2022-06-14,55700
2022-06-15,132300
2022-06-16,9900
2022-06-17,14700
2022-06-21,200
2022-06-22,400
2022-06-23,0
2022-06-24,29900
2022-06-27,4600
2022-06-28,95000
2022-06-29,600
2022-06-30,3700
2022-07-01,1900
2022-07-05,228700
2022-07-06,500
2022-07-07,25300
2022-07-08,4900
2022-07-11,1100
2022-07-12,3500
2022-07-13,324300
2022-07-14,0
2022-07-15,0
2022-07-18,6000
2022-07-19,2900
2022-07-20,504900
2022-07-21,1800
2022-07-22,0
2022-07-25,2500
2022-07-26,500
2022-07-27,67900
2022-07-28,3900
2022-07-29,27500
2022-08-01,6100
2022-08-02,8200
2022-08-03,8000
2022-08-04,28300
2022-08-05,2100
2022-08-08,700
2022-08-09,49700
2022-08-10,1900
2022-08-11,2700
2022-08-12,7400
2022-08-15,10100
2022-08-16,1000
2022-08-17,12300
2022-08-18,12200
2022-08-19,921900
2022-08-22,800
2022-08-23,1900
2022-08-24,1800
2022-08-25,900
2022-08-26,500
2022-08-29,900
2022-08-30,1000
2022-08-31,0
2022-09-01,0
2022-09-02,0
2022-09-06,140800
2022-09-07,600
2022-09-08,0
2022-09-09,0
2022-09-12,1700
2022-09-13,600
2022-09-14,4200
2022-09-15,1400
2022-09-16,2200
2022-09-19,1700
2022-09-20,75000
2022-09-21,100700
2022-09-22,161800
2022-09-23,4700
2022-09-26,14100
2022-09-27,254500
2022-09-28,175400
2022-09-29,4200
2022-09-30,600
2022-10-03,1800
2022-10-04,2200
2022-10-05,6000
2022-10-06,1200
2022-10-07,5200
2022-10-10,200
2022-10-11,6000
2022-10-12,3100
2022-10-13,2600
2022-10-14,6700
2022-10-17,700
2022-10-18,4100
2022-10-19,0
2022-10-20,0
2022-10-21,9900
2022-10-24,73900
2022-10-25,4100
2022-10-26,2000
2022-10-27,600
2022-10-28,282600
2022-10-31,700
2022-11-01,73300
2022-11-02,1500
2022-11-03,2039000
2022-11-04,500
2022-11-07,15400
2022-11-08,187300
2022-11-09,179400
2022-11-10,100
2022-11-11,0
2022-11-14,37700
2022-11-15,93200
2022-11-16,108800
2022-11-17,65700
2022-11-18,300
2022-11-21,1300
2022-11-22,0
2022-11-23,0
2022-11-25,1000
2022-11-28,3800
2022-11-29,0
2022-11-30,23300
2022-12-01,5100
2022-12-02,0
2022-12-05,360000
2022-12-06,55100
2022-12-07,6500
2022-12-08,2051800
2022-12-09,400
2022-12-12,15800
2022-12-13,6900
2022-12-14,213300
2022-12-15,2317600
2022-12-16,26600
2022-12-19,2240200
2022-12-20,1527000
2022-12-21,237600
2022-12-22,200
2022-12-23,1000
2022-12-27,3600
2022-12-28,133000
2022-12-29,12900
2022-12-30,2100
2023-01-03,148600
2023-01-04,1789500
2023-01-05,27600
2023-01-06,1900
2023-01-09,16400
2023-01-10,833600
2023-01-11,225000
2023-01-12,3000
2023-01-13,789900
2023-01-17,531900
2023-01-18,1500
2023-01-19,38100
2023-01-20,92700
2023-01-23,7200
2023-01-24,33900
2023-01-25,17600
2023-01-26,1290600
2023-01-27,11800
2023-01-30,6300
2023-01-31,7900
2023-02-01,4200
2023-02-02,3700
2023-02-03,48300
2023-02-06,1795900
2023-02-07,640000
2023-02-08,411500
2023-02-09,72300
2023-02-10,73600
2023-02-13,50300
2023-02-14,160500
2023-02-15,54300
2023-02-16,800
2023-02-17,3700
2023-02-21,16500
2023-02-22,155300
2023-02-23,57900
2023-02-24,114500
2023-02-27,38200
2023-02-28,3900
2023-03-01,502600
2023-03-02,8900
2023-03-03,400
2023-03-06,424200
2023-03-07,1192500
2023-03-08,628900
2023-03-09,254700
2023-03-10,133600
2023-03-13,34700
2023-03-14,9900
2023-03-15,131100
2023-03-16,51000
2023-03-17,200
2023-03-20,42200
2023-03-21,27900
2023-03-22,20100
2023-03-23,41500
2023-03-24,103600
2023-03-27,900
2023-03-28,42100
2023-03-29,686600
2023-03-30,3500
2023-03-31,248700
2023-04-03,59900
2023-04-04,100
2023-04-05,54800
2023-04-06,52900
2023-04-10,11200
2023-04-11,89200
2023-04-12,274800
2023-04-13,124800
2023-04-14,28900
2023-04-17,235500
2023-04-18,15200
2023-04-19,113400
2023-04-20,6524300
2023-04-21,950400
2023-04-24,374000
2023-04-25,144100
2023-04-26,180500
2023-04-27,103800
2023-04-28,232000
2023-05-01,364000
2023-05-02,65900
2023-05-03,31900
2023-05-04,198000
2023-05-05,198400
2023-05-08,105300
2023-05-09,254600
2023-05-10,848600
2023-05-11,386700
2023-05-12,75700
2023-05-15,81000
2023-05-16,269600
2023-05-17,169100
2023-05-18,354700
2023-05-19,358200
2023-05-22,300900
2023-05-23,214700
2023-05-24,129600
2023-05-25,901700
2023-05-26,215400
2023-05-30,527800
2023-05-31,119200
2023-06-01,110800
2023-06-02,205800
2023-06-05,94000
2023-06-06,332100
2023-06-07,612900
2023-06-08,116000
2023-06-09,87300
2023-06-12,508000
2023-06-13,200900
2023-06-14,249200
2023-06-15,227600
2023-06-16,101300
2023-06-20,293200
2023-06-21,339100
2023-06-22,380800
2023-06-23,151900
2023-06-26,73800
2023-06-27,83700
2023-06-28,477200
2023-06-29,287500
2023-06-30,208100
2023-07-03,158000
2023-07-05,398100
2023-07-06,305100
2023-07-07,179500
2023-07-10,1778900
2023-07-11,6259000
2023-07-12,2035200
2023-07-13,936900
2023-07-14,273600
2023-07-17,506700
2023-07-18,1739300
2023-07-19,2382600
2023-07-20,487000
2023-07-21,1295400
2023-07-24,332200
2023-07-25,2192700
2023-07-26,1425000
2023-07-27,444100
2023-07-28,259700
2023-07-31,300500
2023-08-01,2213700
2023-08-02,2734600
2023-08-03,429600
2023-08-04,855400
2023-08-07,57500
2023-08-08,756500
2023-08-09,185000
2023-08-10,431800
2023-08-11,377800
2023-08-14,167600
2023-08-15,214800
