Date,volume
2018-12-14,597900
2018-12-17,199000
2018-12-18,143200
2018-12-19,85500
2018-12-20,158700
2018-12-21,43300
2018-12-24,32600
2018-12-26,8100
2018-12-27,6400
2018-12-28,10700
2018-12-31,11900
2019-01-02,36000
2019-01-03,21000
2019-01-04,30400
2019-01-07,7000
2019-01-08,59200
2019-01-09,67100
2019-01-10,49700
2019-01-11,61100
2019-01-14,84700
2019-01-15,220400
2019-01-16,168200
2019-01-17,162900
2019-01-18,66900
2019-01-22,142500
2019-01-23,37500
2019-01-24,71400
2019-01-25,70600
2019-01-28,45800
2019-01-29,43200
2019-01-30,30200
2019-01-31,38700
2019-02-01,3100
2019-02-04,19300
2019-02-05,14300
2019-02-06,33500
2019-02-07,11100
2019-02-08,20200
2019-02-11,8500
2019-02-12,4500
2019-02-13,59900
2019-02-14,26200
2019-02-15,59800
2019-02-19,60500
2019-02-20,101000
2019-02-21,28300
2019-02-22,112000
2019-02-25,165600
2019-02-26,62800
2019-02-27,33900
2019-02-28,52800
2019-03-01,33000
2019-03-04,56100
2019-03-05,43100
2019-03-06,92100
2019-03-07,53500
2019-03-08,77200
2019-03-11,34000
2019-03-12,15900
2019-03-13,50800
2019-03-14,106100
2019-03-15,103800
2019-03-18,95400
2019-03-19,122000
2019-03-20,178400
2019-03-21,102400
2019-03-22,65300
2019-03-25,53500
2019-03-26,38000
2019-03-27,33600
2019-03-28,29800
2019-03-29,58900
2019-04-01,41600
2019-04-02,28100
2019-04-03,55700
2019-04-04,45000
2019-04-05,24600
2019-04-08,92300
2019-04-09,60600
2019-04-10,49300
2019-04-11,58800
2019-04-12,32600
2019-04-15,40900
2019-04-16,427600
2019-04-17,181900
2019-04-18,292900
2019-04-22,130200
2019-04-23,69600
2019-04-24,37200
2019-04-25,40300
2019-04-26,86700
2019-04-29,159100
2019-04-30,61200
2019-05-01,28800
2019-05-02,36300
2019-05-03,260600
2019-05-06,108200
2019-05-07,42600
2019-05-08,42500
2019-05-09,156800
2019-05-10,59300
2019-05-13,122100
2019-05-14,239300
2019-05-15,83600
2019-05-16,115600
2019-05-17,144500
2019-05-20,76000
2019-05-21,191100
2019-05-22,140300
2019-05-23,141000
2019-05-24,37300
2019-05-28,119000
2019-05-29,84700
2019-05-30,163600
2019-05-31,91400
2019-06-03,198400
2019-06-04,151800
2019-06-05,186300
2019-06-06,152200
2019-06-07,116400
2019-06-10,184800
2019-06-11,194900
2019-06-12,91600
2019-06-13,103600
2019-06-14,229700
2019-06-17,108200
2019-06-18,99400
2019-06-19,65300
2019-06-20,64400
2019-06-21,81200
2019-06-24,2204300
2019-06-25,1891500
2019-06-26,934300
2019-06-27,5559400
2019-06-28,1342800
2019-07-01,1101500
2019-07-02,316500
2019-07-03,354200
2019-07-05,298500
2019-07-08,354700
2019-07-09,348700
2019-07-10,322300
2019-07-11,461200
2019-07-12,301900
2019-07-15,254300
2019-07-16,857500
2019-07-17,1018700
2019-07-18,905800
2019-07-19,2449800
2019-07-22,1026300
2019-07-23,476000
2019-07-24,362000
2019-07-25,498800
2019-07-26,295600
2019-07-29,271600
2019-07-30,352700
2019-07-31,340600
2019-08-01,323000
2019-08-02,231200
2019-08-05,245200
2019-08-06,124600
2019-08-07,68900
2019-08-08,113400
2019-08-09,90500
2019-08-12,295600
2019-08-13,113800
2019-08-14,247600
2019-08-15,126900
2019-08-16,172000
2019-08-19,202800
2019-08-20,95100
2019-08-21,222200
