Date,volume
2010-02-11,5815700
2010-02-12,859300
2010-02-16,385000
2010-02-17,264900
2010-02-18,1257600
2010-02-19,670000
2010-02-22,154900
2010-02-23,504000
2010-02-24,196700
2010-02-25,155600
2010-02-26,211200
2010-03-01,82900
2010-03-02,101000
2010-03-03,208300
2010-03-04,278200
2010-03-05,280800
2010-03-08,126000
2010-03-09,106600
2010-03-10,57100
2010-03-11,80600
2010-03-12,151300
2010-03-15,94100
2010-03-16,279900
2010-03-17,218300
2010-03-18,48400
2010-03-19,102600
2010-03-22,163300
2010-03-23,119000
2010-03-24,85600
2010-03-25,154600
2010-03-26,27300
2010-03-29,64200
2010-03-30,105600
2010-03-31,1438800
2010-04-01,167100
2010-04-05,156700
2010-04-06,64900
2010-04-07,71300
2010-04-08,85600
2010-04-09,154700
2010-04-12,95200
2010-04-13,117300
2010-04-14,317000
2010-04-15,164900
2010-04-16,89100
2010-04-19,81000
2010-04-20,15900
2010-04-21,71700
2010-04-22,70400
2010-04-23,69600
2010-04-26,38300
2010-04-27,64600
2010-04-28,143200
2010-04-29,91400
2010-04-30,76100
2010-05-03,42900
2010-05-04,258500
2010-05-05,100200
2010-05-06,122500
2010-05-07,66300
2010-05-10,61800
2010-05-11,64900
2010-05-12,66700
2010-05-13,95400
2010-05-14,84000
2010-05-17,66500
2010-05-18,135300
2010-05-19,93600
2010-05-20,77400
2010-05-21,254400
2010-05-24,94400
2010-05-25,147300
2010-05-26,105000
2010-05-27,249700
2010-05-28,1145800
2010-06-01,296400
2010-06-02,236500
2010-06-03,464400
2010-06-04,291700
2010-06-07,420300
2010-06-08,572100
2010-06-09,297400
2010-06-10,430500
2010-06-11,189500
2010-06-14,219500
2010-06-15,226000
2010-06-16,365000
2010-06-17,97300
2010-06-18,536500
2010-06-21,212600
2010-06-22,260200
2010-06-23,222300
2010-06-24,167800
2010-06-25,2340900
2010-06-28,144900
2010-06-29,334500
2010-06-30,240000
2010-07-01,387800
2010-07-02,111300
2010-07-06,156600
2010-07-07,102500
2010-07-08,88600
2010-07-09,87800
2010-07-12,138400
2010-07-13,75200
2010-07-14,97000
2010-07-15,88000
2010-07-16,144500
2010-07-19,191500
2010-07-20,66900
2010-07-21,42700
2010-07-22,34300
2010-07-23,84800
2010-07-26,28000
2010-07-27,176700
2010-07-28,55900
2010-07-29,25100
2010-07-30,50800
2010-08-02,229900
2010-08-03,123200
2010-08-04,111400
2010-08-05,1180400
2010-08-06,646500
2010-08-09,401600
2010-08-10,1483100
2010-08-11,615400
2010-08-12,176000
2010-08-13,36900
2010-08-16,115900
2010-08-17,256900
2010-08-18,156500
2010-08-19,1042600
2010-08-20,90800
2010-08-23,173100
2010-08-24,115200
2010-08-25,208000
2010-08-26,59000
2010-08-27,209400
2010-08-30,177800
2010-08-31,289100
2010-09-01,515700
2010-09-02,483000
2010-09-03,264000
2010-09-07,110100
2010-09-08,454600
2010-09-09,306800
2010-09-10,87500
2010-09-13,137800
2010-09-14,79100
2010-09-15,180800
2010-09-16,199700
2010-09-17,204500
2010-09-20,353100
2010-09-21,557500
2010-09-22,262300
2010-09-23,81700
2010-09-24,125300
2010-09-27,149800
2010-09-28,72200
2010-09-29,117600
2010-09-30,382200
2010-10-01,236600
2010-10-04,78600
2010-10-05,118700
2010-10-06,84300
2010-10-07,60100
2010-10-08,213900
2010-10-11,68600
2010-10-12,144900
2010-10-13,197200
2010-10-14,729700
2010-10-15,599600
2010-10-18,148000
2010-10-19,106400
2010-10-20,141300
2010-10-21,46200
2010-10-22,86400
2010-10-25,50600
2010-10-26,125400
2010-10-27,67900
2010-10-28,262700
2010-10-29,109500
2010-11-01,311000
2010-11-02,184300
2010-11-03,159400
2010-11-04,2231900
2010-11-05,622800
2010-11-08,231000
2010-11-09,243700
2010-11-10,318900
2010-11-11,800300
2010-11-12,233500
2010-11-15,589600
2010-11-16,554100
2010-11-17,121600
2010-11-18,367000
2010-11-19,142700
2010-11-22,162900
2010-11-23,198500
2010-11-24,122600
2010-11-26,58600
2010-11-29,227600
2010-11-30,1269100
2010-12-01,732200
2010-12-02,367600
2010-12-03,264200
2010-12-06,142100
2010-12-07,195900
2010-12-08,260800
2010-12-09,697000
2010-12-10,195600
2010-12-13,109400
2010-12-14,169000
2010-12-15,105100
2010-12-16,108200
2010-12-17,448800
2010-12-20,157500
2010-12-21,155900
2010-12-22,144300
2010-12-23,75400
2010-12-27,31100
2010-12-28,111300
2010-12-29,84500
2010-12-30,39300
2010-12-31,84200
2011-01-03,294800
2011-01-04,131500
2011-01-05,154700
2011-01-06,840400
2011-01-07,1201700
2011-01-10,265400
2011-01-11,289300
2011-01-12,501000
2011-01-13,779900
2011-01-14,396400
2011-01-18,487700
2011-01-19,338400
2011-01-20,444000
2011-01-21,210200
2011-01-24,236700
2011-01-25,230200
2011-01-26,194400
2011-01-27,141400
2011-01-28,477600
2011-01-31,460600
2011-02-01,296100
2011-02-02,679000
2011-02-03,592700
2011-02-04,450000
2011-02-07,281500
2011-02-08,142800
2011-02-09,117900
2011-02-10,117400
2011-02-11,80700
2011-02-14,794600
2011-02-15,433400
2011-02-16,90600
2011-02-17,150500
2011-02-18,146700
2011-02-22,290100
2011-02-23,211900
2011-02-24,228600
2011-02-25,371500
2011-02-28,641500
2011-03-01,253500
2011-03-02,184800
2011-03-03,170500
2011-03-04,224000
2011-03-07,407100
2011-03-08,183100
2011-03-09,141500
2011-03-10,155700
2011-03-11,151000
2011-03-14,122300
2011-03-15,180900
2011-03-16,228600
2011-03-17,177400
2011-03-18,167900
2011-03-21,151500
2011-03-22,136600
2011-03-23,752000
2011-03-24,294000
2011-03-25,110200
2011-03-28,70300
2011-03-29,162000
