Date,volume
2014-01-31,4392800
2014-02-03,498200
2014-02-04,352300
2014-02-05,296500
2014-02-06,188500
2014-02-07,62500
2014-02-10,90200
2014-02-11,83500
2014-02-12,291600
2014-02-13,169900
2014-02-14,37900
2014-02-18,45000
2014-02-19,104200
2014-02-20,182000
2014-02-21,227500
2014-02-24,165500
2014-02-25,244400
2014-02-26,93000
2014-02-27,95800
2014-02-28,110000
2014-03-03,131900
2014-03-04,98300
2014-03-05,103800
2014-03-06,163600
2014-03-07,147000
2014-03-10,217900
2014-03-11,231600
2014-03-12,77800
2014-03-13,275900
2014-03-14,84100
2014-03-17,83200
2014-03-18,81000
2014-03-19,104900
2014-03-20,91200
2014-03-21,426100
2014-03-24,241500
2014-03-25,189200
2014-03-26,119000
2014-03-27,112400
2014-03-28,212000
2014-03-31,978500
2014-04-01,160700
2014-04-02,125600
2014-04-03,195700
2014-04-04,122600
2014-04-07,90300
2014-04-08,244800
2014-04-09,168000
2014-04-10,148100
2014-04-11,378300
2014-04-14,265400
2014-04-15,638100
2014-04-16,251900
2014-04-17,410100
2014-04-21,277000
2014-04-22,354100
2014-04-23,151000
2014-04-24,165000
2014-04-25,184000
2014-04-28,143200
2014-04-29,149500
2014-04-30,313500
2014-05-01,123300
2014-05-02,72600
2014-05-05,110100
2014-05-06,103800
2014-05-07,166600
2014-05-08,119100
2014-05-09,68500
2014-05-12,248600
2014-05-13,147400
2014-05-14,192700
2014-05-15,148400
2014-05-16,95300
2014-05-19,109300
2014-05-20,182100
2014-05-21,119600
2014-05-22,92600
2014-05-23,51400
2014-05-27,102300
2014-05-28,67800
2014-05-29,45700
2014-05-30,105100
2014-06-02,69000
2014-06-03,111600
2014-06-04,155900
2014-06-05,142400
2014-06-06,62500
2014-06-09,63600
2014-06-10,67000
2014-06-11,119200
2014-06-12,87700
2014-06-13,123700
2014-06-16,142200
2014-06-17,149300
2014-06-18,435500
2014-06-19,178100
2014-06-20,268900
2014-06-23,125900
2014-06-24,185200
2014-06-25,199900
2014-06-26,117900
2014-06-27,144400
2014-06-30,70800
2014-07-01,142100
2014-07-02,75500
2014-07-03,40000
2014-07-07,148800
2014-07-08,511600
2014-07-09,1887600
2014-07-10,453700
2014-07-11,270700
2014-07-14,280900
2014-07-15,332800
2014-07-16,278500
2014-07-17,365600
2014-07-18,674600
