Date,low
2000-01-03,2.875
2000-01-04,2.875
2000-01-05,2.96875
2000-01-06,2.9375
2000-01-07,3.0625
2000-01-10,3.3125
2000-01-11,3.5
2000-01-12,3.625
2000-01-13,3.625
2000-01-14,3.75
2000-01-18,3.8125
2000-01-19,3.84375
2000-01-20,3.875
2000-01-21,4.125
2000-01-24,4.375
2000-01-25,4.75
2000-01-26,4.8125
2000-01-27,4.6875
2000-01-28,4.5
2000-01-31,4.125
2000-02-01,4.3125
2000-02-02,4.1875
2000-02-03,4.25
2000-02-04,4.40625
2000-02-07,4.25
2000-02-08,4.25
2000-02-09,4.625
2000-02-10,5.40625
2000-02-11,6.0
2000-02-14,6.375
2000-02-15,6.8125
2000-02-16,8.125
2000-02-17,9.0
2000-02-18,12.125
2000-02-22,10.125
2000-02-23,10.0
2000-02-24,8.625
2000-02-25,9.625
2000-02-28,10.875
2000-02-29,12.875
2000-03-01,13.375
2000-03-02,15.125
2000-03-03,15.5
2000-03-06,14.25
2000-03-07,12.75
2000-03-08,13.375
2000-03-09,12.3125
2000-03-10,12.75
2000-03-13,11.0
2000-03-14,9.5625
2000-03-15,9.875
2000-03-16,9.75
2000-03-17,10.0
2000-03-20,10.375
2000-03-21,8.5
2000-03-22,9.375
2000-03-23,10.625
2000-03-24,10.875
2000-03-27,10.875
2000-03-28,10.875
2000-03-29,9.4375
2000-03-30,8.5
2000-03-31,8.9375
2000-04-03,8.1875
2000-04-04,4.625
2000-04-05,6.40625
2000-04-06,8.1875
2000-04-07,8.125
2000-04-10,7.5625
2000-04-11,6.5
2000-04-12,6.4375
2000-04-13,6.125
2000-04-14,4.625
2000-04-17,4.0
2000-04-18,4.0
2000-04-19,4.6875
2000-04-20,4.625
2000-04-24,4.875
2000-04-25,5.0
2000-04-26,5.0
2000-04-27,5.0
2000-04-28,5.6875
2000-05-01,5.875
2000-05-02,5.75
2000-05-03,5.125
2000-05-04,5.375
2000-05-05,5.75
2000-05-08,6.4375
2000-05-09,6.25
2000-05-10,5.875
2000-05-11,5.75
2000-05-12,5.6875
2000-05-15,5.5
2000-05-16,5.625
2000-05-17,5.5
2000-05-18,5.5
2000-05-19,5.5
2000-05-22,5.5625
2000-05-23,5.5625
2000-05-24,4.875
2000-05-25,4.9375
2000-05-26,4.5
2000-05-30,4.6875
2000-05-31,4.5
2000-06-01,4.375
2000-06-02,4.625
2000-06-05,5.0625
2000-06-06,5.3125
2000-06-07,5.375
2000-06-08,5.15625
2000-06-09,5.125
2000-06-12,5.375
2000-06-13,5.5625
2000-06-14,5.5
2000-06-15,5.0625
2000-06-16,4.96875
2000-06-19,4.875
2000-06-20,5.0
2000-06-21,5.375
2000-06-22,5.6875
2000-06-23,5.5
2000-06-26,5.4375
2000-06-27,5.5625
2000-06-28,5.75
2000-06-29,6.125
2000-06-30,6.25
2000-07-03,5.6875
2000-07-05,5.78125
2000-07-06,5.96875
2000-07-07,6.125
2000-07-10,6.375
2000-07-11,6.5
2000-07-12,7.75
2000-07-13,7.3125
2000-07-14,7.625
2000-07-17,7.3125
2000-07-18,6.75
2000-07-19,6.75
2000-07-20,6.8125
2000-07-21,6.625
2000-07-24,5.9375
2000-07-25,5.8125
2000-07-26,5.5625
2000-07-27,5.75
2000-07-28,5.625
2000-07-31,5.3125
2000-08-01,5.375
2000-08-02,5.375
2000-08-03,5.375
2000-08-04,5.5
2000-08-07,5.5625
2000-08-08,6.0
2000-08-09,6.25
2000-08-10,6.0625
2000-08-11,6.0
2000-08-14,5.75
2000-08-15,5.75
2000-08-16,5.5625
2000-08-17,5.5
2000-08-18,5.75
2000-08-21,5.6875
2000-08-22,5.75
2000-08-23,5.625
2000-08-24,5.5
2000-08-25,6.0
2000-08-28,6.0625
2000-08-29,6.25
2000-08-30,6.375
2000-08-31,7.375
2000-09-01,7.5625
2000-09-05,7.8125
2000-09-06,6.75
2000-09-07,7.5
2000-09-08,7.625
2000-09-11,7.5
2000-09-12,7.25
2000-09-13,7.25
2000-09-14,7.5
2000-09-15,7.5625
2000-09-18,6.9375
2000-09-19,6.6875
2000-09-20,6.125
2000-09-21,6.0
2000-09-22,6.125
2000-09-25,6.75
2000-09-26,6.5625
2000-09-27,6.625
2000-09-28,6.75
2000-09-29,6.8125
2000-10-02,6.8125
2000-10-03,6.8125
2000-10-04,6.8125
2000-10-05,6.796875
2000-10-06,6.8125
2000-10-09,6.625
2000-10-10,6.625
2000-10-11,6.4375
2000-10-12,5.8125
2000-10-13,5.6875
2000-10-16,5.625
2000-10-17,5.625
2000-10-18,5.5
2000-10-19,5.75
2000-10-20,6.5625
2000-10-23,6.4375
2000-10-24,6.5
2000-10-25,6.03125
2000-10-26,6.25
2000-10-27,6.5625
2000-10-30,6.5625
2000-10-31,6.625
2000-11-01,6.5625
2000-11-02,6.875
2000-11-03,7.5
2000-11-06,8.0
2000-11-07,7.375
2000-11-08,7.125
2000-11-09,6.125
2000-11-10,6.03125
2000-11-13,5.875
2000-11-14,6.0
2000-11-15,5.90625
2000-11-16,5.96875
2000-11-17,5.75
2000-11-20,5.25
2000-11-21,4.375
2000-11-22,4.75
2000-11-24,4.8125
2000-11-27,5.0
2000-11-28,4.5625
2000-11-29,4.125
2000-11-30,3.75
2000-12-01,3.875
2000-12-04,3.375
2000-12-05,3.5625
2000-12-06,4.0
2000-12-07,3.75
2000-12-08,3.6875
2000-12-11,3.8125
2000-12-12,3.8125
2000-12-13,3.8125
2000-12-14,3.75
2000-12-15,3.5
2000-12-18,3.125
2000-12-19,3.25
2000-12-20,3.1875
2000-12-21,3.125
2000-12-22,3.4375
2000-12-26,3.5
2000-12-27,3.4375
2000-12-28,3.25
2000-12-29,3.0
2001-01-02,3.375
2001-01-03,3.125
2001-01-04,3.28125
2001-01-05,3.5
2001-01-08,3.5
2001-01-09,3.5
2001-01-10,3.5
2001-01-11,3.5625
2001-01-12,3.875
2001-01-16,4.34375
2001-01-17,4.5625
2001-01-18,4.5625
2001-01-19,4.5
2001-01-22,4.375
2001-01-23,4.625
2001-01-24,4.875
2001-01-25,4.9375
2001-01-26,5.25
2001-01-29,5.125
2001-01-30,5.4375
