Date,volume
2021-04-16,5687300
2021-04-19,1016600
2021-04-20,895400
2021-04-21,1077600
2021-04-22,2341600
2021-04-23,273500
2021-04-26,341600
2021-04-27,244900
2021-04-28,223800
2021-04-29,291200
2021-04-30,509200
2021-05-03,198900
2021-05-04,328900
2021-05-05,127900
2021-05-06,389400
2021-05-07,365500
2021-05-10,495800
2021-05-11,506700
2021-05-12,640800
2021-05-13,303900
2021-05-14,599600
2021-05-17,454300
2021-05-18,445500
2021-05-19,604800
2021-05-20,309600
2021-05-21,467800
2021-05-24,201100
2021-05-25,263200
2021-05-26,239200
2021-05-27,131000
2021-05-28,413900
2021-06-01,267700
2021-06-02,247400
2021-06-03,221200
2021-06-04,199900
2021-06-07,195100
2021-06-08,224500
2021-06-09,232500
2021-06-10,331800
2021-06-11,430800
2021-06-14,431700
2021-06-15,538600
2021-06-16,555800
2021-06-17,723300
2021-06-18,1846100
2021-06-21,559100
2021-06-22,474500
2021-06-23,307200
2021-06-24,240400
2021-06-25,2882700
2021-06-28,353800
2021-06-29,336200
2021-06-30,353200
2021-07-01,262200
2021-07-02,243100
2021-07-06,321000
2021-07-07,495100
2021-07-08,347500
2021-07-09,490200
2021-07-12,327000
2021-07-13,366300
2021-07-14,820700
2021-07-15,405100
2021-07-16,229200
2021-07-19,387200
2021-07-20,490700
2021-07-21,216700
2021-07-22,189700
2021-07-23,200700
2021-07-26,203500
2021-07-27,518800
2021-07-28,220500
2021-07-29,256200
2021-07-30,127600
2021-08-02,148400
2021-08-03,196400
2021-08-04,225300
2021-08-05,271400
2021-08-06,268200
2021-08-09,274000
2021-08-10,230600
2021-08-11,356900
2021-08-12,631500
2021-08-13,753700
2021-08-16,410600
2021-08-17,332100
2021-08-18,272800
2021-08-19,468500
2021-08-20,187600
2021-08-23,665500
2021-08-24,232700
2021-08-25,377500
2021-08-26,247000
2021-08-27,302500
2021-08-30,322900
2021-08-31,370800
2021-09-01,360700
2021-09-02,288900
2021-09-03,395300
2021-09-07,559900
2021-09-08,299500
2021-09-09,546300
2021-09-10,1098600
2021-09-13,616100
2021-09-14,538800
2021-09-15,743500
2021-09-16,1430300
2021-09-17,3063700
2021-09-20,1173500
2021-09-21,456200
2021-09-22,416100
2021-09-23,283100
2021-09-24,199200
2021-09-27,202000
2021-09-28,263900
2021-09-29,304700
2021-09-30,507300
2021-10-01,672800
2021-10-04,747300
2021-10-05,491300
2021-10-06,1135700
2021-10-07,1189100
2021-10-08,561100
2021-10-11,928000
2021-10-12,610800
2021-10-13,1148800
2021-10-14,718800
2021-10-15,903100
