Date,volume
2022-10-14,80500
2022-10-17,8900
2022-10-18,11500
2022-10-19,11100
2022-10-20,2900
2022-10-21,8800
2022-10-24,186200
2022-10-25,145000
2022-10-26,70600
2022-10-27,91500
2022-10-28,7500
2022-10-31,37700
2022-11-01,82600
2022-11-02,31100
2022-11-03,33800
2022-11-04,41500
2022-11-07,116600
2022-11-08,70900
2022-11-09,32300
2022-11-10,34900
2022-11-11,68100
2022-11-14,67200
2022-11-15,35400
2022-11-16,63400
2022-11-17,43000
2022-11-18,38700
2022-11-21,85300
2022-11-22,44100
2022-11-23,6000
2022-11-25,16100
2022-11-28,55600
2022-11-29,904500
2022-11-30,74000
2022-12-01,101700
2022-12-02,54700
2022-12-05,128200
2022-12-06,93100
2022-12-07,40500
2022-12-08,12300
2022-12-09,4200
2022-12-12,57600
2022-12-13,50900
2022-12-14,51600
2022-12-15,27500
2022-12-16,5600
2022-12-19,27600
2022-12-20,7700
2022-12-21,11100
2022-12-22,2500
2022-12-23,76300
2022-12-27,282400
2022-12-28,185300
2022-12-29,239500
2022-12-30,258200
2023-01-03,87500
2023-01-04,57900
2023-01-05,19400
2023-01-06,39500
2023-01-09,103000
2023-01-10,91300
2023-01-11,102600
2023-01-12,97800
2023-01-13,245200
2023-01-17,1145500
2023-01-18,635000
2023-01-19,1159000
2023-01-20,2350800
2023-01-23,579400
2023-01-24,523400
2023-01-25,658600
2023-01-26,448700
2023-01-27,490600
2023-01-30,361200
2023-01-31,228300
2023-02-01,840300
2023-02-02,370700
2023-02-03,224000
2023-02-06,131800
2023-02-07,286100
2023-02-08,391200
2023-02-09,244200
2023-02-10,231900
2023-02-13,185000
2023-02-14,235400
2023-02-15,111300
2023-02-16,226800
2023-02-17,151700
2023-02-21,162000
2023-02-22,352600
2023-02-23,331900
2023-02-24,174100
2023-02-27,189000
2023-02-28,169300
2023-03-01,315800
2023-03-02,369200
2023-03-03,299400
2023-03-06,265900
2023-03-07,277400
2023-03-08,747000
2023-03-09,451700
2023-03-10,217900
2023-03-13,286300
2023-03-14,237600
2023-03-15,452100
2023-03-16,181300
2023-03-17,249800
2023-03-20,78200
2023-03-21,186800
2023-03-22,205700
2023-03-23,313000
2023-03-24,129000
2023-03-27,274600
2023-03-28,241200
2023-03-29,304800
2023-03-30,171600
2023-03-31,268900
2023-04-03,351900
2023-04-04,397800
2023-04-05,441400
2023-04-06,211800
2023-04-10,201600
2023-04-11,481300
2023-04-12,404100
2023-04-13,493000
2023-04-14,334000
2023-04-17,188700
2023-04-18,289000
2023-04-19,287600
2023-04-20,222300
2023-04-21,324900
2023-04-24,278500
2023-04-25,315900
2023-04-26,282700
2023-04-27,147200
2023-04-28,324400
2023-05-01,94200
2023-05-02,226300
2023-05-03,153400
2023-05-04,178100
2023-05-05,300400
2023-05-08,127500
2023-05-09,68500
2023-05-10,491800
2023-05-11,191000
2023-05-12,279200
2023-05-15,361400
2023-05-16,397200
2023-05-17,239000
2023-05-18,324200
2023-05-19,424200
2023-05-22,608800
2023-05-23,468600
2023-05-24,343900
2023-05-25,246200
2023-05-26,243900
2023-05-30,211000
2023-05-31,138500
2023-06-01,152100
2023-06-02,323400
2023-06-05,188100
2023-06-06,420400
2023-06-07,697200
2023-06-08,210400
2023-06-09,533400
2023-06-12,349800
2023-06-13,489000
2023-06-14,347600
2023-06-15,432700
2023-06-16,472400
2023-06-20,560300
2023-06-21,928800
2023-06-22,1659500
2023-06-23,8437100
2023-06-26,900100
2023-06-27,549600
2023-06-28,592200
2023-06-29,659300
2023-06-30,714700
2023-07-03,264600
2023-07-05,347200
2023-07-06,2275200
2023-07-07,2693900
2023-07-10,2726600
2023-07-11,3962700
2023-07-12,2808200
2023-07-13,738700
2023-07-14,362900
2023-07-17,428600
2023-07-18,818400
2023-07-19,1634600
2023-07-20,670000
2023-07-21,679900
2023-07-24,907400
2023-07-25,711600
2023-07-26,680700
2023-07-27,600200
2023-07-28,740500
2023-07-31,1877800
2023-08-01,1083100
2023-08-02,495100
2023-08-03,902400
2023-08-04,612000
2023-08-07,330200
2023-08-08,338000
2023-08-09,905500
2023-08-10,466900
2023-08-11,697100
2023-08-14,1073300
2023-08-15,1497600
2023-08-16,1297100
2023-08-17,983700
2023-08-18,803400
2023-08-21,779900
2023-08-22,822500
2023-08-23,970600
2023-08-24,615400
2023-08-25,466100
2023-08-28,399900
2023-08-29,452700
2023-08-30,716800
2023-08-31,437700
2023-09-01,1099300
2023-09-05,690600
2023-09-06,850900
2023-09-07,1059800
2023-09-08,629900
2023-09-11,596400
2023-09-12,1206800
2023-09-13,478100
2023-09-14,979000
2023-09-15,861400
2023-09-18,576500
2023-09-19,505100
2023-09-20,956600
2023-09-21,404700
2023-09-22,932000
2023-09-25,602000
2023-09-26,469600
2023-09-27,800600
2023-09-28,740100
2023-09-29,330000
2023-10-02,620400
