Date,volume
2015-03-26,6565700
2015-03-27,935000
2015-03-30,443300
2015-03-31,274200
2015-04-01,207200
2015-04-02,248800
2015-04-06,161800
2015-04-07,144800
2015-04-08,176300
2015-04-09,322700
2015-04-10,169100
2015-04-13,246300
2015-04-14,169300
2015-04-15,168000
2015-04-16,494800
2015-04-17,252700
2015-04-20,313000
2015-04-21,255500
2015-04-22,270800
2015-04-23,237800
2015-04-24,266400
2015-04-27,388000
2015-04-28,395300
2015-04-29,239500
2015-04-30,173200
2015-05-01,382800
2015-05-04,649000
2015-05-05,295200
2015-05-06,303800
2015-05-07,636700
2015-05-08,1610500
2015-05-11,1226500
2015-05-12,749000
2015-05-13,750300
2015-05-14,496200
2015-05-15,863300
2015-05-18,422400
2015-05-19,360700
2015-05-20,321700
2015-05-21,365300
2015-05-22,317600
2015-05-26,422000
2015-05-27,352400
2015-05-28,698700
2015-05-29,649900
2015-06-01,606500
2015-06-02,1034800
2015-06-03,530600
2015-06-04,683800
2015-06-05,409200
2015-06-08,598200
2015-06-09,385300
2015-06-10,452000
2015-06-11,282900
2015-06-12,475800
2015-06-15,448900
2015-06-16,592800
2015-06-17,482300
2015-06-18,415800
2015-06-19,1357200
2015-06-22,1270100
2015-06-23,529800
2015-06-24,521200
2015-06-25,401600
2015-06-26,487400
2015-06-29,1201200
2015-06-30,414700
2015-07-01,462600
2015-07-02,347700
2015-07-06,1152700
2015-07-07,1945300
2015-07-08,1083700
2015-07-09,1229300
2015-07-10,1167000
2015-07-13,936100
2015-07-14,737700
2015-07-15,434700
2015-07-16,557300
2015-07-17,736700
2015-07-20,875500
2015-07-21,1241600
2015-07-22,744800
2015-07-23,753200
2015-07-24,607000
2015-07-27,541800
2015-07-28,595100
2015-07-29,352900
2015-07-30,288200
2015-07-31,268500
2015-08-03,342900
2015-08-04,479800
2015-08-05,513100
2015-08-06,993100
2015-08-07,526300
2015-08-10,797100
2015-08-11,660700
2015-08-12,1616100
2015-08-13,3060800
2015-08-14,870500
2015-08-17,573800
2015-08-18,429500
2015-08-19,1567400
2015-08-20,548400
2015-08-21,1201500
2015-08-24,1680600
2015-08-25,603400
2015-08-26,453400
2015-08-27,504400
2015-08-28,367800
2015-08-31,345000
2015-09-01,387300
2015-09-02,253300
2015-09-03,723500
2015-09-04,547500
2015-09-08,268000
2015-09-09,460500
2015-09-10,947400
2015-09-11,966500
2015-09-14,491600
2015-09-15,397600
2015-09-16,402400
2015-09-17,650200
2015-09-18,646600
2015-09-21,1027000
2015-09-22,597200
2015-09-23,327500
2015-09-24,549900
2015-09-25,420000
2015-09-28,645300
2015-09-29,760200
2015-09-30,578100
2015-10-01,721400
2015-10-02,591700
2015-10-05,1174300
2015-10-06,439000
2015-10-07,360100
2015-10-08,446600
2015-10-09,474000
2015-10-12,566400
2015-10-13,743300
2015-10-14,651700
2015-10-15,747900
2015-10-16,715300
2015-10-19,335200
2015-10-20,354600
2015-10-21,514500
2015-10-22,514800
2015-10-23,281200
2015-10-26,321300
2015-10-27,880900
2015-10-28,745700
2015-10-29,426800
2015-10-30,1583200
2015-11-02,647300
2015-11-03,844000
2015-11-04,2017600
2015-11-05,3755100
2015-11-06,1248500
2015-11-09,1255400
2015-11-10,1519700
2015-11-11,2153100
2015-11-12,1071900
2015-11-13,899600
2015-11-16,541400
2015-11-17,847500
2015-11-18,825800
2015-11-19,1098000
2015-11-20,871700
2015-11-23,822500
2015-11-24,583500
2015-11-25,529500
2015-11-27,395200
2015-11-30,690500
2015-12-01,779800
2015-12-02,576100
2015-12-03,1031800
2015-12-04,462700
2015-12-07,496200
2015-12-08,553500
2015-12-09,865500
2015-12-10,760300
2015-12-11,467000
2015-12-14,1365600
2015-12-15,1468300
2015-12-16,3901400
2015-12-17,3766600
2015-12-18,2037000
2015-12-21,2143400
2015-12-22,1351200
2015-12-23,781700
2015-12-24,327700
2015-12-28,559900
2015-12-29,458400
