Date,volume
2000-01-03,8000
2000-01-04,8800
2000-01-05,129600
2000-01-06,30400
2000-01-07,17600
2000-01-10,2400
2000-01-11,800
2000-01-12,47200
2000-01-13,22400
2000-01-14,26400
2000-01-18,28800
2000-01-19,20000
2000-01-20,80800
2000-01-21,44000
2000-01-24,96000
2000-01-25,34400
2000-01-26,18400
2000-01-27,136800
2000-01-28,97600
2000-01-31,220800
2000-02-01,40000
2000-02-02,436000
2000-02-03,22400
2000-02-04,26400
2000-02-07,48000
2000-02-08,12000
2000-02-09,58400
2000-02-10,88000
2000-02-11,160000
2000-02-14,95200
2000-02-15,67200
2000-02-16,124800
2000-02-17,33600
2000-02-18,9600
2000-02-22,155200
2000-02-23,237600
2000-02-24,228000
2000-02-25,104000
2000-02-28,108000
2000-02-29,800
2000-03-01,179200
2000-03-02,800
2000-03-03,28800
2000-03-06,107200
2000-03-07,64000
2000-03-08,48800
2000-03-09,27200
2000-03-10,1600
2000-03-13,106400
2000-03-14,0
2000-03-15,71200
2000-03-16,98400
2000-03-17,161600
2000-03-20,268000
2000-03-21,48800
2000-03-22,71200
2000-03-23,272000
2000-03-24,65600
2000-03-27,71200
2000-03-28,131200
2000-03-29,71200
2000-03-30,52800
2000-03-31,39200
2000-04-03,393600
2000-04-04,92800
2000-04-05,88000
2000-04-06,88800
2000-04-07,120800
2000-04-10,4000
2000-04-11,1600
2000-04-12,208000
2000-04-13,183200
2000-04-14,58400
2000-04-17,80800
2000-04-18,107200
2000-04-19,32800
2000-04-20,59200
2000-04-24,39200
2000-04-25,43200
2000-04-26,44000
2000-04-27,217600
2000-04-28,333600
2000-05-01,584000
2000-05-02,24800
2000-05-03,22400
2000-05-04,134400
2000-05-05,75200
2000-05-08,2400
2000-05-09,80000
2000-05-10,136000
2000-05-11,96800
2000-05-12,139200
2000-05-15,17600
2000-05-16,152000
2000-05-17,1995200
2000-05-18,44800
2000-05-19,2400
2000-05-22,138400
2000-05-23,252800
2000-05-24,319200
2000-05-25,48800
2000-05-26,5600
2000-05-30,29600
2000-05-31,134400
2000-06-01,406400
2000-06-02,654400
2000-06-05,478400
2000-06-06,361600
2000-06-07,398400
2000-06-08,240800
2000-06-09,169600
2000-06-12,46400
2000-06-13,72000
2000-06-14,152000
2000-06-15,542400
2000-06-16,396000
2000-06-19,239200
2000-06-20,480000
2000-06-21,422400
2000-06-22,85600
2000-06-23,87200
2000-06-26,100800
2000-06-27,463200
2000-06-28,465600
2000-06-29,619200
2000-06-30,1908800
2000-07-03,256800
2000-07-05,259200
2000-07-06,103200
2000-07-07,1327200
2000-07-10,314400
2000-07-11,76800
2000-07-12,105600
2000-07-13,219200
2000-07-14,52800
2000-07-17,57600
2000-07-18,22400
2000-07-19,41600
2000-07-20,75200
2000-07-21,38400
2000-07-24,246400
2000-07-25,296800
2000-07-26,325600
2000-07-27,23200
2000-07-28,181600
2000-07-31,3200
2000-08-01,12000
2000-08-02,72800
2000-08-03,8800
2000-08-04,5600
2000-08-07,11200
2000-08-08,3200
2000-08-09,0
2000-08-10,155200
2000-08-11,121600
2000-08-14,8800
2000-08-15,12800
2000-08-16,7200
2000-08-17,18400
2000-08-18,80800
2000-08-21,64000
2000-08-22,3200
2000-08-23,61600
2000-08-24,0
2000-08-25,25600
2000-08-28,25600
2000-08-29,9600
2000-08-30,0
2000-08-31,0
2000-09-01,21600
2000-09-05,20000
2000-09-06,8800
2000-09-07,1600
2000-09-08,0
2000-09-11,347200
2000-09-12,190400
2000-09-13,89600
2000-09-14,16800
2000-09-15,151200
2000-09-18,212000
2000-09-19,27200
2000-09-20,4000
2000-09-21,11200
2000-09-22,21600
2000-09-25,56800
2000-09-26,17600
2000-09-27,8800
