Date,volume
2025-09-17,40143700
2025-09-18,15734900
2025-09-19,14942200
2025-09-22,10585100
2025-09-23,6923900
2025-09-24,8661400
2025-09-25,6353000
2025-09-26,3282700
2025-09-29,2755100
2025-09-30,3175700
2025-10-01,2304900
2025-10-02,4236200
2025-10-03,6341800
2025-10-06,2868000
2025-10-07,3082900
2025-10-08,10541100
2025-10-09,3436800
2025-10-10,4203800
2025-10-13,4680500
2025-10-14,2711400
2025-10-15,3311800
2025-10-16,3829600
2025-10-17,2283700
2025-10-20,3681300
2025-10-21,2588100
2025-10-22,2699100
2025-10-23,1711000
2025-10-24,3667200
2025-10-27,1688800
2025-10-28,3147700
2025-10-29,2072100
2025-10-30,1493200
2025-10-31,1160000
2025-11-03,2350000
2025-11-04,2300100
2025-11-05,2762900
2025-11-06,1783400
2025-11-07,3741300
2025-11-10,1089000
2025-11-11,1443700
2025-11-12,2108700
2025-11-13,5448300
2025-11-14,17416300
2025-11-17,8285300
2025-11-18,6037500
2025-11-19,7679300
2025-11-20,4646000
2025-11-21,11326000
2025-11-24,6051600
2025-11-25,3778800
2025-11-26,3804500
2025-11-28,1457400
2025-12-01,1986800
2025-12-02,2133700
2025-12-03,3497700
2025-12-04,2689700
2025-12-05,3821400
2025-12-08,3099200
2025-12-09,3830100
2025-12-10,2508800
2025-12-11,3519200
2025-12-12,3969300
2025-12-15,3724000
2025-12-16,4400800
2025-12-17,2327000
2025-12-18,4934500
2025-12-19,4799200
2025-12-22,1903500
2025-12-23,1190500
2025-12-24,2169600
2025-12-26,1087400
2025-12-29,1086400
2025-12-30,2249100
2025-12-31,3305700
2026-01-02,2690800
2026-01-05,3568800
2026-01-06,5202600
2026-01-07,3598400
2026-01-08,2838500
2026-01-09,2775000
2026-01-12,1992000
2026-01-13,2861000
2026-01-14,2693800
2026-01-15,9693900
2026-01-16,3224800
2026-01-20,2605600
2026-01-21,2575700
2026-01-22,1401800
2026-01-23,1410400
2026-01-26,2668300
2026-01-27,1072500
2026-01-28,5819300
2026-01-29,2158700
2026-01-30,2074500
2026-02-02,2204800
2026-02-03,7326200
2026-02-04,6174100
2026-02-05,2674000
2026-02-06,4186800
2026-02-09,3778000
2026-02-10,1967500
2026-02-11,3298100
2026-02-12,4575600
2026-02-13,3372400
2026-02-17,5514400
2026-02-18,4619700
2026-02-19,3446000
2026-02-20,4039500
2026-02-23,2669400
2026-02-24,2499000
2026-02-25,2703800
2026-02-26,2614400
2026-02-27,2235400
2026-03-02,2419900
2026-03-03,3904000
2026-03-04,5106100
2026-03-05,18388900
2026-03-06,8747900
2026-03-09,9520300
2026-03-10,9985900
2026-03-11,9021600
2026-03-12,4140700
2026-03-13,3378200
2026-03-16,3273700
2026-03-17,3993000
2026-03-18,3984600
2026-03-19,3906300
2026-03-20,5864500
2026-03-23,4202100
2026-03-24,3431800
2026-03-25,5552200
2026-03-26,3071800
2026-03-27,3255801
