Date,volume
2000-01-03,1167173
2000-01-04,647110
2000-01-05,802577
2000-01-06,1182444
2000-01-07,883174
2000-01-10,631202
2000-01-11,898657
2000-01-12,931957
2000-01-13,579875
2000-01-14,453889
2000-01-18,665986
2000-01-19,799820
2000-01-20,703316
2000-01-21,679985
2000-01-24,1040551
2000-01-25,1098029
2000-01-26,797911
2000-01-27,4034308
2000-01-28,1555736
2000-01-31,1752138
2000-02-01,618476
2000-02-02,527911
2000-02-03,787730
2000-02-04,665350
2000-02-07,496520
2000-02-08,1339820
2000-02-09,1006615
2000-02-10,658987
2000-02-11,575421
2000-02-14,519215
2000-02-15,932593
2000-02-16,690378
2000-02-17,850087
2000-02-18,594722
2000-02-22,484007
2000-02-23,320479
2000-02-24,399380
2000-02-25,404682
2000-02-28,519003
2000-02-29,462585
2000-03-01,323873
2000-03-02,1145963
2000-03-03,490794
2000-03-06,217400
2000-03-07,449647
2000-03-08,314541
2000-03-09,482946
2000-03-10,694195
2000-03-13,822090
2000-03-14,310935
2000-03-15,495672
2000-03-16,673198
2000-03-17,567149
2000-03-20,498429
2000-03-21,504792
2000-03-22,576905
2000-03-23,937895
2000-03-24,743402
2000-03-27,361202
2000-03-28,811061
2000-03-29,419105
2000-03-30,517518
2000-03-31,800456
2000-04-03,571391
2000-04-04,534486
2000-04-05,490370
2000-04-06,440315
2000-04-07,342962
2000-04-10,310935
2000-04-11,549333
2000-04-12,456646
2000-04-13,360990
2000-04-14,1018068
2000-04-17,754855
2000-04-18,405106
2000-04-19,586874
2000-04-20,513700
2000-04-24,650291
2000-04-25,535971
2000-04-26,634808
2000-04-27,290998
2000-04-28,464918
2000-05-01,438194
2000-05-02,275939
2000-05-03,535971
2000-05-04,624415
2000-05-05,363323
2000-05-08,215067
2000-05-09,393653
2000-05-10,430770
2000-05-11,338296
2000-05-12,377746
2000-05-15,294179
2000-05-16,389199
2000-05-17,233307
2000-05-18,291846
2000-05-19,622294
2000-05-22,493339
2000-05-23,569058
2000-05-24,603630
2000-05-25,332357
2000-05-26,221642
2000-05-30,518154
2000-05-31,418044
2000-06-01,285908
2000-06-02,364172
2000-06-05,216340
2000-06-06,246457
2000-06-07,366717
2000-06-08,256214
2000-06-09,245609
2000-06-12,179859
2000-06-13,335963
2000-06-14,239882
2000-06-15,310723
2000-06-16,358869
2000-06-19,322388
2000-06-20,281878
2000-06-21,323873
2000-06-22,341901
2000-06-23,144863
2000-06-26,215067
2000-06-27,407652
2000-06-28,315601
2000-06-29,504368
2000-06-30,456646
2000-07-03,174980
2000-07-05,251124
2000-07-06,182616
2000-07-07,394077
2000-07-10,356324
2000-07-11,1427629
2000-07-12,450919
2000-07-13,299058
2000-07-14,599600
2000-07-17,410409
2000-07-18,453465
2000-07-19,527062
2000-07-20,874690
2000-07-21,446677
2000-07-24,979254
2000-07-25,573512
2000-07-26,382624
2000-07-27,388775
2000-07-28,406591
2000-07-31,268303
2000-08-01,353567
2000-08-02,675955
2000-08-03,345719
2000-08-04,283999
2000-08-07,516458
2000-08-08,332357
2000-08-09,429073
2000-08-10,674470
2000-08-11,378382
2000-08-14,234368
2000-08-15,277424
2000-08-16,441375
2000-08-17,187918
2000-08-18,280393
2000-08-21,509883
2000-08-22,320267
2000-08-23,372019
2000-08-24,325994
2000-08-25,103292
2000-08-28,120259
2000-08-29,198523
2000-08-30,106685
2000-08-31,306057
2000-09-01,402985
2000-09-05,305633
2000-09-06,352082
2000-09-07,288877
2000-09-08,187070
2000-09-11,535122
2000-09-12,329388
2000-09-13,169678
2000-09-14,247730
2000-09-15,498005
2000-09-18,253881
2000-09-19,667047
2000-09-20,613174
2000-09-21,1291038
2000-09-22,839906
2000-09-25,692286
2000-09-26,298633
2000-09-27,495248
2000-09-28,434376
2000-09-29,384533
2000-10-02,296724
2000-10-03,359930
2000-10-04,276151
2000-10-05,353991
2000-10-06,258547
2000-10-09,119835
2000-10-10,515397
2000-10-11,491006
2000-10-12,398319
2000-10-13,270849
2000-10-16,530244
2000-10-17,1361454
2000-10-18,937047
2000-10-19,539152
2000-10-20,580723
2000-10-23,496308
2000-10-24,567361
2000-10-25,655806
2000-10-26,557817
2000-10-27,427377
2000-10-30,355476
2000-10-31,390260
2000-11-01,568209
2000-11-02,348900
2000-11-03,362687
2000-11-06,243912
2000-11-07,616780
2000-11-08,232883
2000-11-09,334266
2000-11-10,236701
2000-11-13,416984
2000-11-14,408924
2000-11-15,336387
2000-11-16,175829
2000-11-17,253457
2000-11-20,224399
2000-11-21,375413
2000-11-22,442436
2000-11-24,175617
2000-11-27,441163
2000-11-28,414014
2000-11-29,434164
2000-11-30,512852
2000-12-01,366505
2000-12-04,532365
2000-12-05,392168
2000-12-06,423983
2000-12-07,419529
2000-12-08,427801
2000-12-11,504368
2000-12-12,332145
2000-12-13,612962
2000-12-14,337447
2000-12-15,430982
2000-12-18,334266
2000-12-19,478492
2000-12-20,480401
2000-12-21,880417
2000-12-22,359293
2000-12-26,438618
2000-12-27,508398
2000-12-28,581359
2000-12-29,1414479
2001-01-02,350173
2001-01-03,814030
2001-01-04,483795
2001-01-05,356112
2001-01-08,586026
2001-01-09,256850
2001-01-10,313692
2001-01-11,434800
2001-01-12,727283
2001-01-16,275727
2001-01-17,460252
2001-01-18,254305
2001-01-19,246033
2001-01-22,402137
2001-01-23,448586
2001-01-24,639262
2001-01-25,728131
2001-01-26,415287
2001-01-29,452828
2001-01-30,363323
2001-01-31,393865
2001-02-01,202977
2001-02-02,305633
2001-02-05,283999
2001-02-06,435436
2001-02-07,647322
2001-02-08,256638
2001-02-09,378806
2001-02-12,552090
2001-02-13,427801
2001-02-14,465766
2001-02-15,592176
2001-02-16,412106
2001-02-20,639686
