Date,volume
2021-01-29,1409900
2021-02-01,172400
2021-02-02,200200
2021-02-03,170000
2021-02-04,117600
2021-02-05,102600
2021-02-08,41500
2021-02-09,86600
2021-02-10,81900
2021-02-11,70300
2021-02-12,39500
2021-02-16,175100
2021-02-17,74400
2021-02-18,65700
2021-02-19,71800
2021-02-22,115500
2021-02-23,155900
2021-02-24,152400
2021-02-25,55900
2021-02-26,49700
2021-03-01,98100
2021-03-02,128600
2021-03-03,99400
2021-03-04,112400
2021-03-05,111900
2021-03-08,63900
2021-03-09,43500
2021-03-10,65400
2021-03-11,42500
2021-03-12,43300
2021-03-15,68300
2021-03-16,40100
2021-03-17,38900
2021-03-18,26400
2021-03-19,397400
2021-03-22,42400
2021-03-23,46300
2021-03-24,43900
2021-03-25,46700
2021-03-26,107000
2021-03-29,60400
2021-03-30,37500
2021-03-31,87300
2021-04-01,55200
2021-04-05,67100
2021-04-06,62400
2021-04-07,89700
2021-04-08,54500
2021-04-09,45300
2021-04-12,25100
2021-04-13,23300
2021-04-14,87800
2021-04-15,54000
2021-04-16,16400
2021-04-19,110500
2021-04-20,255600
2021-04-21,101000
2021-04-22,87400
2021-04-23,53800
2021-04-26,50900
2021-04-27,81500
2021-04-28,63700
2021-04-29,133800
2021-04-30,126800
2021-05-03,108200
2021-05-04,182000
2021-05-05,134000
2021-05-06,151100
2021-05-07,152800
2021-05-10,59000
2021-05-11,93500
2021-05-12,141200
2021-05-13,74700
2021-05-14,75100
2021-05-17,104700
2021-05-18,58400
2021-05-19,40500
2021-05-20,53400
2021-05-21,100300
2021-05-24,49300
2021-05-25,56200
2021-05-26,57300
2021-05-27,66200
2021-05-28,50100
2021-06-01,106900
2021-06-02,52600
2021-06-03,115200
2021-06-04,31600
2021-06-07,77100
2021-06-08,144500
2021-06-09,48000
2021-06-10,62400
2021-06-11,31600
2021-06-14,52400
2021-06-15,24700
2021-06-16,34500
2021-06-17,150500
2021-06-18,74700
2021-06-21,43200
2021-06-22,53800
2021-06-23,84200
2021-06-24,130300
2021-06-25,99500
2021-06-28,79700
2021-06-29,80900
2021-06-30,64300
2021-07-01,45800
2021-07-02,24300
2021-07-06,38700
2021-07-07,50600
2021-07-08,60900
2021-07-09,96000
2021-07-12,40100
2021-07-13,67100
2021-07-14,40600
2021-07-15,73100
2021-07-16,66500
2021-07-19,60600
2021-07-20,95600
2021-07-21,44800
2021-07-22,80400
2021-07-23,32000
2021-07-26,107200
2021-07-27,90700
2021-07-28,73500
2021-07-29,48000
2021-07-30,41600
2021-08-02,31200
2021-08-03,47400
2021-08-04,36600
2021-08-05,47500
2021-08-06,230300
2021-08-09,92800
2021-08-10,13400
2021-08-11,48500
2021-08-12,57800
2021-08-13,64700
2021-08-16,89900
2021-08-17,68800
2021-08-18,68400
2021-08-19,88500
2021-08-20,42400
2021-08-23,115500
2021-08-24,78200
2021-08-25,35000
2021-08-26,71600
2021-08-27,146200
2021-08-30,108900
2021-08-31,80400
2021-09-01,111300
2021-09-02,44300
2021-09-03,24100
2021-09-07,45200
2021-09-08,68700
2021-09-09,74600
2021-09-10,45500
2021-09-13,33800
2021-09-14,188600
2021-09-15,111900
2021-09-16,54000
2021-09-17,124600
2021-09-20,51600
2021-09-21,79300
2021-09-22,76200
2021-09-23,32000
2021-09-24,27400
2021-09-27,36700
2021-09-28,168600
2021-09-29,192400
2021-09-30,75500
2021-10-01,65300
2021-10-04,53200
2021-10-05,38300
2021-10-06,55700
2021-10-07,44600
2021-10-08,30700
2021-10-11,54200
2021-10-12,35500
2021-10-13,60100
2021-10-14,162600
2021-10-15,83800
2021-10-18,182400
2021-10-19,82400
2021-10-20,152700
2021-10-21,88100
2021-10-22,91100
2021-10-25,136200
2021-10-26,63300
2021-10-27,62000
2021-10-28,32800
2021-10-29,36300
2021-11-01,107800
2021-11-02,61900
2021-11-03,75400
2021-11-04,80800
2021-11-05,112500
2021-11-08,137300
2021-11-09,88700
2021-11-10,95600
2021-11-11,57700
2021-11-12,31900
2021-11-15,47700
2021-11-16,90000
2021-11-17,72400
2021-11-18,52100
2021-11-19,71900
2021-11-22,32700
2021-11-23,77100
2021-11-24,26100
2021-11-26,34600
2021-11-29,52600
2021-11-30,50200
2021-12-01,40500
2021-12-02,48200
2021-12-03,67100
2021-12-06,33200
2021-12-07,47600
2021-12-08,47900
2021-12-09,32700
2021-12-10,24200
2021-12-13,42600
2021-12-14,34500
2021-12-15,37000
2021-12-16,36000
2021-12-17,29300
2021-12-20,60700
2021-12-21,42800
2021-12-22,120800
2021-12-23,25300
2021-12-27,42100
2021-12-28,43100
2021-12-29,26600
2021-12-30,29400
2021-12-31,44700
2022-01-03,35000
2022-01-04,66000
2022-01-05,79400
2022-01-06,42100
2022-01-07,42900
2022-01-10,58800
2022-01-11,115800
2022-01-12,90800
2022-01-13,48500
2022-01-14,85100
2022-01-18,38300
2022-01-19,39800
2022-01-20,24500
2022-01-21,50000
2022-01-24,82900
2022-01-25,40200
2022-01-26,37400
2022-01-27,103000
2022-01-28,41700
2022-01-31,47500
2022-02-01,31000
2022-02-02,68300
2022-02-03,38900
2022-02-04,24100
2022-02-07,32500
2022-02-08,22400
2022-02-09,34600
2022-02-10,47100
2022-02-11,39000
2022-02-14,29900
2022-02-15,33600
2022-02-16,40000
2022-02-17,42000
2022-02-18,33500
2022-02-22,53100
2022-02-23,43000
2022-02-24,68100
2022-02-25,16500
2022-02-28,48600
2022-03-01,127200
2022-03-02,152000
2022-03-03,106600
2022-03-04,69500
2022-03-07,101800
2022-03-08,51700
2022-03-09,63500
2022-03-10,44100
2022-03-11,38600
2022-03-14,81300
2022-03-15,37100
2022-03-16,64700
2022-03-17,21500
2022-03-18,219100
2022-03-21,131600
2022-03-22,179200
2022-03-23,155100
2022-03-24,139000
2022-03-25,154200
2022-03-28,175200
2022-03-29,196400
2022-03-30,179100
2022-03-31,84900
2022-04-01,67100
2022-04-04,132900
2022-04-05,1577000
2022-04-06,508000
2022-04-07,155000
2022-04-08,225800
2022-04-11,242200
2022-04-12,204000
2022-04-13,186600
2022-04-14,185900
2022-04-18,164300
2022-04-19,108300
2022-04-20,238500
2022-04-21,122200
2022-04-22,234300
2022-04-25,142500
2022-04-26,93700
2022-04-27,101300
2022-04-28,228000
2022-04-29,124300
2022-05-02,184300
2022-05-03,102500
2022-05-04,74700
2022-05-05,103600
2022-05-06,74700
2022-05-09,160700
2022-05-10,160800
2022-05-11,124200
2022-05-12,192400
2022-05-13,72400
2022-05-16,192800
2022-05-17,84600
2022-05-18,92200
2022-05-19,105900
2022-05-20,161700
2022-05-23,95600
2022-05-24,111800
2022-05-25,99300
2022-05-26,167200
2022-05-27,338900
2022-05-31,191800
2022-06-01,107300
2022-06-02,104800
2022-06-03,124900
2022-06-06,294200
2022-06-07,121300
2022-06-08,112800
2022-06-09,121300
2022-06-10,203900
2022-06-13,271600
2022-06-14,232000
2022-06-15,222600
2022-06-16,264200
2022-06-17,410000
2022-06-21,323200
2022-06-22,229500
2022-06-23,226000
2022-06-24,243800
2022-06-27,206300
2022-06-28,290500
2022-06-29,202600
2022-06-30,127800
2022-07-01,205500
2022-07-05,129400
2022-07-06,104200
2022-07-07,180700
2022-07-08,78900
2022-07-11,153100
2022-07-12,138700
2022-07-13,170500
2022-07-14,171900
2022-07-15,102200
2022-07-18,112200
2022-07-19,104700
2022-07-20,92000
2022-07-21,130300
2022-07-22,84100
2022-07-25,205700
2022-07-26,131600
2022-07-27,193300
2022-07-28,131300
2022-07-29,199000
2022-08-01,108200
2022-08-02,98900
2022-08-03,112700
2022-08-04,71500
2022-08-05,214900
2022-08-08,197200
2022-08-09,172200
2022-08-10,254400
2022-08-11,125400
2022-08-12,159100
2022-08-15,243000
2022-08-16,1968400
2022-08-17,475100
2022-08-18,451300
2022-08-19,283200
2022-08-22,280600
2022-08-23,176700
2022-08-24,180100
2022-08-25,121900
2022-08-26,205900
2022-08-29,273600
2022-08-30,532200
2022-08-31,323000
2022-09-01,220500
2022-09-02,94400
2022-09-06,208300
2022-09-07,143600
2022-09-08,169300
2022-09-09,106400
2022-09-12,154100
2022-09-13,133200
2022-09-14,130600
2022-09-15,98700
2022-09-16,418600
2022-09-19,274100
2022-09-20,181500
2022-09-21,187600
2022-09-22,227000
2022-09-23,232400
2022-09-26,331500
2022-09-27,208200
2022-09-28,277600
2022-09-29,403000
2022-09-30,246900
2022-10-03,170900
2022-10-04,206000
2022-10-05,192200
2022-10-06,138100
2022-10-07,205200
2022-10-10,125300
2022-10-11,123000
2022-10-12,166800
2022-10-13,355800
2022-10-14,170600
2022-10-17,202000
2022-10-18,162700
2022-10-19,111500
2022-10-20,109600
2022-10-21,148200
2022-10-24,256000
2022-10-25,151900
2022-10-26,88300
2022-10-27,723300
2022-10-28,384700
2022-10-31,243000
2022-11-01,226600
2022-11-02,185700
2022-11-03,400500
2022-11-04,631700
2022-11-07,395000
2022-11-08,287500
2022-11-09,229700
2022-11-10,285700
2022-11-11,334500
2022-11-14,390400
2022-11-15,255200
2022-11-16,197600
2022-11-17,239100
2022-11-18,265300
2022-11-21,235100
2022-11-22,270700
2022-11-23,198200
2022-11-25,146500
2022-11-28,226100
2022-11-29,192500
2022-11-30,265200
2022-12-01,300000
2022-12-02,231800
2022-12-05,261500
2022-12-06,264200
2022-12-07,255700
2022-12-08,315000
2022-12-09,146500
2022-12-12,314500
2022-12-13,576600
2022-12-14,515600
2022-12-15,377800
2022-12-16,1767300
2022-12-19,569900
2022-12-20,641200
2022-12-21,593700
2022-12-22,238400
2022-12-23,423400
2022-12-27,399800
2022-12-28,795400
2022-12-29,433100
2022-12-30,332300
2023-01-03,274400
2023-01-04,177900
2023-01-05,269400
2023-01-06,232700
2023-01-09,203500
2023-01-10,228900
2023-01-11,379500
2023-01-12,461400
2023-01-13,279400
2023-01-17,481900
2023-01-18,314500
2023-01-19,403500
2023-01-20,361200
2023-01-23,217700
2023-01-24,140500
2023-01-25,178200
2023-01-26,198200
2023-01-27,222000
2023-01-30,223300
2023-01-31,148000
2023-02-01,253800
2023-02-02,212200
2023-02-03,151800
2023-02-06,159200
2023-02-07,103600
2023-02-08,121700
2023-02-09,136400
2023-02-10,118500
2023-02-13,180300
2023-02-14,133800
2023-02-15,127800
2023-02-16,121800
2023-02-17,342500
2023-02-21,220500
2023-02-22,137600
2023-02-23,172400
2023-02-24,167800
2023-02-27,169800
2023-02-28,196300
2023-03-01,89900
2023-03-02,220900
2023-03-03,616300
2023-03-06,360700
2023-03-07,211700
2023-03-08,164900
2023-03-09,482500
2023-03-10,1032600
2023-03-13,1706600
2023-03-14,503300
2023-03-15,605400
2023-03-16,470600
2023-03-17,1260300
2023-03-20,453100
2023-03-21,373800
2023-03-22,250800
2023-03-23,312400
2023-03-24,344700
2023-03-27,303500
2023-03-28,350500
2023-03-29,381100
2023-03-30,346300
2023-03-31,727100
2023-04-03,556900
2023-04-04,383900
2023-04-05,318100
2023-04-06,273900
2023-04-10,272800
2023-04-11,1823500
2023-04-12,586100
2023-04-13,652800
2023-04-14,277800
2023-04-17,218700
2023-04-18,255900
2023-04-19,420300
2023-04-20,203900
2023-04-21,323800
2023-04-24,201100
2023-04-25,328700
2023-04-26,331100
2023-04-27,370600
2023-04-28,117100
2023-05-01,392200
2023-05-02,877800
2023-05-03,349900
2023-05-04,526300
2023-05-05,407300
2023-05-08,249600
2023-05-09,270000
2023-05-10,176000
2023-05-11,183800
2023-05-12,225000
2023-05-15,145000
2023-05-16,189000
2023-05-17,221000
2023-05-18,262700
2023-05-19,173300
2023-05-22,242700
2023-05-23,166100
2023-05-24,150700
2023-05-25,91700
2023-05-26,102400
2023-05-30,119000
2023-05-31,133600
2023-06-01,131900
2023-06-02,368600
2023-06-05,157500
2023-06-06,153500
2023-06-07,175700
2023-06-08,232100
2023-06-09,141600
2023-06-12,259900
2023-06-13,164800
2023-06-14,144900
2023-06-15,522300
2023-06-16,657100
2023-06-20,314300
2023-06-21,179900
2023-06-22,187200
2023-06-23,192600
2023-06-26,240200
2023-06-27,446400
2023-06-28,365900
2023-06-29,290100
2023-06-30,318900
2023-07-03,431100
2023-07-05,1026300
2023-07-06,333500
2023-07-07,264900
2023-07-10,216600
2023-07-11,224500
2023-07-12,203400
2023-07-13,386400
2023-07-14,198600
2023-07-17,311300
2023-07-18,317400
2023-07-19,242300
2023-07-20,152500
2023-07-21,151300
2023-07-24,155600
2023-07-25,167800
2023-07-26,304100
2023-07-27,215700
2023-07-28,191600
2023-07-31,224400
2023-08-01,172800
2023-08-02,677000
2023-08-03,533200
2023-08-04,2557600
2023-08-07,1388900
2023-08-08,543400
2023-08-09,264400
2023-08-10,505500
2023-08-11,278300
2023-08-14,257900
2023-08-15,258800
2023-08-16,301400
2023-08-17,1253900
2023-08-18,393200
2023-08-21,195200
2023-08-22,452100
2023-08-23,587900
2023-08-24,202100
2023-08-25,116800
2023-08-28,174300
2023-08-29,316200
2023-08-30,272500
2023-08-31,305600
2023-09-01,232200
2023-09-05,279600
2023-09-06,261200
2023-09-07,328500
2023-09-08,192800
2023-09-11,254300
2023-09-12,209500
2023-09-13,255500
2023-09-14,553100
2023-09-15,577100
2023-09-18,420600
2023-09-19,365400
2023-09-20,331600
2023-09-21,281300
2023-09-22,234000
2023-09-25,320900
2023-09-26,436400
2023-09-27,521200
2023-09-28,343300
2023-09-29,260200
2023-10-02,331200
2023-10-03,460800
2023-10-04,264000
2023-10-05,237900
2023-10-06,243200
2023-10-09,145300
2023-10-10,175100
2023-10-11,325100
2023-10-12,535800
2023-10-13,326200
2023-10-16,328200
2023-10-17,182400
2023-10-18,340200
2023-10-19,358600
2023-10-20,344700
2023-10-23,412700
2023-10-24,265300
2023-10-25,290400
2023-10-26,227800
2023-10-27,244500
2023-10-30,271500
2023-10-31,352700
2023-11-01,415400
2023-11-02,396200
2023-11-03,319300
2023-11-06,339300
2023-11-07,326000
2023-11-08,247100
2023-11-09,197200
2023-11-10,181500
2023-11-13,252800
2023-11-14,415300
2023-11-15,306100
2023-11-16,239100
2023-11-17,194600
2023-11-20,488500
2023-11-21,250800
2023-11-22,288400
2023-11-24,322300
2023-11-27,290500
2023-11-28,388300
2023-11-29,213300
2023-11-30,183400
2023-12-01,197500
2023-12-04,237100
2023-12-05,208200
2023-12-06,213100
2023-12-07,520300
2023-12-08,365400
2023-12-11,336400
2023-12-12,327400
2023-12-13,431300
2023-12-14,716800
2023-12-15,1451100
2023-12-18,617100
2023-12-19,802800
2023-12-20,732000
2023-12-21,448000
2023-12-22,306800
2023-12-26,547600
2023-12-27,618400
2023-12-28,452600
