Date,volume
2005-07-27,63000
2005-07-28,63000
2005-07-29,0
2005-08-01,160600
2005-08-02,63800
2005-08-03,3100
2005-08-04,10800
2005-08-05,27700
2005-08-08,2700
2005-08-09,900
2005-08-10,10000
2005-08-11,0
2005-08-12,1000
2005-08-15,2400
2005-08-16,0
2005-08-17,300
2005-08-18,0
2005-08-19,18400
2005-08-22,8800
2005-08-23,10700
2005-08-24,75000
2005-08-25,15200
2005-08-26,2300
2005-08-29,94700
2005-08-30,1300
2005-08-31,21800
2005-09-01,3000
2005-09-02,4500
2005-09-06,5400
2005-09-07,2400
2005-09-08,15800
2005-09-09,800
2005-09-12,1600
2005-09-13,0
2005-09-14,600
2005-09-15,0
2005-09-16,0
2005-09-19,200
2005-09-20,0
2005-09-21,0
2005-09-22,200
2005-09-23,0
2005-09-26,3500
2005-09-27,3200
2005-09-28,100
2005-09-29,200700
2005-09-30,2700
2005-10-03,13200
2005-10-04,4800
2005-10-05,0
2005-10-06,4500
2005-10-07,100
2005-10-10,2300
2005-10-11,0
2005-10-12,0
2005-10-13,0
2005-10-14,0
2005-10-17,0
2005-10-18,2000
2005-10-19,2700
2005-10-20,0
2005-10-21,200
2005-10-24,4400
2005-10-25,1200
2005-10-26,600
2005-10-27,97100
2005-10-28,6900
2005-10-31,40900
2005-11-01,4900
2005-11-02,31200
2005-11-03,66800
2005-11-04,77500
2005-11-07,70000
2005-11-08,0
2005-11-09,212500
2005-11-10,1100
2005-11-11,700
2005-11-14,49700
2005-11-15,0
2005-11-16,30000
2005-11-17,700
2005-11-18,0
2005-11-21,0
2005-11-22,2800
2005-11-23,94500
2005-11-25,2400
2005-11-28,188900
2005-11-29,14000
2005-11-30,72300
2005-12-01,3300
2005-12-02,9900
2005-12-05,6000
2005-12-06,1700
2005-12-07,1300
2005-12-08,99300
2005-12-09,4000
2005-12-12,14700
2005-12-13,10000
2005-12-14,9200
2005-12-15,6000
2005-12-16,58300
2005-12-19,17900
2005-12-20,28400
2005-12-21,2700
2005-12-22,5600
2005-12-23,1800
2005-12-27,6700
2005-12-28,5300
2005-12-29,1000
2005-12-30,9300
2006-01-03,42400
2006-01-04,47400
2006-01-05,6200
2006-01-06,24300
2006-01-09,16700
2006-01-10,10600
2006-01-11,43300
2006-01-12,56000
2006-01-13,10400
2006-01-17,16100
2006-01-18,88000
2006-01-19,2700
2006-01-20,7100
2006-01-23,31500
2006-01-24,9500
2006-01-25,36700
2006-01-26,16700
2006-01-27,124800
2006-01-30,1300
2006-01-31,26800
2006-02-01,31200
2006-02-02,32500
2006-02-03,22200
2006-02-06,2400
2006-02-07,9800
2006-02-08,33500
2006-02-09,42300
2006-02-10,3400
2006-02-13,1800
2006-02-14,4400
2006-02-15,3700
2006-02-16,5500
2006-02-17,700
2006-02-21,3000
2006-02-22,61500
2006-02-23,5000
2006-02-24,3500
2006-02-27,13700
2006-02-28,5200
2006-03-01,67900
2006-03-02,700
2006-03-03,69000
2006-03-06,11800
2006-03-07,12100
2006-03-08,163200
2006-03-09,5000
2006-03-10,5200
2006-03-13,1500
2006-03-14,18700
2006-03-15,37500
2006-03-16,1500
2006-03-17,7700
2006-03-20,2800
2006-03-21,5900
2006-03-22,109700
2006-03-23,21900
2006-03-24,5700
2006-03-27,13500
2006-03-28,2900
2006-03-29,81900
2006-03-30,136000
2006-03-31,36900
2006-04-03,18700
2006-04-04,54500
2006-04-05,17500
2006-04-06,18500
2006-04-07,26200
2006-04-10,6800
2006-04-11,18000
2006-04-12,29000
2006-04-13,2000
2006-04-17,10900
2006-04-18,1200
2006-04-19,21300
2006-04-20,23200
2006-04-21,11700
2006-04-24,10700
2006-04-25,13100
2006-04-26,13600
2006-04-27,3500
2006-04-28,2300
2006-05-01,16200
2006-05-02,45000
2006-05-03,23400
2006-05-04,59000
2006-05-05,72100
2006-05-08,5800
2006-05-09,77600
2006-05-10,139600
2006-05-11,87300
2006-05-12,65700
2006-05-15,28300
2006-05-16,78100
2006-05-17,10700
2006-05-18,4400
2006-05-19,13500
2006-05-22,8000
2006-05-23,13900
2006-05-24,9100
2006-05-25,56300
2006-05-26,1500
2006-05-30,3300
2006-05-31,202600
2006-06-01,227700
2006-06-02,12700
2006-06-05,10200
2006-06-06,37300
2006-06-07,7900
2006-06-08,57000
2006-06-09,18800
2006-06-12,51400
2006-06-13,43100
2006-06-14,13700
2006-06-15,16400
2006-06-16,5900
2006-06-19,108100
2006-06-20,59000
2006-06-21,158000
2006-06-22,31300
