Date,volume
2010-06-29,281494500
2010-06-30,257806500
2010-07-01,123282000
2010-07-02,77097000
2010-07-06,103003500
2010-07-07,103825500
2010-07-08,115671000
2010-07-09,60759000
2010-07-12,33037500
2010-07-13,40201500
2010-07-14,62928000
2010-07-15,56097000
2010-07-16,39319500
2010-07-19,37297500
2010-07-20,27379500
2010-07-21,18787500
2010-07-22,14367000
2010-07-23,9804000
2010-07-26,13833000
2010-07-27,9295500
2010-07-28,7008000
2010-07-29,9240000
2010-07-30,6403500
2010-08-02,10771500
2010-08-03,18457500
2010-08-04,13695000
2010-08-05,11943000
2010-08-06,11128500
2010-08-09,12190500
2010-08-10,19219500
2010-08-11,11964000
2010-08-12,10365000
2010-08-13,9510000
2010-08-16,7287000
2010-08-17,6718500
2010-08-18,9019500
2010-08-19,8686500
2010-08-20,4440000
2010-08-23,16321500
2010-08-24,10096500
2010-08-25,7549500
2010-08-26,6507000
2010-08-27,5694000
2010-08-30,10992000
2010-08-31,3016500
2010-09-01,7423500
2010-09-02,7306500
2010-09-03,6519000
2010-09-07,3651000
2010-09-08,4326000
2010-09-09,5643000
2010-09-10,5799000
2010-09-13,5412000
2010-09-14,9820500
2010-09-15,10269000
2010-09-16,40267500
2010-09-17,17977500
2010-09-20,14212500
2010-09-21,11940000
2010-09-22,14443500
2010-09-23,10021500
2010-09-24,8683500
2010-09-27,6279000
2010-09-28,18217500
2010-09-29,29539500
2010-09-30,32937000
2010-10-01,8965500
2010-10-04,9654000
2010-10-05,4980000
2010-10-06,4701000
2010-10-07,2115000
2010-10-08,4017000
2010-10-11,2568000
2010-10-12,3660000
2010-10-13,4773000
2010-10-14,4422000
2010-10-15,4270500
2010-10-18,2442000
2010-10-19,3678000
2010-10-20,4687500
2010-10-21,6256500
2010-10-22,2416500
2010-10-25,1777500
2010-10-26,9913500
2010-10-27,5347500
2010-10-28,3363000
2010-10-29,4209000
2010-11-01,6837000
2010-11-02,4837500
2010-11-03,5589000
2010-11-04,28110000
2010-11-05,15165000
2010-11-08,7642500
2010-11-09,14346000
2010-11-10,45907500
2010-11-11,29179500
2010-11-12,40936500
2010-11-15,39343500
2010-11-16,20214000
2010-11-17,11250000
2010-11-18,14341500
2010-11-19,17257500
2010-11-22,22945500
2010-11-23,23667000
2010-11-24,21375000
2010-11-26,5259000
2010-11-29,17184000
2010-11-30,33339000
2010-12-01,19488000
2010-12-02,30105000
2010-12-03,17401500
2010-12-06,19116000
2010-12-07,19669500
2010-12-08,9900000
2010-12-09,6090000
2010-12-10,6441000
2010-12-13,6156000
2010-12-14,26485500
2010-12-15,11143500
2010-12-16,11851500
2010-12-17,12195000
2010-12-20,7851000
2010-12-21,11665500
2010-12-22,12499500
2010-12-23,23289000
2010-12-27,139528500
2010-12-28,60844500
2010-12-29,49788000
2010-12-30,30616500
2010-12-31,21268500
2011-01-03,19245000
2011-01-04,17811000
2011-01-05,21700500
2011-01-06,30918000
2011-01-07,33718500
2011-01-10,20140500
2011-01-11,25653000
2011-01-12,14466000
2011-01-13,10854000
2011-01-14,17880000
2011-01-18,24325500
2011-01-19,35572500
2011-01-20,34198500
2011-01-21,18255000
2011-01-24,24676500
2011-01-25,19072500
2011-01-26,16198500
2011-01-27,13435500
2011-01-28,15726000
2011-01-31,12454500
2011-02-01,10617000
2011-02-02,8542500
2011-02-03,7680000
2011-02-04,8160000
2011-02-07,13426500
2011-02-08,52573500
2011-02-09,39534000
2011-02-10,12541500
2011-02-11,9517500
2011-02-14,19246500
2011-02-15,14305500
2011-02-16,61726500
2011-02-17,39276000
2011-02-18,35560500
2011-02-22,30969000
2011-02-23,24084000
2011-02-24,15829500
2011-02-25,20194500
2011-02-28,15768000
2011-03-01,16596000
2011-03-02,9949500
2011-03-03,9603000
2011-03-04,23701500
2011-03-07,30504000
2011-03-08,20998500
2011-03-09,13872000
2011-03-10,15255000
2011-03-11,13962000
2011-03-14,17490000
2011-03-15,19782000
2011-03-16,17545500
2011-03-17,13839000
