Date,volume
2004-02-25,168800
2004-02-26,16675
2004-02-27,18025
2004-03-01,21800
2004-03-02,22725
2004-03-03,9575
2004-03-04,16500
2004-03-05,13125
2004-03-08,5250
2004-03-09,4800
2004-03-10,8725
2004-03-11,12600
2004-03-12,4950
2004-03-15,6600
2004-03-16,9450
2004-03-17,13025
2004-03-18,17450
2004-03-19,20325
2004-03-22,8375
2004-03-23,10050
2004-03-24,9225
2004-03-25,12400
2004-03-26,13650
2004-03-29,14000
2004-03-30,6025
2004-03-31,23350
2004-04-01,6525
2004-04-02,8100
2004-04-05,6325
2004-04-06,6050
2004-04-07,18225
2004-04-08,10225
2004-04-12,9675
2004-04-13,13275
2004-04-14,16300
2004-04-15,25850
2004-04-16,9450
2004-04-19,7425
2004-04-20,5425
2004-04-21,4975
2004-04-22,7000
2004-04-23,7200
2004-04-26,9650
2004-04-27,10075
2004-04-28,11225
2004-04-29,9150
2004-04-30,3900
2004-05-03,17875
2004-05-04,2825
2004-05-05,8200
2004-05-06,3875
2004-05-07,3250
2004-05-10,29575
2004-05-11,14825
2004-05-12,22175
2004-05-13,12375
2004-05-14,13450
2004-05-17,7300
2004-05-18,9375
2004-05-19,12700
2004-05-20,14025
2004-05-21,8975
2004-05-24,10400
2004-05-25,9775
2004-05-26,8600
2004-05-27,6850
2004-05-28,5300
2004-06-01,6600
2004-06-02,5725
2004-06-03,4225
2004-06-04,3850
2004-06-07,6050
2004-06-08,5500
2004-06-09,4100
2004-06-10,2375
2004-06-14,4125
2004-06-15,4725
2004-06-16,9525
2004-06-17,2600
2004-06-18,3825
2004-06-21,7150
2004-06-22,3850
2004-06-23,9975
2004-06-24,7825
2004-06-25,11325
2004-06-28,9125
2004-06-29,8050
2004-06-30,3375
2004-07-01,8950
2004-07-02,9375
2004-07-06,7500
2004-07-07,6550
2004-07-08,8025
2004-07-09,4275
2004-07-12,7925
2004-07-13,3950
2004-07-14,4650
2004-07-15,6850
2004-07-16,7400
2004-07-19,7300
2004-07-20,7700
2004-07-21,7125
2004-07-22,2650
2004-07-23,4125
2004-07-26,9525
2004-07-27,5425
2004-07-28,3050
2004-07-29,3650
2004-07-30,2800
2004-08-02,8050
2004-08-03,3825
2004-08-04,7900
2004-08-05,5375
2004-08-06,4125
2004-08-09,4150
2004-08-10,11475
2004-08-11,7750
2004-08-12,5200
2004-08-13,4775
2004-08-16,10650
2004-08-17,8675
2004-08-18,10725
2004-08-19,10875
2004-08-20,4850
2004-08-23,5725
2004-08-24,10325
2004-08-25,11200
2004-08-26,6350
2004-08-27,9900
2004-08-30,16975
2004-08-31,20850
2004-09-01,12975
2004-09-02,15875
2004-09-03,7025
2004-09-07,19950
2004-09-08,9975
2004-09-09,8525
2004-09-10,7500
2004-09-13,11500
2004-09-14,10650
2004-09-15,50600
2004-09-16,24775
2004-09-17,27450
2004-09-20,20850
2004-09-21,37575
2004-09-22,23075
2004-09-23,15325
2004-09-24,22175
2004-09-27,18975
2004-09-28,20300
2004-09-29,20425
2004-09-30,16975
2004-10-01,15325
2004-10-04,23500
2004-10-05,13000
2004-10-06,15900
2004-10-07,6275
2004-10-08,7675
2004-10-11,8450
2004-10-12,6950
2004-10-13,7175
2004-10-14,4650
2004-10-15,6750
2004-10-18,17775
2004-10-19,29675
2004-10-20,25025
2004-10-21,26150
2004-10-22,6750
2004-10-25,19675
2004-10-26,38100
2004-10-27,34325
2004-10-28,18850
2004-10-29,19625
2004-11-01,8600
2004-11-02,16600
2004-11-03,14125
2004-11-04,9000
2004-11-05,10125
2004-11-08,8600
2004-11-09,10325
2004-11-10,14150
2004-11-11,26525
2004-11-12,32100
2004-11-15,11950
2004-11-16,22550
2004-11-17,18225
2004-11-18,14675
2004-11-19,7575
2004-11-22,10275
2004-11-23,14250
2004-11-24,11925
2004-11-26,2350
2004-11-29,7850
2004-11-30,14425
2004-12-01,15975
2004-12-02,26225
2004-12-03,16500
2004-12-06,8225
2004-12-07,11075
2004-12-08,13350
2004-12-09,13650
2004-12-10,16200
2004-12-13,7225
2004-12-14,13475
2004-12-15,21825
2004-12-16,7725
2004-12-17,103625
2004-12-20,26325
2004-12-21,21975
2004-12-22,17550
2004-12-23,9600
2004-12-27,10900
2004-12-28,11525
2004-12-29,11025
2004-12-30,9475
2004-12-31,12975
2005-01-03,18275
2005-01-04,10525
2005-01-05,8650
2005-01-06,14375
2005-01-07,7800
2005-01-10,10075
2005-01-11,6350
2005-01-12,12200
2005-01-13,8325
2005-01-14,5250
2005-01-18,15925
2005-01-19,19550
2005-01-20,11150
2005-01-21,12050
2005-01-24,40775
2005-01-25,17175
2005-01-26,16325
2005-01-27,23425
2005-01-28,8075
2005-01-31,15900
2005-02-01,11725
2005-02-02,10775
2005-02-03,18225
2005-02-04,11500
2005-02-07,6700
2005-02-08,13225
2005-02-09,22025
2005-02-10,11425
2005-02-11,11775
2005-02-14,32150
2005-02-15,22025
2005-02-16,23350
2005-02-17,19000
2005-02-18,15950
2005-02-22,15200
2005-02-23,9125
2005-02-24,7625
2005-02-25,21875
2005-02-28,18500
2005-03-01,15075
2005-03-02,11375
2005-03-03,9450
2005-03-04,11525
2005-03-07,13725
2005-03-08,7925
2005-03-09,19750
2005-03-10,16450
2005-03-11,20425
2005-03-14,11050
2005-03-15,7925
2005-03-16,15175
2005-03-17,13200
2005-03-18,9600
2005-03-21,8850
2005-03-22,12450
2005-03-23,23450
2005-03-24,12450
2005-03-28,12150
2005-03-29,9875
2005-03-30,6725
2005-03-31,13175
2005-04-01,8750
2005-04-04,16700
2005-04-05,8925
2005-04-06,16825
2005-04-07,9050
2005-04-08,14400
2005-04-11,10375
2005-04-12,10650
2005-04-13,6125
2005-04-14,10800
2005-04-15,13250
2005-04-18,7700
2005-04-19,12075
2005-04-20,10275
2005-04-21,7575
2005-04-22,6100
2005-04-25,12750
2005-04-26,9050
2005-04-27,14125
2005-04-28,6050
2005-04-29,12325
2005-05-02,21075
2005-05-03,11225
2005-05-04,19000
2005-05-05,12275
2005-05-06,12375
2005-05-09,12450
2005-05-10,8300
2005-05-11,14375
2005-05-12,11250
2005-05-13,11350
2005-05-16,12550
2005-05-17,16850
2005-05-18,25200
2005-05-19,26325
2005-05-20,14325
2005-05-23,14975
2005-05-24,14875
2005-05-25,19725
2005-05-26,10875
2005-05-27,9100
2005-05-31,7775
2005-06-01,12925
2005-06-02,14975
2005-06-03,53625
2005-06-06,54200
2005-06-07,8350
2005-06-08,10900
2005-06-09,11000
2005-06-10,18000
2005-06-13,17925
2005-06-14,6050
2005-06-15,11525
2005-06-16,11250
2005-06-17,9550
2005-06-20,5825
2005-06-21,6725
2005-06-22,13300
2005-06-23,6750
2005-06-24,8925
2005-06-27,14775
2005-06-28,11950
2005-06-29,12075
2005-06-30,13650
2005-07-01,17100
2005-07-05,11250
2005-07-06,13125
2005-07-07,10275
2005-07-08,8900
2005-07-11,7825
2005-07-12,6425
2005-07-13,7500
2005-07-14,8300
2005-07-15,14125
2005-07-18,7325
2005-07-19,12100
2005-07-20,4625
2005-07-21,9750
2005-07-22,7675
2005-07-25,7600
2005-07-26,4200
2005-07-27,7250
2005-07-28,6400
2005-07-29,10375
2005-08-01,7925
2005-08-02,8475
2005-08-03,10475
2005-08-04,6425
2005-08-05,3450
2005-08-08,6075
2005-08-09,7525
2005-08-10,7025
2005-08-11,2775
2005-08-12,5525
2005-08-15,4950
2005-08-16,5625
2005-08-17,4725
2005-08-18,6325
2005-08-19,5200
2005-08-22,6750
2005-08-23,5950
2005-08-24,5425
2005-08-25,11050
2005-08-26,7600
2005-08-29,7200
2005-08-30,4200
2005-08-31,5725
2005-09-01,10800
2005-09-02,5175
2005-09-06,6025
2005-09-07,3625
2005-09-08,5650
2005-09-09,5050
2005-09-12,3500
2005-09-13,3175
2005-09-14,5800
2005-09-15,5000
2005-09-16,3800
2005-09-19,5325
2005-09-20,5150
2005-09-21,8000
2005-09-22,9125
2005-09-23,7375
2005-09-26,7250
2005-09-27,7850
2005-09-28,6850
2005-09-29,9350
2005-09-30,13950
2005-10-03,11350
2005-10-04,19250
2005-10-05,11625
2005-10-06,9500
2005-10-07,7750
2005-10-10,6500
2005-10-11,8225
2005-10-12,12975
2005-10-13,13500
2005-10-14,7550
2005-10-17,12000
2005-10-18,7950
2005-10-19,13075
2005-10-20,11225
2005-10-21,17750
2005-10-24,7725
2005-10-25,14650
2005-10-26,10850
2005-10-27,12400
2005-10-28,8900
2005-10-31,20775
2005-11-01,7200
2005-11-02,10250
2005-11-03,6125
2005-11-04,7200
2005-11-07,6250
2005-11-08,2400
2005-11-09,7250
2005-11-10,4425
2005-11-11,3425
2005-11-14,6525
2005-11-15,6725
2005-11-16,4075
2005-11-17,4800
2005-11-18,10875
2005-11-21,5925
2005-11-22,2325
2005-11-23,3975
2005-11-25,1400
2005-11-28,4300
2005-11-29,5700
2005-11-30,9250
2005-12-01,6425
2005-12-02,2900
2005-12-05,5550
2005-12-06,6600
2005-12-07,11675
2005-12-08,9150
2005-12-09,7300
2005-12-12,10525
2005-12-13,17925
2005-12-14,12475
2005-12-15,5475
2005-12-16,7875
2005-12-19,19200
2005-12-20,12550
2005-12-21,11850
2005-12-22,9275
2005-12-23,7150
2005-12-27,8375
2005-12-28,34375
2005-12-29,19975
2005-12-30,41400
2006-01-03,10675
2006-01-04,23225
2006-01-05,4050
2006-01-06,4200
2006-01-09,5725
2006-01-10,6975
2006-01-11,5050
2006-01-12,5050
2006-01-13,7375
2006-01-17,7300
2006-01-18,5400
2006-01-19,5025
2006-01-20,6100
2006-01-23,3575
2006-01-24,7275
2006-01-25,11575
2006-01-26,7850
2006-01-27,3975
2006-01-30,6050
2006-01-31,2950
2006-02-01,3625
2006-02-02,5425
2006-02-03,7175
2006-02-06,5125
2006-02-07,6350
2006-02-08,3200
2006-02-09,5850
2006-02-10,3950
2006-02-13,9750
2006-02-14,7625
2006-02-15,5775
2006-02-16,10900
2006-02-17,4050
2006-02-21,10675
2006-02-22,7500
2006-02-23,7700
2006-02-24,7625
2006-02-27,7250
2006-02-28,9850
2006-03-01,3575
2006-03-02,4700
2006-03-03,3550
2006-03-06,3550
2006-03-07,11675
2006-03-08,6000
2006-03-09,3650
2006-03-10,3300
2006-03-13,4900
2006-03-14,7525
2006-03-15,5900
2006-03-16,7425
2006-03-17,4400
2006-03-20,4975
2006-03-21,4575
2006-03-22,3850
2006-03-23,3775
2006-03-24,7700
2006-03-27,7475
2006-03-28,8900
2006-03-29,6500
2006-03-30,3325
2006-03-31,16175
2006-04-03,5175
2006-04-04,11175
2006-04-05,6350
2006-04-06,6100
2006-04-07,5375
2006-04-10,5150
2006-04-11,3900
2006-04-12,3250
2006-04-13,2950
2006-04-17,4300
2006-04-18,4825
2006-04-19,8275
2006-04-20,6250
2006-04-21,4950
2006-04-24,4675
2006-04-25,3375
2006-04-26,3925
2006-04-27,4600
2006-04-28,5500
2006-05-01,5375
2006-05-02,4850
2006-05-03,6675
2006-05-04,3550
2006-05-05,3300
2006-05-08,4100
2006-05-09,5550
2006-05-10,5375
2006-05-11,6000
2006-05-12,4300
2006-05-15,4675
2006-05-16,6200
2006-05-17,3800
2006-05-18,8825
2006-05-19,4775
2006-05-22,7375
2006-05-23,5900
2006-05-24,5625
2006-05-25,3700
2006-05-26,3800
2006-05-30,6225
2006-05-31,7200
2006-06-01,4650
2006-06-02,7200
2006-06-05,6150
2006-06-06,8750
2006-06-07,6575
2006-06-08,6450
2006-06-09,8675
2006-06-12,6075
2006-06-13,4300
2006-06-14,3300
2006-06-15,11075
2006-06-16,3650
2006-06-19,2525
2006-06-20,5175
2006-06-21,4800
2006-06-22,4250
2006-06-23,3975
2006-06-26,1775
2006-06-27,4350
2006-06-28,7225
2006-06-29,7575
2006-06-30,8200
2006-07-03,2675
2006-07-05,4050
2006-07-06,5150
2006-07-07,6850
2006-07-10,6825
2006-07-11,10675
2006-07-12,3525
2006-07-13,13650
2006-07-14,3400
2006-07-17,3125
2006-07-18,6000
2006-07-19,15950
2006-07-20,6975
2006-07-21,7750
2006-07-24,5775
2006-07-25,8300
2006-07-26,10800
2006-07-27,6200
2006-07-28,4100
2006-07-31,5325
2006-08-01,5775
2006-08-02,6400
2006-08-03,5800
2006-08-04,7600
2006-08-07,8325
2006-08-08,39250
2006-08-09,126825
2006-08-10,25575
